|6.6.6
Archiving\03_Data\eq/QFM/TIS/TIS_1.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  2000.00        2500.00       0.276685E-001  -7447.41       0.807807        711266.        237089.        4.44814        5.34600        2.56814        2.08167        3594.80       -12283.2        1.01037       0.413182E-004  0.150318E-005   2.41792       0.773918E-002  0.994629       -92.2953       -30.7651        4.17171        1.39057      -0.243224E-003 -0.236410E-003 -0.113568E-003  0.970142E-005  0.116597E-004  0.560112E-005   1.06633        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106407E+007 -0.117433E+007 -0.198104E+007 -0.150245E+007  -489036.       -575827.       -745406.       -900526.      -0.107276E+007 -0.127479E+007  -397709.        0.00000     
  1996.79        2500.00       0.276649E-001  -7450.65       0.807710        711561.        237187.        4.44877        5.34676        2.56850        2.08167        3595.28       -12275.5        1.01019       0.412945E-004  0.150234E-005   2.41630       0.773918E-002  0.994629       -92.2945       -30.7648        4.17131        1.39044      -0.243147E-003 -0.236360E-003 -0.113544E-003  0.969799E-005  0.116555E-004  0.559914E-005   1.06618        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106350E+007 -0.117366E+007 -0.198008E+007 -0.150047E+007  -488387.       -575379.       -744975.       -899836.      -0.107169E+007 -0.126955E+007  -397250.        0.00000     
  1993.59        2500.00       0.276612E-001  -7453.89       0.807614        711857.        237286.        4.44940        5.34751        2.56886        2.08167        3595.75       -12267.8        1.01001       0.412708E-004  0.150150E-005   2.41467       0.773918E-002  0.994629       -92.2935       -30.7645        4.17092        1.39031      -0.243070E-003 -0.236309E-003 -0.113519E-003  0.969458E-005  0.116514E-004  0.559717E-005   1.06602        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106292E+007 -0.117298E+007 -0.197911E+007 -0.149849E+007  -487737.       -574931.       -744543.       -899146.      -0.107062E+007 -0.126430E+007  -396792.        0.00000     
  1990.38        2500.00       0.276575E-001  -7457.12       0.807519        712153.        237384.        4.45003        5.34827        2.56923        2.08167        3596.23       -12260.0        1.00983       0.412471E-004  0.150066E-005   2.41305       0.773918E-002  0.994629       -92.2925       -30.7642        4.17052        1.39017      -0.242993E-003 -0.236258E-003 -0.113495E-003  0.969117E-005  0.116473E-004  0.559520E-005   1.06587        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106234E+007 -0.117231E+007 -0.197815E+007 -0.149650E+007  -487087.       -574483.       -744111.       -898455.      -0.106955E+007 -0.125905E+007  -396333.        0.00000     
  1987.18        2500.00       0.276539E-001  -7460.36       0.807424        712448.        237483.        4.45066        5.34903        2.56959        2.08167        3596.70       -12252.3        1.00965       0.412234E-004  0.149983E-005   2.41142       0.773918E-002  0.994629       -92.2909       -30.7636        4.17013        1.39004      -0.242914E-003 -0.236205E-003 -0.113469E-003  0.968776E-005  0.116432E-004  0.559323E-005   1.06572        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106176E+007 -0.117164E+007 -0.197718E+007 -0.149452E+007  -486438.       -574035.       -743680.       -897765.      -0.106848E+007 -0.125381E+007  -395875.        0.00000     
  1983.97        2500.00       0.276502E-001  -7463.60       0.807329        712744.        237581.        4.45129        5.34978        2.56995        2.08167        3597.18       -12244.6        1.00947       0.411998E-004  0.149899E-005   2.40979       0.773918E-002  0.994629       -92.2900       -30.7633        4.16972        1.38991      -0.242837E-003 -0.236155E-003 -0.113445E-003  0.968434E-005  0.116391E-004  0.559126E-005   1.06557        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106122E+007 -0.117053E+007 -0.197577E+007 -0.149432E+007  -485771.       -573559.       -743171.       -897332.      -0.106766E+007 -0.126068E+007  -395417.        0.00000     
  1980.77        2500.00       0.276466E-001  -7466.83       0.807235        713039.        237680.        4.45192        5.35054        2.57031        2.08167        3597.65       -12236.8        1.00929       0.411761E-004  0.149815E-005   2.40816       0.773918E-002  0.994629       -92.2885       -30.7628        4.16933        1.38978      -0.242758E-003 -0.236102E-003 -0.113420E-003  0.968094E-005  0.116350E-004  0.558930E-005   1.06542        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106067E+007 -0.116943E+007 -0.197437E+007 -0.149412E+007  -485104.       -573082.       -742662.       -896899.      -0.106683E+007 -0.126754E+007  -394959.        0.00000     
  1977.56        2500.00       0.276429E-001  -7470.07       0.807141        713335.        237778.        4.45254        5.35129        2.57068        2.08167        3598.13       -12229.1        1.00911       0.411526E-004  0.149732E-005   2.40653       0.773918E-002  0.994629       -92.2873       -30.7624        4.16894        1.38965      -0.242681E-003 -0.236051E-003 -0.113395E-003  0.967754E-005  0.116310E-004  0.558733E-005   1.06527        100.000        100.000        100.000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.747142E-002   0.00000        0.00000        0.00000        0.00000       0.267763E-003 -0.133881E-003 -0.106009E+007 -0.116845E+007 -0.197309E+007 -0.149247E+007  -484506.       -572640.       -742206.       -896310.      -0.106614E+007 -0.126709E+007  -394502.        0.00000     
  1974.36        2500.00       0.289986E-001  -7920.83       0.810562        724609.        241536.        4.50084        5.40934        2.59856        2.08167        3576.97       -12914.2        1.06920       0.411367E-004  0.147641E-005   2.52911       0.780119E-002   1.03727       -94.8021       -31.6007        4.18460        1.39487      -0.247878E-003 -0.242597E-003 -0.116540E-003  0.967360E-005  0.116262E-004  0.558506E-005   1.06539        100.000        100.000        100.000       0.780119E-002   0.00000        0.00000        0.00000       0.873165E-004  0.747142E-002  0.304466E-003   0.00000        0.00000        0.00000       0.267763E-003   0.00000      -0.105951E+007 -0.116773E+007 -0.197200E+007 -0.149107E+007  -483892.       -572202.       -741764.       -895669.      -0.106519E+007 -0.126312E+007  -394127.        0.00000     
  1971.15        2500.00       0.290058E-001  -7927.89       0.810634        725027.        241676.        4.50191        5.41063        2.59918        2.08167        3577.34       -12911.8        1.06945       0.411151E-004  0.147541E-005   2.52841       0.780354E-002   1.03764       -94.8096       -31.6032        4.18422        1.39474      -0.247784E-003 -0.242537E-003 -0.116511E-003  0.966946E-005  0.116212E-004  0.558266E-005   1.06525        100.000        100.000        100.000       0.780354E-002   0.00000        0.00000        0.00000       0.884579E-004  0.747142E-002  0.308020E-003   0.00000        0.00000        0.00000       0.267763E-003   0.00000      -0.105894E+007 -0.116693E+007 -0.197085E+007 -0.148969E+007  -483251.       -571750.       -741315.       -895072.      -0.106423E+007 -0.126236E+007  -393776.        0.00000     
