|6.6.6
Archiving\03_Data\eq/QFM/WD94/WD94_4.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00       0.828662E-003
  1881.41        2500.00       0.134778E-002
  1878.21        2500.00       0.175471E-002
  1875.00        2500.00       0.215437E-002
  1871.79        2500.00       0.255393E-002
  1868.59        2500.00       0.293147E-002
  1865.38        2500.00       0.330890E-002
  1862.18        2500.00       0.368624E-002
  1858.97        2500.00       0.406347E-002
  1855.77        2500.00       0.444061E-002
  1852.56        2500.00       0.481764E-002
  1849.36        2500.00       0.519458E-002
  1846.15        2500.00       0.557141E-002
  1842.95        2500.00       0.591547E-002
  1839.74        2500.00       0.625944E-002
  1836.54        2500.00       0.660332E-002
  1833.33        2500.00       0.694711E-002
  1830.13        2500.00       0.729081E-002
  1826.92        2500.00       0.763442E-002
  1823.72        2500.00       0.797794E-002
  1820.51        2500.00       0.832137E-002
  1817.31        2500.00       0.863569E-002
  1814.10        2500.00       0.894992E-002
  1810.90        2500.00       0.926408E-002
  1807.69        2500.00       0.957816E-002
  1804.49        2500.00       0.989216E-002
  1801.28        2500.00       0.102061E-001
  1798.08        2500.00       0.105199E-001
  1794.87        2500.00       0.108337E-001
  1791.67        2500.00       0.111202E-001
  1788.46        2500.00       0.114066E-001
  1785.26        2500.00       0.116929E-001
  1782.05        2500.00       0.119792E-001
  1778.85        2500.00       0.122654E-001
  1775.64        2500.00       0.125515E-001
  1772.44        2500.00       0.128376E-001
  1769.23        2500.00       0.131235E-001
  1766.03        2500.00       0.133851E-001
  1762.82        2500.00       0.136467E-001
  1759.62        2500.00       0.139081E-001
  1756.41        2500.00       0.141695E-001
  1753.21        2500.00       0.144308E-001
  1750.00        2500.00       0.146921E-001
  1746.79        2500.00       0.149533E-001
  1743.59        2500.00       0.152145E-001
  1740.38        2500.00       0.154556E-001
  1737.18        2500.00       0.156966E-001
  1733.97        2500.00       0.159376E-001
  1730.77        2500.00       0.161785E-001
  1727.56        2500.00       0.164194E-001
  1724.36        2500.00       0.166602E-001
  1721.15        2500.00       0.169009E-001
  1717.95        2500.00       0.171416E-001
  1714.74        2500.00       0.173596E-001
  1711.54        2500.00       0.175775E-001
  1708.33        2500.00       0.177953E-001
  1705.13        2500.00       0.180132E-001
  1701.92        2500.00       0.182309E-001
  1698.72        2500.00       0.184486E-001
  1695.51        2500.00       0.186663E-001
  1692.31        2500.00       0.188839E-001
  1689.10        2500.00       0.190882E-001
  1685.90        2500.00       0.192924E-001
  1682.69        2500.00       0.194966E-001
  1679.49        2500.00       0.197007E-001
  1676.28        2500.00       0.199048E-001
  1673.08        2500.00       0.201089E-001
  1669.87        2500.00       0.203129E-001
  1666.67        2500.00       0.205168E-001
  1663.46        2500.00       0.207047E-001
  1660.26        2500.00       0.208926E-001
  1657.05        2500.00       0.210804E-001
  1653.85        2500.00       0.212681E-001
  1650.64        2500.00       0.214559E-001
  1647.44        2500.00       0.216436E-001
  1644.23        2500.00       0.218312E-001
  1641.03        2500.00       0.220188E-001
  1637.82        2500.00       0.221910E-001
  1634.62        2500.00       0.223404E-001
  1631.41        2500.00       0.222454E-001
  1628.21        2500.00       0.221505E-001
  1625.00        2500.00       0.220438E-001
  1621.79        2500.00       0.219372E-001
  1618.59        2500.00       0.218306E-001
  1615.38        2500.00       0.217241E-001
  1612.18        2500.00       0.216016E-001
  1608.97        2500.00       0.214792E-001
  1605.77        2500.00       0.213569E-001
  1602.56        2500.00       0.212345E-001
  1599.36        2500.00       0.211122E-001
  1596.15        2500.00       0.209900E-001
  1592.95        2500.00       0.208678E-001
  1589.74        2500.00       0.207456E-001
  1586.54        2500.00       0.206095E-001
  1583.33        2500.00       0.204734E-001
  1580.13        2500.00       0.203373E-001
  1576.92        2500.00       0.202013E-001
  1573.72        2500.00       0.200653E-001
  1570.51        2500.00       0.199294E-001
  1567.31        2500.00       0.197935E-001
  1564.10        2500.00       0.196576E-001
  1560.90        2500.00       0.195028E-001
  1557.69        2500.00       0.193481E-001
  1554.49        2500.00       0.191934E-001
  1551.28        2500.00       0.190388E-001
  1548.08        2500.00       0.188842E-001
  1544.87        2500.00       0.187297E-001
  1541.67        2500.00       0.185752E-001
  1538.46        2500.00       0.184207E-001
  1535.26        2500.00       0.182423E-001
  1532.05        2500.00       0.180640E-001
  1528.85        2500.00       0.178857E-001
  1525.64        2500.00       0.177074E-001
  1522.44        2500.00       0.175292E-001
  1519.23        2500.00       0.173511E-001
  1516.03        2500.00       0.171730E-001
  1512.82        2500.00       0.169949E-001
  1509.62        2500.00       0.167859E-001
  1506.41        2500.00       0.165770E-001
  1503.21        2500.00       0.163681E-001
  1500.00        2500.00       0.161592E-001
  1496.79        2500.00       0.159505E-001
  1493.59        2500.00       0.157417E-001
  1490.38        2500.00       0.155331E-001
  1487.18        2500.00       0.153245E-001
  1483.97        2500.00       0.150963E-001
  1480.77        2500.00       0.148681E-001
  1477.56        2500.00       0.146400E-001
  1474.36        2500.00       0.144120E-001
  1471.15        2500.00       0.141661E-001
  1467.95        2500.00       0.140673E-001
  1464.74        2500.00       0.141468E-001
  1461.54        2500.00       0.142262E-001
  1458.33        2500.00       0.144014E-001
  1455.13        2500.00       0.145766E-001
  1451.92        2500.00       0.147518E-001
  1448.72        2500.00       0.149269E-001
  1445.51        2500.00       0.151021E-001
  1442.31        2500.00       0.152773E-001
  1439.10        2500.00       0.154525E-001
  1435.90        2500.00       0.156277E-001
  1432.69        2500.00       0.158960E-001
  1429.49        2500.00       0.161642E-001
  1426.28        2500.00       0.164324E-001
  1423.08        2500.00       0.167006E-001
  1419.87        2500.00       0.169947E-001
  1416.67        2500.00       0.172888E-001
  1413.46        2500.00       0.176243E-001
  1410.26        2500.00       0.180220E-001
  1407.05        2500.00       0.180201E-001
  1403.85        2500.00       0.180182E-001
  1400.64        2500.00       0.180162E-001
  1397.44        2500.00       0.180143E-001
  1394.23        2500.00       0.180124E-001
  1391.03        2500.00       0.180105E-001
  1387.82        2500.00       0.180086E-001
  1384.62        2500.00       0.219564E-001
  1381.41        2500.00       0.219541E-001
  1378.21        2500.00       0.219518E-001
  1375.00        2500.00       0.219495E-001
  1371.79        2500.00       0.219472E-001
  1368.59        2500.00       0.219449E-001
  1365.38        2500.00       0.219426E-001
  1362.18        2500.00       0.219403E-001
  1358.97        2500.00       0.259158E-001
  1355.77        2500.00       0.263051E-001
  1352.56        2500.00       0.264959E-001
  1349.36        2500.00       0.264932E-001
  1346.15        2500.00       0.270029E-001
  1342.95        2500.00       0.270002E-001
  1339.74        2500.00       0.269974E-001
  1336.54        2500.00       0.269946E-001
  1333.33        2500.00       0.279936E-001
  1330.13        2500.00       0.279907E-001
  1326.92        2500.00       0.279879E-001
  1323.72        2500.00       0.279850E-001
  1320.51        2500.00       0.289487E-001
  1317.31        2500.00       0.289458E-001
  1314.10        2500.00       0.294237E-001
  1310.90        2500.00       0.304245E-001
  1307.69        2500.00       0.305190E-001
  1304.49        2500.00       0.305159E-001
  1301.28        2500.00       0.305128E-001
  1298.08        2500.00       0.305097E-001
  1294.87        2500.00       0.305066E-001
  1291.67        2500.00       0.305035E-001
  1288.46        2500.00       0.305004E-001
  1285.26        2500.00       0.304973E-001
  1282.05        2500.00       0.313162E-001
  1278.85        2500.00       0.313130E-001
  1275.64        2500.00       0.313098E-001
  1272.44        2500.00       0.313067E-001
  1269.23        2500.00       0.313035E-001
  1266.03        2500.00       0.313004E-001
  1262.82        2500.00       0.312972E-001
  1259.62        2500.00       0.312940E-001
  1256.41        2500.00       0.321650E-001
  1253.21        2500.00       0.321618E-001
  1250.00        2500.00       0.321586E-001
  1246.79        2500.00       0.321553E-001
  1243.59        2500.00       0.321521E-001
  1240.38        2500.00       0.321489E-001
