|6.6.6
Archiving\03_Data\eq/QFM_m0.25/Y98/Y98_6.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3611.47     
  1996.79        2500.00        3611.95     
  1993.59        2500.00        3612.43     
  1990.38        2500.00        3612.91     
  1987.18        2500.00        3613.38     
  1983.97        2500.00        3613.86     
  1980.77        2500.00        3614.34     
  1977.56        2500.00        3614.82     
  1974.36        2500.00        3615.30     
  1971.15        2500.00        3615.78     
  1967.95        2500.00        3616.25     
  1964.74        2500.00        3616.73     
  1961.54        2500.00        3617.21     
  1958.33        2500.00        3617.68     
  1955.13        2500.00        3618.16     
  1951.92        2500.00        3618.64     
  1948.72        2500.00        3619.11     
  1945.51        2500.00        3619.59     
  1942.31        2500.00        3620.06     
  1939.10        2500.00        3620.54     
  1935.90        2500.00        3621.02     
  1932.69        2500.00        3621.49     
  1929.49        2500.00        3621.97     
  1926.28        2500.00        3622.44     
  1923.08        2500.00        3622.92     
  1919.87        2500.00        3623.39     
  1916.67        2500.00        3623.86     
  1913.46        2500.00        3624.34     
  1910.26        2500.00        3624.81     
  1907.05        2500.00        3625.28     
  1903.85        2500.00        3625.76     
  1900.64        2500.00        3626.23     
  1897.44        2500.00        3626.70     
  1894.23        2500.00        3627.18     
  1891.03        2500.00        3585.74     
  1887.82        2500.00        3585.90     
  1884.62        2500.00        3586.06     
  1881.41        2500.00        3586.19     
  1878.21        2500.00        3586.32     
  1875.00        2500.00        3586.45     
  1871.79        2500.00        3586.59     
  1868.59        2500.00        3586.67     
  1865.38        2500.00        3586.76     
  1862.18        2500.00        3586.85     
  1858.97        2500.00        3586.94     
  1855.77        2500.00        3587.03     
  1852.56        2500.00        3587.12     
  1849.36        2500.00        3587.21     
  1846.15        2500.00        3587.30     
  1842.95        2500.00        3587.30     
  1839.74        2500.00        3587.31     
  1836.54        2500.00        3587.31     
  1833.33        2500.00        3587.32     
  1830.13        2500.00        3587.33     
  1826.92        2500.00        3587.34     
  1823.72        2500.00        3587.35     
  1820.51        2500.00        3587.36     
  1817.31        2500.00        3587.23     
  1814.10        2500.00        3587.10     
  1810.90        2500.00        3586.98     
  1807.69        2500.00        3586.85     
  1804.49        2500.00        3586.73     
  1801.28        2500.00        3586.61     
  1798.08        2500.00        3586.49     
  1794.87        2500.00        3586.38     
  1791.67        2500.00        3586.04     
  1788.46        2500.00        3585.70     
  1785.26        2500.00        3585.37     
  1782.05        2500.00        3585.05     
  1778.85        2500.00        3584.73     
  1775.64        2500.00        3584.41     
  1772.44        2500.00        3584.10     
  1769.23        2500.00        3583.79     
  1766.03        2500.00        3583.18     
  1762.82        2500.00        3582.58     
  1759.62        2500.00        3581.99     
  1756.41        2500.00        3581.41     
  1753.21        2500.00        3580.83     
  1750.00        2500.00        3580.26     
  1746.79        2500.00        3579.70     
  1743.59        2500.00        3579.15     
  1740.38        2500.00        3578.01     
  1737.18        2500.00        3576.89     
