|6.6.6
Archiving\03_Data\eq/QFM_m0.5/ALH/ALH_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7276       0.272367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7276       0.272387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7276       0.272406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7276       0.272426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7276       0.272445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.7275       0.272465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.7275       0.272485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.7275       0.272504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.7275       0.272524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.7275       0.272544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.7274       0.272563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.7274       0.272583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7274       0.272602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.7274       0.272622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.7274       0.272642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.7273       0.272662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.7273       0.272682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.7273       0.272701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.7273       0.272721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.7273       0.272741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.7272       0.272760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.7272       0.272780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.7272       0.272800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.7272       0.272820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.7272       0.272840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.7271       0.272859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.7271       0.272879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.7271       0.272899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.7271       0.272919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.7271       0.272939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.7270       0.272958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.7270       0.272978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.7270       0.272998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.7270       0.273018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.7270       0.273038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.7269       0.273058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.7269       0.273078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.0106       0.273226       0.716223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        98.2788       0.273376        1.44780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        97.5556       0.273525        2.17085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        96.8316       0.273674        2.89473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        96.1208       0.273820        3.60541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        95.4092       0.273967        4.31688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        94.7052       0.274112        5.02071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        93.8694       0.253222        5.82309                 NaN  0.542985E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        91.7968       0.461077E-001   7.55902       0.865755E-002  0.589382                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        90.8047                 NaN   8.46267       0.237789E-001  0.708828                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        90.1242                 NaN   9.13200       0.345300E-001  0.709235                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        89.4430                 NaN   9.80205       0.452932E-001  0.709640                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        88.7866                 NaN   10.4478       0.555279E-001  0.710038                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        88.1295                 NaN   11.0943       0.657738E-001  0.710435                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        87.4718                 NaN   11.7414       0.760309E-001  0.710830                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        86.8133                 NaN   12.3892       0.862993E-001  0.711224                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        86.1542                 NaN   13.0376       0.965787E-001  0.711617                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        85.4944                 NaN   13.6867       0.106869       0.712009                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        84.8339                 NaN   14.3365       0.117171       0.712400                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        84.1728                 NaN   14.9870       0.127483       0.712789                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        83.5444                 NaN   15.6055       0.136936       0.713170                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        82.9154                 NaN   16.2247       0.146398       0.713550                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        82.2857                 NaN   16.8445       0.155869       0.713928                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        81.6555                 NaN   17.4648       0.165351       0.714305                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        81.0247                 NaN   18.0858       0.174842       0.714681                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        80.3932                 NaN   18.7074       0.184342       0.715056                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        79.7612                 NaN   19.3295       0.193852       0.715429                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        79.1286                 NaN   19.9522       0.203372       0.715801                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        78.5241                 NaN   20.5477       0.212102       0.716165                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        77.9190                 NaN   21.1436       0.220841       0.716527                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        77.3134                 NaN   21.7401       0.229587       0.716888                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        76.7073                 NaN   22.3372       0.238343       0.717248                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        76.1006                 NaN   22.9347       0.247106       0.717607                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        75.4934                 NaN   23.5328       0.255877       0.717964                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        74.8856                 NaN   24.1314       0.264657       0.718320                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        74.2774                 NaN   24.7305       0.273445       0.718675                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        73.6931                 NaN   25.3063       0.281529       0.719022                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        73.1084                 NaN   25.8826       0.289621       0.719368                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        72.5231                 NaN   26.4594       0.297721       0.719713                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        71.9374                 NaN   27.0367       0.305827       0.720057                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        71.3513                 NaN   27.6144       0.313940       0.720399                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        70.7646                 NaN   28.1926       0.322060       0.720740                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        70.1775                 NaN   28.7712       0.330187       0.721079                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        69.5899                 NaN   29.3503       0.338321       0.721417                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        69.0301                 NaN   29.9023       0.345784       0.721744                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        68.4699                 NaN   30.4547       0.353253       0.722069                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        67.9093                 NaN   31.0076       0.360727       0.722393                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        67.3483                 NaN   31.5608       0.368208       0.722716                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        66.7868                 NaN   32.1144       0.375694       0.723037                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        66.2250                 NaN   32.6685       0.383186       0.723357                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        65.6627                 NaN   33.2229       0.390684       0.723676                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        65.1001                 NaN   33.7777       0.398187       0.723993                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        64.5710                 NaN   34.2997       0.405016       0.724295                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        64.0415                 NaN   34.8221       0.411849       0.724595                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        63.5117                 NaN   35.3447       0.418686       0.724894                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        62.9815                 NaN   35.8677       0.425529       0.725192                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        62.4511                 NaN   36.3911       0.432376       0.725488                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        61.9203                 NaN   36.9147       0.439228       0.725782                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        61.3891                 NaN   37.4387       0.446084       0.726076                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        60.8577                 NaN   37.9630       0.452945       0.726367                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        60.3629                 NaN   38.4513       0.459187       0.726643                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        59.8679                 NaN   38.9398       0.465432       0.726917                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        59.3726                 NaN   39.4286       0.471681       0.727189                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        58.8770                 NaN   39.9176       0.477934       0.727460                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        58.3812                 NaN   40.4069       0.484190       0.727730                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        57.8851                 NaN   40.8965       0.490450       0.727998                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        57.3887                 NaN   41.3863       0.496713       0.728265                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        56.8921                 NaN   41.8764       0.502980       0.728530                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        56.4389                 NaN   42.3233       0.508980       0.728775                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        55.9855                 NaN   42.7705       0.514983       0.729019                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        55.5319                 NaN   43.2178       0.520988       0.729262                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        55.0781                 NaN   43.6654       0.526997       0.729504                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        54.6241                 NaN   44.1131       0.533008       0.729744                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        54.1700                 NaN   44.5610       0.539023       0.729982                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        53.7156                 NaN   45.0091       0.545040       0.730219                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        53.2611                 NaN   45.4574       0.551061       0.730455                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        52.8523                 NaN   45.8605       0.556494       0.730670                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        52.4435                 NaN   46.2637       0.561930       0.730884                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        52.0345                 NaN   46.6671       0.567368       0.731096                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        51.6253                 NaN   47.0706       0.572809       0.731308                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        51.2161                 NaN   47.4742       0.578251       0.731518                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        50.8067                 NaN   47.8779       0.583696       0.731726                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        50.3971                 NaN   48.2818       0.589142       0.731933                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        49.9875                 NaN   48.6858       0.594591       0.732139                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        49.6237                 NaN   49.0442       0.599790       0.732326                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        49.2598                 NaN   49.4027       0.604990       0.732511                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        48.8958                 NaN   49.7613       0.610192       0.732696                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        48.5317                 NaN   50.1200       0.615396       0.732879                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        48.1675                 NaN   50.4788       0.620601       0.733060                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        47.8033                 NaN   50.8377       0.625809       0.733241                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        47.4390                 NaN   51.1966       0.631017       0.733420                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        47.0746                 NaN   51.5556       0.636227       0.733598                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        46.7407                 NaN   51.8848       0.640752       0.733762                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        46.4068                 NaN   52.2140       0.645279       0.733924                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        45.6383                 NaN   52.3579       0.644006       0.734560       0.625209                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        44.8586                 NaN   52.4835       0.642559       0.735215        1.28009                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        44.1314                 NaN   52.5975       0.640600       0.735832        1.89466                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        43.4030                 NaN   52.7116       0.638637       0.736448        2.51024                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        42.6735                 NaN   52.8259       0.636671       0.737065        3.12683                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        41.9429                 NaN   52.9403       0.634701       0.737682        3.74444                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        41.3181                 NaN   53.0272       0.632061       0.738219        4.28447                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        40.6924                 NaN   53.1142       0.629418       0.738757        4.82526                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        40.0659                 NaN   53.2013       0.626770       0.739294        5.36681                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        39.4385                 NaN   53.2884       0.624118       0.739832        5.90913                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        38.8104                 NaN   53.3756       0.621461       0.740369        6.45222                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        38.1813                 NaN   53.4629       0.618800       0.740907        6.99607                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        37.5515                 NaN   53.5502       0.616135       0.741444        7.54069                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        36.9208                 NaN   53.6377       0.613466       0.741982        8.08607                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        36.3529                 NaN   53.7164       0.609012       0.742485        8.57919                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        35.7843                 NaN   53.7953       0.604552       0.742989        9.07294                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        35.2149                 NaN   53.8742       0.600085       0.743493        9.56734                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        34.6449                 NaN   53.9531       0.595612       0.743997        10.0624                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        34.0742                 NaN   54.0321       0.591133       0.744501        10.5580                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        33.5028                 NaN   54.1112       0.586648       0.745005        11.0544                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        32.9307                 NaN   54.1903       0.582156       0.745509        11.5513                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        32.3579                 NaN   54.2695       0.577658       0.746013        12.0489                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        31.8124                 NaN   54.3404       0.571426       0.746500        12.5292                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        31.2664                 NaN   54.4113       0.565185       0.746987        13.0101                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        30.7197                 NaN   54.4823       0.558936       0.747474        13.4916                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        30.1724                 NaN   54.5533       0.552679       0.747961        13.9737                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        29.6291                 NaN   54.6210       0.545462       0.748446        14.4560                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        28.7581                 NaN   54.7506       0.544445       0.749257        14.7253       0.472247                 NaN            NaN            NaN            NaN
  1490.38        2500.00        27.8030                 NaN   54.8920       0.546771       0.750153        14.8948        1.11324                 NaN            NaN            NaN            NaN
  1487.18        2500.00        26.7991                 NaN   55.0100       0.561405       0.751094        14.5563        1.68735       0.634768                 NaN            NaN            NaN
  1483.97        2500.00        26.7976                 NaN   55.0110       0.561428       0.751118        14.5567        1.68739       0.634782                 NaN            NaN            NaN
  1480.77        2500.00        26.7961                 NaN   55.0121       0.561451       0.751143        14.5570        1.68742       0.634797                 NaN            NaN            NaN
  1477.56        2500.00        26.7947                 NaN   55.0132       0.561474       0.751168        14.5573        1.68745       0.634811                 NaN            NaN            NaN
  1474.36        2500.00        26.7932                 NaN   55.0142       0.561497       0.751193        14.5576        1.68748       0.634826                 NaN            NaN            NaN
  1471.15        2500.00        26.7917                 NaN   55.0153       0.561520       0.751217        14.5579        1.68752       0.634840                 NaN            NaN            NaN
  1467.95        2500.00        26.7903                 NaN   55.0164       0.561543       0.751242        14.5582        1.68755       0.634855                 NaN            NaN            NaN
  1464.74        2500.00        26.7888                 NaN   55.0174       0.561566       0.751267        14.5585        1.68758       0.634870                 NaN            NaN            NaN
  1461.54        2500.00        19.2845                 NaN   55.6186       0.764445       0.758267        10.0703        5.63540        7.86844                 NaN            NaN            NaN
  1458.33        2500.00        19.2835                 NaN   55.6193       0.764472       0.758286        10.0704        5.63547        7.86857                 NaN            NaN            NaN
  1455.13        2500.00        19.2824                 NaN   55.6200       0.764500       0.758305        10.0706        5.63554        7.86870                 NaN            NaN            NaN
  1451.92        2500.00        19.2814                 NaN   55.6206       0.764528       0.758324        10.0707        5.63561        7.86883                 NaN            NaN            NaN
  1448.72        2500.00        19.2803                 NaN   55.6213       0.764555       0.758343        10.0708        5.63569        7.86896                 NaN            NaN            NaN
  1445.51        2500.00        19.2793                 NaN   55.6219       0.764583       0.758362        10.0710        5.63576        7.86909                 NaN            NaN            NaN
  1442.31        2500.00        19.2782                 NaN   55.6226       0.764610       0.758381        10.0711        5.63583        7.86922                 NaN            NaN            NaN
  1439.10        2500.00        19.2772                 NaN   55.6233       0.764638       0.758400        10.0713        5.63590        7.86935                 NaN            NaN            NaN
  1435.90        2500.00        14.0156                 NaN   55.8611       0.930713       0.763577        8.92237        8.66069        10.8460                 NaN            NaN            NaN
  1432.69        2500.00        14.0149                 NaN   55.8614       0.930744       0.763592        8.92245        8.66076        10.8461                 NaN            NaN            NaN
  1429.49        2500.00        14.0142                 NaN   55.8618       0.930774       0.763607        8.92253        8.66083        10.8463                 NaN            NaN            NaN
  1426.28        2500.00        14.0134                 NaN   55.8622       0.930805       0.763622        8.92261        8.66090        10.8464                 NaN            NaN            NaN
  1423.08        2500.00        14.0127                 NaN   55.8626       0.930836       0.763637        8.92269        8.66097        10.8465                 NaN            NaN            NaN
  1419.87        2500.00        14.0120                 NaN   55.8630       0.930867       0.763653        8.92277        8.66104        10.8467                 NaN            NaN            NaN
  1416.67        2500.00        14.0113                 NaN   55.8633       0.930897       0.763668        8.92285        8.66111        10.8468                 NaN            NaN            NaN
  1413.46        2500.00        14.0106                 NaN   55.8637       0.930928       0.763683        8.92293        8.66118        10.8469                 NaN            NaN            NaN
  1410.26        2500.00        10.2783                 NaN   55.8650        1.08816       0.767620        9.06613        12.0762        10.8586                 NaN            NaN            NaN
  1407.05        2500.00        10.2778                 NaN   55.8652        1.08819       0.767632        9.06618        12.0763        10.8586                 NaN            NaN            NaN
  1403.85        2500.00        9.51523                 NaN   55.8385        1.12850       0.768488        9.18257        11.3059        12.2608                 NaN            NaN            NaN
  1400.64        2500.00        9.02680                 NaN   55.9049        1.13869       0.768826        9.05577        11.4075        12.5225       0.175019                 NaN            NaN
  1397.44        2500.00        8.54043                 NaN   55.9828        1.14678       0.769137        8.90470        12.8004        11.4814       0.374309                 NaN            NaN
  1394.23        2500.00        8.54008                 NaN   55.9829        1.14681       0.769148        8.90474        12.8005        11.4814       0.374333                 NaN            NaN
  1391.03        2500.00        8.53972                 NaN   55.9830        1.14685       0.769159        8.90478        12.8006        11.4815       0.374356                 NaN            NaN
