|6.6.6
Archiving\03_Data\eq/QFM_m0.5/WD94/WD94_6.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        4962.58     
  1996.79        2500.00        4963.49     
  1993.59        2500.00        4964.40     
  1990.38        2500.00        4965.31     
  1987.18        2500.00        4966.22     
  1983.97        2500.00        4967.13     
  1980.77        2500.00        4968.03     
  1977.56        2500.00        4968.94     
  1974.36        2500.00        4969.85     
  1971.15        2500.00        4970.76     
  1967.95        2500.00        4971.66     
  1964.74        2500.00        4972.57     
  1961.54        2500.00        4973.47     
  1958.33        2500.00        4974.37     
  1955.13        2500.00        4975.28     
  1951.92        2500.00        4976.18     
  1948.72        2500.00        4977.08     
  1945.51        2500.00        4977.98     
  1942.31        2500.00        4978.88     
  1939.10        2500.00        4979.78     
  1935.90        2500.00        4980.68     
  1932.69        2500.00        4981.58     
  1929.49        2500.00        4982.48     
  1926.28        2500.00        4983.38     
  1923.08        2500.00        4984.27     
  1919.87        2500.00        4985.17     
  1916.67        2500.00        4986.06     
  1913.46        2500.00        4986.96     
  1910.26        2500.00        4987.85     
  1907.05        2500.00        4988.75     
  1903.85        2500.00        4989.64     
  1900.64        2500.00        4990.53     
  1897.44        2500.00        4991.43     
  1894.23        2500.00        4992.32     
  1891.03        2500.00        4122.00     
  1887.82        2500.00        3452.72     
  1884.62        2500.00        3251.63     
  1881.41        2500.00        3244.46     
  1878.21        2500.00        3240.33     
  1875.00        2500.00        3237.96     
  1871.79        2500.00        3236.19     
  1868.59        2500.00        3236.58     
  1865.38        2500.00        3236.98     
  1862.18        2500.00        3237.39     
  1858.97        2500.00        3237.81     
  1855.77        2500.00        3238.23     
  1852.56        2500.00        3238.67     
  1849.36        2500.00        3239.10     
  1846.15        2500.00        3239.54     
  1842.95        2500.00        3241.38     
  1839.74        2500.00        3243.08     
  1836.54        2500.00        3244.68     
  1833.33        2500.00        3246.17     
  1830.13        2500.00        3247.58     
  1826.92        2500.00        3248.92     
  1823.72        2500.00        3250.19     
  1820.51        2500.00        3251.40     
  1817.31        2500.00        3253.51     
  1814.10        2500.00        3255.51     
  1810.90        2500.00        3257.41     
  1807.69        2500.00        3259.22     
  1804.49        2500.00        3260.95     
  1801.28        2500.00        3262.61     
  1798.08        2500.00        3264.20     
  1794.87        2500.00        3265.73     
  1791.67        2500.00        3267.86     
  1788.46        2500.00        3269.90     
  1785.26        2500.00        3271.87     
  1782.05        2500.00        3273.77     
  1778.85        2500.00        3275.60     
  1775.64        2500.00        3277.37     
  1772.44        2500.00        3279.07     
  1769.23        2500.00        3280.73     
  1766.03        2500.00        3282.75     
  1762.82        2500.00        3284.71     
  1759.62        2500.00        3286.61     
  1756.41        2500.00        3288.45     
  1753.21        2500.00        3290.24     
  1750.00        2500.00        3291.98     
  1746.79        2500.00        3293.68     
  1743.59        2500.00        3295.33     
  1740.38        2500.00        3297.18     
  1737.18        2500.00        3298.99     
  1733.97        2500.00        3300.75     
  1730.77        2500.00        3302.46     
  1727.56        2500.00        3304.14     
  1724.36        2500.00        3305.79     
  1721.15        2500.00        3307.39     
  1717.95        2500.00        3308.96     
  1714.74        2500.00        3310.64     
  1711.54        2500.00        3312.29     
  1708.33        2500.00        3313.91     
  1705.13        2500.00        3315.49     
  1701.92        2500.00        3317.05     
  1698.72        2500.00        3318.57     
  1695.51        2500.00        3320.07     
  1692.31        2500.00        3321.55     
  1689.10        2500.00        3323.03     
  1685.90        2500.00        3324.49     
  1682.69        2500.00        3325.92     
  1679.49        2500.00        3327.34     
  1676.28        2500.00        3328.73     
  1673.08        2500.00        3330.10     
  1669.87        2500.00        3331.45     
  1666.67        2500.00        3332.79     
  1663.46        2500.00        3334.07     
  1660.26        2500.00        3335.34     
  1657.05        2500.00        3336.60     
  1653.85        2500.00        3337.84     
  1650.64        2500.00        3339.06     
  1647.44        2500.00        3340.27     
  1644.23        2500.00        3341.47     
  1641.03        2500.00        3342.65     
  1637.82        2500.00        3343.79     
  1634.62        2500.00        3343.81     
  1631.41        2500.00        3342.98     
  1628.21        2500.00        3342.19     
  1625.00        2500.00        3341.67     
  1621.79        2500.00        3341.18     
  1618.59        2500.00        3340.73     
  1615.38        2500.00        3340.31     
  1612.18        2500.00        3340.16     
  1608.97        2500.00        3340.04     
  1605.77        2500.00        3339.93     
  1602.56        2500.00        3339.84     
  1599.36        2500.00        3339.75     
  1596.15        2500.00        3339.69     
  1592.95        2500.00        3339.63     
  1589.74        2500.00        3339.59     
  1586.54        2500.00        3339.74     
  1583.33        2500.00        3339.90     
  1580.13        2500.00        3340.07     
  1576.92        2500.00        3340.24     
  1573.72        2500.00        3340.41     
  1570.51        2500.00        3340.59     
  1567.31        2500.00        3340.77     
  1564.10        2500.00        3340.96     
  1560.90        2500.00        3341.23     
  1557.69        2500.00        3341.50     
  1554.49        2500.00        3341.78     
  1551.28        2500.00        3342.05     
  1548.08        2500.00        3342.33     
  1544.87        2500.00        3342.61     
  1541.67        2500.00        3342.89     
  1538.46        2500.00        3343.18     
  1535.26        2500.00        3343.49     
  1532.05        2500.00        3343.80     
  1528.85        2500.00        3344.12     
  1525.64        2500.00        3344.44     
  1522.44        2500.00        3344.76     
  1519.23        2500.00        3345.08     
  1516.03        2500.00        3345.40     
  1512.82        2500.00        3345.72     
  1509.62        2500.00        3346.06     
  1506.41        2500.00        3346.40     
  1503.21        2500.00        3346.73     
  1500.00        2500.00        3347.07     
  1496.79        2500.00        3347.42     
  1493.59        2500.00        3347.76     
  1490.38        2500.00        3348.10     
  1487.18        2500.00        3348.45     
  1483.97        2500.00        3348.77     
  1480.77        2500.00        3349.09     
  1477.56        2500.00        3349.41     
  1474.36        2500.00        3349.74     
  1471.15        2500.00        3350.10     
  1467.95        2500.00        3350.48     
  1464.74        2500.00        3350.88     
  1461.54        2500.00        3351.29     
  1458.33        2500.00        3351.71     
  1455.13        2500.00        3352.14     
  1451.92        2500.00        3352.57     
  1448.72        2500.00        3352.99     
  1445.51        2500.00        3353.42     
  1442.31        2500.00        3353.84     
  1439.10        2500.00        3354.27     
  1435.90        2500.00        3354.69     
  1432.69        2500.00        3355.12     
  1429.49        2500.00        3355.55     
  1426.28        2500.00        3355.98     
  1423.08        2500.00        3356.40     
  1419.87        2500.00        3356.89     
  1416.67        2500.00        3357.23     
  1413.46        2500.00        3357.67     
  1410.26        2500.00        3358.03     
  1407.05        2500.00        3358.47     
  1403.85        2500.00        3358.91     
  1400.64        2500.00        3359.35     
  1397.44        2500.00        3359.79     
  1394.23        2500.00        3360.23     
  1391.03        2500.00        3360.67     
  1387.82        2500.00        3361.11     
  1384.62        2500.00        3361.12     
  1381.41        2500.00        3361.55     
  1378.21        2500.00        3361.89     
  1375.00        2500.00        3362.25     
  1371.79        2500.00        3362.05     
  1368.59        2500.00        3362.48     
  1365.38        2500.00        3362.92     
  1362.18        2500.00        3363.35     
  1358.97        2500.00        3361.04     
  1355.77        2500.00        3361.47     
  1352.56        2500.00        3361.91     
  1349.36        2500.00        3362.34     
  1346.15        2500.00        3362.77     
  1342.95        2500.00        3363.20     
  1339.74        2500.00        3363.64     
  1336.54        2500.00        3364.07     
  1333.33        2500.00        3359.79     
  1330.13        2500.00        3360.22     
  1326.92        2500.00        3360.65     
  1323.72        2500.00        3361.07     
  1320.51        2500.00        3359.46     
  1317.31        2500.00        3359.40     
  1314.10        2500.00        3336.39     
  1310.90        2500.00        3329.89     
  1307.69        2500.00        3330.20     
  1304.49        2500.00        3330.61     
  1301.28        2500.00        3331.03     
  1298.08        2500.00        3331.45     
  1294.87        2500.00        3331.87     
  1291.67        2500.00        3332.28     
  1288.46        2500.00        3332.70     
  1285.26        2500.00        3333.12     
  1282.05        2500.00        3332.63     
  1278.85        2500.00        3333.04     
  1275.64        2500.00        3333.46     
  1272.44        2500.00        3333.87     
  1269.23        2500.00        3334.29     
  1266.03        2500.00        3334.70     
  1262.82        2500.00        3335.12     
  1259.62        2500.00        3335.53     
  1256.41        2500.00        3335.15     
  1253.21        2500.00        3335.56     
  1250.00        2500.00        3335.97     
  1246.79        2500.00        3336.38     
  1243.59        2500.00        3336.80     
  1240.38        2500.00        3337.21     
  1237.18        2500.00        3337.62     
  1233.97        2500.00        3338.03     
  1230.77        2500.00        3337.75     
  1227.56        2500.00        3338.16     
  1224.36        2500.00        3338.57     
  1221.15        2500.00        3338.98     
  1217.95        2500.00        3339.39     
  1214.74        2500.00        3339.80     
  1211.54        2500.00        3340.21     
  1208.33        2500.00        3340.62     
  1205.13        2500.00        3340.43     
  1201.92        2500.00        3340.84     
  1198.72        2500.00        3341.25     
  1195.51        2500.00        3341.66     
  1192.31        2500.00        3342.07     
  1189.10        2500.00        3342.47     
  1185.90        2500.00        3342.88     
  1182.69        2500.00        3343.29     
  1179.49        2500.00        3343.20     
  1176.28        2500.00        3343.61     
  1173.08        2500.00        3344.01     
  1169.87        2500.00        3344.42     
  1166.67        2500.00        3344.82     
  1163.46        2500.00        3345.23     
  1160.26        2500.00        3345.63     
  1157.05        2500.00        3346.04     
  1153.85        2500.00        3346.02     
  1150.64        2500.00        3346.43     
  1147.44        2500.00        3346.83     
  1144.23        2500.00        3347.24     
  1141.03        2500.00        3347.64     
  1137.82        2500.00        3348.04     
  1134.62        2500.00        3348.44     
  1131.41        2500.00        3348.85     
  1128.21        2500.00        3348.93     
  1125.00        2500.00        3349.33     
  1121.79        2500.00        3349.74     
  1118.59        2500.00        3350.14     
  1115.38        2500.00        3350.54     
  1112.18        2500.00        3350.94     
  1108.97        2500.00        3351.34     
  1105.77        2500.00        3351.74     
  1102.56        2500.00        3351.91     
  1099.36        2500.00        3352.31     
  1096.15        2500.00        3352.71     
  1092.95        2500.00        3353.11     
  1089.74        2500.00        3353.51     
  1086.54        2500.00        3353.91     
  1083.33        2500.00        3354.31     
  1080.13        2500.00        3354.71     
  1076.92        2500.00        3354.99     
  1073.72        2500.00        3355.39     
  1070.51        2500.00        3355.79     
  1067.31        2500.00        3356.18     
  1064.10        2500.00        3356.58     
  1060.90        2500.00        3356.98     
  1057.69        2500.00        3357.37     
  1054.49        2500.00        3357.77     
  1051.28        2500.00        3358.16     
  1048.08        2500.00        3358.56     
  1044.87        2500.00        3358.98     
  1041.67        2500.00        3359.38     
  1038.46        2500.00        3359.87     
  1035.26        2500.00        3360.28     
  1032.05        2500.00        3360.68     
  1028.85        2500.00        3361.08     
  1025.64        2500.00        3361.48     
  1022.44        2500.00        3361.88     
  1019.23        2500.00        3362.27     
  1016.03        2500.00        3362.67     
  1012.82        2500.00        3363.07     
  1009.62        2500.00        3363.46     
  1006.41        2500.00        3363.86     
  1003.21        2500.00        3364.25     
  1000.00        2500.00        3364.73     
