|6.6.6
Archiving\03_Data\eq/QFM_m1.75/WD94/WD94_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.5399       0.460055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5399       0.460054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5399       0.460053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5399       0.460052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5399       0.460051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5400       0.460050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5400       0.460049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5400       0.460048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5400       0.460047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.5400       0.460046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.5400       0.460045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.5400       0.460044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.5400       0.460042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.5400       0.460041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.5400       0.460040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.5400       0.460039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.5400       0.460038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.5400       0.460037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.5400       0.460035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.5400       0.460034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.5400       0.460033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.5400       0.460032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.5400       0.460031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.5400       0.460029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.5400       0.460028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.5400       0.460027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.5400       0.460026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.5400       0.460024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.5400       0.460023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.5400       0.460022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.5400       0.460020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.5400       0.460019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.8751       0.460022       0.664844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        98.0725       0.460025        1.46745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        97.2699       0.460029        2.27006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.8515       0.698517E-001   4.35798                 NaN  0.720671                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.7900                 NaN   5.36034                 NaN  0.849696                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        93.0228                 NaN   6.12754                 NaN  0.849703                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.2555                 NaN   6.89475                 NaN  0.849711                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        91.5089                 NaN   7.64137                 NaN  0.849718                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        90.7446                 NaN   8.39944       0.628398E-002  0.849725                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        90.0052                 NaN   9.12204       0.230437E-001  0.849733                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        89.2658                 NaN   9.84465       0.398037E-001  0.849740                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        88.5264                 NaN   10.5673       0.565640E-001  0.849747                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        87.7870                 NaN   11.2899       0.733246E-001  0.849754                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        87.0476                 NaN   12.0126       0.900855E-001  0.849762                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        86.3082                 NaN   12.7352       0.106847       0.849769                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        85.5687                 NaN   13.4579       0.123608       0.849776                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        84.8293                 NaN   14.1806       0.140370       0.849783                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        84.1290                 NaN   14.8654       0.155815       0.849791                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        83.4288                 NaN   15.5502       0.171260       0.849798                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        82.7285                 NaN   16.2350       0.186706       0.849806                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        82.0282                 NaN   16.9198       0.202152       0.849814                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        81.3280                 NaN   17.6046       0.217598       0.849821                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        80.6277                 NaN   18.2895       0.233044       0.849829                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        79.9274                 NaN   18.9743       0.248491       0.849837                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        79.2270                 NaN   19.6592       0.263938       0.849844                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        78.5554                 NaN   20.3166       0.278161       0.849852                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        77.8838                 NaN   20.9740       0.292385       0.849860                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        77.2122                 NaN   21.6314       0.306609       0.849868                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        76.5405                 NaN   22.2888       0.320834       0.849876                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        75.8689                 NaN   22.9462       0.335058       0.849884                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        75.1972                 NaN   23.6036       0.349283       0.849892                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        74.5255                 NaN   24.2611       0.363508       0.849900                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        73.8538                 NaN   24.9186       0.377734       0.849908                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        73.2102                 NaN   25.5490       0.390854       0.849916                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        72.5666                 NaN   26.1795       0.403975       0.849925                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        71.9229                 NaN   26.8101       0.417096       0.849933                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        71.2792                 NaN   27.4406       0.430217       0.849941                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        70.6356                 NaN   28.0711       0.443338       0.849949                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        69.9919                 NaN   28.7017       0.456460       0.849958                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        69.3482                 NaN   29.3323       0.469582       0.849966                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        68.7045                 NaN   29.9628       0.482704       0.849974                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        68.0850                 NaN   30.5702       0.494839       0.849982                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        67.4655                 NaN   31.1776       0.506974       0.849991                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        66.8459                 NaN   31.7849       0.519110       0.849999                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        66.2264                 NaN   32.3923       0.531245       0.850007                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        65.6069                 NaN   32.9997       0.543381       0.850016                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        64.9873                 NaN   33.6072       0.555517       0.850024                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        64.3677                 NaN   34.2146       0.567654       0.850032                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        63.7481                 NaN   34.8220       0.579790       0.850041                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        63.1608                 NaN   35.3981       0.590972       0.850049                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        62.5735                 NaN   35.9742       0.602154       0.850057                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        61.9862                 NaN   36.5504       0.613336       0.850065                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        61.3989                 NaN   37.1265       0.624519       0.850074                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        60.8116                 NaN   37.7026       0.635702       0.850082                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        60.2242                 NaN   38.2788       0.646884       0.850090                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        59.6369                 NaN   38.8550       0.658067       0.850098                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        59.0495                 NaN   39.4311       0.669251       0.850107                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        58.4994                 NaN   39.9709       0.679617       0.850114                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        57.9493                 NaN   40.5106       0.689984       0.850122                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        57.3991                 NaN   41.0504       0.700351       0.850130                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        56.8490                 NaN   41.5901       0.710718       0.850138                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        56.2989                 NaN   42.1299       0.721085       0.850146                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        55.7487                 NaN   42.6697       0.731453       0.850154                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        55.1985                 NaN   43.2095       0.741821       0.850162                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        54.6483                 NaN   43.7493       0.752188       0.850170                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        54.1408                 NaN   44.2471       0.761920       0.850177                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        53.6333                 NaN   44.7448       0.771652       0.850184                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        53.1258                 NaN   45.2426       0.781384       0.850192                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        52.6183                 NaN   45.7404       0.791116       0.850199                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        52.1107                 NaN   46.2382       0.800848       0.850207                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        51.6032                 NaN   46.7360       0.810581       0.850214                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        51.0956                 NaN   47.2339       0.820313       0.850221                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        50.5880                 NaN   47.7317       0.830046       0.850229                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        50.1318                 NaN   48.1785       0.839510       0.850235                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        49.6755                 NaN   48.6253       0.848975       0.850242                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        49.2192                 NaN   49.0721       0.858439       0.850249                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        48.7629                 NaN   49.5189       0.867904       0.850255                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        48.3066                 NaN   49.9657       0.877369       0.850262                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        47.8503                 NaN   50.4126       0.886834       0.850268                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        47.3940                 NaN   50.8594       0.896299       0.850275                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        46.9377                 NaN   51.3062       0.905764       0.850281                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        46.3949                 NaN   51.7167       0.909235       0.850289       0.128925                 NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        45.2954                 NaN   51.8629       0.904858       0.850297        1.08653                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        44.2687                 NaN   51.9967       0.899353       0.850304        1.98493                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        43.2420                 NaN   52.1305       0.893847       0.850311        2.88336                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        42.3258                 NaN   52.2448       0.888183       0.850318        3.69087                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        41.4096                 NaN   52.3592       0.882519       0.850324        4.49840                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        40.4934                 NaN   52.4735       0.876855       0.850330        5.30594                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        39.5772                 NaN   52.5878       0.871191       0.850337        6.11349                 NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        38.8331                 NaN   52.6728       0.864880       0.850342        6.77897                 NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        38.0889                 NaN   52.7577       0.858569       0.850347        7.44445                 NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        37.3447                 NaN   52.8427       0.852259       0.850352        8.10995                 NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        36.6005                 NaN   52.9277       0.845948       0.850357        8.77545                 NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        35.8564                 NaN   53.0127       0.839636       0.850363        9.44096                 NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        35.1122                 NaN   53.0977       0.833325       0.850368        10.1065                 NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        34.3679                 NaN   53.1827       0.827014       0.850373        10.7720                 NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        33.6237                 NaN   53.2676       0.820703       0.850378        11.4375                 NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        33.0395                 NaN   53.3249       0.813685       0.850382        11.9716                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        32.4552                 NaN   53.3821       0.806667       0.850386        12.5056                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        31.8710                 NaN   53.4394       0.799649       0.850390        13.0396                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        31.2867                 NaN   53.4966       0.792631       0.850394        13.5736                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        30.7025                 NaN   53.5539       0.785613       0.850398        14.1076                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        30.1182                 NaN   53.6111       0.778595       0.850402        14.6417                 NaN            NaN            NaN            NaN            NaN
