|6.6.6
Archiving\03_Data\eq/QFM_m1/WD94/WD94_4.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00                 NaN
  1881.41        2500.00                 NaN
  1878.21        2500.00       0.677513E-004
  1875.00        2500.00       0.469855E-003
  1871.79        2500.00       0.871855E-003
  1868.59        2500.00       0.125168E-002
  1865.38        2500.00       0.163141E-002
  1862.18        2500.00       0.201104E-002
  1858.97        2500.00       0.239058E-002
  1855.77        2500.00       0.277002E-002
  1852.56        2500.00       0.314936E-002
  1849.36        2500.00       0.352861E-002
  1846.15        2500.00       0.390776E-002
  1842.95        2500.00       0.425392E-002
  1839.74        2500.00       0.460000E-002
  1836.54        2500.00       0.494600E-002
  1833.33        2500.00       0.529190E-002
  1830.13        2500.00       0.563772E-002
  1826.92        2500.00       0.598346E-002
  1823.72        2500.00       0.632910E-002
  1820.51        2500.00       0.667467E-002
  1817.31        2500.00       0.699214E-002
  1814.10        2500.00       0.730954E-002
  1810.90        2500.00       0.762686E-002
  1807.69        2500.00       0.794410E-002
  1804.49        2500.00       0.826126E-002
  1801.28        2500.00       0.857834E-002
  1798.08        2500.00       0.889535E-002
  1794.87        2500.00       0.921228E-002
  1791.67        2500.00       0.950118E-002
  1788.46        2500.00       0.979001E-002
  1785.26        2500.00       0.100788E-001
  1782.05        2500.00       0.103675E-001
  1778.85        2500.00       0.106561E-001
  1775.64        2500.00       0.109446E-001
  1772.44        2500.00       0.112331E-001
  1769.23        2500.00       0.115215E-001
  1766.03        2500.00       0.117879E-001
  1762.82        2500.00       0.120542E-001
  1759.62        2500.00       0.123204E-001
  1756.41        2500.00       0.125866E-001
  1753.21        2500.00       0.128527E-001
  1750.00        2500.00       0.131188E-001
  1746.79        2500.00       0.133847E-001
  1743.59        2500.00       0.136507E-001
  1740.38        2500.00       0.138954E-001
  1737.18        2500.00       0.141401E-001
  1733.97        2500.00       0.143847E-001
  1730.77        2500.00       0.146293E-001
  1727.56        2500.00       0.148738E-001
  1724.36        2500.00       0.151182E-001
  1721.15        2500.00       0.153626E-001
  1717.95        2500.00       0.156070E-001
  1714.74        2500.00       0.158336E-001
  1711.54        2500.00       0.160602E-001
  1708.33        2500.00       0.162867E-001
  1705.13        2500.00       0.165132E-001
  1701.92        2500.00       0.167396E-001
  1698.72        2500.00       0.169660E-001
  1695.51        2500.00       0.171923E-001
  1692.31        2500.00       0.174186E-001
  1689.10        2500.00       0.176313E-001
  1685.90        2500.00       0.178440E-001
  1682.69        2500.00       0.180566E-001
  1679.49        2500.00       0.182692E-001
  1676.28        2500.00       0.184817E-001
  1673.08        2500.00       0.186942E-001
  1669.87        2500.00       0.189067E-001
  1666.67        2500.00       0.191191E-001
  1663.46        2500.00       0.193183E-001
  1660.26        2500.00       0.195176E-001
  1657.05        2500.00       0.197167E-001
  1653.85        2500.00       0.199159E-001
  1650.64        2500.00       0.201150E-001
  1647.44        2500.00       0.203140E-001
  1644.23        2500.00       0.205130E-001
  1641.03        2500.00       0.207120E-001
  1637.82        2500.00       0.209052E-001
  1634.62        2500.00       0.208621E-001
  1631.41        2500.00       0.207469E-001
  1628.21        2500.00       0.206317E-001
  1625.00        2500.00       0.205139E-001
  1621.79        2500.00       0.203962E-001
  1618.59        2500.00       0.202785E-001
  1615.38        2500.00       0.201608E-001
  1612.18        2500.00       0.200309E-001
  1608.97        2500.00       0.199009E-001
  1605.77        2500.00       0.197710E-001
  1602.56        2500.00       0.196412E-001
  1599.36        2500.00       0.195114E-001
  1596.15        2500.00       0.193816E-001
  1592.95        2500.00       0.192519E-001
  1589.74        2500.00       0.191222E-001
  1586.54        2500.00       0.189746E-001
  1583.33        2500.00       0.188271E-001
  1580.13        2500.00       0.186797E-001
  1576.92        2500.00       0.185323E-001
  1573.72        2500.00       0.183849E-001
  1570.51        2500.00       0.182376E-001
  1567.31        2500.00       0.180903E-001
  1564.10        2500.00       0.179431E-001
  1560.90        2500.00       0.177822E-001
  1557.69        2500.00       0.176213E-001
  1554.49        2500.00       0.174604E-001
  1551.28        2500.00       0.172997E-001
  1548.08        2500.00       0.171389E-001
  1544.87        2500.00       0.169782E-001
  1541.67        2500.00       0.168176E-001
  1538.46        2500.00       0.166570E-001
  1535.26        2500.00       0.164692E-001
  1532.05        2500.00       0.162815E-001
  1528.85        2500.00       0.160939E-001
  1525.64        2500.00       0.159063E-001
  1522.44        2500.00       0.157188E-001
  1519.23        2500.00       0.155313E-001
  1516.03        2500.00       0.153439E-001
  1512.82        2500.00       0.151566E-001
  1509.62        2500.00       0.149451E-001
  1506.41        2500.00       0.147337E-001
  1503.21        2500.00       0.145224E-001
  1500.00        2500.00       0.143112E-001
  1496.79        2500.00       0.141000E-001
  1493.59        2500.00       0.138888E-001
  1490.38        2500.00       0.136778E-001
  1487.18        2500.00       0.134668E-001
  1483.97        2500.00       0.132449E-001
  1480.77        2500.00       0.130232E-001
  1477.56        2500.00       0.128015E-001
  1474.36        2500.00       0.125799E-001
  1471.15        2500.00       0.124892E-001
  1467.95        2500.00       0.125806E-001
  1464.74        2500.00       0.127101E-001
  1461.54        2500.00       0.128396E-001
  1458.33        2500.00       0.130650E-001
  1455.13        2500.00       0.132904E-001
  1451.92        2500.00       0.135158E-001
  1448.72        2500.00       0.137412E-001
  1445.51        2500.00       0.139666E-001
  1442.31        2500.00       0.141919E-001
  1439.10        2500.00       0.144173E-001
  1435.90        2500.00       0.146427E-001
  1432.69        2500.00       0.149389E-001
  1429.49        2500.00       0.152351E-001
  1426.28        2500.00       0.155427E-001
  1423.08        2500.00       0.162982E-001
  1419.87        2500.00       0.162965E-001
  1416.67        2500.00       0.162948E-001
  1413.46        2500.00       0.162931E-001
  1410.26        2500.00       0.182984E-001
  1407.05        2500.00       0.182965E-001
  1403.85        2500.00       0.182946E-001
  1400.64        2500.00       0.182927E-001
  1397.44        2500.00       0.203017E-001
  1394.23        2500.00       0.202996E-001
  1391.03        2500.00       0.213362E-001
  1387.82        2500.00       0.218252E-001
  1384.62        2500.00       0.222174E-001
  1381.41        2500.00       0.222151E-001
  1378.21        2500.00       0.222128E-001
  1375.00        2500.00       0.222106E-001
  1371.79        2500.00       0.222083E-001
  1368.59        2500.00       0.222060E-001
  1365.38        2500.00       0.222038E-001
  1362.18        2500.00       0.222015E-001
  1358.97        2500.00       0.240591E-001
  1355.77        2500.00       0.240567E-001
  1352.56        2500.00       0.240542E-001
  1349.36        2500.00       0.240518E-001
  1346.15        2500.00       0.240494E-001
  1342.95        2500.00       0.240469E-001
  1339.74        2500.00       0.240445E-001
  1336.54        2500.00       0.240420E-001
  1333.33        2500.00       0.256858E-001
  1330.13        2500.00       0.256833E-001
  1326.92        2500.00       0.256807E-001
  1323.72        2500.00       0.256781E-001
  1320.51        2500.00       0.264739E-001
  1317.31        2500.00       0.267833E-001
  1314.10        2500.00       0.274992E-001
  1310.90        2500.00       0.274964E-001
  1307.69        2500.00       0.276970E-001
  1304.49        2500.00       0.276942E-001
  1301.28        2500.00       0.276914E-001
  1298.08        2500.00       0.276887E-001
  1294.87        2500.00       0.276859E-001
  1291.67        2500.00       0.276831E-001
  1288.46        2500.00       0.276804E-001
  1285.26        2500.00       0.276776E-001
  1282.05        2500.00       0.284827E-001
  1278.85        2500.00       0.284798E-001
  1275.64        2500.00       0.284770E-001
  1272.44        2500.00       0.284741E-001
  1269.23        2500.00       0.284713E-001
  1266.03        2500.00       0.284685E-001
  1262.82        2500.00       0.284656E-001
  1259.62        2500.00       0.284628E-001
  1256.41        2500.00       0.293408E-001
  1253.21        2500.00       0.293379E-001
  1250.00        2500.00       0.293350E-001
  1246.79        2500.00       0.293320E-001
  1243.59        2500.00       0.293291E-001
  1240.38        2500.00       0.293262E-001
