|6.6.6
Archiving\03_Data\eq/QFM_m2.25/ALH/ALH_6.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        4962.58     
  1996.79        2500.00        4963.49     
  1993.59        2500.00        4964.40     
  1990.38        2500.00        4965.31     
  1987.18        2500.00        4966.22     
  1983.97        2500.00        4967.13     
  1980.77        2500.00        4968.03     
  1977.56        2500.00        4968.94     
  1974.36        2500.00        4969.85     
  1971.15        2500.00        4970.76     
  1967.95        2500.00        4971.66     
  1964.74        2500.00        4972.57     
  1961.54        2500.00        4973.47     
  1958.33        2500.00        4974.37     
  1955.13        2500.00        4975.28     
  1951.92        2500.00        4976.18     
  1948.72        2500.00        4977.08     
  1945.51        2500.00        4977.98     
  1942.31        2500.00        4978.88     
  1939.10        2500.00        4979.78     
  1935.90        2500.00        4980.68     
  1932.69        2500.00        4981.58     
  1929.49        2500.00        4982.48     
  1926.28        2500.00        4983.38     
  1923.08        2500.00        4984.27     
  1919.87        2500.00        4985.17     
  1916.67        2500.00        4986.06     
  1913.46        2500.00        4986.96     
  1910.26        2500.00        4987.85     
  1907.05        2500.00        4988.75     
  1903.85        2500.00        4989.64     
  1900.64        2500.00        4990.53     
  1897.44        2500.00        4991.43     
  1894.23        2500.00        3769.20     
  1891.03        2500.00        3497.60     
  1887.82        2500.00        3404.44     
  1884.62        2500.00        3356.53     
  1881.41        2500.00        3330.46     
  1878.21        2500.00        3312.85     
  1875.00        2500.00        3300.21     
  1871.79        2500.00        3290.74     
  1868.59        2500.00        3284.59     
  1865.38        2500.00        3279.69     
  1862.18        2500.00        3276.91     
  1858.97        2500.00        3260.78     
  1855.77        2500.00        3245.48     
  1852.56        2500.00        3246.88     
  1849.36        2500.00        3248.14     
  1846.15        2500.00        3249.31     
  1842.95        2500.00        3250.97     
  1839.74        2500.00        3253.51     
  1836.54        2500.00        3255.82     
  1833.33        2500.00        3257.98     
  1830.13        2500.00        3260.51     
  1826.92        2500.00        3262.88     
  1823.72        2500.00        3265.12     
  1820.51        2500.00        3267.23     
  1817.31        2500.00        3270.01     
  1814.10        2500.00        3272.63     
  1810.90        2500.00        3275.13     
  1807.69        2500.00        3277.51     
  1804.49        2500.00        3279.79     
  1801.28        2500.00        3281.96     
  1798.08        2500.00        3284.05     
  1794.87        2500.00        3286.04     
  1791.67        2500.00        3288.64     
  1788.46        2500.00        3291.13     
  1785.26        2500.00        3293.53     
  1782.05        2500.00        3295.84     
  1778.85        2500.00        3298.07     
  1775.64        2500.00        3300.23     
  1772.44        2500.00        3302.31     
  1769.23        2500.00        3304.33     
  1766.03        2500.00        3306.64     
  1762.82        2500.00        3308.87     
  1759.62        2500.00        3311.04     
  1756.41        2500.00        3313.15     
  1753.21        2500.00        3315.20     
  1750.00        2500.00        3317.20     
  1746.79        2500.00        3319.14     
  1743.59        2500.00        3321.03     
  1740.38        2500.00        3323.16     
  1737.18        2500.00        3325.23     
  1733.97        2500.00        3327.26     
  1730.77        2500.00        3329.24     
  1727.56        2500.00        3331.17     
  1724.36        2500.00        3333.07     
  1721.15        2500.00        3334.92     
  1717.95        2500.00        3336.73     
  1714.74        2500.00        3338.61     
  1711.54        2500.00        3340.45     
  1708.33        2500.00        3342.26     
  1705.13        2500.00        3344.04     
  1701.92        2500.00        3345.78     
  1698.72        2500.00        3347.49     
  1695.51        2500.00        3349.18     
  1692.31        2500.00        3350.83     
  1689.10        2500.00        3352.51     
  1685.90        2500.00        3354.16     
  1682.69        2500.00        3355.78     
  1679.49        2500.00        3357.39     
  1676.28        2500.00        3358.97     
  1673.08        2500.00        3360.52     
  1669.87        2500.00        3362.06     
  1666.67        2500.00        3363.57     
  1663.46        2500.00        3365.03     
  1660.26        2500.00        3366.47     
  1657.05        2500.00        3367.89     
  1653.85        2500.00        3369.29     
  1650.64        2500.00        3370.68     
  1647.44        2500.00        3372.05     
  1644.23        2500.00        3373.41     
  1641.03        2500.00        3374.76     
  1637.82        2500.00        3376.03     
  1634.62        2500.00        3377.29     
  1631.41        2500.00        3378.54     
  1628.21        2500.00        3379.77     
  1625.00        2500.00        3381.00     
  1621.79        2500.00        3382.21     
  1618.59        2500.00        3383.42     
  1615.38        2500.00        3384.61     
  1612.18        2500.00        3385.76     
  1608.97        2500.00        3386.89     
  1605.77        2500.00        3388.02     
  1602.56        2500.00        3389.14     
  1599.36        2500.00        3390.26     
  1596.15        2500.00        3391.36     
  1592.95        2500.00        3392.46     
  1589.74        2500.00        3393.55     
  1586.54        2500.00        3394.71     
  1583.33        2500.00        3395.87     
  1580.13        2500.00        3395.75     
  1576.92        2500.00        3395.65     
  1573.72        2500.00        3395.13     
  1570.51        2500.00        3394.63     
  1567.31        2500.00        3394.16     
  1564.10        2500.00        3393.70     
  1560.90        2500.00        3393.59     
  1557.69        2500.00        3393.49     
  1554.49        2500.00        3393.40     
  1551.28        2500.00        3393.32     
  1548.08        2500.00        3393.25     
  1544.87        2500.00        3393.18     
  1541.67        2500.00        3393.13     
  1538.46        2500.00        3393.08     
  1535.26        2500.00        3393.10     
  1532.05        2500.00        3393.12     
  1528.85        2500.00        3393.15     
  1525.64        2500.00        3393.18     
  1522.44        2500.00        3393.22     
  1519.23        2500.00        3393.27     
  1516.03        2500.00        3393.32     
  1512.82        2500.00        3393.38     
  1509.62        2500.00        3393.15     
  1506.41        2500.00        3392.77     
  1503.21        2500.00        3392.32     
  1500.00        2500.00        3391.89     
  1496.79        2500.00        3391.83     
  1493.59        2500.00        3391.68     
  1490.38        2500.00        3392.13     
  1487.18        2500.00        3391.31     
  1483.97        2500.00        3391.76     
  1480.77        2500.00        3392.22     
  1477.56        2500.00        3392.67     
  1474.36        2500.00        3393.12     
  1471.15        2500.00        3393.57     
  1467.95        2500.00        3394.02     
  1464.74        2500.00        3394.47     
  1461.54        2500.00        3391.83     
  1458.33        2500.00        3392.28     
  1455.13        2500.00        3392.72     
  1451.92        2500.00        3393.17     
  1448.72        2500.00        3393.62     
  1445.51        2500.00        3394.07     
  1442.31        2500.00        3394.52     
  1439.10        2500.00        3394.96     
  1435.90        2500.00        3393.94     
  1432.69        2500.00        3394.39     
  1429.49        2500.00        3394.84     
  1426.28        2500.00        3395.28     
  1423.08        2500.00        3394.85     
  1419.87        2500.00        3394.68     
  1416.67        2500.00        3393.21     
  1413.46        2500.00        3393.65     
  1410.26        2500.00        3390.62     
  1407.05        2500.00        3391.06     
  1403.85        2500.00        3391.50     
  1400.64        2500.00        3391.94     
  1397.44        2500.00        3392.38     
  1394.23        2500.00        3392.82     
  1391.03        2500.00        3393.26     
  1387.82        2500.00        3393.70     
  1384.62        2500.00        3383.24     
  1381.41        2500.00        3383.68     
  1378.21        2500.00        3384.11     
  1375.00        2500.00        3384.54     
  1371.79        2500.00        3384.98     
  1368.59        2500.00        3385.41     
  1365.38        2500.00        3385.84     
  1362.18        2500.00        3386.27     
  1358.97        2500.00        3378.39     
  1355.77        2500.00        3378.82     
  1352.56        2500.00        3379.24     
  1349.36        2500.00        3379.67     
  1346.15        2500.00        3380.10     
  1342.95        2500.00        3380.53     
  1339.74        2500.00        3380.95     
  1336.54        2500.00        3381.38     
  1333.33        2500.00        3374.85     
  1330.13        2500.00        3375.27     
  1326.92        2500.00        3374.12     
  1323.72        2500.00        3373.78     
  1320.51        2500.00        3362.73     
  1317.31        2500.00        3363.15     
  1314.10        2500.00        3363.57     
  1310.90        2500.00        3363.99     
  1307.69        2500.00        3364.13     
  1304.49        2500.00        3364.54     
  1301.28        2500.00        3364.96     
  1298.08        2500.00        3365.38     
  1294.87        2500.00        3365.80     
  1291.67        2500.00        3366.21     
  1288.46        2500.00        3366.63     
  1285.26        2500.00        3367.04     
  1282.05        2500.00        3366.97     
  1278.85        2500.00        3367.39     
  1275.64        2500.00        3367.80     
  1272.44        2500.00        3368.22     
  1269.23        2500.00        3368.63     
  1266.03        2500.00        3369.05     
  1262.82        2500.00        3369.46     
  1259.62        2500.00        3369.88     
  1256.41        2500.00        3369.90     
  1253.21        2500.00        3370.31     
  1250.00        2500.00        3370.72     
  1246.79        2500.00        3371.14     
  1243.59        2500.00        3371.55     
  1240.38        2500.00        3371.96     
  1237.18        2500.00        3372.37     
  1233.97        2500.00        3372.79     
  1230.77        2500.00        3372.89     
  1227.56        2500.00        3373.30     
  1224.36        2500.00        3373.71     
  1221.15        2500.00        3374.12     
  1217.95        2500.00        3374.53     
  1214.74        2500.00        3374.94     
  1211.54        2500.00        3375.35     
  1208.33        2500.00        3375.76     
  1205.13        2500.00        3375.94     
  1201.92        2500.00        3376.35     
  1198.72        2500.00        3376.76     
  1195.51        2500.00        3377.17     
  1192.31        2500.00        3377.58     
  1189.10        2500.00        3377.99     
  1185.90        2500.00        3378.39     
  1182.69        2500.00        3378.80     
  1179.49        2500.00        3379.06     
  1176.28        2500.00        3379.47     
  1173.08        2500.00        3379.88     
  1169.87        2500.00        3380.28     
  1166.67        2500.00        3380.69     
  1163.46        2500.00        3381.10     
  1160.26        2500.00        3381.50     
  1157.05        2500.00        3381.91     
  1153.85        2500.00        3382.25     
  1150.64        2500.00        3382.65     
  1147.44        2500.00        3383.06     
  1144.23        2500.00        3383.46     
  1141.03        2500.00        3383.87     
  1137.82        2500.00        3384.27     
  1134.62        2500.00        3384.68     
  1131.41        2500.00        3385.08     
  1128.21        2500.00        3385.48     
  1125.00        2500.00        3385.89     
  1121.79        2500.00        3386.29     
  1118.59        2500.00        3386.69     
  1115.38        2500.00        3387.10     
  1112.18        2500.00        3387.50     
  1108.97        2500.00        3387.90     
  1105.77        2500.00        3388.30     
  1102.56        2500.00        3388.80     
  1099.36        2500.00        3389.20     
  1096.15        2500.00        3389.60     
  1092.95        2500.00        3390.00     
  1089.74        2500.00        3390.40     
  1086.54        2500.00        3390.80     
  1083.33        2500.00        3391.20     
  1080.13        2500.00        3391.60     
  1076.92        2500.00        3392.17     
  1073.72        2500.00        3392.60     
  1070.51        2500.00        3393.02     
  1067.31        2500.00        3393.42     
  1064.10        2500.00        3393.87     
  1060.90        2500.00        3394.27     
  1057.69        2500.00        3394.67     
  1054.49        2500.00        3395.07     
  1051.28        2500.00        3395.57     
  1048.08        2500.00        3395.97     
  1044.87        2500.00        3396.36     
  1041.67        2500.00        3396.76     
  1038.46        2500.00        3397.16     
  1035.26        2500.00        3397.56     
  1032.05        2500.00        3397.96     
  1028.85        2500.00        3398.35     
  1025.64        2500.00        3399.00     
  1022.44        2500.00        3399.40     
  1019.23        2500.00        3399.80     
  1016.03        2500.00        3400.19     
  1012.82        2500.00        3400.59     
  1009.62        2500.00        3400.99     
  1006.41        2500.00        3401.38     
  1003.21        2500.00        3401.78     
  1000.00        2500.00        3402.49     
