|6.6.6
Archiving\03_Data\eq/QFM_m2.5/KHA22/KHA22_2.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00       0.738981E-006
  1884.62        2500.00       0.599077E-006
  1881.41        2500.00       0.189242E-004
  1878.21        2500.00       0.372492E-004
  1875.00        2500.00       0.555743E-004
  1871.79        2500.00       0.738994E-004
  1868.59        2500.00       0.913481E-004
  1865.38        2500.00       0.108797E-003
  1862.18        2500.00       0.126245E-003
  1858.97        2500.00       0.143694E-003
  1855.77        2500.00       0.161143E-003
  1852.56        2500.00       0.178592E-003
  1849.36        2500.00       0.196040E-003
  1846.15        2500.00       0.213489E-003
  1842.95        2500.00       0.229582E-003
  1839.74        2500.00       0.245675E-003
  1836.54        2500.00       0.261769E-003
  1833.33        2500.00       0.277862E-003
  1830.13        2500.00       0.293955E-003
  1826.92        2500.00       0.310049E-003
  1823.72        2500.00       0.326142E-003
  1820.51        2500.00       0.342235E-003
  1817.31        2500.00       0.357084E-003
  1814.10        2500.00       0.371934E-003
  1810.90        2500.00       0.386783E-003
  1807.69        2500.00       0.401633E-003
  1804.49        2500.00       0.416482E-003
  1801.28        2500.00       0.431331E-003
  1798.08        2500.00       0.446181E-003
  1794.87        2500.00       0.461030E-003
  1791.67        2500.00       0.474708E-003
  1788.46        2500.00       0.488387E-003
  1785.26        2500.00       0.502065E-003
  1782.05        2500.00       0.515743E-003
  1778.85        2500.00       0.529421E-003
  1775.64        2500.00       0.543099E-003
  1772.44        2500.00       0.556777E-003
  1769.23        2500.00       0.570455E-003
  1766.03        2500.00       0.583173E-003
  1762.82        2500.00       0.595890E-003
  1759.62        2500.00       0.608608E-003
  1756.41        2500.00       0.621326E-003
  1753.21        2500.00       0.634043E-003
  1750.00        2500.00       0.646761E-003
  1746.79        2500.00       0.659478E-003
  1743.59        2500.00       0.672196E-003
  1740.38        2500.00       0.683945E-003
  1737.18        2500.00       0.695695E-003
  1733.97        2500.00       0.707444E-003
  1730.77        2500.00       0.719194E-003
  1727.56        2500.00       0.730943E-003
  1724.36        2500.00       0.742693E-003
  1721.15        2500.00       0.754442E-003
  1717.95        2500.00       0.766192E-003
  1714.74        2500.00       0.777221E-003
  1711.54        2500.00       0.788250E-003
  1708.33        2500.00       0.799279E-003
  1705.13        2500.00       0.810308E-003
  1701.92        2500.00       0.821337E-003
  1698.72        2500.00       0.832367E-003
  1695.51        2500.00       0.843396E-003
  1692.31        2500.00       0.854425E-003
  1689.10        2500.00       0.864651E-003
  1685.90        2500.00       0.874877E-003
  1682.69        2500.00       0.885104E-003
  1679.49        2500.00       0.895330E-003
  1676.28        2500.00       0.905556E-003
  1673.08        2500.00       0.915783E-003
  1669.87        2500.00       0.926009E-003
  1666.67        2500.00       0.936235E-003
  1663.46        2500.00       0.946028E-003
  1660.26        2500.00       0.955820E-003
  1657.05        2500.00       0.965612E-003
  1653.85        2500.00       0.975405E-003
  1650.64        2500.00       0.985197E-003
  1647.44        2500.00       0.994989E-003
  1644.23        2500.00       0.100478E-002
  1641.03        2500.00       0.101457E-002
  1637.82        2500.00       0.102438E-002
  1634.62        2500.00       0.101991E-002
  1631.41        2500.00       0.101137E-002
  1628.21        2500.00       0.100282E-002
  1625.00        2500.00       0.995201E-003
  1621.79        2500.00       0.987580E-003
  1618.59        2500.00       0.979959E-003
  1615.38        2500.00       0.972338E-003
  1612.18        2500.00       0.964185E-003
  1608.97        2500.00       0.956032E-003
  1605.77        2500.00       0.947879E-003
  1602.56        2500.00       0.939726E-003
  1599.36        2500.00       0.931573E-003
  1596.15        2500.00       0.923420E-003
  1592.95        2500.00       0.915267E-003
  1589.74        2500.00       0.907114E-003
  1586.54        2500.00       0.898383E-003
  1583.33        2500.00       0.889653E-003
  1580.13        2500.00       0.880923E-003
  1576.92        2500.00       0.872193E-003
  1573.72        2500.00       0.863463E-003
  1570.51        2500.00       0.854732E-003
  1567.31        2500.00       0.846002E-003
  1564.10        2500.00       0.837272E-003
  1560.90        2500.00       0.827869E-003
  1557.69        2500.00       0.818465E-003
  1554.49        2500.00       0.809062E-003
  1551.28        2500.00       0.799658E-003
  1548.08        2500.00       0.790255E-003
  1544.87        2500.00       0.780851E-003
  1541.67        2500.00       0.771448E-003
  1538.46        2500.00       0.762044E-003
  1535.26        2500.00       0.751749E-003
  1532.05        2500.00       0.741454E-003
  1528.85        2500.00       0.731159E-003
  1525.64        2500.00       0.720864E-003
  1522.44        2500.00       0.710568E-003
  1519.23        2500.00       0.700273E-003
  1516.03        2500.00       0.689978E-003
  1512.82        2500.00       0.679683E-003
  1509.62        2500.00       0.668557E-003
  1506.41        2500.00       0.657431E-003
  1503.21        2500.00       0.646305E-003
  1500.00        2500.00       0.635179E-003
  1496.79        2500.00       0.624053E-003
  1493.59        2500.00       0.612927E-003
  1490.38        2500.00       0.601801E-003
  1487.18        2500.00       0.590675E-003
  1483.97        2500.00       0.579544E-003
  1480.77        2500.00       0.568413E-003
  1477.56        2500.00       0.556119E-003
  1474.36        2500.00       0.557619E-003
  1471.15        2500.00       0.561841E-003
  1467.95        2500.00       0.566064E-003
  1464.74        2500.00       0.570286E-003
  1461.54        2500.00       0.574508E-003
  1458.33        2500.00       0.581353E-003
  1455.13        2500.00       0.588198E-003
  1451.92        2500.00       0.596265E-003
  1448.72        2500.00       0.608596E-003
  1445.51        2500.00       0.608596E-003
  1442.31        2500.00       0.608596E-003
  1439.10        2500.00       0.608596E-003
  1435.90        2500.00       0.689280E-003
  1432.69        2500.00       0.689280E-003
  1429.49        2500.00       0.689280E-003
  1426.28        2500.00       0.689280E-003
  1423.08        2500.00       0.689280E-003
  1419.87        2500.00       0.689280E-003
  1416.67        2500.00       0.689280E-003
  1413.46        2500.00       0.689280E-003
  1410.26        2500.00       0.852960E-003
  1407.05        2500.00       0.852960E-003
  1403.85        2500.00       0.852960E-003
  1400.64        2500.00       0.852960E-003
  1397.44        2500.00       0.936398E-003
  1394.23        2500.00       0.957454E-003
  1391.03        2500.00       0.971752E-003
  1387.82        2500.00       0.971752E-003
  1384.62        2500.00       0.991101E-003
  1381.41        2500.00       0.991101E-003
  1378.21        2500.00       0.991101E-003
  1375.00        2500.00       0.991101E-003
  1371.79        2500.00       0.991101E-003
  1368.59        2500.00       0.991101E-003
  1365.38        2500.00       0.991101E-003
  1362.18        2500.00       0.991101E-003
  1358.97        2500.00       0.106419E-002
  1355.77        2500.00       0.106419E-002
  1352.56        2500.00       0.106419E-002
  1349.36        2500.00       0.106419E-002
  1346.15        2500.00       0.106419E-002
  1342.95        2500.00       0.106419E-002
  1339.74        2500.00       0.106419E-002
  1336.54        2500.00       0.106419E-002
  1333.33        2500.00       0.113193E-002
  1330.13        2500.00       0.113193E-002
  1326.92        2500.00       0.114780E-002
  1323.72        2500.00       0.115734E-002
  1320.51        2500.00       0.119062E-002
  1317.31        2500.00       0.120737E-002
  1314.10        2500.00       0.121213E-002
  1310.90        2500.00       0.121213E-002
  1307.69        2500.00       0.122182E-002
  1304.49        2500.00       0.122182E-002
  1301.28        2500.00       0.122182E-002
  1298.08        2500.00       0.122182E-002
  1294.87        2500.00       0.122182E-002
  1291.67        2500.00       0.122182E-002
  1288.46        2500.00       0.122182E-002
  1285.26        2500.00       0.122182E-002
  1282.05        2500.00       0.126267E-002
  1278.85        2500.00       0.126267E-002
  1275.64        2500.00       0.126267E-002
  1272.44        2500.00       0.126267E-002
  1269.23        2500.00       0.126267E-002
  1266.03        2500.00       0.126267E-002
  1262.82        2500.00       0.126267E-002
  1259.62        2500.00       0.126267E-002
  1256.41        2500.00       0.130576E-002
  1253.21        2500.00       0.130576E-002
  1250.00        2500.00       0.130576E-002
  1246.79        2500.00       0.130576E-002
  1243.59        2500.00       0.130576E-002
