|6.6.6
Archiving\03_Data\eq/QFM_m2.5/KHA22/KHA22_4.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00       0.171615E-004
  1884.62        2500.00       0.139109E-004
  1881.41        2500.00       0.438771E-003
  1878.21        2500.00       0.863527E-003
  1875.00        2500.00       0.128818E-002
  1871.79        2500.00       0.171273E-002
  1868.59        2500.00       0.211503E-002
  1865.38        2500.00       0.251724E-002
  1862.18        2500.00       0.291934E-002
  1858.97        2500.00       0.332135E-002
  1855.77        2500.00       0.372327E-002
  1852.56        2500.00       0.412508E-002
  1849.36        2500.00       0.452680E-002
  1846.15        2500.00       0.492842E-002
  1842.95        2500.00       0.529678E-002
  1839.74        2500.00       0.566506E-002
  1836.54        2500.00       0.603324E-002
  1833.33        2500.00       0.640134E-002
  1830.13        2500.00       0.676935E-002
  1826.92        2500.00       0.713727E-002
  1823.72        2500.00       0.750511E-002
  1820.51        2500.00       0.787285E-002
  1817.31        2500.00       0.821069E-002
  1814.10        2500.00       0.854846E-002
  1810.90        2500.00       0.888614E-002
  1807.69        2500.00       0.922374E-002
  1804.49        2500.00       0.956126E-002
  1801.28        2500.00       0.989871E-002
  1798.08        2500.00       0.102361E-001
  1794.87        2500.00       0.105734E-001
  1791.67        2500.00       0.108830E-001
  1788.46        2500.00       0.111926E-001
  1785.26        2500.00       0.115021E-001
  1782.05        2500.00       0.118115E-001
  1778.85        2500.00       0.121208E-001
  1775.64        2500.00       0.124301E-001
  1772.44        2500.00       0.127393E-001
  1769.23        2500.00       0.130484E-001
  1766.03        2500.00       0.133357E-001
  1762.82        2500.00       0.136230E-001
  1759.62        2500.00       0.139101E-001
  1756.41        2500.00       0.141972E-001
  1753.21        2500.00       0.144842E-001
  1750.00        2500.00       0.147712E-001
  1746.79        2500.00       0.150581E-001
  1743.59        2500.00       0.153449E-001
  1740.38        2500.00       0.156097E-001
  1737.18        2500.00       0.158744E-001
  1733.97        2500.00       0.161390E-001
  1730.77        2500.00       0.164036E-001
  1727.56        2500.00       0.166681E-001
  1724.36        2500.00       0.169326E-001
  1721.15        2500.00       0.171970E-001
  1717.95        2500.00       0.174613E-001
  1714.74        2500.00       0.177104E-001
  1711.54        2500.00       0.179594E-001
  1708.33        2500.00       0.182084E-001
  1705.13        2500.00       0.184574E-001
  1701.92        2500.00       0.187062E-001
  1698.72        2500.00       0.189551E-001
  1695.51        2500.00       0.192038E-001
  1692.31        2500.00       0.194525E-001
  1689.10        2500.00       0.196835E-001
  1685.90        2500.00       0.199145E-001
  1682.69        2500.00       0.201454E-001
  1679.49        2500.00       0.203762E-001
  1676.28        2500.00       0.206070E-001
  1673.08        2500.00       0.208377E-001
  1669.87        2500.00       0.210684E-001
  1666.67        2500.00       0.212990E-001
  1663.46        2500.00       0.215220E-001
  1660.26        2500.00       0.217450E-001
  1657.05        2500.00       0.219679E-001
  1653.85        2500.00       0.221907E-001
  1650.64        2500.00       0.224135E-001
  1647.44        2500.00       0.226362E-001
  1644.23        2500.00       0.228589E-001
  1641.03        2500.00       0.230816E-001
  1637.82        2500.00       0.233064E-001
  1634.62        2500.00       0.232250E-001
  1631.41        2500.00       0.230332E-001
  1628.21        2500.00       0.228414E-001
  1625.00        2500.00       0.226776E-001
  1621.79        2500.00       0.225137E-001
  1618.59        2500.00       0.223499E-001
  1615.38        2500.00       0.221862E-001
  1612.18        2500.00       0.220086E-001
  1608.97        2500.00       0.218311E-001
  1605.77        2500.00       0.216536E-001
  1602.56        2500.00       0.214761E-001
  1599.36        2500.00       0.212987E-001
  1596.15        2500.00       0.211214E-001
  1592.95        2500.00       0.209441E-001
  1589.74        2500.00       0.207669E-001
  1586.54        2500.00       0.205764E-001
  1583.33        2500.00       0.203859E-001
  1580.13        2500.00       0.201955E-001
  1576.92        2500.00       0.200052E-001
  1573.72        2500.00       0.198149E-001
  1570.51        2500.00       0.196246E-001
  1567.31        2500.00       0.194345E-001
  1564.10        2500.00       0.192444E-001
  1560.90        2500.00       0.190376E-001
  1557.69        2500.00       0.188308E-001
  1554.49        2500.00       0.186241E-001
  1551.28        2500.00       0.184175E-001
  1548.08        2500.00       0.182109E-001
  1544.87        2500.00       0.180044E-001
  1541.67        2500.00       0.177979E-001
  1538.46        2500.00       0.175915E-001
  1535.26        2500.00       0.173641E-001
  1532.05        2500.00       0.171367E-001
  1528.85        2500.00       0.169093E-001
  1525.64        2500.00       0.166821E-001
  1522.44        2500.00       0.164549E-001
  1519.23        2500.00       0.162278E-001
  1516.03        2500.00       0.160007E-001
  1512.82        2500.00       0.157737E-001
  1509.62        2500.00       0.155261E-001
  1506.41        2500.00       0.152787E-001
  1503.21        2500.00       0.150312E-001
  1500.00        2500.00       0.147839E-001
  1496.79        2500.00       0.145366E-001
  1493.59        2500.00       0.142894E-001
  1490.38        2500.00       0.140423E-001
  1487.18        2500.00       0.137952E-001
  1483.97        2500.00       0.135471E-001
  1480.77        2500.00       0.132990E-001
  1477.56        2500.00       0.130234E-001
  1474.36        2500.00       0.130800E-001
  1471.15        2500.00       0.131998E-001
  1467.95        2500.00       0.133197E-001
  1464.74        2500.00       0.134396E-001
  1461.54        2500.00       0.135595E-001
  1458.33        2500.00       0.137420E-001
  1455.13        2500.00       0.139244E-001
  1451.92        2500.00       0.141364E-001
  1448.72        2500.00       0.144491E-001
  1445.51        2500.00       0.144476E-001
  1442.31        2500.00       0.144461E-001
  1439.10        2500.00       0.144446E-001
  1435.90        2500.00       0.164627E-001
  1432.69        2500.00       0.164610E-001
  1429.49        2500.00       0.164593E-001
  1426.28        2500.00       0.164576E-001
  1423.08        2500.00       0.164559E-001
  1419.87        2500.00       0.164542E-001
  1416.67        2500.00       0.164525E-001
  1413.46        2500.00       0.164508E-001
  1410.26        2500.00       0.205806E-001
  1407.05        2500.00       0.205785E-001
  1403.85        2500.00       0.205764E-001
  1400.64        2500.00       0.205743E-001
  1397.44        2500.00       0.226938E-001
  1394.23        2500.00       0.232280E-001
  1391.03        2500.00       0.235845E-001
  1387.82        2500.00       0.235822E-001
  1384.62        2500.00       0.240534E-001
  1381.41        2500.00       0.240510E-001
  1378.21        2500.00       0.240485E-001
  1375.00        2500.00       0.240461E-001
  1371.79        2500.00       0.240436E-001
  1368.59        2500.00       0.240412E-001
  1365.38        2500.00       0.240388E-001
  1362.18        2500.00       0.240363E-001
  1358.97        2500.00       0.258326E-001
  1355.77        2500.00       0.258300E-001
  1352.56        2500.00       0.258273E-001
  1349.36        2500.00       0.258247E-001
  1346.15        2500.00       0.258221E-001
  1342.95        2500.00       0.258195E-001
  1339.74        2500.00       0.258169E-001
  1336.54        2500.00       0.258143E-001
  1333.33        2500.00       0.274916E-001
  1330.13        2500.00       0.274889E-001
  1326.92        2500.00       0.278829E-001
  1323.72        2500.00       0.281176E-001
  1320.51        2500.00       0.289292E-001
  1317.31        2500.00       0.293348E-001
  1314.10        2500.00       0.294460E-001
  1310.90        2500.00       0.294430E-001
  1307.69        2500.00       0.296724E-001
  1304.49        2500.00       0.296694E-001
  1301.28        2500.00       0.296665E-001
  1298.08        2500.00       0.296635E-001
  1294.87        2500.00       0.296605E-001
  1291.67        2500.00       0.296576E-001
  1288.46        2500.00       0.296546E-001
  1285.26        2500.00       0.296517E-001
  1282.05        2500.00       0.306313E-001
  1278.85        2500.00       0.306282E-001
  1275.64        2500.00       0.306252E-001
  1272.44        2500.00       0.306221E-001
  1269.23        2500.00       0.306191E-001
  1266.03        2500.00       0.306161E-001
  1262.82        2500.00       0.306130E-001
  1259.62        2500.00       0.306100E-001
  1256.41        2500.00       0.316445E-001
  1253.21        2500.00       0.316413E-001
  1250.00        2500.00       0.316382E-001
  1246.79        2500.00       0.316351E-001
  1243.59        2500.00       0.316320E-001
