|6.6.6
Archiving\03_Data\eq/QFM_m2/YM20/YM20_4.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00       0.192594E-003
  1881.41        2500.00       0.627283E-003
  1878.21        2500.00       0.106186E-002
  1875.00        2500.00       0.149634E-002
  1871.79        2500.00       0.193071E-002
  1868.59        2500.00       0.233665E-002
  1865.38        2500.00       0.274249E-002
  1862.18        2500.00       0.314823E-002
  1858.97        2500.00       0.355387E-002
  1855.77        2500.00       0.395941E-002
  1852.56        2500.00       0.436486E-002
  1849.36        2500.00       0.477020E-002
  1846.15        2500.00       0.517545E-002
  1842.95        2500.00       0.554733E-002
  1839.74        2500.00       0.591912E-002
  1836.54        2500.00       0.629081E-002
  1833.33        2500.00       0.666242E-002
  1830.13        2500.00       0.703394E-002
  1826.92        2500.00       0.740537E-002
  1823.72        2500.00       0.777671E-002
  1820.51        2500.00       0.814796E-002
  1817.31        2500.00       0.848918E-002
  1814.10        2500.00       0.883031E-002
  1810.90        2500.00       0.917136E-002
  1807.69        2500.00       0.951233E-002
  1804.49        2500.00       0.985322E-002
  1801.28        2500.00       0.101940E-001
  1798.08        2500.00       0.105348E-001
  1794.87        2500.00       0.108754E-001
  1791.67        2500.00       0.111912E-001
  1788.46        2500.00       0.115068E-001
  1785.26        2500.00       0.118225E-001
  1782.05        2500.00       0.121380E-001
  1778.85        2500.00       0.124535E-001
  1775.64        2500.00       0.127688E-001
  1772.44        2500.00       0.130842E-001
  1769.23        2500.00       0.133994E-001
  1766.03        2500.00       0.136938E-001
  1762.82        2500.00       0.139881E-001
  1759.62        2500.00       0.142823E-001
  1756.41        2500.00       0.145765E-001
  1753.21        2500.00       0.148705E-001
  1750.00        2500.00       0.151646E-001
  1746.79        2500.00       0.154585E-001
  1743.59        2500.00       0.157524E-001
  1740.38        2500.00       0.160215E-001
  1737.18        2500.00       0.162905E-001
  1733.97        2500.00       0.165594E-001
  1730.77        2500.00       0.168283E-001
  1727.56        2500.00       0.170971E-001
  1724.36        2500.00       0.173658E-001
  1721.15        2500.00       0.176345E-001
  1717.95        2500.00       0.179031E-001
  1714.74        2500.00       0.181579E-001
  1711.54        2500.00       0.184127E-001
  1708.33        2500.00       0.186674E-001
  1705.13        2500.00       0.189221E-001
  1701.92        2500.00       0.191767E-001
  1698.72        2500.00       0.194312E-001
  1695.51        2500.00       0.196857E-001
  1692.31        2500.00       0.199402E-001
  1689.10        2500.00       0.201822E-001
  1685.90        2500.00       0.204241E-001
  1682.69        2500.00       0.206660E-001
  1679.49        2500.00       0.209079E-001
  1676.28        2500.00       0.211496E-001
  1673.08        2500.00       0.213914E-001
  1669.87        2500.00       0.216331E-001
  1666.67        2500.00       0.218747E-001
  1663.46        2500.00       0.221034E-001
  1660.26        2500.00       0.223320E-001
  1657.05        2500.00       0.225606E-001
  1653.85        2500.00       0.227891E-001
  1650.64        2500.00       0.230176E-001
  1647.44        2500.00       0.232461E-001
  1644.23        2500.00       0.234745E-001
  1641.03        2500.00       0.237028E-001
  1637.82        2500.00       0.239263E-001
  1634.62        2500.00       0.241498E-001
  1631.41        2500.00       0.241301E-001
  1628.21        2500.00       0.239635E-001
  1625.00        2500.00       0.237975E-001
  1621.79        2500.00       0.236315E-001
  1618.59        2500.00       0.234655E-001
  1615.38        2500.00       0.232996E-001
  1612.18        2500.00       0.231208E-001
  1608.97        2500.00       0.229420E-001
  1605.77        2500.00       0.227633E-001
  1602.56        2500.00       0.225847E-001
  1599.36        2500.00       0.224061E-001
  1596.15        2500.00       0.222275E-001
  1592.95        2500.00       0.220491E-001
  1589.74        2500.00       0.218706E-001
  1586.54        2500.00       0.216819E-001
  1583.33        2500.00       0.214932E-001
  1580.13        2500.00       0.213046E-001
  1576.92        2500.00       0.211160E-001
  1573.72        2500.00       0.209275E-001
  1570.51        2500.00       0.207390E-001
  1567.31        2500.00       0.205506E-001
  1564.10        2500.00       0.203623E-001
  1560.90        2500.00       0.201553E-001
  1557.69        2500.00       0.199483E-001
  1554.49        2500.00       0.197415E-001
  1551.28        2500.00       0.195347E-001
  1548.08        2500.00       0.193279E-001
  1544.87        2500.00       0.191213E-001
  1541.67        2500.00       0.189147E-001
  1538.46        2500.00       0.187081E-001
  1535.26        2500.00       0.184831E-001
  1532.05        2500.00       0.182581E-001
  1528.85        2500.00       0.180332E-001
  1525.64        2500.00       0.178084E-001
  1522.44        2500.00       0.175837E-001
  1519.23        2500.00       0.173590E-001
  1516.03        2500.00       0.171344E-001
  1512.82        2500.00       0.169098E-001
  1509.62        2500.00       0.166614E-001
  1506.41        2500.00       0.164131E-001
  1503.21        2500.00       0.161648E-001
  1500.00        2500.00       0.159166E-001
  1496.79        2500.00       0.156685E-001
  1493.59        2500.00       0.154204E-001
  1490.38        2500.00       0.151725E-001
  1487.18        2500.00       0.149246E-001
  1483.97        2500.00       0.146635E-001
  1480.77        2500.00       0.144735E-001
  1477.56        2500.00       0.146182E-001
  1474.36        2500.00       0.147630E-001
  1471.15        2500.00       0.149845E-001
  1467.95        2500.00       0.152060E-001
  1464.74        2500.00       0.154275E-001
  1461.54        2500.00       0.156491E-001
  1458.33        2500.00       0.159588E-001
  1455.13        2500.00       0.162685E-001
  1451.92        2500.00       0.165783E-001
  1448.72        2500.00       0.168880E-001
  1445.51        2500.00       0.172590E-001
  1442.31        2500.00       0.178159E-001
  1439.10        2500.00       0.178140E-001
  1435.90        2500.00       0.190929E-001
  1432.69        2500.00       0.190909E-001
  1429.49        2500.00       0.190889E-001
  1426.28        2500.00       0.190869E-001
  1423.08        2500.00       0.216388E-001
  1419.87        2500.00       0.216366E-001
  1416.67        2500.00       0.229053E-001
  1413.46        2500.00       0.234150E-001
  1410.26        2500.00       0.236812E-001
  1407.05        2500.00       0.236788E-001
  1403.85        2500.00       0.236764E-001
  1400.64        2500.00       0.236740E-001
  1397.44        2500.00       0.236716E-001
  1394.23        2500.00       0.236691E-001
  1391.03        2500.00       0.236667E-001
  1387.82        2500.00       0.236643E-001
  1384.62        2500.00       0.256592E-001
  1381.41        2500.00       0.256566E-001
  1378.21        2500.00       0.256540E-001
  1375.00        2500.00       0.256514E-001
  1371.79        2500.00       0.256488E-001
  1368.59        2500.00       0.256462E-001
  1365.38        2500.00       0.256436E-001
  1362.18        2500.00       0.256410E-001
  1358.97        2500.00       0.274321E-001
  1355.77        2500.00       0.274294E-001
  1352.56        2500.00       0.274266E-001
  1349.36        2500.00       0.274238E-001
  1346.15        2500.00       0.274210E-001
  1342.95        2500.00       0.274183E-001
  1339.74        2500.00       0.274155E-001
  1336.54        2500.00       0.274128E-001
  1333.33        2500.00       0.290804E-001
  1330.13        2500.00       0.290774E-001
  1326.92        2500.00       0.294787E-001
  1323.72        2500.00       0.296789E-001
  1320.51        2500.00       0.300690E-001
  1317.31        2500.00       0.307642E-001
  1314.10        2500.00       0.308741E-001
  1310.90        2500.00       0.308710E-001
  1307.69        2500.00       0.310879E-001
  1304.49        2500.00       0.310848E-001
  1301.28        2500.00       0.310817E-001
  1298.08        2500.00       0.310786E-001
  1294.87        2500.00       0.310755E-001
  1291.67        2500.00       0.310724E-001
  1288.46        2500.00       0.310693E-001
  1285.26        2500.00       0.310662E-001
  1282.05        2500.00       0.319991E-001
  1278.85        2500.00       0.319960E-001
  1275.64        2500.00       0.319928E-001
  1272.44        2500.00       0.319896E-001
  1269.23        2500.00       0.319864E-001
  1266.03        2500.00       0.319833E-001
  1262.82        2500.00       0.319801E-001
  1259.62        2500.00       0.319769E-001
  1256.41        2500.00       0.329792E-001
  1253.21        2500.00       0.329760E-001
  1250.00        2500.00       0.329727E-001
  1246.79        2500.00       0.329694E-001
  1243.59        2500.00       0.329662E-001
