|6.6.6
Archiving\03_Data\eq/QFM_m3.25/GRV/GRV_4.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00                 NaN
  1881.41        2500.00                 NaN
  1878.21        2500.00                 NaN
  1875.00        2500.00                 NaN
  1871.79        2500.00                 NaN
  1868.59        2500.00                 NaN
  1865.38        2500.00                 NaN
  1862.18        2500.00                 NaN
  1858.97        2500.00                 NaN
  1855.77        2500.00                 NaN
  1852.56        2500.00                 NaN
  1849.36        2500.00                 NaN
  1846.15        2500.00                 NaN
  1842.95        2500.00                 NaN
  1839.74        2500.00                 NaN
  1836.54        2500.00                 NaN
  1833.33        2500.00                 NaN
  1830.13        2500.00                 NaN
  1826.92        2500.00                 NaN
  1823.72        2500.00                 NaN
  1820.51        2500.00                 NaN
  1817.31        2500.00       0.261360E-003
  1814.10        2500.00       0.718463E-003
  1810.90        2500.00       0.116407E-002
  1807.69        2500.00       0.160956E-002
  1804.49        2500.00       0.204417E-002
  1801.28        2500.00       0.247868E-002
  1798.08        2500.00       0.291308E-002
  1794.87        2500.00       0.334738E-002
  1791.67        2500.00       0.376551E-002
  1788.46        2500.00       0.418354E-002
  1785.26        2500.00       0.460147E-002
  1782.05        2500.00       0.501929E-002
  1778.85        2500.00       0.542610E-002
  1775.64        2500.00       0.583281E-002
  1772.44        2500.00       0.623601E-002
  1769.23        2500.00       0.663403E-002
  1766.03        2500.00       0.701810E-002
  1762.82        2500.00       0.740207E-002
  1759.62        2500.00       0.778596E-002
  1756.41        2500.00       0.816975E-002
  1753.21        2500.00       0.855345E-002
  1750.00        2500.00       0.893707E-002
  1746.79        2500.00       0.932059E-002
  1743.59        2500.00       0.970402E-002
  1740.38        2500.00       0.100559E-001
  1737.18        2500.00       0.104076E-001
  1733.97        2500.00       0.107593E-001
  1730.77        2500.00       0.111109E-001
  1727.56        2500.00       0.114624E-001
  1724.36        2500.00       0.118139E-001
  1721.15        2500.00       0.121652E-001
  1717.95        2500.00       0.125165E-001
  1714.74        2500.00       0.128379E-001
  1711.54        2500.00       0.131592E-001
  1708.33        2500.00       0.134804E-001
  1705.13        2500.00       0.138015E-001
  1701.92        2500.00       0.141226E-001
  1698.72        2500.00       0.144436E-001
  1695.51        2500.00       0.147645E-001
  1692.31        2500.00       0.150854E-001
  1689.10        2500.00       0.153859E-001
  1685.90        2500.00       0.156864E-001
  1682.69        2500.00       0.159868E-001
  1679.49        2500.00       0.162871E-001
  1676.28        2500.00       0.165761E-001
  1673.08        2500.00       0.168650E-001
  1669.87        2500.00       0.171020E-001
  1666.67        2500.00       0.172881E-001
  1663.46        2500.00       0.173863E-001
  1660.26        2500.00       0.174845E-001
  1657.05        2500.00       0.175827E-001
  1653.85        2500.00       0.176808E-001
  1650.64        2500.00       0.177790E-001
  1647.44        2500.00       0.178771E-001
  1644.23        2500.00       0.179752E-001
  1641.03        2500.00       0.180733E-001
  1637.82        2500.00       0.180468E-001
  1634.62        2500.00       0.180203E-001
  1631.41        2500.00       0.179939E-001
  1628.21        2500.00       0.179674E-001
  1625.00        2500.00       0.179410E-001
  1621.79        2500.00       0.179145E-001
  1618.59        2500.00       0.178881E-001
  1615.38        2500.00       0.178617E-001
  1612.18        2500.00       0.177102E-001
  1608.97        2500.00       0.175589E-001
  1605.77        2500.00       0.174076E-001
  1602.56        2500.00       0.172563E-001
  1599.36        2500.00       0.171050E-001
  1596.15        2500.00       0.169538E-001
  1592.95        2500.00       0.168026E-001
  1589.74        2500.00       0.166515E-001
  1586.54        2500.00       0.163800E-001
  1583.33        2500.00       0.161086E-001
  1580.13        2500.00       0.158373E-001
  1576.92        2500.00       0.155660E-001
  1573.72        2500.00       0.152164E-001
  1570.51        2500.00       0.149182E-001
  1567.31        2500.00       0.150122E-001
  1564.10        2500.00       0.151063E-001
  1560.90        2500.00       0.151057E-001
  1557.69        2500.00       0.151051E-001
  1554.49        2500.00       0.151046E-001
  1551.28        2500.00       0.151042E-001
  1548.08        2500.00       0.149611E-001
  1544.87        2500.00       0.146676E-001
  1541.67        2500.00       0.146660E-001
  1538.46        2500.00       0.133283E-001
  1535.26        2500.00       0.133268E-001
  1532.05        2500.00       0.133253E-001
  1528.85        2500.00       0.133238E-001
  1525.64        2500.00       0.133223E-001
  1522.44        2500.00       0.133209E-001
  1519.23        2500.00       0.133194E-001
  1516.03        2500.00       0.133179E-001
  1512.82        2500.00       0.997039E-002
  1509.62        2500.00       0.996930E-002
  1506.41        2500.00       0.996821E-002
  1503.21        2500.00       0.996712E-002
  1500.00        2500.00       0.996603E-002
  1496.79        2500.00       0.996495E-002
  1493.59        2500.00       0.996386E-002
  1490.38        2500.00       0.996277E-002
  1487.18        2500.00       0.825734E-002
  1483.97        2500.00       0.825645E-002
  1480.77        2500.00       0.825556E-002
  1477.56        2500.00       0.825467E-002
  1474.36        2500.00       0.825379E-002
  1471.15        2500.00       0.825290E-002
  1467.95        2500.00       0.825202E-002
  1464.74        2500.00       0.825113E-002
  1461.54        2500.00       0.751919E-002
  1458.33        2500.00       0.751839E-002
  1455.13        2500.00       0.751760E-002
  1451.92        2500.00       0.751680E-002
  1448.72        2500.00       0.751600E-002
  1445.51        2500.00       0.751521E-002
  1442.31        2500.00       0.751441E-002
  1439.10        2500.00       0.751362E-002
  1435.90        2500.00       0.744849E-002
  1432.69        2500.00       0.744771E-002
  1429.49        2500.00       0.744693E-002
  1426.28        2500.00       0.744615E-002
  1423.08        2500.00       0.744537E-002
  1419.87        2500.00       0.744459E-002
  1416.67        2500.00       0.744381E-002
  1413.46        2500.00       0.744303E-002
  1410.26        2500.00       0.797345E-002
  1407.05        2500.00       0.797263E-002
  1403.85        2500.00       0.797180E-002
  1400.64        2500.00       0.797098E-002
  1397.44        2500.00       0.838756E-002
  1394.23        2500.00       0.850232E-002
  1391.03        2500.00       0.860745E-002
  1387.82        2500.00       0.860656E-002
  1384.62        2500.00       0.882441E-002
  1381.41        2500.00       0.882350E-002
  1378.21        2500.00       0.882259E-002
  1375.00        2500.00       0.882169E-002
  1371.79        2500.00       0.882078E-002
  1368.59        2500.00       0.881988E-002
  1365.38        2500.00       0.881897E-002
  1362.18        2500.00       0.881807E-002
  1358.97        2500.00       0.979827E-002
  1355.77        2500.00       0.979727E-002
  1352.56        2500.00       0.979627E-002
  1349.36        2500.00       0.979527E-002
  1346.15        2500.00       0.979427E-002
  1342.95        2500.00       0.979327E-002
  1339.74        2500.00       0.979227E-002
  1336.54        2500.00       0.979127E-002
  1333.33        2500.00       0.109042E-001
  1330.13        2500.00       0.109031E-001
  1326.92        2500.00       0.109019E-001
  1323.72        2500.00       0.109008E-001
  1320.51        2500.00       0.108997E-001
  1317.31        2500.00       0.108986E-001
  1314.10        2500.00       0.108975E-001
  1310.90        2500.00       0.108964E-001
  1307.69        2500.00       0.121888E-001
  1304.49        2500.00       0.121876E-001
  1301.28        2500.00       0.121864E-001
  1298.08        2500.00       0.121852E-001
  1294.87        2500.00       0.121839E-001
  1291.67        2500.00       0.121827E-001
  1288.46        2500.00       0.121815E-001
  1285.26        2500.00       0.121802E-001
  1282.05        2500.00       0.135972E-001
  1278.85        2500.00       0.135958E-001
  1275.64        2500.00       0.135945E-001
  1272.44        2500.00       0.135931E-001
  1269.23        2500.00       0.135917E-001
  1266.03        2500.00       0.135904E-001
  1262.82        2500.00       0.135890E-001
  1259.62        2500.00       0.135876E-001
  1256.41        2500.00       0.151443E-001
  1253.21        2500.00       0.151428E-001
  1250.00        2500.00       0.151413E-001
  1246.79        2500.00       0.151398E-001
  1243.59        2500.00       0.151382E-001
  1240.38        2500.00       0.151367E-001
  1237.18        2500.00       0.151352E-001
  1233.97        2500.00       0.151337E-001
  1230.77        2500.00       0.167766E-001
