|6.6.6
Archiving\03_Data\eq/QFM_m3.25/GRV/GRV_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.3195       0.680512                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3194       0.680586                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3193       0.680660                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.3193       0.680734                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.3192       0.680807                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.3191       0.680881                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.3190       0.680955                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.3190       0.681029                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.3189       0.681103                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3188       0.681177                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3187       0.681252                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3187       0.681326                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3186       0.681400                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3185       0.681475                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3185       0.681549                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3184       0.681623                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.3183       0.681698                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.3182       0.681773                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.3182       0.681847                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3181       0.681922                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3180       0.681997                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3179       0.682072                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3179       0.682146                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3178       0.682221                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.3177       0.682296                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.3176       0.682371                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.3176       0.682447                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.3175       0.682522                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.3174       0.682597                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.3173       0.682672                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.3173       0.682748                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.3172       0.682823                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.3171       0.682899                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.3170       0.682974                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.3170       0.683050                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.3169       0.683125                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.3168       0.683201                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.3167       0.683277                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.3166       0.683353                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.3166       0.683428                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.3165       0.683504                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.3164       0.683580                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.3163       0.683656                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.3163       0.683732                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.3162       0.683809                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.3161       0.683885                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.3160       0.683961                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.3160       0.684037                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.3159       0.684114                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.3158       0.684190                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.3157       0.684267                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.3157       0.684343                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.3156       0.684420                 NaN            NaN            NaN            NaN            NaN
