|6.6.6
Archiving\03_Data\eq/QFM_m3/GRV/GRV_4.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00                 NaN
  1881.41        2500.00                 NaN
  1878.21        2500.00                 NaN
  1875.00        2500.00                 NaN
  1871.79        2500.00                 NaN
  1868.59        2500.00                 NaN
  1865.38        2500.00                 NaN
  1862.18        2500.00                 NaN
  1858.97        2500.00                 NaN
  1855.77        2500.00                 NaN
  1852.56        2500.00                 NaN
  1849.36        2500.00                 NaN
  1846.15        2500.00                 NaN
  1842.95        2500.00                 NaN
  1839.74        2500.00                 NaN
  1836.54        2500.00                 NaN
  1833.33        2500.00                 NaN
  1830.13        2500.00                 NaN
  1826.92        2500.00                 NaN
  1823.72        2500.00                 NaN
  1820.51        2500.00       0.306033E-004
  1817.31        2500.00       0.461436E-003
  1814.10        2500.00       0.892165E-003
  1810.90        2500.00       0.132279E-002
  1807.69        2500.00       0.175331E-002
  1804.49        2500.00       0.218372E-002
  1801.28        2500.00       0.261403E-002
  1798.08        2500.00       0.304424E-002
  1794.87        2500.00       0.347434E-002
  1791.67        2500.00       0.389343E-002
  1788.46        2500.00       0.431242E-002
  1785.26        2500.00       0.473131E-002
  1782.05        2500.00       0.515010E-002
  1778.85        2500.00       0.555717E-002
  1775.64        2500.00       0.596414E-002
  1772.44        2500.00       0.636532E-002
  1769.23        2500.00       0.676825E-002
  1766.03        2500.00       0.715290E-002
  1762.82        2500.00       0.753747E-002
  1759.62        2500.00       0.792194E-002
  1756.41        2500.00       0.830632E-002
  1753.21        2500.00       0.869061E-002
  1750.00        2500.00       0.907480E-002
  1746.79        2500.00       0.945891E-002
  1743.59        2500.00       0.984292E-002
  1740.38        2500.00       0.101926E-001
  1737.18        2500.00       0.105422E-001
  1733.97        2500.00       0.108918E-001
  1730.77        2500.00       0.112412E-001
  1727.56        2500.00       0.115906E-001
  1724.36        2500.00       0.119398E-001
  1721.15        2500.00       0.122890E-001
  1717.95        2500.00       0.126382E-001
  1714.74        2500.00       0.129597E-001
  1711.54        2500.00       0.132811E-001
  1708.33        2500.00       0.136024E-001
  1705.13        2500.00       0.139237E-001
  1701.92        2500.00       0.142449E-001
  1698.72        2500.00       0.145660E-001
  1695.51        2500.00       0.148871E-001
  1692.31        2500.00       0.152081E-001
  1689.10        2500.00       0.155075E-001
  1685.90        2500.00       0.158068E-001
  1682.69        2500.00       0.161060E-001
  1679.49        2500.00       0.164052E-001
  1676.28        2500.00       0.166969E-001
  1673.08        2500.00       0.169885E-001
  1669.87        2500.00       0.172240E-001
  1666.67        2500.00       0.174117E-001
  1663.46        2500.00       0.175114E-001
  1660.26        2500.00       0.176111E-001
  1657.05        2500.00       0.177108E-001
  1653.85        2500.00       0.178104E-001
  1650.64        2500.00       0.179101E-001
  1647.44        2500.00       0.180097E-001
  1644.23        2500.00       0.181093E-001
  1641.03        2500.00       0.182088E-001
  1637.82        2500.00       0.181853E-001
  1634.62        2500.00       0.181617E-001
  1631.41        2500.00       0.181381E-001
  1628.21        2500.00       0.181146E-001
  1625.00        2500.00       0.180911E-001
  1621.79        2500.00       0.180675E-001
  1618.59        2500.00       0.180440E-001
  1615.38        2500.00       0.180205E-001
  1612.18        2500.00       0.178722E-001
  1608.97        2500.00       0.177240E-001
  1605.77        2500.00       0.175758E-001
  1602.56        2500.00       0.174277E-001
  1599.36        2500.00       0.172795E-001
  1596.15        2500.00       0.171315E-001
  1592.95        2500.00       0.169834E-001
  1589.74        2500.00       0.168354E-001
  1586.54        2500.00       0.165646E-001
  1583.33        2500.00       0.162938E-001
  1580.13        2500.00       0.160230E-001
  1576.92        2500.00       0.157524E-001
  1573.72        2500.00       0.154014E-001
  1570.51        2500.00       0.150506E-001
  1567.31        2500.00       0.151012E-001
  1564.10        2500.00       0.151820E-001
  1560.90        2500.00       0.151845E-001
  1557.69        2500.00       0.151871E-001
  1554.49        2500.00       0.151897E-001
  1551.28        2500.00       0.151924E-001
  1548.08        2500.00       0.150529E-001
  1544.87        2500.00       0.147523E-001
  1541.67        2500.00       0.147507E-001
  1538.46        2500.00       0.133477E-001
  1535.26        2500.00       0.133462E-001
  1532.05        2500.00       0.133447E-001
  1528.85        2500.00       0.133432E-001
  1525.64        2500.00       0.133417E-001
  1522.44        2500.00       0.133402E-001
  1519.23        2500.00       0.133387E-001
  1516.03        2500.00       0.133373E-001
  1512.82        2500.00       0.100410E-001
  1509.62        2500.00       0.100399E-001
  1506.41        2500.00       0.100388E-001
  1503.21        2500.00       0.100377E-001
  1500.00        2500.00       0.100366E-001
  1496.79        2500.00       0.100355E-001
  1493.59        2500.00       0.100344E-001
  1490.38        2500.00       0.100334E-001
  1487.18        2500.00       0.828853E-002
  1483.97        2500.00       0.828763E-002
  1480.77        2500.00       0.828674E-002
  1477.56        2500.00       0.828585E-002
  1474.36        2500.00       0.828496E-002
  1471.15        2500.00       0.828407E-002
  1467.95        2500.00       0.828318E-002
  1464.74        2500.00       0.828229E-002
  1461.54        2500.00       0.758446E-002
  1458.33        2500.00       0.758366E-002
  1455.13        2500.00       0.758285E-002
  1451.92        2500.00       0.758205E-002
  1448.72        2500.00       0.758124E-002
  1445.51        2500.00       0.758044E-002
  1442.31        2500.00       0.757964E-002
  1439.10        2500.00       0.757883E-002
  1435.90        2500.00       0.752916E-002
  1432.69        2500.00       0.752837E-002
  1429.49        2500.00       0.752758E-002
  1426.28        2500.00       0.752680E-002
  1423.08        2500.00       0.752601E-002
  1419.87        2500.00       0.752522E-002
  1416.67        2500.00       0.752443E-002
  1413.46        2500.00       0.752364E-002
  1410.26        2500.00       0.803334E-002
  1407.05        2500.00       0.803251E-002
  1403.85        2500.00       0.803168E-002
  1400.64        2500.00       0.803084E-002
  1397.44        2500.00       0.844434E-002
  1394.23        2500.00       0.854768E-002
  1391.03        2500.00       0.865324E-002
  1387.82        2500.00       0.865235E-002
  1384.62        2500.00       0.886883E-002
  1381.41        2500.00       0.886791E-002
  1378.21        2500.00       0.886700E-002
  1375.00        2500.00       0.886609E-002
  1371.79        2500.00       0.886518E-002
  1368.59        2500.00       0.886427E-002
  1365.38        2500.00       0.886336E-002
  1362.18        2500.00       0.886245E-002
  1358.97        2500.00       0.982037E-002
  1355.77        2500.00       0.981937E-002
  1352.56        2500.00       0.981836E-002
  1349.36        2500.00       0.981736E-002
  1346.15        2500.00       0.981636E-002
  1342.95        2500.00       0.981535E-002
  1339.74        2500.00       0.981435E-002
  1336.54        2500.00       0.981335E-002
  1333.33        2500.00       0.109653E-001
  1330.13        2500.00       0.109642E-001
  1326.92        2500.00       0.109630E-001
  1323.72        2500.00       0.109619E-001
  1320.51        2500.00       0.109608E-001
  1317.31        2500.00       0.109597E-001
  1314.10        2500.00       0.109586E-001
  1310.90        2500.00       0.109575E-001
  1307.69        2500.00       0.122468E-001
  1304.49        2500.00       0.122455E-001
  1301.28        2500.00       0.122443E-001
  1298.08        2500.00       0.122431E-001
  1294.87        2500.00       0.122418E-001
  1291.67        2500.00       0.122406E-001
  1288.46        2500.00       0.122393E-001
  1285.26        2500.00       0.122381E-001
  1282.05        2500.00       0.136651E-001
  1278.85        2500.00       0.136637E-001
  1275.64        2500.00       0.136623E-001
  1272.44        2500.00       0.136609E-001
  1269.23        2500.00       0.136596E-001
  1266.03        2500.00       0.136582E-001
  1262.82        2500.00       0.136568E-001
  1259.62        2500.00       0.136555E-001
  1256.41        2500.00       0.152012E-001
  1253.21        2500.00       0.151997E-001
  1250.00        2500.00       0.151982E-001
  1246.79        2500.00       0.151967E-001
  1243.59        2500.00       0.151952E-001
  1240.38        2500.00       0.151936E-001
  1237.18        2500.00       0.151921E-001
  1233.97        2500.00       0.151906E-001
  1230.77        2500.00       0.168535E-001
