|6.6.6
Archiving\03_Data\eq/QFM_m4.75/KHA22/KHA22_2.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00                 NaN
  1881.41        2500.00                 NaN
  1878.21        2500.00                 NaN
  1875.00        2500.00       0.262095E-004
  1871.79        2500.00       0.313218E-004
  1868.59        2500.00       0.500315E-004
  1865.38        2500.00       0.687412E-004
  1862.18        2500.00       0.874509E-004
  1858.97        2500.00       0.106161E-003
  1855.77        2500.00       0.124870E-003
  1852.56        2500.00       0.143580E-003
  1849.36        2500.00       0.162290E-003
  1846.15        2500.00       0.180999E-003
  1842.95        2500.00       0.199008E-003
  1839.74        2500.00       0.217016E-003
  1836.54        2500.00       0.234608E-003
  1833.33        2500.00       0.251027E-003
  1830.13        2500.00       0.267129E-003
  1826.92        2500.00       0.283230E-003
  1823.72        2500.00       0.299331E-003
  1820.51        2500.00       0.315433E-003
  1817.31        2500.00       0.330469E-003
  1814.10        2500.00       0.345505E-003
  1810.90        2500.00       0.360541E-003
  1807.69        2500.00       0.375577E-003
  1804.49        2500.00       0.390613E-003
  1801.28        2500.00       0.405650E-003
  1798.08        2500.00       0.420686E-003
  1794.87        2500.00       0.435722E-003
  1791.67        2500.00       0.449958E-003
  1788.46        2500.00       0.464195E-003
  1785.26        2500.00       0.478431E-003
  1782.05        2500.00       0.492667E-003
  1778.85        2500.00       0.506429E-003
  1775.64        2500.00       0.520191E-003
  1772.44        2500.00       0.533854E-003
  1769.23        2500.00       0.546672E-003
  1766.03        2500.00       0.559583E-003
  1762.82        2500.00       0.572495E-003
  1759.62        2500.00       0.585406E-003
  1756.41        2500.00       0.598317E-003
  1753.21        2500.00       0.611229E-003
  1750.00        2500.00       0.624140E-003
  1746.79        2500.00       0.637051E-003
  1743.59        2500.00       0.649963E-003
  1740.38        2500.00       0.661961E-003
  1737.18        2500.00       0.673958E-003
  1733.97        2500.00       0.685956E-003
  1730.77        2500.00       0.697954E-003
  1727.56        2500.00       0.709952E-003
  1724.36        2500.00       0.721950E-003
  1721.15        2500.00       0.733948E-003
  1717.95        2500.00       0.745946E-003
  1714.74        2500.00       0.757141E-003
  1711.54        2500.00       0.768337E-003
  1708.33        2500.00       0.779533E-003
  1705.13        2500.00       0.790728E-003
  1701.92        2500.00       0.801924E-003
  1698.72        2500.00       0.813119E-003
  1695.51        2500.00       0.824315E-003
  1692.31        2500.00       0.835511E-003
  1689.10        2500.00       0.846584E-003
  1685.90        2500.00       0.857657E-003
  1682.69        2500.00       0.868730E-003
  1679.49        2500.00       0.879803E-003
  1676.28        2500.00       0.890876E-003
  1673.08        2500.00       0.901949E-003
  1669.87        2500.00       0.913023E-003
  1666.67        2500.00       0.924096E-003
  1663.46        2500.00       0.933504E-003
  1660.26        2500.00       0.942912E-003
  1657.05        2500.00       0.952320E-003
  1653.85        2500.00       0.961729E-003
  1650.64        2500.00       0.971137E-003
  1647.44        2500.00       0.980545E-003
  1644.23        2500.00       0.989953E-003
  1641.03        2500.00       0.999361E-003
  1637.82        2500.00       0.100506E-002
  1634.62        2500.00       0.997580E-003
  1631.41        2500.00       0.989987E-003
  1628.21        2500.00       0.982393E-003
  1625.00        2500.00       0.974630E-003
  1621.79        2500.00       0.966868E-003
  1618.59        2500.00       0.959106E-003
  1615.38        2500.00       0.951343E-003
  1612.18        2500.00       0.943115E-003
  1608.97        2500.00       0.934887E-003
  1605.77        2500.00       0.926660E-003
  1602.56        2500.00       0.918432E-003
  1599.36        2500.00       0.910204E-003
  1596.15        2500.00       0.901976E-003
  1592.95        2500.00       0.893748E-003
  1589.74        2500.00       0.885520E-003
  1586.54        2500.00       0.876676E-003
  1583.33        2500.00       0.867832E-003
  1580.13        2500.00       0.858988E-003
  1576.92        2500.00       0.850144E-003
  1573.72        2500.00       0.841299E-003
  1570.51        2500.00       0.832455E-003
  1567.31        2500.00       0.823611E-003
  1564.10        2500.00       0.814767E-003
  1560.90        2500.00       0.805376E-003
  1557.69        2500.00       0.795985E-003
  1554.49        2500.00       0.786594E-003
  1551.28        2500.00       0.777203E-003
  1548.08        2500.00       0.767812E-003
  1544.87        2500.00       0.758422E-003
  1541.67        2500.00       0.749031E-003
  1538.46        2500.00       0.739640E-003
  1535.26        2500.00       0.729249E-003
  1532.05        2500.00       0.718858E-003
  1528.85        2500.00       0.708467E-003
  1525.64        2500.00       0.698077E-003
  1522.44        2500.00       0.687686E-003
  1519.23        2500.00       0.677295E-003
  1516.03        2500.00       0.666904E-003
  1512.82        2500.00       0.656514E-003
  1509.62        2500.00       0.645456E-003
  1506.41        2500.00       0.634398E-003
  1503.21        2500.00       0.623340E-003
  1500.00        2500.00       0.612282E-003
  1496.79        2500.00       0.601225E-003
  1493.59        2500.00       0.590167E-003
  1490.38        2500.00       0.579109E-003
  1487.18        2500.00       0.568051E-003
  1483.97        2500.00       0.556779E-003
  1480.77        2500.00       0.545507E-003
  1477.56        2500.00       0.536782E-003
  1474.36        2500.00       0.539659E-003
  1471.15        2500.00       0.544610E-003
  1467.95        2500.00       0.549561E-003
  1464.74        2500.00       0.554512E-003
  1461.54        2500.00       0.559463E-003
  1458.33        2500.00       0.566834E-003
  1455.13        2500.00       0.582058E-003
  1451.92        2500.00       0.582058E-003
  1448.72        2500.00       0.622055E-003
  1445.51        2500.00       0.622055E-003
  1442.31        2500.00       0.622055E-003
  1439.10        2500.00       0.622055E-003
  1435.90        2500.00       0.701598E-003
  1432.69        2500.00       0.701598E-003
  1429.49        2500.00       0.701598E-003
  1426.28        2500.00       0.701598E-003
  1423.08        2500.00       0.701598E-003
  1419.87        2500.00       0.701598E-003
  1416.67        2500.00       0.701598E-003
  1413.46        2500.00       0.701598E-003
  1410.26        2500.00       0.865577E-003
  1407.05        2500.00       0.865577E-003
  1403.85        2500.00       0.907296E-003
  1400.64        2500.00       0.927987E-003
  1397.44        2500.00       0.941143E-003
  1394.23        2500.00       0.941143E-003
  1391.03        2500.00       0.941143E-003
  1387.82        2500.00       0.941143E-003
  1384.62        2500.00       0.977979E-003
  1381.41        2500.00       0.977979E-003
  1378.21        2500.00       0.977979E-003
  1375.00        2500.00       0.977979E-003
  1371.79        2500.00       0.977979E-003
  1368.59        2500.00       0.977979E-003
  1365.38        2500.00       0.977979E-003
  1362.18        2500.00       0.977979E-003
  1358.97        2500.00       0.104701E-002
  1355.77        2500.00       0.104701E-002
  1352.56        2500.00       0.104701E-002
  1349.36        2500.00       0.104701E-002
  1346.15        2500.00       0.104701E-002
  1342.95        2500.00       0.104701E-002
  1339.74        2500.00       0.104701E-002
  1336.54        2500.00       0.104701E-002
  1333.33        2500.00       0.111114E-002
  1330.13        2500.00       0.111114E-002
  1326.92        2500.00       0.112652E-002
  1323.72        2500.00       0.113437E-002
  1320.51        2500.00       0.117562E-002
  1317.31        2500.00       0.118093E-002
  1314.10        2500.00       0.118520E-002
  1310.90        2500.00       0.118520E-002
  1307.69        2500.00       0.119440E-002
  1304.49        2500.00       0.119440E-002
  1301.28        2500.00       0.119440E-002
  1298.08        2500.00       0.119440E-002
  1294.87        2500.00       0.119440E-002
  1291.67        2500.00       0.119440E-002
  1288.46        2500.00       0.119440E-002
  1285.26        2500.00       0.119440E-002
  1282.05        2500.00       0.123349E-002
  1278.85        2500.00       0.123349E-002
  1275.64        2500.00       0.123349E-002
  1272.44        2500.00       0.123349E-002
  1269.23        2500.00       0.123349E-002
  1266.03        2500.00       0.123349E-002
  1262.82        2500.00       0.123349E-002
  1259.62        2500.00       0.123349E-002
  1256.41        2500.00       0.127582E-002
  1253.21        2500.00       0.127582E-002
  1250.00        2500.00       0.127582E-002
  1246.79        2500.00       0.127582E-002
  1243.59        2500.00       0.127582E-002
  1240.38        2500.00       0.127582E-002
