|6.6.6
Archiving\03_Data\eq/QFM_m4/EETA/EETA_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        98.9997       0.968574       0.316980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        98.9997       0.968574       0.316980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        98.9997       0.968574       0.316980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        98.9997       0.968573       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        98.9997       0.968573       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        98.9997       0.968572       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        98.9997       0.968572       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        98.9997       0.968572       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.9997       0.968571       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.9997       0.968571       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.9997       0.968571       0.316979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.9997       0.968570       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.9997       0.968570       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.9997       0.968569       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.9997       0.968569       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.9997       0.968569       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.9997       0.968568       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9997       0.968568       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.9997       0.968567       0.316978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.9997       0.968567       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.9997       0.968567       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.9997       0.968566       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.9997       0.968566       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.9997       0.968565       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.9997       0.968565       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.9997       0.968564       0.316977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.9997       0.968564       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        98.9997       0.968563       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.9997       0.968563       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        98.9997       0.968563       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.9997       0.968562       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.9997       0.968562       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.9997       0.968561       0.316976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        98.9997       0.968561       0.316975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.9997       0.968560       0.316975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        98.9997       0.968560       0.316975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        98.9997       0.968559       0.316975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        98.9997       0.968559       0.316975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        98.9997       0.968558       0.316974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        98.9997       0.968557       0.316974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        98.9997       0.968557       0.316974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        98.9997       0.968556       0.316974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        98.9997       0.968556       0.316974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        98.9997       0.968555       0.316974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        98.9997       0.968555       0.316973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        98.9997       0.968554       0.316973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        98.9997       0.968554       0.316973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        98.9997       0.968553       0.316973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        98.9998       0.968552       0.316973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        98.9998       0.968552       0.316972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        98.9998       0.968551       0.316972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        98.9998       0.968551       0.316972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        98.9998       0.968550       0.316972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        98.9998       0.968549       0.316972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        98.9998       0.968549       0.316971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        98.9998       0.968548       0.316971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        98.9998       0.968548       0.316971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        98.9998       0.968547       0.316971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        98.9998       0.968546       0.316971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        98.9998       0.968545       0.316970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        98.9998       0.968545       0.316970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        98.9998       0.968544       0.316970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        98.9998       0.968543       0.316970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        98.9998       0.968543       0.316969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        98.9998       0.968542       0.316969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        98.9998       0.968541       0.316969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        98.9998       0.968541       0.316969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        98.9998       0.968540       0.316969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        98.9998       0.968539       0.316968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        98.9998       0.968538       0.316968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        98.9998       0.968538       0.316968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        98.9998       0.968537       0.316968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        98.9998       0.968536       0.316967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        98.9998       0.968535       0.316967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        98.9998       0.968535       0.316967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        98.9998       0.968534       0.316967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        98.9998       0.968533       0.316966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        98.9998       0.968532       0.316966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        98.9998       0.968531       0.316966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        98.9998       0.968531       0.316966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        98.9998       0.968530       0.316965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        98.9998       0.968529       0.316965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        98.9998       0.968528       0.316965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        98.9998       0.968527       0.316964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        98.9998       0.968526       0.316964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        98.9998       0.968525       0.316964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        98.9998       0.968524       0.316964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        98.9998       0.968524       0.316963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        98.9998       0.968523       0.316963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        98.9998       0.968522       0.316963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        98.9998       0.968521       0.316962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        98.9998       0.968520       0.316962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        98.9998       0.968519       0.316962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        98.9998       0.968518       0.316961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        98.9998       0.968517       0.316961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        98.9998       0.968516       0.316961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        98.9998       0.968515       0.316960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        98.9998       0.968514       0.316960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        98.9998       0.968513       0.316960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.9998       0.968512       0.316959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        98.9998       0.968511       0.316959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        98.9998       0.968510       0.316959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        98.9998       0.968509       0.316958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        98.9998       0.968508       0.316958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.9998       0.968507       0.316958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.9998       0.968506       0.316957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        98.9981       0.968504       0.316957E-001  0.168937E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        98.9926       0.968503       0.316957E-001  0.724788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        98.9870       0.968502       0.316956E-001  0.128064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        98.9713       0.968501       0.316956E-001  0.284955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        98.9556       0.968500       0.316955E-001  0.441846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        98.9399       0.968498       0.316955E-001  0.598737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
