|6.6.6
Archiving\03_Data\eq/QFM_m4/WD94/WD94_6.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        4962.58     
  1996.79        2500.00        4963.49     
  1993.59        2500.00        4964.40     
  1990.38        2500.00        4965.31     
  1987.18        2500.00        4966.22     
  1983.97        2500.00        4967.13     
  1980.77        2500.00        4968.03     
  1977.56        2500.00        4968.94     
  1974.36        2500.00        4969.85     
  1971.15        2500.00        4970.76     
  1967.95        2500.00        4971.66     
  1964.74        2500.00        4972.57     
  1961.54        2500.00        4973.47     
  1958.33        2500.00        4974.37     
  1955.13        2500.00        4975.28     
  1951.92        2500.00        4976.18     
  1948.72        2500.00        4977.08     
  1945.51        2500.00        4977.98     
  1942.31        2500.00        4978.88     
  1939.10        2500.00        4979.78     
  1935.90        2500.00        4980.68     
  1932.69        2500.00        4981.58     
  1929.49        2500.00        4982.48     
  1926.28        2500.00        4983.38     
  1923.08        2500.00        4984.27     
  1919.87        2500.00        4985.17     
  1916.67        2500.00        4986.06     
  1913.46        2500.00        4986.96     
  1910.26        2500.00        4987.85     
  1907.05        2500.00        4988.75     
  1903.85        2500.00        3786.43     
  1900.64        2500.00        3496.81     
  1897.44        2500.00        3396.56     
  1894.23        2500.00        3347.72     
  1891.03        2500.00        3285.23     
  1887.82        2500.00        3236.38     
  1884.62        2500.00        3234.26     
  1881.41        2500.00        3233.36     
  1878.21        2500.00        3232.69     
  1875.00        2500.00        3232.19     
  1871.79        2500.00        3231.82     
  1868.59        2500.00        3232.93     
  1865.38        2500.00        3233.95     
  1862.18        2500.00        3235.21     
  1858.97        2500.00        3237.18     
  1855.77        2500.00        3239.54     
  1852.56        2500.00        3241.71     
  1849.36        2500.00        3243.73     
  1846.15        2500.00        3245.62     
  1842.95        2500.00        3248.17     
  1839.74        2500.00        3250.56     
  1836.54        2500.00        3252.82     
  1833.33        2500.00        3254.94     
  1830.13        2500.00        3256.95     
  1826.92        2500.00        3258.86     
  1823.72        2500.00        3260.68     
  1820.51        2500.00        3262.41     
  1817.31        2500.00        3264.79     
  1814.10        2500.00        3267.06     
  1810.90        2500.00        3269.23     
  1807.69        2500.00        3271.31     
  1804.49        2500.00        3273.31     
  1801.28        2500.00        3275.23     
  1798.08        2500.00        3277.08     
  1794.87        2500.00        3278.87     
  1791.67        2500.00        3281.04     
  1788.46        2500.00        3283.14     
  1785.26        2500.00        3285.17     
  1782.05        2500.00        3287.13     
  1778.85        2500.00        3289.03     
  1775.64        2500.00        3290.88     
  1772.44        2500.00        3292.67     
  1769.23        2500.00        3294.42     
  1766.03        2500.00        3296.37     
  1762.82        2500.00        3298.27     
  1759.62        2500.00        3300.13     
  1756.41        2500.00        3301.94     
  1753.21        2500.00        3303.70     
  1750.00        2500.00        3305.42     
  1746.79        2500.00        3307.10     
  1743.59        2500.00        3308.74     
  1740.38        2500.00        3310.48     
  1737.18        2500.00        3312.19     
  1733.97        2500.00        3313.85     
  1730.77        2500.00        3315.49     
  1727.56        2500.00        3317.09     
  1724.36        2500.00        3318.66     
  1721.15        2500.00        3320.21     
  1717.95        2500.00        3321.72     
  1714.74        2500.00        3323.25     
  1711.54        2500.00        3324.76     
  1708.33        2500.00        3326.24     
  1705.13        2500.00        3327.70     
  1701.92        2500.00        3329.13     
  1698.72        2500.00        3330.55     
  1695.51        2500.00        3331.94     
  1692.31        2500.00        3333.31     
  1689.10        2500.00        3334.53     
  1685.90        2500.00        3335.74     
  1682.69        2500.00        3336.93     
  1679.49        2500.00        3338.11     
  1676.28        2500.00        3339.27     
  1673.08        2500.00        3340.42     
  1669.87        2500.00        3341.56     
  1666.67        2500.00        3342.68     
  1663.46        2500.00        3343.91     
  1660.26        2500.00        3345.13     
  1657.05        2500.00        3346.33     
  1653.85        2500.00        3347.53     
  1650.64        2500.00        3348.71     
  1647.44        2500.00        3349.88     
  1644.23        2500.00        3351.03     
  1641.03        2500.00        3352.18     
  1637.82        2500.00        3351.68     
  1634.62        2500.00        3350.72     
  1631.41        2500.00        3349.96     
  1628.21        2500.00        3349.24     
  1625.00        2500.00        3348.75     
  1621.79        2500.00        3348.29     
  1618.59        2500.00        3347.85     
  1615.38        2500.00        3347.44     
  1612.18        2500.00        3347.25     
  1608.97        2500.00        3347.07     
  1605.77        2500.00        3346.91     
  1602.56        2500.00        3346.76     
  1599.36        2500.00        3346.62     
  1596.15        2500.00        3346.50     
  1592.95        2500.00        3346.38     
  1589.74        2500.00        3346.28     
  1586.54        2500.00        3346.35     
  1583.33        2500.00        3346.43     
  1580.13        2500.00        3346.51     
  1576.92        2500.00        3346.60     
  1573.72        2500.00        3346.70     
  1570.51        2500.00        3346.80     
  1567.31        2500.00        3346.90     
  1564.10        2500.00        3347.02     
  1560.90        2500.00        3347.19     
  1557.69        2500.00        3347.38     
  1554.49        2500.00        3347.56     
  1551.28        2500.00        3347.75     
  1548.08        2500.00        3347.95     
  1544.87        2500.00        3348.14     
  1541.67        2500.00        3348.34     
  1538.46        2500.00        3348.54     
  1535.26        2500.00        3348.79     
  1532.05        2500.00        3349.04     
  1528.85        2500.00        3349.29     
  1525.64        2500.00        3349.54     
  1522.44        2500.00        3349.80     
  1519.23        2500.00        3350.06     
  1516.03        2500.00        3350.32     
  1512.82        2500.00        3350.58     
  1509.62        2500.00        3350.84     
  1506.41        2500.00        3351.11     
  1503.21        2500.00        3351.38     
  1500.00        2500.00        3351.65     
  1496.79        2500.00        3351.92     
  1493.59        2500.00        3352.20     
  1490.38        2500.00        3352.47     
  1487.18        2500.00        3352.75     
  1483.97        2500.00        3353.06     
  1480.77        2500.00        3353.38     
  1477.56        2500.00        3353.73     
  1474.36        2500.00        3354.06     
  1471.15        2500.00        3354.35     
  1467.95        2500.00        3354.64     
  1464.74        2500.00        3354.93     
  1461.54        2500.00        3355.22     
  1458.33        2500.00        3355.56     
  1455.13        2500.00        3355.91     
  1451.92        2500.00        3356.36     
  1448.72        2500.00        3356.56     
  1445.51        2500.00        3357.01     
  1442.31        2500.00        3357.45     
  1439.10        2500.00        3357.90     
  1435.90        2500.00        3357.87     
  1432.69        2500.00        3358.32     
  1429.49        2500.00        3358.76     
  1426.28        2500.00        3359.20     
  1423.08        2500.00        3359.64     
  1419.87        2500.00        3360.09     
  1416.67        2500.00        3360.53     
  1413.46        2500.00        3360.97     
  1410.26        2500.00        3360.76     
  1407.05        2500.00        3360.42     
  1403.85        2500.00        3359.83     
  1400.64        2500.00        3360.27     
  1397.44        2500.00        3358.81     
  1394.23        2500.00        3359.24     
  1391.03        2500.00        3359.68     
  1387.82        2500.00        3360.12     
  1384.62        2500.00        3357.27     
  1381.41        2500.00        3357.70     
  1378.21        2500.00        3358.14     
  1375.00        2500.00        3358.57     
  1371.79        2500.00        3359.01     
  1368.59        2500.00        3359.44     
  1365.38        2500.00        3359.87     
  1362.18        2500.00        3360.31     
  1358.97        2500.00        3355.51     
  1355.77        2500.00        3355.94     
  1352.56        2500.00        3356.37     
  1349.36        2500.00        3356.80     
  1346.15        2500.00        3357.23     
  1342.95        2500.00        3357.66     
  1339.74        2500.00        3358.09     
  1336.54        2500.00        3358.52     
  1333.33        2500.00        3354.88     
  1330.13        2500.00        3355.30     
  1326.92        2500.00        3354.84     
  1323.72        2500.00        3354.83     
  1320.51        2500.00        3335.18     
  1317.31        2500.00        3322.19     
  1314.10        2500.00        3322.53     
  1310.90        2500.00        3322.95     
  1307.69        2500.00        3323.23     
  1304.49        2500.00        3323.65     
  1301.28        2500.00        3324.06     
  1298.08        2500.00        3324.48     
  1294.87        2500.00        3324.89     
  1291.67        2500.00        3325.31     
  1288.46        2500.00        3325.72     
  1285.26        2500.00        3326.14     
  1282.05        2500.00        3326.05     
  1278.85        2500.00        3326.46     
  1275.64        2500.00        3326.87     
  1272.44        2500.00        3327.28     
  1269.23        2500.00        3327.70     
  1266.03        2500.00        3328.11     
  1262.82        2500.00        3328.52     
  1259.62        2500.00        3328.93     
  1256.41        2500.00        3328.90     
  1253.21        2500.00        3329.31     
  1250.00        2500.00        3329.73     
  1246.79        2500.00        3330.14     
  1243.59        2500.00        3330.55     
  1240.38        2500.00        3330.96     
  1237.18        2500.00        3331.37     
  1233.97        2500.00        3331.78     
  1230.77        2500.00        3331.81     
  1227.56        2500.00        3332.22     
  1224.36        2500.00        3332.63     
  1221.15        2500.00        3333.04     
  1217.95        2500.00        3333.45     
  1214.74        2500.00        3333.85     
  1211.54        2500.00        3334.26     
  1208.33        2500.00        3334.67     
  1205.13        2500.00        3334.76     
  1201.92        2500.00        3335.17     
  1198.72        2500.00        3335.58     
  1195.51        2500.00        3335.98     
  1192.31        2500.00        3336.39     
  1189.10        2500.00        3336.80     
  1185.90        2500.00        3337.20     
  1182.69        2500.00        3337.61     
  1179.49        2500.00        3337.76     
  1176.28        2500.00        3338.17     
  1173.08        2500.00        3338.57     
  1169.87        2500.00        3338.98     
  1166.67        2500.00        3339.38     
  1163.46        2500.00        3339.79     
  1160.26        2500.00        3340.19     
  1157.05        2500.00        3340.59     
  1153.85        2500.00        3340.81     
  1150.64        2500.00        3341.21     
  1147.44        2500.00        3341.61     
  1144.23        2500.00        3342.01     
  1141.03        2500.00        3342.42     
  1137.82        2500.00        3342.82     
  1134.62        2500.00        3343.22     
  1131.41        2500.00        3343.62     
  1128.21        2500.00        3343.90     
  1125.00        2500.00        3344.30     
  1121.79        2500.00        3344.70     
  1118.59        2500.00        3345.10     
  1115.38        2500.00        3345.50     
  1112.18        2500.00        3345.90     
  1108.97        2500.00        3346.30     
  1105.77        2500.00        3346.70     
  1102.56        2500.00        3347.04     
  1099.36        2500.00        3347.43     
  1096.15        2500.00        3347.83     
  1092.95        2500.00        3348.23     
  1089.74        2500.00        3348.63     
  1086.54        2500.00        3349.03     
  1083.33        2500.00        3349.42     
  1080.13        2500.00        3349.82     
  1076.92        2500.00        3350.25     
  1073.72        2500.00        3350.65     
  1070.51        2500.00        3351.05     
  1067.31        2500.00        3351.44     
  1064.10        2500.00        3351.84     
  1060.90        2500.00        3352.23     
  1057.69        2500.00        3352.63     
  1054.49        2500.00        3353.03     
  1051.28        2500.00        3353.53     
  1048.08        2500.00        3353.92     
  1044.87        2500.00        3354.35     
  1041.67        2500.00        3354.77     
  1038.46        2500.00        3355.22     
  1035.26        2500.00        3355.61     
  1032.05        2500.00        3356.11     
  1028.85        2500.00        3356.54     
  1025.64        2500.00        3356.97     
  1022.44        2500.00        3357.36     
  1019.23        2500.00        3357.76     
  1016.03        2500.00        3358.16     
  1012.82        2500.00        3358.55     
  1009.62        2500.00        3358.95     
  1006.41        2500.00        3359.34     
  1003.21        2500.00        3359.74     
  1000.00        2500.00        3360.32     
