|6.6.6
Archiving\03_Data\eq/QFM_m5/WD94/WD94_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        92.8935       0.865847        6.24064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        92.8684       0.865909        6.26566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        92.8433       0.865970        6.29069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        92.8182       0.866031        6.31573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        92.7931       0.866092        6.34077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        92.7680       0.866153        6.36581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        92.7429       0.866214        6.39085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        92.7178       0.866275        6.41590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        92.6927       0.866337        6.44095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        92.6683       0.866396        6.46529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        92.6439       0.866455        6.48964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        92.6195       0.866515        6.51398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        92.5951       0.866574        6.53833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        92.5707       0.866634        6.56269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        92.5463       0.866693        6.58704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        92.5218       0.866753        6.61140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        92.4974       0.866812        6.63577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        92.4737       0.866870        6.65946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        92.4499       0.866928        6.68316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        92.4262       0.866986        6.70686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        92.4024       0.867043        6.73057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        92.3786       0.867101        6.75428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.3549       0.867159        6.77799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        92.3311       0.867217        6.80170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.3073       0.867275        6.82542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.2842       0.867331        6.84847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        92.2611       0.867387        6.87152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        92.2380       0.867444        6.89458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        92.2149       0.867500        6.91763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        92.1917       0.867556        6.94070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        92.1686       0.867612        6.96376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        92.1455       0.867669        6.98683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.1224       0.867725        7.00990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        92.0997       0.867780        7.03256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        92.0769       0.867836        7.05522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        91.6772       0.867856        7.06333       0.391654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        91.0523       0.867853        7.06189        1.01794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        90.4445       0.867844        7.05807        1.62960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        89.8367       0.867835        7.05425        2.24124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.2289       0.867826        7.05043        2.85287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        88.6211       0.867817        7.04661        3.46448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        88.0457       0.867794        7.03681        4.04967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        87.4704       0.867770        7.02700        4.63481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        86.8951       0.867747        7.01720        5.21993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        86.3199       0.867723        7.00740        5.80502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        85.7446       0.867700        6.99760        6.39007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        85.1694       0.867676        6.98780        6.97509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        84.5943       0.867653        6.97800        7.56008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        84.0191       0.867629        6.96820        8.14504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        83.4683       0.867590        6.95200        8.71207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        82.9176       0.867551        6.93581        9.27904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        82.3669       0.867512        6.91962        9.84597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        81.8163       0.867473        6.90343        10.4128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        81.2747       0.867427        6.88432        10.9736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        80.7331       0.867381        6.86522        11.5343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        80.1920       0.867327        6.84309        12.0975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        79.6527       0.867273        6.82070        12.6542       0.509728E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        79.1079       0.867201        6.79096        13.2128       0.211510E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        78.5631       0.867129        6.76122        13.7713       0.372020E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        78.0185       0.867057        6.73149        14.3297       0.532504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        77.4739       0.866985        6.70177        14.8881       0.692961E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        76.9294       0.866912        6.67205        15.4463       0.853392E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        76.3850       0.866840        6.64233        16.0044       0.101380                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        75.8407       0.866768        6.61262        16.5625       0.117417                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        75.2965       0.866696        6.58292        17.1205       0.133452                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        74.7551       0.866598        6.54254        17.6871       0.148687                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        74.2139       0.866500        6.50218        18.2536       0.163917                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        73.6727       0.866402        6.46182        18.8199       0.179145                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        73.1317       0.866304        6.42148        19.3861       0.194369                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        72.5908       0.866206        6.38114        19.9522       0.209589                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        72.0501       0.866108        6.34082        20.5182       0.224806                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        71.5094       0.866010        6.30050        21.0840       0.240020                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        70.9689       0.865912        6.26019        21.6498       0.255230                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        70.4204       0.865783        6.20727        22.2367       0.269833                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        69.8720       0.865655        6.15437        22.8235       0.284431                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        69.3238       0.865526        6.10149        23.4101       0.299025                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        68.7758       0.865398        6.04862        23.9966       0.313615                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        68.2279       0.865269        5.99576        24.5829       0.328201                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        67.6802       0.865141        5.94292        25.1690       0.342782                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        67.1326       0.865012        5.89010        25.7549       0.357359                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        66.5853       0.864884        5.83730        26.3406       0.371931                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        66.0284       0.864726        5.77231        26.9486       0.385953                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        65.4717       0.864568        5.70735        27.5564       0.399970                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        64.9153       0.864410        5.64242        28.1639       0.413982                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        64.3590       0.864252        5.57751        28.7712       0.427989                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        63.8030       0.864095        5.51262        29.3783       0.441991                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        63.2471       0.863937        5.44775        29.9852       0.455987                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        62.6915       0.863779        5.38291        30.5919       0.469979                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        62.1360       0.863622        5.31809        31.1983       0.483965                 NaN            NaN            NaN            NaN            NaN            NaN
