|6.6.6
Archiving\03_Data\eq/QFM_m5/Y98/Y98_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        98.3222       0.783998       0.885380       0.845151E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        98.3115       0.784140       0.895862       0.845225E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        98.3009       0.784283       0.906347       0.845300E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        98.2903       0.784425       0.916834       0.845375E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        98.2797       0.784567       0.927324       0.845450E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        98.2690       0.784709       0.937817       0.845525E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        98.2584       0.784851       0.948312       0.845600E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        98.2477       0.784992       0.958810       0.845675E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.2371       0.785134       0.969310       0.845751E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.2269       0.785273       0.979387       0.845823E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.2167       0.785412       0.989465       0.845895E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.2064       0.785551       0.999546       0.845967E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.1962       0.785689        1.00963       0.846039E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.1860       0.785828        1.01972       0.846112E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.1758       0.785967        1.02980       0.846184E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.1655       0.786105        1.03990       0.846257E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.1553       0.786244        1.04999       0.846329E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.1455       0.786380        1.05967       0.846399E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.1357       0.786515        1.06936       0.846469E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.1258       0.786651        1.07905       0.846539E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.1160       0.786787        1.08874       0.846608E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.1062       0.786922        1.09844       0.846678E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.0963       0.787058        1.10814       0.846748E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.0865       0.787193        1.11783       0.846818E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.0767       0.787329        1.12754       0.846889E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.0673       0.787461        1.13681       0.846956E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.0578       0.787594        1.14609       0.847023E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        98.0484       0.787726        1.15538       0.847090E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.0390       0.787859        1.16466       0.847157E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        98.0296       0.787991        1.17395       0.847225E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.0202       0.788124        1.18324       0.847292E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.0107       0.788256        1.19253       0.847360E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.0013       0.788388        1.20182       0.847427E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        97.9923       0.788518        1.21072       0.847492E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        97.9833       0.788647        1.21962       0.847557E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        97.9742       0.788777        1.22852       0.847622E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        97.9652       0.788906        1.23742       0.847687E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        97.9562       0.789036        1.24633       0.847752E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        97.9471       0.789165        1.25524       0.847817E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        97.9381       0.789295        1.26415       0.847882E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        97.9290       0.789424        1.27306       0.847948E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        97.9204       0.789551        1.28157       0.848010E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        97.9118       0.789677        1.29009       0.848073E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        97.9031       0.789804        1.29861       0.848135E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        97.8945       0.789930        1.30713       0.848198E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        97.8858       0.790057        1.31565       0.848261E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        97.8772       0.790183        1.32418       0.848324E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        97.8685       0.790310        1.33271       0.848387E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        97.8598       0.790436        1.34124       0.848450E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        97.8516       0.790560        1.34937       0.848510E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        97.8433       0.790684        1.35750       0.848570E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        97.8351       0.790808        1.36564       0.848630E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        97.8268       0.790931        1.37377       0.848691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        97.8185       0.791055        1.38191       0.848751E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        97.8103       0.791179        1.39005       0.848812E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        97.8020       0.791302        1.39819       0.848873E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        97.7937       0.791426        1.40633       0.848933E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        97.7859       0.791547        1.41408       0.848991E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        97.7780       0.791668        1.42183       0.849050E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        97.7701       0.791789        1.42958       0.849108E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        97.7623       0.791910        1.43734       0.849166E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        97.7544       0.792030        1.44509       0.849224E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        97.7465       0.792151        1.45285       0.849283E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        97.7386       0.792272        1.46061       0.849341E-002            NaN            NaN            NaN            NaN            NaN            NaN
