|6.6.6
Archiving\03_Data\Deq/QFM_m0.25/T13/T13_4.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00       0.370740E-003
  1913.46        2500.00       0.781513E-003
  1910.26        2500.00       0.119218E-002
  1907.05        2500.00       0.158457E-002
  1903.85        2500.00       0.197686E-002
  1900.64        2500.00       0.236905E-002
  1897.44        2500.00       0.276113E-002
  1894.23        2500.00       0.312529E-002
  1891.03        2500.00       0.348934E-002
  1887.82        2500.00       0.385331E-002
  1884.62        2500.00       0.421717E-002
  1881.41        2500.00       0.458094E-002
  1878.21        2500.00       0.494461E-002
  1875.00        2500.00       0.530819E-002
  1871.79        2500.00       0.567167E-002
  1868.59        2500.00       0.600201E-002
  1865.38        2500.00       0.633227E-002
  1862.18        2500.00       0.666244E-002
  1858.97        2500.00       0.699252E-002
  1855.77        2500.00       0.732252E-002
  1852.56        2500.00       0.765244E-002
  1849.36        2500.00       0.798227E-002
  1846.15        2500.00       0.831201E-002
  1842.95        2500.00       0.861156E-002
  1839.74        2500.00       0.891104E-002
  1836.54        2500.00       0.921044E-002
  1833.33        2500.00       0.950976E-002
  1830.13        2500.00       0.980901E-002
  1826.92        2500.00       0.101082E-001
  1823.72        2500.00       0.104073E-001
  1820.51        2500.00       0.107063E-001
  1817.31        2500.00       0.109806E-001
  1814.10        2500.00       0.112548E-001
  1810.90        2500.00       0.115290E-001
  1807.69        2500.00       0.118031E-001
  1804.49        2500.00       0.120772E-001
  1801.28        2500.00       0.123511E-001
  1798.08        2500.00       0.126250E-001
  1794.87        2500.00       0.128988E-001
  1791.67        2500.00       0.131489E-001
  1788.46        2500.00       0.133989E-001
  1785.26        2500.00       0.136488E-001
  1782.05        2500.00       0.138986E-001
  1778.85        2500.00       0.141484E-001
  1775.64        2500.00       0.143982E-001
  1772.44        2500.00       0.146479E-001
  1769.23        2500.00       0.148975E-001
  1766.03        2500.00       0.151276E-001
  1762.82        2500.00       0.153576E-001
  1759.62        2500.00       0.155876E-001
  1756.41        2500.00       0.158175E-001
  1753.21        2500.00       0.160474E-001
  1750.00        2500.00       0.162772E-001
  1746.79        2500.00       0.165070E-001
  1743.59        2500.00       0.167367E-001
  1740.38        2500.00       0.169469E-001
  1737.18        2500.00       0.171571E-001
  1733.97        2500.00       0.173671E-001
  1730.77        2500.00       0.175772E-001
  1727.56        2500.00       0.177872E-001
  1724.36        2500.00       0.179971E-001
  1721.15        2500.00       0.182070E-001
  1717.95        2500.00       0.184169E-001
  1714.74        2500.00       0.186126E-001
  1711.54        2500.00       0.188083E-001
  1708.33        2500.00       0.190040E-001
  1705.13        2500.00       0.191997E-001
  1701.92        2500.00       0.193952E-001
  1698.72        2500.00       0.195908E-001
  1695.51        2500.00       0.197863E-001
  1692.31        2500.00       0.199817E-001
  1689.10        2500.00       0.201668E-001
  1685.90        2500.00       0.203519E-001
  1682.69        2500.00       0.205370E-001
  1679.49        2500.00       0.207219E-001
  1676.28        2500.00       0.209069E-001
  1673.08        2500.00       0.210918E-001
  1669.87        2500.00       0.212767E-001
  1666.67        2500.00       0.214615E-001
  1663.46        2500.00       0.216336E-001
  1660.26        2500.00       0.218057E-001
  1657.05        2500.00       0.219778E-001
  1653.85        2500.00       0.221498E-001
  1650.64        2500.00       0.223183E-001
  1647.44        2500.00       0.224868E-001
  1644.23        2500.00       0.226525E-001
  1641.03        2500.00       0.227030E-001
  1637.82        2500.00       0.226077E-001
  1634.62        2500.00       0.225124E-001
  1631.41        2500.00       0.224171E-001
  1628.21        2500.00       0.223219E-001
  1625.00        2500.00       0.222268E-001
  1621.79        2500.00       0.221316E-001
  1618.59        2500.00       0.220365E-001
  1615.38        2500.00       0.219414E-001
  1612.18        2500.00       0.218268E-001
  1608.97        2500.00       0.217122E-001
  1605.77        2500.00       0.215977E-001
  1602.56        2500.00       0.214832E-001
  1599.36        2500.00       0.213687E-001
  1596.15        2500.00       0.212543E-001
  1592.95        2500.00       0.211399E-001
  1589.74        2500.00       0.210256E-001
  1586.54        2500.00       0.208895E-001
  1583.33        2500.00       0.207534E-001
  1580.13        2500.00       0.206173E-001
  1576.92        2500.00       0.204813E-001
  1573.72        2500.00       0.203453E-001
  1570.51        2500.00       0.202094E-001
  1567.31        2500.00       0.200735E-001
  1564.10        2500.00       0.199377E-001
  1560.90        2500.00       0.197735E-001
  1557.69        2500.00       0.196094E-001
  1554.49        2500.00       0.194453E-001
  1551.28        2500.00       0.192813E-001
  1548.08        2500.00       0.191174E-001
  1544.87        2500.00       0.189535E-001
  1541.67        2500.00       0.187896E-001
  1538.46        2500.00       0.186258E-001
  1535.26        2500.00       0.184261E-001
  1532.05        2500.00       0.182263E-001
  1528.85        2500.00       0.180267E-001
  1525.64        2500.00       0.178271E-001
  1522.44        2500.00       0.176276E-001
  1519.23        2500.00       0.174281E-001
  1516.03        2500.00       0.172287E-001
  1512.82        2500.00       0.170294E-001
  1509.62        2500.00       0.167766E-001
  1506.41        2500.00       0.165239E-001
  1503.21        2500.00       0.162713E-001
  1500.00        2500.00       0.160188E-001
  1496.79        2500.00       0.157567E-001
  1493.59        2500.00       0.154947E-001
  1490.38        2500.00       0.155252E-001
  1487.18        2500.00       0.156322E-001
  1483.97        2500.00       0.158528E-001
  1480.77        2500.00       0.160733E-001
  1477.56        2500.00       0.162939E-001
  1474.36        2500.00       0.165145E-001
  1471.15        2500.00       0.167351E-001
  1467.95        2500.00       0.169558E-001
  1464.74        2500.00       0.171764E-001
  1461.54        2500.00       0.173971E-001
  1458.33        2500.00       0.177182E-001
  1455.13        2500.00       0.180393E-001
  1451.92        2500.00       0.183603E-001
  1448.72        2500.00       0.186813E-001
  1445.51        2500.00       0.190220E-001
  1442.31        2500.00       0.195640E-001
  1439.10        2500.00       0.195619E-001
  1435.90        2500.00       0.206624E-001
  1432.69        2500.00       0.206602E-001
  1429.49        2500.00       0.206580E-001
  1426.28        2500.00       0.206558E-001
  1423.08        2500.00       0.206536E-001
  1419.87        2500.00       0.206514E-001
  1416.67        2500.00       0.206493E-001
  1413.46        2500.00       0.206471E-001
  1410.26        2500.00       0.246750E-001
  1407.05        2500.00       0.246725E-001
  1403.85        2500.00       0.246699E-001
  1400.64        2500.00       0.246673E-001
  1397.44        2500.00       0.265457E-001
  1394.23        2500.00       0.268349E-001
  1391.03        2500.00       0.270390E-001
  1387.82        2500.00       0.270362E-001
  1384.62        2500.00       0.274680E-001
  1381.41        2500.00       0.274652E-001
  1378.21        2500.00       0.274623E-001
  1375.00        2500.00       0.274595E-001
  1371.79        2500.00       0.274567E-001
  1368.59        2500.00       0.274538E-001
  1365.38        2500.00       0.274510E-001
  1362.18        2500.00       0.274482E-001
  1358.97        2500.00       0.290904E-001
  1355.77        2500.00       0.290874E-001
  1352.56        2500.00       0.290844E-001
  1349.36        2500.00       0.290814E-001
  1346.15        2500.00       0.290784E-001
  1342.95        2500.00       0.290754E-001
  1339.74        2500.00       0.290725E-001
  1336.54        2500.00       0.290695E-001
  1333.33        2500.00       0.306573E-001
  1330.13        2500.00       0.306542E-001
  1326.92        2500.00       0.306511E-001
  1323.72        2500.00       0.306479E-001
  1320.51        2500.00       0.314309E-001
  1317.31        2500.00       0.315457E-001
  1314.10        2500.00       0.316670E-001
  1310.90        2500.00       0.316638E-001
  1307.69        2500.00       0.318597E-001
  1304.49        2500.00       0.318565E-001
  1301.28        2500.00       0.318533E-001
  1298.08        2500.00       0.318501E-001
  1294.87        2500.00       0.318468E-001
  1291.67        2500.00       0.318436E-001
  1288.46        2500.00       0.318404E-001
  1285.26        2500.00       0.318372E-001
  1282.05        2500.00       0.326538E-001
  1278.85        2500.00       0.326506E-001
  1275.64        2500.00       0.326473E-001
  1272.44        2500.00       0.326440E-001
  1269.23        2500.00       0.326407E-001
  1266.03        2500.00       0.326374E-001
  1262.82        2500.00       0.326341E-001
  1259.62        2500.00       0.326308E-001
  1256.41        2500.00       0.334819E-001
  1253.21        2500.00       0.334785E-001
  1250.00        2500.00       0.334751E-001
  1246.79        2500.00       0.334718E-001
