|6.6.6
Archiving\03_Data\Deq/QFM_m0.25/YM20/YM20_6.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        3298.86     
  1996.79        2500.00        3291.89     
  1993.59        2500.00        3285.54     
  1990.38        2500.00        3279.74     
  1987.18        2500.00        3274.41     
  1983.97        2500.00        3269.52     
  1980.77        2500.00        3265.00     
  1977.56        2500.00        3260.83     
  1974.36        2500.00        3256.97     
  1971.15        2500.00        3249.07     
  1967.95        2500.00        3242.21     
  1964.74        2500.00        3236.22     
  1961.54        2500.00        3230.95     
  1958.33        2500.00        3226.29     
  1955.13        2500.00        3222.14     
  1951.92        2500.00        3218.43     
  1948.72        2500.00        3215.11     
  1945.51        2500.00        3205.91     
  1942.31        2500.00        3198.85     
  1939.10        2500.00        3193.29     
  1935.90        2500.00        3188.82     
  1932.69        2500.00        3185.18     
  1929.49        2500.00        3182.16     
  1926.28        2500.00        3179.65     
  1923.08        2500.00        3177.53     
  1919.87        2500.00        3179.63     
  1916.67        2500.00        3183.42     
  1913.46        2500.00        3185.47     
  1910.26        2500.00        3187.14     
  1907.05        2500.00        3187.55     
  1903.85        2500.00        3187.98     
  1900.64        2500.00        3188.41     
  1897.44        2500.00        3188.85     
  1894.23        2500.00        3189.97     
  1891.03        2500.00        3190.96     
  1887.82        2500.00        3191.86     
  1884.62        2500.00        3192.69     
  1881.41        2500.00        3193.46     
  1878.21        2500.00        3194.19     
  1875.00        2500.00        3194.89     
  1871.79        2500.00        3195.56     
  1868.59        2500.00        3197.31     
  1865.38        2500.00        3198.91     
  1862.18        2500.00        3200.40     
  1858.97        2500.00        3201.78     
  1855.77        2500.00        3203.08     
  1852.56        2500.00        3204.31     
  1849.36        2500.00        3205.47     
  1846.15        2500.00        3206.57     
  1842.95        2500.00        3208.54     
  1839.74        2500.00        3210.40     
  1836.54        2500.00        3212.17     
  1833.33        2500.00        3213.84     
  1830.13        2500.00        3215.43     
  1826.92        2500.00        3216.95     
  1823.72        2500.00        3218.41     
  1820.51        2500.00        3219.80     
  1817.31        2500.00        3221.67     
  1814.10        2500.00        3223.47     
  1810.90        2500.00        3225.19     
  1807.69        2500.00        3226.85     
  1804.49        2500.00        3228.45     
  1801.28        2500.00        3229.99     
  1798.08        2500.00        3231.48     
  1794.87        2500.00        3232.92     
  1791.67        2500.00        3234.78     
  1788.46        2500.00        3236.58     
  1785.26        2500.00        3238.32     
  1782.05        2500.00        3240.01     
  1778.85        2500.00        3241.64     
  1775.64        2500.00        3243.23     
  1772.44        2500.00        3244.78     
  1769.23        2500.00        3246.28     
  1766.03        2500.00        3248.02     
  1762.82        2500.00        3249.72     
  1759.62        2500.00        3251.37     
  1756.41        2500.00        3252.98     
  1753.21        2500.00        3254.55     
  1750.00        2500.00        3256.08     
  1746.79        2500.00        3257.58     
  1743.59        2500.00        3259.04     
  1740.38        2500.00        3260.66     
  1737.18        2500.00        3262.24     
  1733.97        2500.00        3263.78     
  1730.77        2500.00        3265.30     
  1727.56        2500.00        3266.78     
  1724.36        2500.00        3268.24     
  1721.15        2500.00        3269.66     
  1717.95        2500.00        3271.06     
  1714.74        2500.00        3272.52     
  1711.54        2500.00        3273.96     
  1708.33        2500.00        3275.37     
  1705.13        2500.00        3276.76     
  1701.92        2500.00        3278.12     
  1698.72        2500.00        3279.46     
  1695.51        2500.00        3280.78     
  1692.31        2500.00        3282.08     
  1689.10        2500.00        3283.38     
  1685.90        2500.00        3284.67     
  1682.69        2500.00        3285.94     
  1679.49        2500.00        3287.20     
  1676.28        2500.00        3288.43     
  1673.08        2500.00        3289.65     
  1669.87        2500.00        3290.85     
  1666.67        2500.00        3292.04     
  1663.46        2500.00        3293.19     
  1660.26        2500.00        3294.32     
  1657.05        2500.00        3295.45     
  1653.85        2500.00        3296.56     
  1650.64        2500.00        3296.60     
  1647.44        2500.00        3295.30     
  1644.23        2500.00        3294.25     
  1641.03        2500.00        3293.28     
  1637.82        2500.00        3292.78     
  1634.62        2500.00        3292.32     
  1631.41        2500.00        3291.89     
  1628.21        2500.00        3291.50     
  1625.00        2500.00        3291.14     
  1621.79        2500.00        3290.81     
  1618.59        2500.00        3290.50     
  1615.38        2500.00        3290.23     
  1612.18        2500.00        3290.29     
  1608.97        2500.00        3290.36     
  1605.77        2500.00        3290.43     
  1602.56        2500.00        3290.52     
  1599.36        2500.00        3290.62     
  1596.15        2500.00        3290.72     
  1592.95        2500.00        3290.84     
  1589.74        2500.00        3290.96     
  1586.54        2500.00        3291.21     
  1583.33        2500.00        3291.47     
  1580.13        2500.00        3291.73     
  1576.92        2500.00        3291.99     
  1573.72        2500.00        3292.26     
  1570.51        2500.00        3292.53     
  1567.31        2500.00        3292.80     
  1564.10        2500.00        3293.08     
  1560.90        2500.00        3293.41     
  1557.69        2500.00        3293.76     
  1554.49        2500.00        3294.10     
  1551.28        2500.00        3294.44     
  1548.08        2500.00        3294.79     
  1544.87        2500.00        3295.14     
  1541.67        2500.00        3295.49     
  1538.46        2500.00        3295.84     
  1535.26        2500.00        3296.20     
  1532.05        2500.00        3296.56     
  1528.85        2500.00        3296.93     
  1525.64        2500.00        3297.30     
  1522.44        2500.00        3297.67     
  1519.23        2500.00        3298.04     
  1516.03        2500.00        3298.41     
  1512.82        2500.00        3298.79     
  1509.62        2500.00        3299.17     
  1506.41        2500.00        3299.55     
  1503.21        2500.00        3299.94     
  1500.00        2500.00        3300.33     
  1496.79        2500.00        3300.86     
  1493.59        2500.00        3301.43     
  1490.38        2500.00        3302.02     
  1487.18        2500.00        3302.60     
  1483.97        2500.00        3303.19     
  1480.77        2500.00        3303.77     
  1477.56        2500.00        3304.36     
  1474.36        2500.00        3304.93     
  1471.15        2500.00        3305.51     
  1467.95        2500.00        3306.08     
  1464.74        2500.00        3306.65     
  1461.54        2500.00        3307.22     
  1458.33        2500.00        3307.78     
  1455.13        2500.00        3308.33     
  1451.92        2500.00        3308.77     
  1448.72        2500.00        3309.38     
  1445.51        2500.00        3309.81     
  1442.31        2500.00        3310.25     
  1439.10        2500.00        3310.69     
  1435.90        2500.00        3311.40     
  1432.69        2500.00        3311.83     
  1429.49        2500.00        3312.27     
  1426.28        2500.00        3312.70     
  1423.08        2500.00        3313.29     
  1419.87        2500.00        3313.72     
  1416.67        2500.00        3314.19     
  1413.46        2500.00        3314.42     
  1410.26        2500.00        3314.20     
  1407.05        2500.00        3314.63     
  1403.85        2500.00        3315.06     
  1400.64        2500.00        3315.50     
  1397.44        2500.00        3315.93     
  1394.23        2500.00        3316.36     
  1391.03        2500.00        3316.79     
  1387.82        2500.00        3317.22     
  1384.62        2500.00        3313.11     
  1381.41        2500.00        3313.54     
  1378.21        2500.00        3313.96     
  1375.00        2500.00        3314.39     
  1371.79        2500.00        3314.82     
  1368.59        2500.00        3315.25     
  1365.38        2500.00        3315.67     
  1362.18        2500.00        3316.10     
  1358.97        2500.00        3312.71     
  1355.77        2500.00        3313.14     
  1352.56        2500.00        3313.56     
  1349.36        2500.00        3313.98     
  1346.15        2500.00        3314.41     
  1342.95        2500.00        3314.83     
  1339.74        2500.00        3315.25     
  1336.54        2500.00        3315.68     
  1333.33        2500.00        3312.75     
  1330.13        2500.00        3312.78     
  1326.92        2500.00        3312.90     
  1323.72        2500.00        3313.32     
  1320.51        2500.00        3313.50     
  1317.31        2500.00        3313.92     
  1314.10        2500.00        3314.33     
  1310.90        2500.00        3314.75     
  1307.69        2500.00        3314.69     
  1304.49        2500.00        3315.11     
  1301.28        2500.00        3315.53     
  1298.08        2500.00        3315.94     
  1294.87        2500.00        3316.36     
  1291.67        2500.00        3316.78     
  1288.46        2500.00        3317.19     
  1285.26        2500.00        3317.61     
  1282.05        2500.00        3317.14     
  1278.85        2500.00        3317.55     
  1275.64        2500.00        3317.97     
  1272.44        2500.00        3318.38     
  1269.23        2500.00        3318.80     
  1266.03        2500.00        3319.21     
  1262.82        2500.00        3319.62     
  1259.62        2500.00        3320.04     
  1256.41        2500.00        3319.65     
  1253.21        2500.00        3320.06     
  1250.00        2500.00        3320.47     
  1246.79        2500.00        3320.89     
  1243.59        2500.00        3321.30     
  1240.38        2500.00        3321.71     
  1237.18        2500.00        3322.12     
  1233.97        2500.00        3322.53     
  1230.77        2500.00        3322.24     
  1227.56        2500.00        3322.65     
  1224.36        2500.00        3323.06     
  1221.15        2500.00        3323.47     
  1217.95        2500.00        3323.87     
