|6.6.6
Archiving\03_Data\Deq/QFM_m1/T13/T13_4.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00       0.108061E-003
  1910.26        2500.00       0.157519E-004
  1907.05        2500.00       0.393387E-003
  1903.85        2500.00       0.770924E-003
  1900.64        2500.00       0.114836E-002
  1897.44        2500.00       0.152570E-002
  1894.23        2500.00       0.189098E-002
  1891.03        2500.00       0.225616E-002
  1887.82        2500.00       0.262125E-002
  1884.62        2500.00       0.298625E-002
  1881.41        2500.00       0.335115E-002
  1878.21        2500.00       0.371596E-002
  1875.00        2500.00       0.408068E-002
  1871.79        2500.00       0.444530E-002
  1868.59        2500.00       0.477624E-002
  1865.38        2500.00       0.510710E-002
  1862.18        2500.00       0.543788E-002
  1858.97        2500.00       0.576858E-002
  1855.77        2500.00       0.609919E-002
  1852.56        2500.00       0.642972E-002
  1849.36        2500.00       0.676016E-002
  1846.15        2500.00       0.709052E-002
  1842.95        2500.00       0.739216E-002
  1839.74        2500.00       0.769372E-002
  1836.54        2500.00       0.799521E-002
  1833.33        2500.00       0.829662E-002
  1830.13        2500.00       0.859796E-002
  1826.92        2500.00       0.889922E-002
  1823.72        2500.00       0.920041E-002
  1820.51        2500.00       0.950153E-002
  1817.31        2500.00       0.977872E-002
  1814.10        2500.00       0.100559E-001
  1810.90        2500.00       0.103329E-001
  1807.69        2500.00       0.106099E-001
  1804.49        2500.00       0.108868E-001
  1801.28        2500.00       0.111637E-001
  1798.08        2500.00       0.114405E-001
  1794.87        2500.00       0.117172E-001
  1791.67        2500.00       0.119708E-001
  1788.46        2500.00       0.122244E-001
  1785.26        2500.00       0.124778E-001
  1782.05        2500.00       0.127312E-001
  1778.85        2500.00       0.129846E-001
  1775.64        2500.00       0.132379E-001
  1772.44        2500.00       0.134911E-001
  1769.23        2500.00       0.137443E-001
  1766.03        2500.00       0.139794E-001
  1762.82        2500.00       0.142145E-001
  1759.62        2500.00       0.144495E-001
  1756.41        2500.00       0.146845E-001
  1753.21        2500.00       0.149194E-001
  1750.00        2500.00       0.151542E-001
  1746.79        2500.00       0.153890E-001
  1743.59        2500.00       0.156238E-001
  1740.38        2500.00       0.158425E-001
  1737.18        2500.00       0.160612E-001
  1733.97        2500.00       0.162798E-001
  1730.77        2500.00       0.164984E-001
  1727.56        2500.00       0.167170E-001
  1724.36        2500.00       0.169355E-001
  1721.15        2500.00       0.171539E-001
  1717.95        2500.00       0.173723E-001
  1714.74        2500.00       0.175688E-001
  1711.54        2500.00       0.177653E-001
  1708.33        2500.00       0.179617E-001
  1705.13        2500.00       0.181581E-001
  1701.92        2500.00       0.183545E-001
  1698.72        2500.00       0.185508E-001
  1695.51        2500.00       0.187471E-001
  1692.31        2500.00       0.189433E-001
  1689.10        2500.00       0.191386E-001
  1685.90        2500.00       0.193339E-001
  1682.69        2500.00       0.195292E-001
  1679.49        2500.00       0.197244E-001
  1676.28        2500.00       0.199195E-001
  1673.08        2500.00       0.201146E-001
  1669.87        2500.00       0.203097E-001
  1666.67        2500.00       0.205048E-001
  1663.46        2500.00       0.206838E-001
  1660.26        2500.00       0.208629E-001
  1657.05        2500.00       0.210419E-001
  1653.85        2500.00       0.212209E-001
  1650.64        2500.00       0.213999E-001
  1647.44        2500.00       0.215788E-001
  1644.23        2500.00       0.217553E-001
  1641.03        2500.00       0.216614E-001
  1637.82        2500.00       0.215596E-001
  1634.62        2500.00       0.214578E-001
  1631.41        2500.00       0.213561E-001
  1628.21        2500.00       0.212544E-001
  1625.00        2500.00       0.211527E-001
  1621.79        2500.00       0.210511E-001
  1618.59        2500.00       0.209495E-001
  1615.38        2500.00       0.208479E-001
  1612.18        2500.00       0.207255E-001
  1608.97        2500.00       0.206030E-001
  1605.77        2500.00       0.204806E-001
  1602.56        2500.00       0.203583E-001
  1599.36        2500.00       0.202360E-001
  1596.15        2500.00       0.201137E-001
  1592.95        2500.00       0.199915E-001
  1589.74        2500.00       0.198693E-001
  1586.54        2500.00       0.197271E-001
  1583.33        2500.00       0.195850E-001
  1580.13        2500.00       0.194430E-001
  1576.92        2500.00       0.193009E-001
  1573.72        2500.00       0.191590E-001
  1570.51        2500.00       0.190170E-001
  1567.31        2500.00       0.188752E-001
  1564.10        2500.00       0.187333E-001
  1560.90        2500.00       0.185631E-001
  1557.69        2500.00       0.183930E-001
  1554.49        2500.00       0.182229E-001
  1551.28        2500.00       0.180529E-001
  1548.08        2500.00       0.178829E-001
  1544.87        2500.00       0.177130E-001
  1541.67        2500.00       0.175431E-001
  1538.46        2500.00       0.173733E-001
  1535.26        2500.00       0.171623E-001
  1532.05        2500.00       0.169514E-001
  1528.85        2500.00       0.167405E-001
  1525.64        2500.00       0.165297E-001
  1522.44        2500.00       0.163190E-001
  1519.23        2500.00       0.161083E-001
  1516.03        2500.00       0.158977E-001
  1512.82        2500.00       0.156872E-001
  1509.62        2500.00       0.154426E-001
  1506.41        2500.00       0.151980E-001
  1503.21        2500.00       0.149536E-001
  1500.00        2500.00       0.147092E-001
  1496.79        2500.00       0.144501E-001
  1493.59        2500.00       0.144611E-001
  1490.38        2500.00       0.145935E-001
  1487.18        2500.00       0.147259E-001
  1483.97        2500.00       0.149877E-001
  1480.77        2500.00       0.152496E-001
  1477.56        2500.00       0.155115E-001
  1474.36        2500.00       0.157734E-001
  1471.15        2500.00       0.160353E-001
  1467.95        2500.00       0.162972E-001
  1464.74        2500.00       0.165591E-001
  1461.54        2500.00       0.168211E-001
  1458.33        2500.00       0.171689E-001
  1455.13        2500.00       0.176232E-001
  1451.92        2500.00       0.176214E-001
  1448.72        2500.00       0.187940E-001
  1445.51        2500.00       0.187920E-001
  1442.31        2500.00       0.187901E-001
  1439.10        2500.00       0.187881E-001
  1435.90        2500.00       0.210023E-001
  1432.69        2500.00       0.210001E-001
  1429.49        2500.00       0.209979E-001
  1426.28        2500.00       0.209957E-001
  1423.08        2500.00       0.230598E-001
  1419.87        2500.00       0.235581E-001
  1416.67        2500.00       0.240075E-001
  1413.46        2500.00       0.240050E-001
  1410.26        2500.00       0.244418E-001
  1407.05        2500.00       0.244393E-001
  1403.85        2500.00       0.244368E-001
  1400.64        2500.00       0.244343E-001
  1397.44        2500.00       0.244318E-001
  1394.23        2500.00       0.244293E-001
  1391.03        2500.00       0.244268E-001
  1387.82        2500.00       0.244243E-001
  1384.62        2500.00       0.260413E-001
  1381.41        2500.00       0.260386E-001
  1378.21        2500.00       0.260360E-001
  1375.00        2500.00       0.260333E-001
  1371.79        2500.00       0.260307E-001
  1368.59        2500.00       0.260280E-001
  1365.38        2500.00       0.260254E-001
  1362.18        2500.00       0.260227E-001
  1358.97        2500.00       0.275153E-001
  1355.77        2500.00       0.275125E-001
  1352.56        2500.00       0.275097E-001
  1349.36        2500.00       0.275069E-001
  1346.15        2500.00       0.275041E-001
  1342.95        2500.00       0.275013E-001
  1339.74        2500.00       0.274985E-001
  1336.54        2500.00       0.274958E-001
  1333.33        2500.00       0.289297E-001
  1330.13        2500.00       0.289268E-001
  1326.92        2500.00       0.289239E-001
  1323.72        2500.00       0.289210E-001
  1320.51        2500.00       0.296432E-001
  1317.31        2500.00       0.298208E-001
  1314.10        2500.00       0.299280E-001
  1310.90        2500.00       0.299250E-001
  1307.69        2500.00       0.301069E-001
  1304.49        2500.00       0.301038E-001
  1301.28        2500.00       0.301008E-001
  1298.08        2500.00       0.300978E-001
  1294.87        2500.00       0.300948E-001
  1291.67        2500.00       0.300918E-001
  1288.46        2500.00       0.300888E-001
  1285.26        2500.00       0.300858E-001
  1282.05        2500.00       0.308638E-001
  1278.85        2500.00       0.308607E-001
  1275.64        2500.00       0.308576E-001
  1272.44        2500.00       0.308545E-001
  1269.23        2500.00       0.308515E-001
  1266.03        2500.00       0.308484E-001
  1262.82        2500.00       0.308453E-001
  1259.62        2500.00       0.308422E-001
  1256.41        2500.00       0.316869E-001
  1253.21        2500.00       0.316837E-001
  1250.00        2500.00       0.316806E-001
  1246.79        2500.00       0.316774E-001
