|6.6.6
Archiving\03_Data\Deq/QFM_m2.25/T13/T13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.9765       0.235492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9765       0.235492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9765       0.235491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9765       0.235491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9765       0.235490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9765       0.235490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9765       0.235489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9765       0.235489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9765       0.235488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9765       0.235488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9765       0.235487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9765       0.235487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.9765       0.235486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.9307       0.228520E-001  0.464342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1747       0.112329E-001  0.814054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.3712                 NaN   1.62882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.0380                 NaN   1.96202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.4071                 NaN   2.59292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.7762                 NaN   3.22383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.1452                 NaN   3.85475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.5143                 NaN   4.48568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        94.8834                 NaN   5.11661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        94.2525                 NaN   5.74754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        93.6215                 NaN   6.37849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.9906                 NaN   7.00944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.2261                 NaN   7.77391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        91.4616                 NaN   8.53840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        90.6971                 NaN   9.30290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        89.9326                 NaN   10.0674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        89.1708                 NaN   10.8292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        88.4089                 NaN   11.5911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        87.6544                 NaN   12.3423       0.336803E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        86.8915                 NaN   13.0920       0.165602E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        86.1547                 NaN   13.8126       0.326442E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        85.4180                 NaN   14.5333       0.487285E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        84.6813                 NaN   15.2539       0.648129E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        83.9445                 NaN   15.9746       0.808977E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        83.2078                 NaN   16.6952       0.969826E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        82.4710                 NaN   17.4159       0.113068                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        81.7342                 NaN   18.1366       0.129153                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        80.9975                 NaN   18.8573       0.145239                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        80.3029                 NaN   19.5372       0.159929                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        79.6083                 NaN   20.2171       0.174619                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        78.9137                 NaN   20.8970       0.189309                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        78.2191                 NaN   21.5769       0.203999                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        77.5245                 NaN   22.2568       0.218690                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        76.8299                 NaN   22.9367       0.233381                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        76.1352                 NaN   23.6167       0.248072                 NaN            NaN            NaN            NaN            NaN            NaN
