|6.6.6
Archiving\03_Data\Deq/QFM_m2.5/T13/T13_6.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        8112.42     
  1996.79        2500.00        8114.24     
  1993.59        2500.00        8116.06     
  1990.38        2500.00        8117.88     
  1987.18        2500.00        8119.70     
  1983.97        2500.00        8121.52     
  1980.77        2500.00        8123.33     
  1977.56        2500.00        8125.14     
  1974.36        2500.00        8126.96     
  1971.15        2500.00        8128.77     
  1967.95        2500.00        8130.57     
  1964.74        2500.00        8132.38     
  1961.54        2500.00        8134.19     
  1958.33        2500.00        8135.99     
  1955.13        2500.00        3631.90     
  1951.92        2500.00        3198.04     
  1948.72        2500.00        3180.66     
  1945.51        2500.00        3179.93     
  1942.31        2500.00        3179.66     
  1939.10        2500.00        3179.63     
  1935.90        2500.00        3179.74     
  1932.69        2500.00        3179.94     
  1929.49        2500.00        3180.20     
  1926.28        2500.00        3180.50     
  1923.08        2500.00        3180.83     
  1919.87        2500.00        3182.85     
  1916.67        2500.00        3184.61     
  1913.46        2500.00        3186.16     
  1910.26        2500.00        3187.55     
  1907.05        2500.00        3189.68     
  1903.85        2500.00        3191.59     
  1900.64        2500.00        3194.00     
  1897.44        2500.00        3195.82     
  1894.23        2500.00        3199.48     
  1891.03        2500.00        3202.83     
  1887.82        2500.00        3205.91     
  1884.62        2500.00        3208.76     
  1881.41        2500.00        3211.40     
  1878.21        2500.00        3213.87     
  1875.00        2500.00        3216.18     
  1871.79        2500.00        3218.35     
  1868.59        2500.00        3221.33     
  1865.38        2500.00        3224.15     
  1862.18        2500.00        3226.82     
  1858.97        2500.00        3229.36     
  1855.77        2500.00        3231.77     
  1852.56        2500.00        3234.07     
  1849.36        2500.00        3236.26     
  1846.15        2500.00        3238.36     
  1842.95        2500.00        3241.03     
  1839.74        2500.00        3243.60     
  1836.54        2500.00        3246.06     
  1833.33        2500.00        3248.43     
  1830.13        2500.00        3250.72     
  1826.92        2500.00        3252.92     
  1823.72        2500.00        3255.05     
  1820.51        2500.00        3257.10     
  1817.31        2500.00        3259.53     
  1814.10        2500.00        3261.88     
  1810.90        2500.00        3264.16     
  1807.69        2500.00        3266.37     
  1804.49        2500.00        3268.52     
  1801.28        2500.00        3270.60     
  1798.08        2500.00        3272.63     
  1794.87        2500.00        3274.61     
  1791.67        2500.00        3276.81     
  1788.46        2500.00        3278.95     
  1785.26        2500.00        3281.04     
  1782.05        2500.00        3283.07     
  1778.85        2500.00        3285.06     
  1775.64        2500.00        3287.01     
  1772.44        2500.00        3288.91     
  1769.23        2500.00        3290.77     
  1766.03        2500.00        3292.73     
  1762.82        2500.00        3294.65     
  1759.62        2500.00        3296.54     
  1756.41        2500.00        3298.38     
  1753.21        2500.00        3300.20     
  1750.00        2500.00        3301.97     
  1746.79        2500.00        3303.72     
  1743.59        2500.00        3305.43     
  1740.38        2500.00        3307.15     
  1737.18        2500.00        3308.84     
  1733.97        2500.00        3310.51     
  1730.77        2500.00        3312.15     
  1727.56        2500.00        3313.76     
  1724.36        2500.00        3315.35     
  1721.15        2500.00        3316.91     
  1717.95        2500.00        3318.45     
  1714.74        2500.00        3319.95     
  1711.54        2500.00        3321.43     
  1708.33        2500.00        3322.89     
  1705.13        2500.00        3324.33     
  1701.92        2500.00        3325.76     
  1698.72        2500.00        3327.16     
  1695.51        2500.00        3328.55     
  1692.31        2500.00        3329.92     
  1689.10        2500.00        3331.21     
  1685.90        2500.00        3332.48     
  1682.69        2500.00        3333.74     
  1679.49        2500.00        3334.99     
  1676.28        2500.00        3336.23     
  1673.08        2500.00        3337.45     
