|6.6.6
Archiving\03_Data\Deq/QFM_m2.75/K22/K22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.9859       0.141113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9859       0.141118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9859       0.141122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9859       0.141126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9859       0.141130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9859       0.141134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9859       0.141139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9859       0.141143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9859       0.141147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9859       0.141152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9859       0.141156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9859       0.141161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7287       0.132321E-001  0.258021                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.8890       0.102624E-001   1.10072                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.0483       0.728963E-002   1.94443                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.2065       0.431366E-002   2.78914                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.3638       0.133455E-002   3.63487                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.7042                 NaN   4.29584                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.1254                 NaN   4.87463                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        94.5177                 NaN   5.48231                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.9094                 NaN   6.09056                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        93.2678                 NaN   6.73220                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.6255                 NaN   7.37446                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        91.9827                 NaN   8.01734                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        91.3392                 NaN   8.66083                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        90.6959                 NaN   9.30410                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        90.0520                 NaN   9.94798                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        89.4058                 NaN   10.5907       0.353103E-002            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        88.7476                 NaN   11.2363       0.161328E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        88.1074                 NaN   11.8642       0.283685E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        87.4666                 NaN   12.4928       0.406169E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        86.8252                 NaN   13.1219       0.528780E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        86.1832                 NaN   13.7517       0.651517E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        85.5786                 NaN   14.3448       0.765968E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        84.9735                 NaN   14.9385       0.880531E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        84.3678                 NaN   15.5327       0.995205E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        83.7616                 NaN   16.1274       0.110999                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        83.1549                 NaN   16.7226       0.122489                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        82.5476                 NaN   17.3184       0.133989                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        81.9398                 NaN   17.9147       0.145501                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        81.3315                 NaN   18.5115       0.157023                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        80.7660                 NaN   19.0664       0.167565                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        80.2001                 NaN   19.6218       0.178116                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        79.6337                 NaN   20.1777       0.188676                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        79.0668                 NaN   20.7340       0.199246                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        78.4995                 NaN   21.2907       0.209825                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        77.9317                 NaN   21.8479       0.220413                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        77.3635                 NaN   22.4055       0.231011                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        76.7949                 NaN   22.9635       0.241617                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        76.2638                 NaN   23.4848       0.251379                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        75.7323                 NaN   24.0065       0.261149                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        75.2005                 NaN   24.5286       0.270927                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        74.6682                 NaN   25.0511       0.280712                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        74.1356                 NaN   25.5739       0.290506                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        73.6026                 NaN   26.0971       0.300307                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        73.0692                 NaN   26.6206       0.310116                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        72.5355                 NaN   27.1446       0.319932                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        72.0317                 NaN   27.6393       0.328995                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        71.5276                 NaN   28.1343       0.338065                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        71.0232                 NaN   28.6296       0.347142                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        70.5185                 NaN   29.1253       0.356225                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        70.0134                 NaN   29.6213       0.365315                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        69.5080                 NaN   30.1175       0.374411                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        69.0024                 NaN   30.6141       0.383513                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        68.4964                 NaN   31.1110       0.392622                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        68.0160                 NaN   31.5830       0.401062                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        67.5353                 NaN   32.0551       0.409507                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        67.0544                 NaN   32.5276       0.417958                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        66.5733                 NaN   33.0003       0.426414                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        66.0918                 NaN   33.4733       0.434875                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        65.6101                 NaN   33.9465       0.443341                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        65.1282                 NaN   34.4200       0.451813                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        64.6459                 NaN   34.8938       0.460290                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        64.1866                 NaN   35.3451       0.468227                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        63.7271                 NaN   35.7967       0.476168                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        63.2673                 NaN   36.2485       0.484113                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        62.8074                 NaN   36.7006       0.492062                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        62.3472                 NaN   37.1528       0.500016                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        61.8868                 NaN   37.6052       0.507975                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        61.4262                 NaN   38.0579       0.515937                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        60.9654                 NaN   38.5107       0.523904                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        60.5268                 NaN   38.9418       0.531373                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        60.0881                 NaN   39.3730       0.538845                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        59.6492                 NaN   39.8044       0.546320                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        59.2102                 NaN   40.2360       0.553799                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        58.7710                 NaN   40.6678       0.561282                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        58.3316                 NaN   41.0997       0.568768                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        57.8920                 NaN   41.5317       0.576257                 NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        57.4523                 NaN   41.9639       0.583750                 NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        57.0358                 NaN   42.3733       0.590861                 NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        56.6192                 NaN   42.7828       0.597975                 NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        56.2025                 NaN   43.1924       0.605092                 NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        55.7856                 NaN   43.6022       0.612212                 NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        55.3686                 NaN   44.0120       0.619334                 NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        54.9515                 NaN   44.4220       0.626459                 NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        54.5343                 NaN   44.8321       0.633587                 NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        54.1170                 NaN   45.2423       0.640717                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        53.7244                 NaN   45.6281       0.647462                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        53.3318                 NaN   46.0140       0.654208                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        52.9391                 NaN   46.3999       0.660957                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        52.5463                 NaN   46.7860       0.667707                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        52.1535                 NaN   47.1721       0.674460                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        51.7605                 NaN   47.5582       0.681214                 NaN            NaN            NaN            NaN            NaN
