|6.6.6
Archiving\03_Data\Deq/QFM_m2.75/K22/K22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.9607       0.392717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9607       0.392716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9607       0.392716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9607       0.392715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9607       0.392715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9607       0.392714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9607       0.392714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9607       0.392713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9607       0.392713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9607       0.392712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9607       0.392712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9607       0.392711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.6862       0.368049E-001  0.276970                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.7887       0.285292E-001   1.18281                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.8911       0.202538E-001   2.08861                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.9936       0.119787E-001   2.99439                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.0962       0.370394E-002   3.90012                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.3932                 NaN   4.60679                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        94.7757                 NaN   5.22433                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        94.1274                 NaN   5.87262                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.4791                 NaN   6.52091                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        92.7943                 NaN   7.20568                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.1095                 NaN   7.89045                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        91.4248                 NaN   8.57523                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        90.7400                 NaN   9.26002                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        90.0549                 NaN   9.94507                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        89.3699                 NaN   10.6301                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        88.6806                 NaN   11.3143       0.514713E-002            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        87.9739                 NaN   12.0026       0.235194E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        87.2866                 NaN   12.6721       0.413723E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        86.5992                 NaN   13.3415       0.592252E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        85.9119                 NaN   14.0110       0.770783E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        85.2246                 NaN   14.6805       0.949316E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        84.5749                 NaN   15.3135       0.111639                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        83.9252                 NaN   15.9465       0.128346                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        83.2755                 NaN   16.5795       0.145054                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        82.6258                 NaN   17.2124       0.161761                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        81.9761                 NaN   17.8454       0.178469                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        81.3264                 NaN   18.4784       0.195177                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        80.6767                 NaN   19.1115       0.211885                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        80.0269                 NaN   19.7445       0.228593                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        79.4191                 NaN   20.3369       0.243959                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        78.8113                 NaN   20.9294       0.259325                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        78.2035                 NaN   21.5219       0.274691                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        77.5956                 NaN   22.1143       0.290057                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        76.9878                 NaN   22.7068       0.305424                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        76.3799                 NaN   23.2993       0.320790                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        75.7721                 NaN   23.8918       0.336157                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        75.1642                 NaN   24.4843       0.351524                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        74.5934                 NaN   25.0409       0.365718                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        74.0226                 NaN   25.5975       0.379913                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        73.4518                 NaN   26.1541       0.394108                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        72.8809                 NaN   26.7107       0.408304                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        72.3101                 NaN   27.2674       0.422499                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        71.7393                 NaN   27.8240       0.436694                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        71.1684                 NaN   28.3807       0.450890                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        70.5976                 NaN   28.9373       0.465085                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        70.0562                 NaN   29.4656       0.478227                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        69.5147                 NaN   29.9939       0.491369                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        68.9733                 NaN   30.5222       0.504511                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        68.4318                 NaN   31.0505       0.517653                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        67.8903                 NaN   31.5789       0.530795                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        67.3489                 NaN   32.1072       0.543937                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        66.8074                 NaN   32.6355       0.557080                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        66.2659                 NaN   33.1638       0.570222                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        65.7500                 NaN   33.6676       0.582414                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        65.2340                 NaN   34.1714       0.594606                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        64.7181                 NaN   34.6751       0.606798                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        64.2021                 NaN   35.1789       0.618990                 NaN            NaN            NaN            NaN            NaN
