|6.6.6
Archiving\03_Data\Deq/QFM_m2.75/WD94/WD94_4.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00                 NaN
  1884.62        2500.00       0.108824E-003
  1881.41        2500.00       0.470502E-003
  1878.21        2500.00       0.832091E-003
  1875.00        2500.00       0.119359E-002
  1871.79        2500.00       0.155500E-002
  1868.59        2500.00       0.191914E-002
  1865.38        2500.00       0.228320E-002
  1862.18        2500.00       0.264716E-002
  1858.97        2500.00       0.301104E-002
  1855.77        2500.00       0.337482E-002
  1852.56        2500.00       0.373852E-002
  1849.36        2500.00       0.410213E-002
  1846.15        2500.00       0.446565E-002
  1842.95        2500.00       0.479891E-002
  1839.74        2500.00       0.513209E-002
  1836.54        2500.00       0.546518E-002
  1833.33        2500.00       0.579820E-002
  1830.13        2500.00       0.613114E-002
  1826.92        2500.00       0.646400E-002
  1823.72        2500.00       0.679677E-002
  1820.51        2500.00       0.712947E-002
  1817.31        2500.00       0.743689E-002
  1814.10        2500.00       0.774423E-002
  1810.90        2500.00       0.805150E-002
  1807.69        2500.00       0.835870E-002
  1804.49        2500.00       0.866582E-002
  1801.28        2500.00       0.897287E-002
  1798.08        2500.00       0.927985E-002
  1794.87        2500.00       0.958676E-002
  1791.67        2500.00       0.982853E-002
  1788.46        2500.00       0.100703E-001
  1785.26        2500.00       0.103119E-001
  1782.05        2500.00       0.105536E-001
  1778.85        2500.00       0.107952E-001
  1775.64        2500.00       0.110367E-001
  1772.44        2500.00       0.112782E-001
  1769.23        2500.00       0.115197E-001
  1766.03        2500.00       0.118219E-001
  1762.82        2500.00       0.121241E-001
  1759.62        2500.00       0.124262E-001
  1756.41        2500.00       0.127282E-001
  1753.21        2500.00       0.130303E-001
  1750.00        2500.00       0.133322E-001
  1746.79        2500.00       0.136341E-001
  1743.59        2500.00       0.139359E-001
  1740.38        2500.00       0.141814E-001
  1737.18        2500.00       0.144268E-001
  1733.97        2500.00       0.146721E-001
  1730.77        2500.00       0.149174E-001
  1727.56        2500.00       0.151626E-001
  1724.36        2500.00       0.154077E-001
  1721.15        2500.00       0.156528E-001
  1717.95        2500.00       0.158979E-001
  1714.74        2500.00       0.161279E-001
  1711.54        2500.00       0.163579E-001
  1708.33        2500.00       0.165878E-001
  1705.13        2500.00       0.168177E-001
  1701.92        2500.00       0.170475E-001
  1698.72        2500.00       0.172773E-001
  1695.51        2500.00       0.175070E-001
  1692.31        2500.00       0.177367E-001
  1689.10        2500.00       0.179521E-001
  1685.90        2500.00       0.181674E-001
  1682.69        2500.00       0.183827E-001
  1679.49        2500.00       0.185980E-001
  1676.28        2500.00       0.188132E-001
  1673.08        2500.00       0.190284E-001
  1669.87        2500.00       0.192435E-001
  1666.67        2500.00       0.194586E-001
  1663.46        2500.00       0.196752E-001
  1660.26        2500.00       0.197406E-001
  1657.05        2500.00       0.196386E-001
  1653.85        2500.00       0.195367E-001
  1650.64        2500.00       0.194121E-001
  1647.44        2500.00       0.192876E-001
  1644.23        2500.00       0.191632E-001
  1641.03        2500.00       0.190388E-001
  1637.82        2500.00       0.188930E-001
  1634.62        2500.00       0.187474E-001
  1631.41        2500.00       0.186018E-001
  1628.21        2500.00       0.184562E-001
  1625.00        2500.00       0.183106E-001
  1621.79        2500.00       0.181651E-001
  1618.59        2500.00       0.180197E-001
  1615.38        2500.00       0.178743E-001
  1612.18        2500.00       0.177074E-001
  1608.97        2500.00       0.175406E-001
  1605.77        2500.00       0.173738E-001
  1602.56        2500.00       0.172071E-001
  1599.36        2500.00       0.170404E-001
  1596.15        2500.00       0.168737E-001
  1592.95        2500.00       0.167072E-001
  1589.74        2500.00       0.165406E-001
  1586.54        2500.00       0.163467E-001
  1583.33        2500.00       0.161527E-001
  1580.13        2500.00       0.159589E-001
  1576.92        2500.00       0.157651E-001
  1573.72        2500.00       0.155713E-001
  1570.51        2500.00       0.153776E-001
  1567.31        2500.00       0.151840E-001
  1564.10        2500.00       0.149904E-001
  1560.90        2500.00       0.147674E-001
  1557.69        2500.00       0.145445E-001
  1554.49        2500.00       0.143216E-001
  1551.28        2500.00       0.140989E-001
  1548.08        2500.00       0.138761E-001
  1544.87        2500.00       0.136535E-001
  1541.67        2500.00       0.134309E-001
  1538.46        2500.00       0.132084E-001
  1535.26        2500.00       0.129390E-001
  1532.05        2500.00       0.126698E-001
  1528.85        2500.00       0.124006E-001
  1525.64        2500.00       0.121315E-001
  1522.44        2500.00       0.118625E-001
  1519.23        2500.00       0.115935E-001
  1516.03        2500.00       0.113246E-001
  1512.82        2500.00       0.110558E-001
  1509.62        2500.00       0.107560E-001
  1506.41        2500.00       0.104563E-001
  1503.21        2500.00       0.101566E-001
  1500.00        2500.00       0.985707E-002
  1496.79        2500.00       0.960841E-002
  1493.59        2500.00       0.959668E-002
  1490.38        2500.00       0.973748E-002
  1487.18        2500.00       0.987830E-002
  1483.97        2500.00       0.101090E-001
  1480.77        2500.00       0.103397E-001
  1477.56        2500.00       0.105704E-001
  1474.36        2500.00       0.108011E-001
  1471.15        2500.00       0.113100E-001
  1467.95        2500.00       0.119369E-001
  1464.74        2500.00       0.119357E-001
  1461.54        2500.00       0.129708E-001
  1458.33        2500.00       0.129695E-001
  1455.13        2500.00       0.129681E-001
  1451.92        2500.00       0.129668E-001
  1448.72        2500.00       0.129655E-001
  1445.51        2500.00       0.129641E-001
  1442.31        2500.00       0.129628E-001
  1439.10        2500.00       0.129614E-001
  1435.90        2500.00       0.170449E-001
  1432.69        2500.00       0.170432E-001
  1429.49        2500.00       0.180262E-001
  1426.28        2500.00       0.183464E-001
  1423.08        2500.00       0.185600E-001
  1419.87        2500.00       0.185581E-001
  1416.67        2500.00       0.185562E-001
  1413.46        2500.00       0.185543E-001
  1410.26        2500.00       0.193284E-001
  1407.05        2500.00       0.193264E-001
  1403.85        2500.00       0.193245E-001
  1400.64        2500.00       0.193225E-001
  1397.44        2500.00       0.193205E-001
  1394.23        2500.00       0.193186E-001
  1391.03        2500.00       0.193166E-001
  1387.82        2500.00       0.193147E-001
  1384.62        2500.00       0.209721E-001
  1381.41        2500.00       0.209700E-001
  1378.21        2500.00       0.209679E-001
  1375.00        2500.00       0.209658E-001
  1371.79        2500.00       0.209637E-001
  1368.59        2500.00       0.209616E-001
  1365.38        2500.00       0.209595E-001
  1362.18        2500.00       0.209573E-001
  1358.97        2500.00       0.224361E-001
  1355.77        2500.00       0.224339E-001
  1352.56        2500.00       0.224316E-001
  1349.36        2500.00       0.224294E-001
  1346.15        2500.00       0.224271E-001
  1342.95        2500.00       0.224249E-001
  1339.74        2500.00       0.224226E-001
  1336.54        2500.00       0.224204E-001
  1333.33        2500.00       0.238401E-001
  1330.13        2500.00       0.238378E-001
  1326.92        2500.00       0.238354E-001
  1323.72        2500.00       0.238330E-001
  1320.51        2500.00       0.245001E-001
  1317.31        2500.00       0.246284E-001
  1314.10        2500.00       0.247810E-001
  1310.90        2500.00       0.247786E-001
  1307.69        2500.00       0.249882E-001
  1304.49        2500.00       0.249857E-001
  1301.28        2500.00       0.249832E-001
  1298.08        2500.00       0.249807E-001
  1294.87        2500.00       0.249782E-001
  1291.67        2500.00       0.249758E-001
  1288.46        2500.00       0.249733E-001
  1285.26        2500.00       0.249708E-001
  1282.05        2500.00       0.258418E-001
  1278.85        2500.00       0.258392E-001
  1275.64        2500.00       0.258367E-001
  1272.44        2500.00       0.258341E-001
  1269.23        2500.00       0.258315E-001
  1266.03        2500.00       0.258290E-001
  1262.82        2500.00       0.258265E-001
  1259.62        2500.00       0.258239E-001
  1256.41        2500.00       0.268175E-001
  1253.21        2500.00       0.268148E-001
  1250.00        2500.00       0.268122E-001
  1246.79        2500.00       0.268096E-001
  1243.59        2500.00       0.268069E-001
