|6.6.6
Archiving\03_Data\Deq/QFM_m2/T13/T13_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.9914       0.863037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9914       0.863068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9914       0.863099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9914       0.863130E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9914       0.863161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9914       0.863192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9914       0.863224E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9914       0.863256E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9914       0.863288E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9914       0.863320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9914       0.863352E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9914       0.863385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.9914       0.863417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1963       0.230780E-002  0.801406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.7729                 NaN   1.22710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.5178                 NaN   1.48220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.2626                 NaN   1.73743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.6833                 NaN   2.31671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        97.1035                 NaN   2.89654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.5231                 NaN   3.47692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.9422                 NaN   4.05784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.3607                 NaN   4.63931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        94.7787                 NaN   5.22132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        94.1961                 NaN   5.80386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        93.6131                 NaN   6.38695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.8921                 NaN   7.10791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        92.1703                 NaN   7.82966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        91.4478                 NaN   8.55221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        90.7245                 NaN   9.27554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        90.0160                 NaN   9.98399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        89.3068                 NaN   10.6932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        88.5840                 NaN   11.4111       0.487038E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        87.8679                 NaN   12.1155       0.165559E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        87.1775                 NaN   12.7949       0.276781E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        86.4863                 NaN   13.4749       0.388130E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        85.7943                 NaN   14.1557       0.499606E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        85.1017                 NaN   14.8372       0.611207E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        84.4083                 NaN   15.5194       0.722935E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        83.7142                 NaN   16.2024       0.834787E-001            NaN            NaN            NaN            NaN            NaN            NaN
