|6.6.6
Archiving\03_Data\Deq/QFM_m3.5/K22/K22_2.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),kg     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00       0.867466E-005
  1907.05        2500.00       0.266351E-004
  1903.85        2500.00       0.445956E-004
  1900.64        2500.00       0.625561E-004
  1897.44        2500.00       0.805166E-004
  1894.23        2500.00       0.973271E-004
  1891.03        2500.00       0.114138E-003
  1887.82        2500.00       0.130948E-003
  1884.62        2500.00       0.147759E-003
  1881.41        2500.00       0.164569E-003
  1878.21        2500.00       0.181380E-003
  1875.00        2500.00       0.198190E-003
  1871.79        2500.00       0.215001E-003
  1868.59        2500.00       0.230495E-003
  1865.38        2500.00       0.245989E-003
  1862.18        2500.00       0.261483E-003
  1858.97        2500.00       0.276977E-003
  1855.77        2500.00       0.292471E-003
  1852.56        2500.00       0.307965E-003
  1849.36        2500.00       0.323459E-003
  1846.15        2500.00       0.338953E-003
  1842.95        2500.00       0.353253E-003
  1839.74        2500.00       0.367553E-003
  1836.54        2500.00       0.381854E-003
  1833.33        2500.00       0.396154E-003
  1830.13        2500.00       0.410454E-003
  1826.92        2500.00       0.424755E-003
  1823.72        2500.00       0.439055E-003
  1820.51        2500.00       0.453355E-003
  1817.31        2500.00       0.466597E-003
  1814.10        2500.00       0.479839E-003
  1810.90        2500.00       0.493080E-003
  1807.69        2500.00       0.506322E-003
  1804.49        2500.00       0.519564E-003
  1801.28        2500.00       0.532806E-003
  1798.08        2500.00       0.546048E-003
  1794.87        2500.00       0.559289E-003
  1791.67        2500.00       0.571555E-003
  1788.46        2500.00       0.583822E-003
  1785.26        2500.00       0.596088E-003
  1782.05        2500.00       0.608354E-003
  1778.85        2500.00       0.620620E-003
  1775.64        2500.00       0.632886E-003
  1772.44        2500.00       0.645152E-003
  1769.23        2500.00       0.657418E-003
  1766.03        2500.00       0.668917E-003
  1762.82        2500.00       0.680416E-003
  1759.62        2500.00       0.691914E-003
  1756.41        2500.00       0.703413E-003
  1753.21        2500.00       0.714911E-003
  1750.00        2500.00       0.726410E-003
  1746.79        2500.00       0.737909E-003
  1743.59        2500.00       0.749407E-003
  1740.38        2500.00       0.760142E-003
  1737.18        2500.00       0.770877E-003
  1733.97        2500.00       0.781612E-003
  1730.77        2500.00       0.792347E-003
  1727.56        2500.00       0.803082E-003
  1724.36        2500.00       0.813817E-003
  1721.15        2500.00       0.824552E-003
  1717.95        2500.00       0.835287E-003
  1714.74        2500.00       0.845404E-003
  1711.54        2500.00       0.855522E-003
  1708.33        2500.00       0.865639E-003
  1705.13        2500.00       0.875757E-003
  1701.92        2500.00       0.885874E-003
  1698.72        2500.00       0.895992E-003
  1695.51        2500.00       0.906109E-003
  1692.31        2500.00       0.916227E-003
  1689.10        2500.00       0.925636E-003
  1685.90        2500.00       0.935045E-003
  1682.69        2500.00       0.944455E-003
  1679.49        2500.00       0.953864E-003
  1676.28        2500.00       0.963273E-003
  1673.08        2500.00       0.972682E-003
  1669.87        2500.00       0.982091E-003
  1666.67        2500.00       0.991501E-003
  1663.46        2500.00       0.100151E-002
  1660.26        2500.00       0.101086E-002
  1657.05        2500.00       0.100464E-002
  1653.85        2500.00       0.998417E-003
  1650.64        2500.00       0.991640E-003
  1647.44        2500.00       0.984863E-003
  1644.23        2500.00       0.978085E-003
  1641.03        2500.00       0.971308E-003
  1637.82        2500.00       0.963811E-003
  1634.62        2500.00       0.956314E-003
  1631.41        2500.00       0.948816E-003
  1628.21        2500.00       0.941319E-003
  1625.00        2500.00       0.933822E-003
  1621.79        2500.00       0.926324E-003
  1618.59        2500.00       0.918827E-003
  1615.38        2500.00       0.911330E-003
  1612.18        2500.00       0.902739E-003
  1608.97        2500.00       0.894148E-003
  1605.77        2500.00       0.885557E-003
  1602.56        2500.00       0.876967E-003
  1599.36        2500.00       0.868376E-003
  1596.15        2500.00       0.859785E-003
  1592.95        2500.00       0.851195E-003
  1589.74        2500.00       0.842604E-003
  1586.54        2500.00       0.832653E-003
  1583.33        2500.00       0.822701E-003
  1580.13        2500.00       0.812750E-003
  1576.92        2500.00       0.802799E-003
  1573.72        2500.00       0.792848E-003
  1570.51        2500.00       0.782897E-003
  1567.31        2500.00       0.772945E-003
  1564.10        2500.00       0.762994E-003
  1560.90        2500.00       0.751320E-003
  1557.69        2500.00       0.739645E-003
  1554.49        2500.00       0.727971E-003
  1551.28        2500.00       0.716297E-003
  1548.08        2500.00       0.704622E-003
  1544.87        2500.00       0.692948E-003
  1541.67        2500.00       0.681274E-003
  1538.46        2500.00       0.669599E-003
  1535.26        2500.00       0.655733E-003
  1532.05        2500.00       0.641867E-003
  1528.85        2500.00       0.628001E-003
  1525.64        2500.00       0.614136E-003
  1522.44        2500.00       0.600270E-003
  1519.23        2500.00       0.586404E-003
  1516.03        2500.00       0.572538E-003
  1512.82        2500.00       0.558672E-003
  1509.62        2500.00       0.544036E-003
  1506.41        2500.00       0.529400E-003
  1503.21        2500.00       0.533964E-003
  1500.00        2500.00       0.534333E-003
  1496.79        2500.00       0.536460E-003
  1493.59        2500.00       0.538587E-003
  1490.38        2500.00       0.542519E-003
  1487.18        2500.00       0.550007E-003
  1483.97        2500.00       0.550007E-003
  1480.77        2500.00       0.550007E-003
  1477.56        2500.00       0.550007E-003
  1474.36        2500.00       0.550007E-003
  1471.15        2500.00       0.550007E-003
  1467.95        2500.00       0.550007E-003
  1464.74        2500.00       0.550007E-003
  1461.54        2500.00       0.707895E-003
  1458.33        2500.00       0.707895E-003
  1455.13        2500.00       0.707895E-003
  1451.92        2500.00       0.707895E-003
  1448.72        2500.00       0.707895E-003
  1445.51        2500.00       0.707895E-003
  1442.31        2500.00       0.707895E-003
  1439.10        2500.00       0.707895E-003
  1435.90        2500.00       0.856195E-003
  1432.69        2500.00       0.856195E-003
  1429.49        2500.00       0.856195E-003
  1426.28        2500.00       0.856195E-003
  1423.08        2500.00       0.856195E-003
  1419.87        2500.00       0.856195E-003
  1416.67        2500.00       0.856195E-003
  1413.46        2500.00       0.856195E-003
  1410.26        2500.00       0.999737E-003
  1407.05        2500.00       0.101268E-002
  1403.85        2500.00       0.102153E-002
  1400.64        2500.00       0.102153E-002
  1397.44        2500.00       0.103935E-002
  1394.23        2500.00       0.103935E-002
  1391.03        2500.00       0.103935E-002
  1387.82        2500.00       0.103935E-002
  1384.62        2500.00       0.107402E-002
  1381.41        2500.00       0.107402E-002
  1378.21        2500.00       0.107402E-002
  1375.00        2500.00       0.107402E-002
  1371.79        2500.00       0.107402E-002
  1368.59        2500.00       0.107402E-002
  1365.38        2500.00       0.107402E-002
  1362.18        2500.00       0.107402E-002
  1358.97        2500.00       0.114072E-002
  1355.77        2500.00       0.114072E-002
  1352.56        2500.00       0.114072E-002
  1349.36        2500.00       0.114072E-002
  1346.15        2500.00       0.114072E-002
  1342.95        2500.00       0.114072E-002
  1339.74        2500.00       0.114072E-002
  1336.54        2500.00       0.114072E-002
  1333.33        2500.00       0.120435E-002
  1330.13        2500.00       0.120435E-002
  1326.92        2500.00       0.120435E-002
  1323.72        2500.00       0.120435E-002
  1320.51        2500.00       0.120435E-002
  1317.31        2500.00       0.120435E-002
  1314.10        2500.00       0.120435E-002
  1310.90        2500.00       0.120435E-002
  1307.69        2500.00       0.126634E-002
  1304.49        2500.00       0.127388E-002
  1301.28        2500.00       0.128471E-002
  1298.08        2500.00       0.128471E-002
  1294.87        2500.00       0.129467E-002
  1291.67        2500.00       0.129467E-002
  1288.46        2500.00       0.129467E-002
  1285.26        2500.00       0.129467E-002
  1282.05        2500.00       0.131501E-002
  1278.85        2500.00       0.131501E-002
  1275.64        2500.00       0.131501E-002
  1272.44        2500.00       0.131501E-002
  1269.23        2500.00       0.131501E-002
  1266.03        2500.00       0.131501E-002
  1262.82        2500.00       0.131501E-002
  1259.62        2500.00       0.131501E-002
  1256.41        2500.00       0.135795E-002
  1253.21        2500.00       0.135795E-002
  1250.00        2500.00       0.135795E-002
  1246.79        2500.00       0.135795E-002
