|6.6.6
Archiving\03_Data\Deq/QFM_m3.5/K22/K22_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.9607       0.392793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9607       0.392793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9607       0.392793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9607       0.392792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9607       0.392792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9607       0.392792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9607       0.392791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9607       0.392791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9607       0.392791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9607       0.392790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9607       0.392790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9607       0.392790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.9607       0.392789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.6232       0.380158E-001  0.338793                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.7217       0.346038E-001   1.24367                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.8409       0.311974E-001   2.12788                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.9601       0.277910E-001   3.01208                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.1466       0.244232E-001   3.82900                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.3330       0.210553E-001   4.64592                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        94.5195       0.176875E-001   5.46282                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        93.7060       0.143198E-001   6.27971                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        92.8925       0.109521E-001   7.09659                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.0790       0.758446E-002   7.91346                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        91.2655       0.421685E-002   8.73032                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        90.4520       0.849287E-003   9.54717                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        89.7466                 NaN   10.2534                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        89.0534                 NaN   10.9466                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        88.3694                 NaN   11.6306                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        87.6802                 NaN   12.3112       0.867166E-002            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        86.9883                 NaN   12.9851       0.266260E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        86.2964                 NaN   13.6590       0.445804E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        85.6046                 NaN   14.3329       0.625349E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        84.9127                 NaN   15.0068       0.804894E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        84.2602                 NaN   15.6425       0.972945E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        83.6077                 NaN   16.2782       0.114100                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        82.9552                 NaN   16.9139       0.130905                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        82.3027                 NaN   17.5496       0.147710                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        81.6502                 NaN   18.1853       0.164516                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        80.9976                 NaN   18.8210       0.181321                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        80.3451                 NaN   19.4568       0.198127                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        79.6926                 NaN   20.0925       0.214932                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        79.0845                 NaN   20.6850       0.230422                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        78.4765                 NaN   21.2776       0.245912                 NaN            NaN            NaN            NaN            NaN
