|6.6.6
Archiving\03_Data\Deq/QFM_m3/YM20/YM20_6.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        2500.00        8112.42     
  1996.79        2500.00        8114.24     
  1993.59        2500.00        8116.06     
  1990.38        2500.00        8117.88     
  1987.18        2500.00        8119.70     
  1983.97        2500.00        8121.52     
  1980.77        2500.00        8123.33     
  1977.56        2500.00        8125.14     
  1974.36        2500.00        8126.96     
  1971.15        2500.00        8128.77     
  1967.95        2500.00        8130.57     
  1964.74        2500.00        8132.38     
  1961.54        2500.00        8134.19     
  1958.33        2500.00        8135.99     
  1955.13        2500.00        8137.79     
  1951.92        2500.00        8139.60     
  1948.72        2500.00        8141.40     
  1945.51        2500.00        8143.19     
  1942.31        2500.00        8144.99     
  1939.10        2500.00        8146.79     
  1935.90        2500.00        8148.58     
  1932.69        2500.00        8150.37     
  1929.49        2500.00        8152.16     
  1926.28        2500.00        3242.19     
  1923.08        2500.00        3195.26     
  1919.87        2500.00        3183.14     
  1916.67        2500.00        3177.27     
  1913.46        2500.00        3173.91     
  1910.26        2500.00        3171.83     
  1907.05        2500.00        3171.90     
  1903.85        2500.00        3172.88     
  1900.64        2500.00        3174.50     
  1897.44        2500.00        3177.64     
  1894.23        2500.00        3181.06     
  1891.03        2500.00        3184.05     
  1887.82        2500.00        3186.69     
  1884.62        2500.00        3189.05     
  1881.41        2500.00        3191.18     
  1878.21        2500.00        3193.11     
  1875.00        2500.00        3194.89     
  1871.79        2500.00        3196.54     
  1868.59        2500.00        3199.16     
  1865.38        2500.00        3201.59     
  1862.18        2500.00        3203.85     
  1858.97        2500.00        3205.97     
  1855.77        2500.00        3207.95     
  1852.56        2500.00        3209.82     
  1849.36        2500.00        3211.58     
  1846.15        2500.00        3213.25     
  1842.95        2500.00        3215.52     
  1839.74        2500.00        3217.68     
  1836.54        2500.00        3219.74     
  1833.33        2500.00        3221.70     
  1830.13        2500.00        3223.57     
  1826.92        2500.00        3225.37     
  1823.72        2500.00        3227.10     
  1820.51        2500.00        3228.75     
  1817.31        2500.00        3230.85     
  1814.10        2500.00        3232.87     
  1810.90        2500.00        3234.81     
  1807.69        2500.00        3236.69     
  1804.49        2500.00        3238.50     
  1801.28        2500.00        3240.26     
  1798.08        2500.00        3241.95     
  1794.87        2500.00        3243.60     
  1791.67        2500.00        3245.50     
  1788.46        2500.00        3247.35     
  1785.26        2500.00        3249.14     
  1782.05        2500.00        3250.89     
  1778.85        2500.00        3252.59     
  1775.64        2500.00        3254.24     
  1772.44        2500.00        3255.85     
  1769.23        2500.00        3257.43     
  1766.03        2500.00        3259.16     
  1762.82        2500.00        3260.85     
  1759.62        2500.00        3262.50     
  1756.41        2500.00        3264.12     
  1753.21        2500.00        3265.70     
  1750.00        2500.00        3267.25     
  1746.79        2500.00        3268.76     
  1743.59        2500.00        3270.24     
  1740.38        2500.00        3271.77     
  1737.18        2500.00        3273.28     
  1733.97        2500.00        3274.75     
  1730.77        2500.00        3276.19     
  1727.56        2500.00        3277.62     
  1724.36        2500.00        3279.01     
  1721.15        2500.00        3280.38     
  1717.95        2500.00        3281.73     
  1714.74        2500.00        3283.09     
  1711.54        2500.00        3284.42     
  1708.33        2500.00        3285.74     
  1705.13        2500.00        3287.03     
  1701.92        2500.00        3288.31     
  1698.72        2500.00        3289.56     
  1695.51        2500.00        3290.80     
  1692.31        2500.00        3292.03     
  1689.10        2500.00        3293.19     
  1685.90        2500.00        3294.35     
  1682.69        2500.00        3295.49     
  1679.49        2500.00        3296.62     
  1676.28        2500.00        3297.73     
  1673.08        2500.00        3298.83     
