|6.6.6
Archiving\03_Data\Deq/QFM_m4.75/K22/K22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.7550       0.230831       0.141559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7428       0.243067       0.141579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7305       0.255308       0.141600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7183       0.267553       0.141621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7060       0.279802       0.141642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.6938       0.292056       0.141663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.6815       0.304315       0.141683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.6693       0.316578       0.141704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.6570       0.328845       0.141725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.6705       0.315363       0.141711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.6839       0.301882       0.141697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.6974       0.288404       0.141683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7109       0.274927       0.141669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.5964       0.389382       0.141829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3482       0.398347       0.141026E-001  0.239391                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.5465       0.399441       0.138251E-001   1.04025                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.7439       0.400534       0.135473E-001   1.84206                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.0034       0.399186       0.132701E-001   2.58409                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.2623       0.397836       0.129926E-001   3.32691                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.5203       0.396484       0.127149E-001   4.07051                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        94.7775       0.395130       0.124369E-001   4.81489                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        94.0340       0.393774       0.121586E-001   5.56005                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        93.2897       0.392416       0.118800E-001   6.30598                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        92.5447       0.391056       0.116012E-001   7.05268                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        91.7988       0.389693       0.113221E-001   7.80014                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        91.1160       0.385440       0.110427E-001   8.48748                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        90.4326       0.381182       0.107632E-001   9.17543                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        89.7486       0.376919       0.104834E-001   9.86400                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        89.0640       0.372653       0.102033E-001   10.5532                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        88.3992       0.367211       0.992814E-002   11.2195       0.419640E-002            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        87.7408       0.360889       0.963875E-002   11.8861       0.255265E-002            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        87.0859       0.353498       0.935794E-002   12.5386       0.126843E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        86.4304       0.346102       0.907691E-002   13.1916       0.228251E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        85.7993       0.335413       0.878318E-002   13.8213       0.352112E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        85.1678       0.324715       0.848926E-002   14.4514       0.476074E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        84.5357       0.314010       0.819513E-002   15.0821       0.600137E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        83.9032       0.303297       0.790081E-002   15.7131       0.724300E-001            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        83.2703       0.292576       0.760630E-002   16.3447       0.848563E-001            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        82.6369       0.281848       0.731159E-002   16.9766       0.972924E-001            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        82.0031       0.271111       0.701669E-002   17.6091       0.109738                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        81.3688       0.260367       0.672160E-002   18.2419       0.122194                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        80.7692       0.245163       0.641341E-002   18.8454       0.133892                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        80.1692       0.229949       0.610505E-002   19.4492       0.145598                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        79.5688       0.214727       0.579653E-002   20.0533       0.157312                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        78.9682       0.199496       0.548786E-002   20.6578       0.169033                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        78.3671       0.184257       0.517902E-002   21.2627       0.180762                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        77.7658       0.169008       0.487003E-002   21.8678       0.192498                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        77.1641       0.153751       0.456088E-002   22.4733       0.204242                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        76.5621       0.138486       0.425158E-002   23.0792       0.215994                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        75.9744       0.119499       0.392725E-002   23.6749       0.227259                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        75.3865       0.100503       0.360278E-002   24.2709       0.238531                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        74.7983       0.814979E-001  0.327819E-002   24.8671       0.249809                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        74.2098       0.624842E-001  0.295346E-002   25.4637       0.261093                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        73.6253       0.415232E-001  0.262037E-002   26.0584       0.272117                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        73.0406       0.205535E-001  0.228717E-002   26.6534       0.283145                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        72.4623       0.381542E-003  0.195772E-002   27.2413       0.294105                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        71.9339                 NaN  0.164287E-002   27.7607       0.303763                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        71.4172                 NaN  0.133179E-002   28.2683       0.313116                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        70.9002                 NaN  0.102051E-002   28.7763       0.322476                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        70.3829                 NaN  0.709042E-003   29.2846       0.331843                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        69.8652                 NaN  0.397388E-003   29.7932       0.341217                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        69.3578                 NaN  0.684431E-004   30.2916       0.350493                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        68.8590                 NaN            NaN   30.7811       0.359835                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        68.3630                 NaN            NaN   31.2683       0.368674                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        67.8667                 NaN            NaN   31.7558       0.377518                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        67.3880                 NaN            NaN   32.2259       0.386107                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        66.9089                 NaN            NaN   32.6964       0.394700                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        66.4297                 NaN            NaN   33.1670       0.403299                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        65.9501                 NaN            NaN   33.6380       0.411904                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        65.4703                 NaN            NaN   34.1092       0.420514                 NaN            NaN            NaN            NaN            NaN
