|6.6.6
Archiving\03_Data\Deq/QFM_m4.75/YM20/YM20_4.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  2000.00        2500.00                 NaN
  1996.79        2500.00                 NaN
  1993.59        2500.00                 NaN
  1990.38        2500.00                 NaN
  1987.18        2500.00                 NaN
  1983.97        2500.00                 NaN
  1980.77        2500.00                 NaN
  1977.56        2500.00                 NaN
  1974.36        2500.00                 NaN
  1971.15        2500.00                 NaN
  1967.95        2500.00                 NaN
  1964.74        2500.00                 NaN
  1961.54        2500.00                 NaN
  1958.33        2500.00                 NaN
  1955.13        2500.00                 NaN
  1951.92        2500.00                 NaN
  1948.72        2500.00                 NaN
  1945.51        2500.00                 NaN
  1942.31        2500.00                 NaN
  1939.10        2500.00                 NaN
  1935.90        2500.00                 NaN
  1932.69        2500.00                 NaN
  1929.49        2500.00                 NaN
  1926.28        2500.00                 NaN
  1923.08        2500.00                 NaN
  1919.87        2500.00                 NaN
  1916.67        2500.00                 NaN
  1913.46        2500.00                 NaN
  1910.26        2500.00                 NaN
  1907.05        2500.00                 NaN
  1903.85        2500.00                 NaN
  1900.64        2500.00                 NaN
  1897.44        2500.00                 NaN
  1894.23        2500.00                 NaN
  1891.03        2500.00                 NaN
  1887.82        2500.00       0.161788E-003
  1884.62        2500.00       0.605859E-003
  1881.41        2500.00       0.104126E-002
  1878.21        2500.00       0.147655E-002
  1875.00        2500.00       0.191174E-002
  1871.79        2500.00       0.234682E-002
  1868.59        2500.00       0.276182E-002
  1865.38        2500.00       0.317672E-002
  1862.18        2500.00       0.359152E-002
  1858.97        2500.00       0.400622E-002
  1855.77        2500.00       0.442082E-002
  1852.56        2500.00       0.483533E-002
  1849.36        2500.00       0.524973E-002
  1846.15        2500.00       0.566404E-002
  1842.95        2500.00       0.605652E-002
  1839.74        2500.00       0.644890E-002
  1836.54        2500.00       0.684120E-002
  1833.33        2500.00       0.723340E-002
  1830.13        2500.00       0.762551E-002
  1826.92        2500.00       0.801753E-002
  1823.72        2500.00       0.840945E-002
  1820.51        2500.00       0.880128E-002
  1817.31        2500.00       0.917471E-002
  1814.10        2500.00       0.954805E-002
  1810.90        2500.00       0.992131E-002
  1807.69        2500.00       0.102945E-001
  1804.49        2500.00       0.106676E-001
  1801.28        2500.00       0.110405E-001
  1798.08        2500.00       0.114135E-001
  1794.87        2500.00       0.117863E-001
  1791.67        2500.00       0.121495E-001
  1788.46        2500.00       0.125126E-001
  1785.26        2500.00       0.128757E-001
  1782.05        2500.00       0.132386E-001
  1778.85        2500.00       0.135966E-001
  1775.64        2500.00       0.139090E-001
  1772.44        2500.00       0.142112E-001
  1769.23        2500.00       0.144922E-001
  1766.03        2500.00       0.147800E-001
  1762.82        2500.00       0.150677E-001
  1759.62        2500.00       0.153554E-001
  1756.41        2500.00       0.156430E-001
  1753.21        2500.00       0.159305E-001
  1750.00        2500.00       0.162180E-001
  1746.79        2500.00       0.165054E-001
  1743.59        2500.00       0.167927E-001
  1740.38        2500.00       0.170597E-001
  1737.18        2500.00       0.173267E-001
  1733.97        2500.00       0.175936E-001
  1730.77        2500.00       0.178604E-001
  1727.56        2500.00       0.181272E-001
  1724.36        2500.00       0.183939E-001
  1721.15        2500.00       0.186606E-001
  1717.95        2500.00       0.189272E-001
  1714.74        2500.00       0.191808E-001
  1711.54        2500.00       0.194344E-001
  1708.33        2500.00       0.196879E-001
  1705.13        2500.00       0.199414E-001
  1701.92        2500.00       0.201948E-001
  1698.72        2500.00       0.204481E-001
  1695.51        2500.00       0.207014E-001
  1692.31        2500.00       0.209547E-001
  1689.10        2500.00       0.211948E-001
  1685.90        2500.00       0.214349E-001
  1682.69        2500.00       0.216749E-001
  1679.49        2500.00       0.219149E-001
  1676.28        2500.00       0.221548E-001
  1673.08        2500.00       0.223947E-001
  1669.87        2500.00       0.226345E-001
  1666.67        2500.00       0.228743E-001
  1663.46        2500.00       0.231096E-001
  1660.26        2500.00       0.233449E-001
  1657.05        2500.00       0.235761E-001
  1653.85        2500.00       0.234020E-001
  1650.64        2500.00       0.232256E-001
  1647.44        2500.00       0.230493E-001
  1644.23        2500.00       0.228730E-001
  1641.03        2500.00       0.226968E-001
  1637.82        2500.00       0.225029E-001
  1634.62        2500.00       0.223090E-001
  1631.41        2500.00       0.221153E-001
  1628.21        2500.00       0.219216E-001
  1625.00        2500.00       0.217279E-001
  1621.79        2500.00       0.215343E-001
  1618.59        2500.00       0.213408E-001
  1615.38        2500.00       0.211473E-001
  1612.18        2500.00       0.209345E-001
  1608.97        2500.00       0.207218E-001
  1605.77        2500.00       0.205091E-001
  1602.56        2500.00       0.202964E-001
  1599.36        2500.00       0.200839E-001
  1596.15        2500.00       0.198714E-001
  1592.95        2500.00       0.196590E-001
  1589.74        2500.00       0.194466E-001
  1586.54        2500.00       0.192099E-001
  1583.33        2500.00       0.189733E-001
  1580.13        2500.00       0.187367E-001
  1576.92        2500.00       0.185002E-001
  1573.72        2500.00       0.182638E-001
  1570.51        2500.00       0.180274E-001
  1567.31        2500.00       0.177911E-001
  1564.10        2500.00       0.175549E-001
  1560.90        2500.00       0.172818E-001
  1557.69        2500.00       0.170088E-001
  1554.49        2500.00       0.167359E-001
  1551.28        2500.00       0.164631E-001
  1548.08        2500.00       0.161903E-001
  1544.87        2500.00       0.159176E-001
  1541.67        2500.00       0.156450E-001
  1538.46        2500.00       0.153725E-001
  1535.26        2500.00       0.150597E-001
  1532.05        2500.00       0.147469E-001
  1528.85        2500.00       0.144343E-001
  1525.64        2500.00       0.141217E-001
  1522.44        2500.00       0.138093E-001
  1519.23        2500.00       0.134969E-001
  1516.03        2500.00       0.131846E-001
  1512.82        2500.00       0.128724E-001
  1509.62        2500.00       0.125494E-001
  1506.41        2500.00       0.122264E-001
  1503.21        2500.00       0.121223E-001
  1500.00        2500.00       0.122704E-001
  1496.79        2500.00       0.125207E-001
  1493.59        2500.00       0.127710E-001
  1490.38        2500.00       0.130213E-001
  1487.18        2500.00       0.132716E-001
  1483.97        2500.00       0.136014E-001
  1480.77        2500.00       0.141979E-001
  1477.56        2500.00       0.141964E-001
  1474.36        2500.00       0.156838E-001
  1471.15        2500.00       0.156822E-001
  1467.95        2500.00       0.156806E-001
  1464.74        2500.00       0.156790E-001
  1461.54        2500.00       0.185297E-001
  1458.33        2500.00       0.185278E-001
  1455.13        2500.00       0.198912E-001
  1451.92        2500.00       0.205423E-001
  1448.72        2500.00       0.208132E-001
  1445.51        2500.00       0.208110E-001
  1442.31        2500.00       0.208089E-001
  1439.10        2500.00       0.208068E-001
  1435.90        2500.00       0.218069E-001
  1432.69        2500.00       0.218047E-001
  1429.49        2500.00       0.218025E-001
  1426.28        2500.00       0.218003E-001
  1423.08        2500.00       0.217981E-001
  1419.87        2500.00       0.217959E-001
  1416.67        2500.00       0.217936E-001
  1413.46        2500.00       0.217914E-001
  1410.26        2500.00       0.235960E-001
  1407.05        2500.00       0.235936E-001
  1403.85        2500.00       0.235912E-001
  1400.64        2500.00       0.235888E-001
  1397.44        2500.00       0.235864E-001
  1394.23        2500.00       0.235840E-001
  1391.03        2500.00       0.235816E-001
  1387.82        2500.00       0.235792E-001
  1384.62        2500.00       0.252268E-001
  1381.41        2500.00       0.252243E-001
  1378.21        2500.00       0.252218E-001
  1375.00        2500.00       0.252192E-001
  1371.79        2500.00       0.252167E-001
  1368.59        2500.00       0.252141E-001
  1365.38        2500.00       0.252116E-001
  1362.18        2500.00       0.252091E-001
  1358.97        2500.00       0.267796E-001
  1355.77        2500.00       0.267770E-001
  1352.56        2500.00       0.267743E-001
  1349.36        2500.00       0.267716E-001
  1346.15        2500.00       0.267689E-001
  1342.95        2500.00       0.267662E-001
  1339.74        2500.00       0.267635E-001
  1336.54        2500.00       0.267609E-001
  1333.33        2500.00       0.282808E-001
  1330.13        2500.00       0.282780E-001
  1326.92        2500.00       0.286484E-001
  1323.72        2500.00       0.288317E-001
  1320.51        2500.00       0.290083E-001
  1317.31        2500.00       0.290054E-001
  1314.10        2500.00       0.290025E-001
  1310.90        2500.00       0.289996E-001
  1307.69        2500.00       0.294719E-001
  1304.49        2500.00       0.294690E-001
  1301.28        2500.00       0.294661E-001
  1298.08        2500.00       0.294631E-001
  1294.87        2500.00       0.294602E-001
  1291.67        2500.00       0.294573E-001
  1288.46        2500.00       0.294544E-001
  1285.26        2500.00       0.294515E-001
  1282.05        2500.00       0.304798E-001
  1278.85        2500.00       0.304768E-001
  1275.64        2500.00       0.304738E-001
  1272.44        2500.00       0.304708E-001
  1269.23        2500.00       0.304678E-001
  1266.03        2500.00       0.304648E-001
  1262.82        2500.00       0.304618E-001
  1259.62        2500.00       0.304588E-001
  1256.41        2500.00       0.315658E-001
  1253.21        2500.00       0.315627E-001
  1250.00        2500.00       0.315596E-001
  1246.79        2500.00       0.315565E-001
  1243.59        2500.00       0.315534E-001
