|6.6.6
Archiving\03_Data\eqLP/QFM/TAY13/TAY13_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.3523       0.207659       0.440050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3452       0.214709       0.440048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3382       0.221759       0.440046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3311       0.228808       0.440044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3241       0.235858       0.440041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3171       0.242908       0.440039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3100       0.249957       0.440037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3030       0.257007       0.440035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2959       0.264056       0.440033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2829       0.277020       0.440031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2700       0.289985       0.440028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2570       0.302949       0.440026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2441       0.315912       0.440024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2311       0.328876       0.440022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2181       0.341840       0.440020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2052       0.354803       0.440017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1922       0.367767       0.440015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1575       0.402439       0.440013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1229       0.437112       0.440011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0882       0.471784       0.440009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0535       0.506456       0.440007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0189       0.541128       0.440004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.9842       0.575799       0.440002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9495       0.610470       0.440000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.9149       0.645140       0.439998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.7594       0.800649       0.439997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.6038       0.956158       0.439997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.4483        1.11167       0.439996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.2928        1.26717       0.439995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.1373        1.42268       0.439995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.9818        1.57819       0.439994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.8263        1.73369       0.439994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.6708        1.88920       0.439993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        97.2032        2.35683       0.439997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.7355        2.82447       0.440001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        96.2679        3.29211       0.440004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        95.8002        3.75976       0.440008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        95.1920        4.36796       0.440014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.5838        4.97616       0.440021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.9353        5.61705       0.440027       0.763295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        93.2590        6.27528       0.440034       0.256708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.5745        6.94206       0.440041       0.433870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.8900        7.60886       0.440048       0.611039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        89.9519        9.23232       0.120361       0.104935       0.590481                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        88.7852        10.2702                 NaN  0.131764       0.812805                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        88.0971        10.9419                 NaN  0.148112       0.812820                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        87.4090        11.6137                 NaN  0.164462       0.812834                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        86.7209        12.2854                 NaN  0.180812       0.812849                 NaN            NaN            NaN            NaN            NaN            NaN
