|6.6.6
Archiving\03_Data\eqLP/QFM/TIS/TIS_1.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.0029       0.981346       0.157550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0029       0.981343       0.157549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0029       0.981339       0.157549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0029       0.981336       0.157548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0029       0.981333       0.157548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0029       0.981330       0.157547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0029       0.981327       0.157547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0029       0.981324       0.157546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0029       0.981321       0.157546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0029       0.981317       0.157545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0029       0.981314       0.157545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0029       0.981310       0.157544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0029       0.981307       0.157544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0029       0.981303       0.157543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0029       0.981300       0.157543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0029       0.981296       0.157542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0030       0.981293       0.157541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0030       0.981289       0.157541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0030       0.981286       0.157540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0030       0.981282       0.157540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0030       0.981278       0.157539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0030       0.981274       0.157538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0030       0.981270       0.157538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0030       0.981266       0.157537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.9554       0.981221                 NaN  0.633589E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.9549       0.981217                 NaN  0.638628E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.9544       0.981213                 NaN  0.643668E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.9539       0.981209                 NaN  0.648707E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.9534       0.981205                 NaN  0.653746E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.9529       0.981201                 NaN  0.658785E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        98.9524       0.981197                 NaN  0.663824E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        98.9519       0.981192                 NaN  0.668863E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        98.9514       0.981188                 NaN  0.673902E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        98.9508       0.981184                 NaN  0.679766E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.9503       0.981179                 NaN  0.685629E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.9497       0.981175                 NaN  0.691492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.9491       0.981170                 NaN  0.697356E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        98.9485       0.981166                 NaN  0.703219E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        98.9479       0.981161                 NaN  0.709082E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        98.9473       0.981156                 NaN  0.714945E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        98.9468       0.981152                 NaN  0.720808E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        98.9460       0.981147                 NaN  0.728237E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        98.9453       0.981142                 NaN  0.735666E-001            NaN            NaN            NaN            NaN            NaN            NaN
