|6.6.6
Archiving\03_Data\eqLP/QFM_m0.25/Y98/Y98_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.0141       0.962284       0.236191E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0141       0.962282       0.236190E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0141       0.962280       0.236190E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0141       0.962278       0.236189E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0141       0.962276       0.236189E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0141       0.962274       0.236188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0141       0.962272       0.236188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0141       0.962269       0.236187E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0141       0.962267       0.236187E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0141       0.962265       0.236186E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0141       0.962263       0.236186E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0141       0.962260       0.236185E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0141       0.962258       0.236184E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0141       0.962255       0.236184E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0141       0.962253       0.236183E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0141       0.962251       0.236183E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0141       0.962248       0.236182E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0141       0.962246       0.236182E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0141       0.962243       0.236181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0141       0.962240       0.236180E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0141       0.962238       0.236180E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0141       0.962235       0.236179E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0141       0.962233       0.236178E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0142       0.962230       0.236178E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0142       0.962227       0.236177E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.0142       0.962225       0.236176E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.0142       0.962222       0.236176E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.0142       0.962219       0.236175E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0142       0.962216       0.236174E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.0142       0.962213       0.236174E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.0142       0.962210       0.236173E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.0142       0.962207       0.236172E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.0142       0.962204       0.236171E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.0142       0.962201       0.236171E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.0142       0.962198       0.236170E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.0142       0.962195       0.236169E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.0142       0.962192       0.236168E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.0142       0.962189       0.236168E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.0142       0.962186       0.236167E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.0142       0.962182       0.236166E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.0142       0.962179       0.236165E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.0142       0.962176       0.236164E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.0142       0.962173       0.236164E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.0142       0.962169       0.236163E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.0142       0.962166       0.236162E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.0142       0.962162       0.236161E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        98.9207       0.962099                 NaN  0.117217                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        98.9194       0.962096                 NaN  0.118520                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        98.9181       0.962092                 NaN  0.119823                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        98.9167       0.962088                 NaN  0.121232                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        98.9153       0.962085                 NaN  0.122641                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        98.9139       0.962081                 NaN  0.124050                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        98.9125       0.962077                 NaN  0.125459                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        98.9111       0.962074                 NaN  0.126868                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        98.9097       0.962070                 NaN  0.128277                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        98.9082       0.962066                 NaN  0.129686                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        98.9068       0.962062                 NaN  0.131095                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        98.9049       0.962058                 NaN  0.133050                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        98.9029       0.962054                 NaN  0.135006                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        98.9010       0.962050                 NaN  0.136961                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        98.8990       0.962046                 NaN  0.138916                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        98.8971       0.962042                 NaN  0.140871                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        98.8951       0.962038                 NaN  0.142826                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        98.8932       0.962034                 NaN  0.144781                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        98.8912       0.962030                 NaN  0.146736                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        98.8887       0.962026                 NaN  0.149273                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        98.8862       0.962022                 NaN  0.151810                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        98.8836       0.962017                 NaN  0.154347                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        98.8811       0.962013                 NaN  0.156884                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        98.8786       0.962009                 NaN  0.159421                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        98.8760       0.962004                 NaN  0.161958                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        98.8735       0.962000                 NaN  0.164495                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        98.8710       0.961996                 NaN  0.167032                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        98.8673       0.961991                 NaN  0.170726                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        98.8636       0.961986                 NaN  0.174420                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        98.8599       0.961982                 NaN  0.178113                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        98.8562       0.961977                 NaN  0.181807                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        98.8525       0.961972                 NaN  0.185501                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        98.8488       0.961968                 NaN  0.189194                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        98.8451       0.961963                 NaN  0.192888                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        98.8415       0.961958                 NaN  0.196582                 NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        98.8361       0.961953                 NaN  0.201962                 NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        98.8307       0.961948                 NaN  0.207342                 NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        98.8253       0.961943                 NaN  0.212722                 NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        98.8200       0.961938                 NaN  0.218103                 NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        98.8146       0.961933                 NaN  0.223483                 NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        98.8092       0.961928                 NaN  0.228863                 NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        98.8038       0.961923                 NaN  0.234243                 NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        98.7985       0.961918                 NaN  0.239623                 NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        98.7903       0.961913                 NaN  0.247798                 NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        98.7821       0.961908                 NaN  0.255974                 NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        98.7739       0.961903                 NaN  0.264149                 NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        98.7658       0.961897                 NaN  0.272324                 NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        98.7556       0.961892                 NaN  0.282538                 NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        98.7454       0.961887                 NaN  0.292752                 NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        98.7321       0.961881                 NaN  0.303872       0.213422E-002            NaN            NaN            NaN            NaN
  1692.31        500.000        98.6986       0.961875                 NaN  0.317509       0.219693E-001            NaN            NaN            NaN            NaN
  1689.10        500.000        98.6604       0.961869                 NaN  0.336730       0.410353E-001            NaN            NaN            NaN            NaN
  1685.90        500.000        98.6221       0.961863                 NaN  0.355952       0.601010E-001            NaN            NaN            NaN            NaN
  1682.69        500.000        98.5838       0.961857                 NaN  0.375173       0.791665E-001            NaN            NaN            NaN            NaN
  1679.49        500.000        98.5455       0.961851                 NaN  0.394394       0.982318E-001            NaN            NaN            NaN            NaN
  1676.28        500.000        98.5072       0.961845                 NaN  0.413615       0.117297                 NaN            NaN            NaN            NaN
  1673.08        500.000        98.4690       0.961839                 NaN  0.432835       0.136362                 NaN            NaN            NaN            NaN
  1669.87        500.000        98.4307       0.961833                 NaN  0.452056       0.155426                 NaN            NaN            NaN            NaN
  1666.67        500.000        98.3924       0.961827                 NaN  0.471276       0.174491                 NaN            NaN            NaN            NaN
  1663.46        500.000        98.3132       0.961822                 NaN  0.532679       0.192300                 NaN            NaN            NaN            NaN
  1660.26        500.000        98.2340       0.961817                 NaN  0.594082       0.210110                 NaN            NaN            NaN            NaN
  1657.05        500.000        98.1548       0.961812                 NaN  0.655485       0.227919                 NaN            NaN            NaN            NaN
