|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/EETA/EETA_6.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        3616.67     
  1996.79        500.000        3617.16     
  1993.59        500.000        3617.65     
  1990.38        500.000        3618.13     
  1987.18        500.000        3618.62     
  1983.97        500.000        3619.11     
  1980.77        500.000        3619.59     
  1977.56        500.000        3620.08     
  1974.36        500.000        3620.56     
  1971.15        500.000        3621.05     
  1967.95        500.000        3621.54     
  1964.74        500.000        3622.02     
  1961.54        500.000        3622.51     
  1958.33        500.000        3622.99     
  1955.13        500.000        3623.48     
  1951.92        500.000        3623.96     
  1948.72        500.000        3624.44     
  1945.51        500.000        3624.93     
  1942.31        500.000        3625.41     
  1939.10        500.000        3625.90     
  1935.90        500.000        3626.38     
  1932.69        500.000        3626.86     
  1929.49        500.000        3627.34     
  1926.28        500.000        3627.83     
  1923.08        500.000        3628.31     
  1919.87        500.000        3628.79     
  1916.67        500.000        3629.27     
  1913.46        500.000        3629.76     
  1910.26        500.000        3630.24     
  1907.05        500.000        3630.72     
  1903.85        500.000        3631.20     
  1900.64        500.000        3631.68     
  1897.44        500.000        3632.16     
  1894.23        500.000        3632.64     
  1891.03        500.000        3633.12     
  1887.82        500.000        3633.60     
  1884.62        500.000        3634.08     
  1881.41        500.000        3634.56     
  1878.21        500.000        3635.04     
  1875.00        500.000        3635.52     
  1871.79        500.000        3636.00     
  1868.59        500.000        3636.48     
  1865.38        500.000        3636.96     
  1862.18        500.000        3637.43     
  1858.97        500.000        3637.91     
  1855.77        500.000        3638.39     
  1852.56        500.000        3638.87     
  1849.36        500.000        3639.34     
  1846.15        500.000        3639.82     
  1842.95        500.000        3640.30     
  1839.74        500.000        3640.78     
  1836.54        500.000        3641.25     
  1833.33        500.000        3641.73     
  1830.13        500.000        3642.21     
  1826.92        500.000        3642.68     
  1823.72        500.000        3643.16     
  1820.51        500.000        3643.63     
  1817.31        500.000        3644.11     
  1814.10        500.000        3644.58     
  1810.90        500.000        3645.06     
  1807.69        500.000        3645.53     
  1804.49        500.000        3646.01     
  1801.28        500.000        3646.48     
  1798.08        500.000        3646.96     
  1794.87        500.000        3647.43     
  1791.67        500.000        3647.90     
  1788.46        500.000        3648.38     
  1785.26        500.000        3648.85     
  1782.05        500.000        3649.32     
  1778.85        500.000        3649.80     
  1775.64        500.000        3650.27     
  1772.44        500.000        3650.74     
  1769.23        500.000        3651.21     
  1766.03        500.000        3651.69     
  1762.82        500.000        3652.16     
  1759.62        500.000        3652.63     
  1756.41        500.000        3653.10     
  1753.21        500.000        3653.57     
  1750.00        500.000        3586.56     
  1746.79        500.000        3586.25     
  1743.59        500.000        3585.95     
  1740.38        500.000        3585.44     
  1737.18        500.000        3584.93     
  1733.97        500.000        3584.44     
  1730.77        500.000        3583.95     
  1727.56        500.000        3583.47     
  1724.36        500.000        3583.00     
  1721.15        500.000        3582.53     
  1717.95        500.000        3582.08     
  1714.74        500.000        3581.15     
  1711.54        500.000        3580.23     
  1708.33        500.000        3579.34     
  1705.13        500.000        3578.46     
  1701.92        500.000        3577.59     
  1698.72        500.000        3576.74     
  1695.51        500.000        3575.90     
  1692.31        500.000        3575.08     
  1689.10        500.000        3573.49     
  1685.90        500.000        3571.94     
  1682.69        500.000        3570.42     
  1679.49        500.000        3568.94     
  1676.28        500.000        3567.49     
  1673.08        500.000        3566.08     
  1669.87        500.000        3564.70     
  1666.67        500.000        3563.36     
  1663.46        500.000        3561.13     
  1660.26        500.000        3558.97     
  1657.05        500.000        3556.88     
  1653.85        500.000        3554.86     
  1650.64        500.000        3555.22     
  1647.44        500.000        3561.54     
  1644.23        500.000        3566.35     
  1641.03        500.000        3570.92     
  1637.82        500.000        3570.89     
  1634.62        500.000        3570.90     
  1631.41        500.000        3570.95     
  1628.21        500.000        3571.04     
  1625.00        500.000        3571.16     
  1621.79        500.000        3571.31     
  1618.59        500.000        3571.48     
  1615.38        500.000        3571.68     
  1612.18        500.000        3555.59     
  1608.97        500.000        3542.88     
  1605.77        500.000        3532.61     
  1602.56        500.000        3524.16     
  1599.36        500.000        3517.10     
  1596.15        500.000        3511.13     
  1592.95        500.000        3506.04     
  1589.74        500.000        3501.64     
  1586.54        500.000        3491.80     
  1583.33        500.000        3484.23     
  1580.13        500.000        3478.25     
  1576.92        500.000        3473.44     
  1573.72        500.000        3469.51     
  1570.51        500.000        3466.25     
  1567.31        500.000        3463.52     
  1564.10        500.000        3461.21     
  1560.90        500.000        3460.02     
  1557.69        500.000        3459.04     
  1554.49        500.000        3458.24     
  1551.28        500.000        3457.57     
  1548.08        500.000        3457.55     
  1544.87        500.000        3457.57     
  1541.67        500.000        3457.77     
  1538.46        500.000        3457.76     
  1535.26        500.000        3443.50     
  1532.05        500.000        3431.62     
  1528.85        500.000        3421.60     
  1525.64        500.000        3413.03     
  1522.44        500.000        3405.64     
  1519.23        500.000        3399.21     
  1516.03        500.000        3393.57     
  1512.82        500.000        3388.60     
  1509.62        500.000        3385.28     
  1506.41        500.000        3382.30     
  1503.21        500.000        3379.60     
  1500.00        500.000        3377.16     
  1496.79        500.000        3374.94     
  1493.59        500.000        3372.93     
  1490.38        500.000        3371.09     
  1487.18        500.000        3369.41     
  1483.97        500.000        3368.17     
  1480.77        500.000        3367.05     
  1477.56        500.000        3366.02     
  1474.36        500.000        3365.08     
  1471.15        500.000        3364.25     
  1467.95        500.000        3363.49     
  1464.74        500.000        3362.67     
  1461.54        500.000        3361.83     
  1458.33        500.000        3361.28     
  1455.13        500.000        3361.26     
  1451.92        500.000        3361.45     
  1448.72        500.000        3361.66     
  1445.51        500.000        3362.05     
  1442.31        500.000        3362.34     
  1439.10        500.000        3362.80     
  1435.90        500.000        3362.62     
  1432.69        500.000        3363.07     
  1429.49        500.000        3363.40     
  1426.28        500.000        3363.97     
  1423.08        500.000        3364.63     
  1419.87        500.000        3365.08     
  1416.67        500.000        3365.52     
  1413.46        500.000        3365.97     
  1410.26        500.000        3367.65     
  1407.05        500.000        3368.10     
  1403.85        500.000        3369.13     
  1400.64        500.000        3369.14     
  1397.44        500.000        3364.30     
  1394.23        500.000        3364.74     
  1391.03        500.000        3365.18     
  1387.82        500.000        3365.62     
  1384.62        500.000        3350.15     
  1381.41        500.000        3350.58     
  1378.21        500.000        3351.01     
  1375.00        500.000        3351.44     
  1371.79        500.000        3351.87     
  1368.59        500.000        3352.30     
  1365.38        500.000        3352.73     
  1362.18        500.000        3353.16     
  1358.97        500.000        3332.83     
  1355.77        500.000        3333.25     
  1352.56        500.000        3333.66     
  1349.36        500.000        3334.08     
  1346.15        500.000        3334.50     
  1342.95        500.000        3334.92     
  1339.74        500.000        3335.33     
  1336.54        500.000        3335.75     
  1333.33        500.000        3320.71     
  1330.13        500.000        3321.12     
  1326.92        500.000        3321.53     
  1323.72        500.000        3321.93     
  1320.51        500.000        3322.34     
  1317.31        500.000        3322.75     
  1314.10        500.000        3323.16     
  1310.90        500.000        3323.57     
  1307.69        500.000        3310.95     
  1304.49        500.000        3311.35     
  1301.28        500.000        3311.76     
  1298.08        500.000        3312.16     
  1294.87        500.000        3306.74     
  1291.67        500.000        3294.96     
  1288.46        500.000        3295.19     
  1285.26        500.000        3295.58     
  1282.05        500.000        3295.75     
  1278.85        500.000        3296.14     
  1275.64        500.000        3296.54     
  1272.44        500.000        3296.93     
  1269.23        500.000        3297.33     
  1266.03        500.000        3297.72     
  1262.82        500.000        3298.11     
  1259.62        500.000        3298.51     
  1256.41        500.000        3297.91     
  1253.21        500.000        3298.30     
  1250.00        500.000        3298.69     
  1246.79        500.000        3299.08     
  1243.59        500.000        3299.47     
  1240.38        500.000        3299.86     
  1237.18        500.000        3300.25     
  1233.97        500.000        3300.64     
  1230.77        500.000        3300.16     
  1227.56        500.000        3300.55     
  1224.36        500.000        3300.93     
  1221.15        500.000        3301.32     
  1217.95        500.000        3301.71     
  1214.74        500.000        3302.10     
  1211.54        500.000        3302.49     
  1208.33        500.000        3302.88     
  1205.13        500.000        3302.50     
  1201.92        500.000        3302.89     
  1198.72        500.000        3303.27     
  1195.51        500.000        3303.66     
  1192.31        500.000        3304.05     
  1189.10        500.000        3304.43     
  1185.90        500.000        3304.82     
  1182.69        500.000        3305.20     
  1179.49        500.000        3304.92     
  1176.28        500.000        3305.31     
  1173.08        500.000        3305.69     
  1169.87        500.000        3306.07     
  1166.67        500.000        3306.46     
  1163.46        500.000        3306.84     
  1160.26        500.000        3307.22     
  1157.05        500.000        3307.61     
  1153.85        500.000        3307.42     
  1150.64        500.000        3307.80     
  1147.44        500.000        3308.18     
  1144.23        500.000        3308.57     
  1141.03        500.000        3308.95     
  1137.82        500.000        3309.33     
  1134.62        500.000        3309.71     
  1131.41        500.000        3310.09     
  1128.21        500.000        3309.98     
  1125.00        500.000        3310.36     
  1121.79        500.000        3310.74     
  1118.59        500.000        3311.12     
  1115.38        500.000        3311.50     
  1112.18        500.000        3311.88     
  1108.97        500.000        3312.26     
  1105.77        500.000        3312.63     
  1102.56        500.000        3312.61     
  1099.36        500.000        3312.98     
  1096.15        500.000        3313.36     
  1092.95        500.000        3313.74     
  1089.74        500.000        3313.94     
  1086.54        500.000        3314.28     
  1083.33        500.000        3314.61     
  1080.13        500.000        3314.99     
  1076.92        500.000        3315.27     
  1073.72        500.000        3315.65     
  1070.51        500.000        3316.02     
  1067.31        500.000        3316.39     
  1064.10        500.000        3316.77     
  1060.90        500.000        3317.14     
  1057.69        500.000        3317.52     
  1054.49        500.000        3317.89     
  1051.28        500.000        3317.91     
  1048.08        500.000        3318.28     
  1044.87        500.000        3318.66     
  1041.67        500.000        3319.03     
  1038.46        500.000        3319.40     
  1035.26        500.000        3319.77     
  1032.05        500.000        3320.14     
  1028.85        500.000        3320.52     
  1025.64        500.000        3320.56     
  1022.44        500.000        3320.93     
  1019.23        500.000        3321.30     
  1016.03        500.000        3321.67     
  1012.82        500.000        3322.04     
  1009.62        500.000        3322.41     
  1006.41        500.000        3322.78     
  1003.21        500.000        3323.14     
  1000.00        500.000        3323.21     
