|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/YM20/YM20_6.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1996.79        500.000        5146.94     
  1993.59        500.000        5147.91     
  1990.38        500.000        5148.87     
  1987.18        500.000        4027.05     
  1983.97        500.000        4013.15     
  1980.77        500.000        3999.70     
  1977.56        500.000        3986.69     
  1974.36        500.000        3974.11     
  1971.15        500.000        3955.42     
  1967.95        500.000        3937.59     
  1964.74        500.000        3920.56     
  1961.54        500.000        3904.28     
  1958.33        500.000        3888.70     
  1955.13        500.000        3873.78     
  1951.92        500.000        3859.48     
  1948.72        500.000        3845.76     
  1945.51        500.000        3818.25     
  1942.31        500.000        3792.85     
  1939.10        500.000        3769.35     
  1935.90        500.000        3747.53     
  1932.69        500.000        3727.24     
  1929.49        500.000        3708.31     
  1926.28        500.000        3690.62     
  1923.08        500.000        3674.05     
  1919.87        500.000        3633.56     
  1916.67        500.000        3598.91     
  1913.46        500.000        3568.93     
  1910.26        500.000        3542.76     
  1907.05        500.000        3519.72     
  1903.85        500.000        3499.29     
  1900.64        500.000        3481.06     
  1897.44        500.000        3464.70     
  1894.23        500.000        3434.53     
  1891.03        500.000        3409.73     
  1887.82        500.000        3383.37     
  1884.62        500.000        3328.64     
  1881.41        500.000        3273.79     
  1878.21        500.000        3229.84     
  1875.00        500.000        3225.88     
  1871.79        500.000        3222.80     
  1868.59        500.000        3220.29     
  1865.38        500.000        3218.35     
  1862.18        500.000        3216.83     
  1858.97        500.000        3215.63     
  1855.77        500.000        3214.67     
  1852.56        500.000        3213.92     
  1849.36        500.000        3213.32     
  1846.15        500.000        3212.85     
  1842.95        500.000        3213.57     
  1839.74        500.000        3214.26     
  1836.54        500.000        3214.93     
  1833.33        500.000        3215.58     
  1830.13        500.000        3216.21     
  1826.92        500.000        3216.82     
  1823.72        500.000        3217.43     
  1820.51        500.000        3218.02     
  1817.31        500.000        3219.45     
