|6.6.6
Archiving\03_Data\eqLP/QFM_m1.25/KHA22/KHA22_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        5145.98     
  1996.79        500.000        5146.94     
  1993.59        500.000        5147.91     
  1990.38        500.000        5148.87     
  1987.18        500.000        5149.84     
  1983.97        500.000        5150.80     
  1980.77        500.000        5151.76     
  1977.56        500.000        5152.72     
  1974.36        500.000        5153.69     
  1971.15        500.000        5154.65     
  1967.95        500.000        5155.61     
  1964.74        500.000        5156.57     
  1961.54        500.000        5157.52     
  1958.33        500.000        5158.48     
  1955.13        500.000        5159.44     
  1951.92        500.000        5160.39     
  1948.72        500.000        5161.35     
  1945.51        500.000        4996.51     
  1942.31        500.000        3600.96     
  1939.10        500.000        3579.13     
  1935.90        500.000        3559.31     
  1932.69        500.000        3524.43     
  1929.49        500.000        3494.93     
  1926.28        500.000        3469.66     
  1923.08        500.000        3447.78     
  1919.87        500.000        3397.63     
  1916.67        500.000        3361.53     
  1913.46        500.000        3334.35     
  1910.26        500.000        3313.19     
  1907.05        500.000        3296.26     
  1903.85        500.000        3282.44     
  1900.64        500.000        3270.96     
  1897.44        500.000        3261.29     
  1894.23        500.000        3248.14     
  1891.03        500.000        3237.86     
  1887.82        500.000        3228.38     
  1884.62        500.000        3215.95     
  1881.41        500.000        3182.36     
  1878.21        500.000        3180.84     
  1875.00        500.000        3180.19     
  1871.79        500.000        3181.05     
  1868.59        500.000        3182.61     
  1865.38        500.000        3184.04     
  1862.18        500.000        3185.36     
  1858.97        500.000        3186.60     
  1855.77        500.000        3187.77     
  1852.56        500.000        3188.87     
  1849.36        500.000        3189.91     
  1846.15        500.000        3190.91     
  1842.95        500.000        3192.71     
  1839.74        500.000        3194.42     
  1836.54        500.000        3196.04     
  1833.33        500.000        3197.58     
  1830.13        500.000        3199.04     
  1826.92        500.000        3200.45     
  1823.72        500.000        3201.79     
  1820.51        500.000        3203.08     
  1817.31        500.000        3204.86     
