|6.6.6
Archiving\03_Data\eqLP/QFM_m3.25/ALH/ALH_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5445       0.455542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5445       0.455542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5445       0.455541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5445       0.455541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5445       0.455540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5445       0.455539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5445       0.455539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5445       0.455538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5445       0.455538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5445       0.455537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5445       0.455536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5445       0.455536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.5445       0.455535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.5445       0.455534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.5445       0.455534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.5445       0.455533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.5445       0.455532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.5445       0.455532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.5445       0.455531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.5445       0.455530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.5445       0.455529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.5445       0.455529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.5445       0.455528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.5445       0.455527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.5445       0.455527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.5445       0.455526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.5445       0.455525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.5445       0.455524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.5445       0.455523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.5445       0.455523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.5445       0.455522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.5445       0.455521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.5445       0.455520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.5445       0.455520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.5445       0.455519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.3133       0.455519       0.231149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.4737       0.455521        1.07076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        97.6544       0.455523        1.89012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        96.8350       0.455525        2.70948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        96.0156       0.455528        3.52885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        95.1962       0.455530        4.34823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        94.4211       0.455532        5.12341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        93.6459       0.455534        5.89861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        92.8707       0.455537        6.67380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        92.0955       0.455539        7.44901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        91.3202       0.455541        8.22422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.5450       0.455544        8.99945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        89.7698       0.455546        9.77468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        88.9945       0.455548        10.5499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        87.0722       0.176956        12.2363                 NaN  0.514566                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        85.6080                 NaN   13.5506                 NaN  0.841410                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        84.8812                 NaN   14.2774                 NaN  0.841414                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        84.1544                 NaN   15.0041                 NaN  0.841419                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        83.4339                 NaN   15.7247                 NaN  0.841423                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        82.7133                 NaN   16.4453                 NaN  0.841428                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        81.9898                 NaN   17.1676       0.123717E-002  0.841432                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        81.2776                 NaN   17.8670       0.139893E-001  0.841437                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        80.5772                 NaN   18.5526       0.287321E-001  0.841441                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.8768                 NaN   19.2383       0.434750E-001  0.841446                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        79.1764                 NaN   19.9239       0.582181E-001  0.841450                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        78.4760                 NaN   20.6096       0.729613E-001  0.841454                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        77.7756                 NaN   21.2952       0.877047E-001  0.841459                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        77.0752                 NaN   21.9809       0.102448       0.841463                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        76.3748                 NaN   22.6665       0.117192       0.841468                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        75.6744                 NaN   23.3522       0.131936       0.841472                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        75.0046                 NaN   24.0084       0.145550       0.841477                 NaN            NaN            NaN            NaN            NaN            NaN
