|6.6.6
Archiving\03_Data\eqLP/QFM_m3.25/TAY13/TAY13_5.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  2000.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000       0.839242       0.105634E-003  0.756004E-001  0.711233E-001 -0.774998E-002 -0.373597E-001 -0.370019       0.429057     
  1855.77        500.000       0.838764       0.114496E-003  0.742444E-001  0.668678E-001 -0.381690E-002 -0.366824E-001 -0.380033       0.440542     
  1852.56        500.000       0.838728       0.115149E-003  0.741444E-001  0.665541E-001 -0.352696E-002 -0.366325E-001 -0.380771       0.441389     
  1849.36        500.000       0.838715       0.115389E-003  0.741077E-001  0.664390E-001 -0.342057E-002 -0.366142E-001 -0.381042       0.441699     
  1846.15        500.000       0.838709       0.115513E-003  0.740887E-001  0.663792E-001 -0.336534E-002 -0.366046E-001 -0.381183       0.441861     
  1842.95        500.000       0.838061       0.115319E-003  0.731444E-001  0.638792E-001 -0.945912E-003 -0.361343E-001 -0.386974       0.448854     
  1839.74        500.000       0.837621       0.115186E-003  0.725031E-001  0.621815E-001  0.697125E-003 -0.358148E-001 -0.390906       0.453603     
  1836.54        500.000       0.837303       0.115090E-003  0.720392E-001  0.609532E-001  0.188581E-002 -0.355837E-001 -0.393751       0.457039     
  1833.33        500.000       0.837062       0.115018E-003  0.716880E-001  0.600234E-001  0.278572E-002 -0.354088E-001 -0.395905       0.459640     
  1830.13        500.000       0.836873       0.114961E-003  0.714128E-001  0.592949E-001  0.349069E-002 -0.352717E-001 -0.397593       0.461678     
  1826.92        500.000       0.836722       0.114915E-003  0.711915E-001  0.587089E-001  0.405786E-002 -0.351615E-001 -0.398950       0.463317     
  1823.72        500.000       0.836597       0.114878E-003  0.710095E-001  0.582272E-001  0.452405E-002 -0.350708E-001 -0.400066       0.464665     
  1820.51        500.000       0.836492       0.114846E-003  0.708573E-001  0.578242E-001  0.491402E-002 -0.349950E-001 -0.400999       0.465792     
  1817.31        500.000       0.835752       0.115372E-003  0.701710E-001  0.564754E-001  0.633013E-002 -0.346546E-001 -0.403902       0.469713     
  1814.10        500.000       0.835108       0.115830E-003  0.695740E-001  0.553023E-001  0.756173E-002 -0.343585E-001 -0.406427       0.473123     
  1810.90        500.000       0.834543       0.116232E-003  0.690501E-001  0.542728E-001  0.864266E-002 -0.340987E-001 -0.408643       0.476116     
  1807.69        500.000       0.834043       0.116587E-003  0.685866E-001  0.533619E-001  0.959898E-002 -0.338688E-001 -0.410603       0.478764     
  1804.49        500.000       0.833598       0.116904E-003  0.681737E-001  0.525503E-001  0.104511E-001 -0.336640E-001 -0.412350       0.481124     
  1801.28        500.000       0.833199       0.117187E-003  0.678034E-001  0.518226E-001  0.112151E-001 -0.334803E-001 -0.413916       0.483239     
  1798.08        500.000       0.832839       0.117443E-003  0.674695E-001  0.511664E-001  0.119040E-001 -0.333147E-001 -0.415328       0.485147     
  1794.87        500.000       0.832512       0.117675E-003  0.671668E-001  0.505717E-001  0.125284E-001 -0.331646E-001 -0.416608       0.486876     
  1791.67        500.000       0.831780       0.118088E-003  0.666001E-001  0.495825E-001  0.135910E-001 -0.328839E-001 -0.418722       0.489934     
  1788.46        500.000       0.831105       0.118467E-003  0.660781E-001  0.486714E-001  0.145696E-001 -0.326254E-001 -0.420669       0.492751     
  1785.26        500.000       0.830482       0.118818E-003  0.655957E-001  0.478296E-001  0.154739E-001 -0.323866E-001 -0.422468       0.495354     
  1782.05        500.000       0.829904       0.119143E-003  0.651487E-001  0.470495E-001  0.163119E-001 -0.321652E-001 -0.424135       0.497767     
  1778.85        500.000       0.829367       0.119445E-003  0.647333E-001  0.463244E-001  0.170908E-001 -0.319595E-001 -0.425684       0.500009     
  1775.64        500.000       0.828867       0.119726E-003  0.643463E-001  0.456489E-001  0.178164E-001 -0.317678E-001 -0.427128       0.502098     
  1772.44        500.000       0.828399       0.119989E-003  0.639847E-001  0.450179E-001  0.184942E-001 -0.315888E-001 -0.428476       0.504049     
  1769.23        500.000       0.827962       0.120235E-003  0.636463E-001  0.444272E-001  0.191288E-001 -0.314212E-001 -0.429738       0.505875     
  1766.03        500.000       0.827082       0.121788E-003  0.631218E-001  0.436634E-001  0.200052E-001 -0.311618E-001 -0.431200       0.508368     
