|6.6.6
Archiving\03_Data\eqLP/QFM_m3/GRV/GRV_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  2000.00        500.000        99.3235       0.676531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3234       0.676606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3233       0.676682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3232       0.676757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3232       0.676832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3231       0.676908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3230       0.676983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3229       0.677058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3229       0.677134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.3228       0.677210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.3227       0.677285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.3226       0.677361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.3226       0.677437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.3225       0.677512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.3224       0.677588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3223       0.677664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3223       0.677740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3222       0.677816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3221       0.677892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.3220       0.677968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.3220       0.678045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.3219       0.678121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.3218       0.678197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.3217       0.678274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.3217       0.678350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.3216       0.678426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.3215       0.678503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.3214       0.678579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.3213       0.678656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.3213       0.678733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.3212       0.678809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.3211       0.678886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.3210       0.678963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.3210       0.679040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.3209       0.679117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.3208       0.679194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.3207       0.679271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.3207       0.679348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.3206       0.679425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.3205       0.679502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.3204       0.679579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.3203       0.679657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.3203       0.679734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.3202       0.679811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.3201       0.679889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.3200       0.679966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.3200       0.680044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.3199       0.680121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.3198       0.680199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.3197       0.680277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.3196       0.680354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.3196       0.680432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.3195       0.680510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.3194       0.680588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.3193       0.680666                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.3193       0.680744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.3192       0.680822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.3191       0.680900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.3190       0.680978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.3189       0.681056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.3189       0.681134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.3188       0.681212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.3115       0.681301       0.717688E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.2979       0.681400       0.206808E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.2843       0.681498       0.341888E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.2713       0.681595       0.470634E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.2584       0.681692       0.599419E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.2454       0.681790       0.728243E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.2324       0.681887       0.857105E-001            NaN            NaN            NaN            NaN            NaN            NaN
