|6.6.6
Archiving\03_Data\eqLP/QFM_m4.25/EETA/EETA_6.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        3616.67     
  1996.79        500.000        3617.16     
  1993.59        500.000        3617.65     
  1990.38        500.000        3618.13     
  1987.18        500.000        3618.62     
  1983.97        500.000        3619.11     
  1980.77        500.000        3619.59     
  1977.56        500.000        3620.08     
  1974.36        500.000        3620.56     
  1971.15        500.000        3621.05     
  1967.95        500.000        3621.54     
  1964.74        500.000        3622.02     
  1961.54        500.000        3622.51     
  1958.33        500.000        3622.99     
  1955.13        500.000        3623.48     
  1951.92        500.000        3623.96     
  1948.72        500.000        3624.44     
  1945.51        500.000        3624.93     
  1942.31        500.000        3625.41     
  1939.10        500.000        3625.90     
  1935.90        500.000        3626.38     
  1932.69        500.000        3626.86     
  1929.49        500.000        3627.34     
  1926.28        500.000        3627.83     
  1923.08        500.000        3628.31     
  1919.87        500.000        3628.79     
  1916.67        500.000        3629.27     
  1913.46        500.000        3629.76     
  1910.26        500.000        3630.24     
  1907.05        500.000        3630.72     
  1903.85        500.000        3631.20     
  1900.64        500.000        3631.68     
  1897.44        500.000        3632.16     
  1894.23        500.000        3632.64     
  1891.03        500.000        3633.12     
  1887.82        500.000        3633.60     
  1884.62        500.000        3634.08     
  1881.41        500.000        3634.56     
  1878.21        500.000        3635.04     
  1875.00        500.000        3635.52     
  1871.79        500.000        3636.00     
  1868.59        500.000        3636.48     
  1865.38        500.000        3636.96     
  1862.18        500.000        3637.43     
  1858.97        500.000        3637.91     
  1855.77        500.000        3638.39     
  1852.56        500.000        3638.87     
  1849.36        500.000        3639.34     
  1846.15        500.000        3639.82     
  1842.95        500.000        3640.30     
  1839.74        500.000        3640.78     
  1836.54        500.000        3641.25     
  1833.33        500.000        3641.73     
  1830.13        500.000        3642.21     
  1826.92        500.000        3642.68     
  1823.72        500.000        3643.16     
  1820.51        500.000        3643.63     
  1817.31        500.000        3644.11     
  1814.10        500.000        3644.58     
  1810.90        500.000        3645.06     
  1807.69        500.000        3645.53     
  1804.49        500.000        3646.01     
  1801.28        500.000        3646.48     
  1798.08        500.000        3646.96     
  1794.87        500.000        3647.43     
  1791.67        500.000        3647.90     
  1788.46        500.000        3648.38     
  1785.26        500.000        3648.85     
  1782.05        500.000        3649.32     
  1778.85        500.000        3649.80     
  1775.64        500.000        3650.27     
  1772.44        500.000        3650.74     
  1769.23        500.000        3651.21     
  1766.03        500.000        3651.69     
  1762.82        500.000        3652.16     
  1759.62        500.000        3652.63     
  1756.41        500.000        3653.10     
  1753.21        500.000        3653.57     
  1750.00        500.000        3654.04     
  1746.79        500.000        3654.51     
  1743.59        500.000        3654.98     
  1740.38        500.000        3655.45     
  1737.18        500.000        3655.92     
  1733.97        500.000        3656.39     
  1730.77        500.000        3656.86     
  1727.56        500.000        3657.33     
  1724.36        500.000        3657.80     
  1721.15        500.000        3658.27     
  1717.95        500.000        3658.74     
  1714.74        500.000        3659.21     
  1711.54        500.000        3659.68     
  1708.33        500.000        3660.15     
  1705.13        500.000        3660.62     
  1701.92        500.000        3661.08     
  1698.72        500.000        3661.55     
  1695.51        500.000        3662.02     
  1692.31        500.000        3662.49     
  1689.10        500.000        3662.95     
  1685.90        500.000        3663.42     
  1682.69        500.000        3663.89     
  1679.49        500.000        3664.35     
  1676.28        500.000        3664.82     
  1673.08        500.000        3665.29     
  1669.87        500.000        3665.75     
  1666.67        500.000        3666.22     
  1663.46        500.000        3666.68     
  1660.26        500.000        3667.15     
  1657.05        500.000        3667.61     
  1653.85        500.000        3668.08     
  1650.64        500.000        3668.54     
  1647.44        500.000        3669.01     
  1644.23        500.000        3669.47     
  1641.03        500.000        3669.94     
  1637.82        500.000        3680.22     
  1634.62        500.000        3691.16     
  1631.41        500.000        3701.68     
  1628.21        500.000        3711.95     
  1625.00        500.000        3721.78     
  1621.79        500.000        3731.39     
  1618.59        500.000        3659.36     
  1615.38        500.000        3559.67     
  1612.18        500.000        3522.66     
  1608.97        500.000        3501.63     
  1605.77        500.000        3488.15     
  1602.56        500.000        3478.84     
  1599.36        500.000        3472.08     
  1596.15        500.000        3466.97     
  1592.95        500.000        3463.02     
  1589.74        500.000        3459.90     
  1586.54        500.000        3459.83     
  1583.33        500.000        3459.83     
  1580.13        500.000        3459.90     
  1576.92        500.000        3460.01     
  1573.72        500.000        3460.17     
  1570.51        500.000        3460.36     
  1567.31        500.000        3460.59     
  1564.10        500.000        3460.83     
  1560.90        500.000        3461.87     
  1557.69        500.000        3462.80     
  1554.49        500.000        3463.96     
  1551.28        500.000        3465.06     
  1548.08        500.000        3466.41     
  1544.87        500.000        3467.70     
  1541.67        500.000        3468.94     
  1538.46        500.000        3470.13     
  1535.26        500.000        3470.01     
  1532.05        500.000        3459.39     
  1528.85        500.000        3450.53     
  1525.64        500.000        3442.68     
  1522.44        500.000        3436.30     
  1519.23        500.000        3430.57     
  1516.03        500.000        3425.39     
  1512.82        500.000        3420.69     
  1509.62        500.000        3416.95     
  1506.41        500.000        3413.52     
  1503.21        500.000        3410.36     
  1500.00        500.000        3407.45     
  1496.79        500.000        3404.76     
  1493.59        500.000        3402.28     
  1490.38        500.000        3399.97     
  1487.18        500.000        3397.83     
  1483.97        500.000        3396.01     
  1480.77        500.000        3393.31     
  1477.56        500.000        3390.46     
  1474.36        500.000        3387.88     
  1471.15        500.000        3385.86     
  1467.95        500.000        3384.03     
  1464.74        500.000        3382.64     
  1461.54        500.000        3381.36     
  1458.33        500.000        3381.81     
  1455.13        500.000        3382.27     
  1451.92        500.000        3382.72     
  1448.72        500.000        3383.17     
  1445.51        500.000        3383.62     
  1442.31        500.000        3384.07     
  1439.10        500.000        3384.52     
  1435.90        500.000        3378.51     
  1432.69        500.000        3378.96     
  1429.49        500.000        3379.41     
  1426.28        500.000        3379.86     
  1423.08        500.000        3379.44     
  1419.87        500.000        3379.75     
  1416.67        500.000        3374.61     
  1413.46        500.000        3375.06     
  1410.26        500.000        3361.21     
  1407.05        500.000        3361.65     
  1403.85        500.000        3362.09     
  1400.64        500.000        3362.52     
  1397.44        500.000        3344.00     
  1394.23        500.000        3340.83     
  1391.03        500.000        3337.98     
  1387.82        500.000        3338.41     
  1384.62        500.000        3333.14     
  1381.41        500.000        3333.56     
  1378.21        500.000        3333.98     
  1375.00        500.000        3334.40     
  1371.79        500.000        3334.82     
  1368.59        500.000        3335.24     
  1365.38        500.000        3335.66     
  1362.18        500.000        3336.08     
  1358.97        500.000        3318.84     
  1355.77        500.000        3319.26     
  1352.56        500.000        3319.67     
  1349.36        500.000        3320.08     
  1346.15        500.000        3320.49     
  1342.95        500.000        3320.90     
  1339.74        500.000        3321.31     
  1336.54        500.000        3321.72     
  1333.33        500.000        3308.61     
  1330.13        500.000        3309.01     
  1326.92        500.000        3309.42     
  1323.72        500.000        3309.82     
  1320.51        500.000        3310.22     
  1317.31        500.000        3310.63     
  1314.10        500.000        3311.03     
  1310.90        500.000        3311.43     
  1307.69        500.000        3300.60     
  1304.49        500.000        3301.00     
  1301.28        500.000        3298.89     
  1298.08        500.000        3284.62     
  1294.87        500.000        3284.89     
  1291.67        500.000        3285.29     
  1288.46        500.000        3285.68     
  1285.26        500.000        3286.07     
  1282.05        500.000        3286.17     
  1278.85        500.000        3286.56     
  1275.64        500.000        3286.95     
  1272.44        500.000        3287.34     
  1269.23        500.000        3287.73     
  1266.03        500.000        3288.12     
  1262.82        500.000        3288.51     
  1259.62        500.000        3288.90     
  1256.41        500.000        3288.78     
  1253.21        500.000        3289.17     
  1250.00        500.000        3289.56     
  1246.79        500.000        3289.95     
  1243.59        500.000        3290.33     
  1240.38        500.000        3290.72     
  1237.18        500.000        3291.11     
  1233.97        500.000        3291.50     
  1230.77        500.000        3291.44     
  1227.56        500.000        3291.83     
  1224.36        500.000        3292.22     
  1221.15        500.000        3292.61     
  1217.95        500.000        3292.99     
  1214.74        500.000        3293.38     
  1211.54        500.000        3293.76     
  1208.33        500.000        3294.15     
  1205.13        500.000        3294.17     
  1201.92        500.000        3294.56     
  1198.72        500.000        3294.94     
  1195.51        500.000        3295.33     
  1192.31        500.000        3295.71     
  1189.10        500.000        3296.09     
  1185.90        500.000        3296.48     
  1182.69        500.000        3296.86     
  1179.49        500.000        3296.94     
  1176.28        500.000        3297.32     
  1173.08        500.000        3297.71     
  1169.87        500.000        3298.09     
  1166.67        500.000        3298.47     
  1163.46        500.000        3298.85     
  1160.26        500.000        3299.23     
  1157.05        500.000        3299.62     
  1153.85        500.000        3299.75     
  1150.64        500.000        3300.13     
  1147.44        500.000        3300.51     
  1144.23        500.000        3300.89     
  1141.03        500.000        3301.27     
  1137.82        500.000        3301.65     
  1134.62        500.000        3302.03     
  1131.41        500.000        3302.41     
  1128.21        500.000        3302.59     
  1125.00        500.000        3302.97     
  1121.79        500.000        3303.35     
  1118.59        500.000        3303.72     
  1115.38        500.000        3304.10     
  1112.18        500.000        3304.48     
  1108.97        500.000        3304.86     
  1105.77        500.000        3305.23     
  1102.56        500.000        3305.45     
  1099.36        500.000        3305.83     
  1096.15        500.000        3306.20     
  1092.95        500.000        3306.58     
  1089.74        500.000        3306.90     
  1086.54        500.000        3307.27     
  1083.33        500.000        3307.62     
  1080.13        500.000        3307.97     
  1076.92        500.000        3308.33     
  1073.72        500.000        3308.70     
  1070.51        500.000        3309.08     
  1067.31        500.000        3309.46     
  1064.10        500.000        3309.83     
  1060.90        500.000        3310.21     
  1057.69        500.000        3310.58     
  1054.49        500.000        3310.95     
  1051.28        500.000        3311.19     
  1048.08        500.000        3311.56     
  1044.87        500.000        3311.94     
  1041.67        500.000        3312.31     
  1038.46        500.000        3312.68     
  1035.26        500.000        3313.06     
  1032.05        500.000        3313.43     
  1028.85        500.000        3313.80     
  1025.64        500.000        3314.04     
  1022.44        500.000        3314.41     
  1019.23        500.000        3314.78     
  1016.03        500.000        3315.15     
  1012.82        500.000        3315.52     
  1009.62        500.000        3315.89     
  1006.41        500.000        3316.26     
  1003.21        500.000        3316.63     
  1000.00        500.000        3316.87     
