|6.6.6
Archiving\03_Data\eqLP/QFM_m4.5/YM20/YM20_5.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  2000.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000       0.837792       0.123425E-003  0.320478E-001  0.670263E-001  0.962805E-002 -0.159655E-001 -0.307400       0.376749     
  1858.97        500.000       0.837431       0.113462E-003  0.318676E-001  0.661144E-001  0.104232E-001 -0.158754E-001 -0.310028       0.379953     
  1855.77        500.000       0.837247       0.114255E-003  0.315185E-001  0.636760E-001  0.122881E-001 -0.157006E-001 -0.317611       0.388468     
  1852.56        500.000       0.837194       0.114481E-003  0.314189E-001  0.629803E-001  0.128201E-001 -0.156508E-001 -0.319774       0.390897     
  1849.36        500.000       0.837169       0.114589E-003  0.313718E-001  0.626510E-001  0.130720E-001 -0.156272E-001 -0.320798       0.392047     
  1846.15        500.000       0.837154       0.114651E-003  0.313443E-001  0.624589E-001  0.132189E-001 -0.156134E-001 -0.321395       0.392717     
  1842.95        500.000       0.836273       0.114210E-003  0.309393E-001  0.607277E-001  0.147566E-001 -0.154112E-001 -0.326320       0.398921     
  1839.74        500.000       0.835639       0.113892E-003  0.306481E-001  0.594834E-001  0.158619E-001 -0.152658E-001 -0.329860       0.403380     
  1836.54        500.000       0.835161       0.113653E-003  0.304288E-001  0.585458E-001  0.166946E-001 -0.151563E-001 -0.332527       0.406739     
  1833.33        500.000       0.834788       0.113466E-003  0.302576E-001  0.578141E-001  0.173446E-001 -0.150708E-001 -0.334609       0.409362     
  1830.13        500.000       0.834489       0.113317E-003  0.301203E-001  0.572271E-001  0.178660E-001 -0.150022E-001 -0.336279       0.411465     
  1826.92        500.000       0.834244       0.113194E-003  0.300077E-001  0.567457E-001  0.182935E-001 -0.149460E-001 -0.337648       0.413190     
  1823.72        500.000       0.834039       0.113091E-003  0.299137E-001  0.563438E-001  0.186505E-001 -0.148991E-001 -0.338791       0.414630     
  1820.51        500.000       0.833866       0.113005E-003  0.298340E-001  0.560033E-001  0.189530E-001 -0.148593E-001 -0.339760       0.415850     
  1817.31        500.000       0.833083       0.113214E-003  0.295697E-001  0.549662E-001  0.199139E-001 -0.147273E-001 -0.342642       0.419723     
  1814.10        500.000       0.832397       0.113397E-003  0.293379E-001  0.540568E-001  0.207565E-001 -0.146116E-001 -0.345169       0.423119     
  1810.90        500.000       0.831791       0.113560E-003  0.291331E-001  0.532529E-001  0.215014E-001 -0.145094E-001 -0.347403       0.426120     
  1807.69        500.000       0.831251       0.113704E-003  0.289507E-001  0.525372E-001  0.221646E-001 -0.144183E-001 -0.349392       0.428793     
  1804.49        500.000       0.830767       0.113834E-003  0.287872E-001  0.518959E-001  0.227588E-001 -0.143367E-001 -0.351174       0.431188     
  1801.28        500.000       0.830331       0.113950E-003  0.286399E-001  0.513180E-001  0.232943E-001 -0.142632E-001 -0.352780       0.433346     
  1798.08        500.000       0.829936       0.114056E-003  0.285065E-001  0.507945E-001  0.237794E-001 -0.141966E-001 -0.354234       0.435301     
  1794.87        500.000       0.829576       0.114152E-003  0.283851E-001  0.503181E-001  0.242208E-001 -0.141360E-001 -0.355558       0.437080     
  1791.67        500.000       0.828734       0.112693E-003  0.281271E-001  0.495124E-001  0.250117E-001 -0.140073E-001 -0.357664       0.440173     
  1788.46        500.000       0.827957       0.111345E-003  0.278889E-001  0.487685E-001  0.257419E-001 -0.138886E-001 -0.359607       0.443028     
  1785.26        500.000       0.827237       0.110098E-003  0.276683E-001  0.480796E-001  0.264181E-001 -0.137786E-001 -0.361408       0.445673     
  1782.05        500.000       0.826569       0.108939E-003  0.274634E-001  0.474398E-001  0.270461E-001 -0.136764E-001 -0.363080       0.448129     
  1778.85        500.000       0.825946       0.107860E-003  0.272726E-001  0.468441E-001  0.276309E-001 -0.135813E-001 -0.364636       0.450416     
  1775.64        500.000       0.825365       0.106853E-003  0.270945E-001  0.462879E-001  0.281769E-001 -0.134925E-001 -0.366090       0.452551     
  1772.44        500.000       0.824822       0.105910E-003  0.269279E-001  0.457676E-001  0.286876E-001 -0.134094E-001 -0.367449       0.454548     
  1769.23        500.000       0.824312       0.105026E-003  0.267717E-001  0.452797E-001  0.291665E-001 -0.133315E-001 -0.368724       0.456421     
  1766.03        500.000       0.823977       0.113953E-003  0.266953E-001  0.447072E-001  0.296041E-001 -0.132932E-001 -0.370528       0.458724     
