|6.6.6
Archiving\03_Data\eqLP/QFM_m5/Y98/Y98_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        96.2664       0.971805        2.73794       0.238528E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        96.2389       0.971881        2.76538       0.238546E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        96.2114       0.971957        2.79283       0.238565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        96.1838       0.972033        2.82029       0.238584E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        96.1563       0.972109        2.84774       0.238602E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        96.1287       0.972185        2.87521       0.238621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        96.1012       0.972261        2.90267       0.238640E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        96.0737       0.972337        2.93014       0.238658E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        96.0461       0.972413        2.95762       0.238677E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        96.0196       0.972486        2.98402       0.238695E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        95.9931       0.972559        3.01043       0.238713E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        95.9667       0.972632        3.03684       0.238731E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        95.9402       0.972705        3.06326       0.238749E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        95.9137       0.972779        3.08968       0.238767E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        95.8872       0.972852        3.11610       0.238785E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        95.8607       0.972925        3.14253       0.238803E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        95.8342       0.972998        3.16896       0.238821E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        95.8087       0.973068        3.19437       0.238838E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        95.7832       0.973139        3.21978       0.238855E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        95.7577       0.973209        3.24519       0.238872E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        95.7322       0.973279        3.27061       0.238890E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        95.7067       0.973350        3.29604       0.238907E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        95.6812       0.973420        3.32146       0.238924E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        95.6557       0.973490        3.34689       0.238942E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        95.6302       0.973561        3.37233       0.238959E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        95.6057       0.973628        3.39675       0.238975E-001            NaN            NaN            NaN            NaN            NaN            NaN
