|6.6.6
Archiving\03_Data\DeqLP/QFM_m2.25/K22/K22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.9607       0.392641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.9607       0.392640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.9607       0.392639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.9607       0.392639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.9607       0.392638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.9607       0.392638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.9607       0.392637E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.9607       0.392636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.9607       0.392636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.9607       0.392635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.9607       0.392635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.9607       0.392634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.9607       0.392633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.9607       0.392633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.9607       0.392632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2228       0.284102E-001  0.748829                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.2955       0.145372E-001   1.68994                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        97.3841       0.683052E-003   2.61517                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        96.9380                 NaN   3.06199                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        96.4446                 NaN   3.55545                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        95.9511                 NaN   4.04891                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        95.3332                 NaN   4.66676                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        94.7154                 NaN   5.28462                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        94.0975                 NaN   5.90248                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        93.4797                 NaN   6.52034                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        92.8026                 NaN   7.19736                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        92.1256                 NaN   7.87438                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        91.4486                 NaN   8.55141                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        90.7716                 NaN   9.22845                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        90.0859                 NaN   9.91408                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        89.4003                 NaN   10.5997                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        88.7268                 NaN   11.2732                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        88.0403                 NaN   11.9499       0.984149E-002            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        87.3694                 NaN   12.6031       0.275801E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        86.6984                 NaN   13.2562       0.453188E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        86.0275                 NaN   13.9094       0.630577E-001            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        85.3566                 NaN   14.5626       0.807967E-001            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        84.6857                 NaN   15.2158       0.985359E-001            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        84.0147                 NaN   15.8690       0.116275                 NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        83.3438                 NaN   16.5222       0.134015                 NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        82.6728                 NaN   17.1754       0.151755                 NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        82.0485                 NaN   17.7836       0.167879                 NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        81.4242                 NaN   18.3918       0.184003                 NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        80.7999                 NaN   19.0000       0.200128                 NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        80.1755                 NaN   19.6082       0.216252                 NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        79.5512                 NaN   20.2164       0.232377                 NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        78.9268                 NaN   20.8247       0.248502                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        78.3025                 NaN   21.4329       0.264627                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        77.6781                 NaN   22.0411       0.280753                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        77.0912                 NaN   22.6131       0.295701                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        76.5042                 NaN   23.1851       0.310649                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        75.9173                 NaN   23.7572       0.325597                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        75.3303                 NaN   24.3292       0.340545                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        74.7433                 NaN   24.9012       0.355494                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        74.1563                 NaN   25.4732       0.370443                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        73.5693                 NaN   26.0453       0.385391                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        72.9823                 NaN   26.6173       0.400340                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        72.4255                 NaN   27.1603       0.414158                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        71.8686                 NaN   27.7034       0.427976                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        71.3118                 NaN   28.2464       0.441795                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        70.7549                 NaN   28.7895       0.455613                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        70.1981                 NaN   29.3325       0.469431                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        69.6412                 NaN   29.8756       0.483250                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        69.0843                 NaN   30.4186       0.497069                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        68.5274                 NaN   30.9617       0.510888                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        67.9939                 NaN   31.4825       0.523679                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        67.4603                 NaN   32.0032       0.536470                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        66.9267                 NaN   32.5240       0.549261                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        66.3931                 NaN   33.0448       0.562052                 NaN            NaN            NaN            NaN            NaN
