|6.6.6
Archiving\03_Data\DeqLP/QFM_m3.5/YM20/YM20_6.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  2000.00        500.000        8099.88     
  1996.79        500.000        8101.72     
  1993.59        500.000        8103.55     
  1990.38        500.000        8105.38     
  1987.18        500.000        8107.21     
  1983.97        500.000        8109.03     
  1980.77        500.000        8110.86     
  1977.56        500.000        8112.68     
  1974.36        500.000        8114.50     
  1971.15        500.000        8116.32     
  1967.95        500.000        8118.14     
  1964.74        500.000        8119.96     
  1961.54        500.000        8121.78     
  1958.33        500.000        8123.59     
  1955.13        500.000        8125.41     
  1951.92        500.000        8127.22     
  1948.72        500.000        8129.03     
  1945.51        500.000        8130.84     
  1942.31        500.000        8132.64     
  1939.10        500.000        8134.45     
  1935.90        500.000        8136.25     
  1932.69        500.000        8138.06     
  1929.49        500.000        8139.86     
  1926.28        500.000        8141.66     
  1923.08        500.000        8143.46     
  1919.87        500.000        8145.25     
  1916.67        500.000        8147.05     
  1913.46        500.000        3250.26     
  1910.26        500.000        3193.89     
  1907.05        500.000        3180.11     
  1903.85        500.000        3173.58     
  1900.64        500.000        3169.90     
  1897.44        500.000        3167.62     
  1894.23        500.000        3167.85     
  1891.03        500.000        3168.13     
  1887.82        500.000        3168.46     
  1884.62        500.000        3168.81     
  1881.41        500.000        3171.26     
  1878.21        500.000        3174.00     
  1875.00        500.000        3176.87     
  1871.79        500.000        3180.93     
  1868.59        500.000        3183.77     
  1865.38        500.000        3186.36     
  1862.18        500.000        3188.72     
  1858.97        500.000        3190.90     
  1855.77        500.000        3192.92     
  1852.56        500.000        3194.81     
  1849.36        500.000        3196.57     
  1846.15        500.000        3198.23     
  1842.95        500.000        3200.74     
  1839.74        500.000        3203.10     
  1836.54        500.000        3205.33     
  1833.33        500.000        3207.44     
  1830.13        500.000        3209.45     
  1826.92        500.000        3211.35     
  1823.72        500.000        3213.17     
  1820.51        500.000        3214.91     
  1817.31        500.000        3217.18     
  1814.10        500.000        3219.34     
  1810.90        500.000        3221.42     
  1807.69        500.000        3223.42     
  1804.49        500.000        3225.34     
  1801.28        500.000        3227.19     
  1798.08        500.000        3228.97     
  1794.87        500.000        3230.70     
  1791.67        500.000        3232.71     
  1788.46        500.000        3234.67     
  1785.26        500.000        3236.55     
  1782.05        500.000        3238.39     
  1778.85        500.000        3240.16     
  1775.64        500.000        3241.89     
  1772.44        500.000        3243.57     
  1769.23        500.000        3245.20     
  1766.03        500.000        3247.03     
  1762.82        500.000        3248.82     
  1759.62        500.000        3250.56     
  1756.41        500.000        3252.26     
  1753.21        500.000        3253.91     
  1750.00        500.000        3255.53     
  1746.79        500.000        3257.11     
  1743.59        500.000        3258.66     
  1740.38        500.000        3260.30     
  1737.18        500.000        3261.91     
  1733.97        500.000        3263.49     
  1730.77        500.000        3265.03     
  1727.56        500.000        3266.54     
  1724.36        500.000        3268.03     
  1721.15        500.000        3269.48     
  1717.95        500.000        3270.91     
  1714.74        500.000        3272.36     
  1711.54        500.000        3273.78     
  1708.33        500.000        3275.18     
  1705.13        500.000        3276.56     
  1701.92        500.000        3277.91     
  1698.72        500.000        3279.24     
  1695.51        500.000        3280.55     
  1692.31        500.000        3281.85     
  1689.10        500.000        3283.11     
  1685.90        500.000        3284.35     
  1682.69        500.000        3285.57     
  1679.49        500.000        3286.78     
  1676.28        500.000        3287.97     
  1673.08        500.000        3289.15     
  1669.87        500.000        3290.31     
  1666.67        500.000        3291.46     
  1663.46        500.000        3292.55     
