|6.6.6
Archiving\03_Data\DeqLP/QFM_m3/T13/T13_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.9764       0.235569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.9764       0.235569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.9764       0.235569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.9764       0.235568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.9764       0.235568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.9764       0.235568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.9764       0.235567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.9764       0.235567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.9764       0.235567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.9764       0.235566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.9764       0.235566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.9764       0.235566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.9764       0.235565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.9764       0.235565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.9764       0.235564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.9764       0.235564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.9764       0.235564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.9764       0.235563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.9764       0.235563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.4505       0.204875E-001  0.529037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.4947       0.148153E-001   1.49049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        97.5606       0.921083E-002   2.43015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        96.6266       0.360652E-002   3.36980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        95.8069                 NaN   4.19309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        95.1055                 NaN   4.89451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.3457                 NaN   5.65430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        93.5859                 NaN   6.41410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        92.8261                 NaN   7.17390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        92.0663                 NaN   7.93371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        91.3065                 NaN   8.69353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        90.5466                 NaN   9.45335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        89.7868                 NaN   10.2132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        89.0270                 NaN   10.9730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        88.2716                 NaN   11.7284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        87.5162                 NaN   12.4838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        86.7608                 NaN   13.2392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        86.0054                 NaN   13.9946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        85.2657                 NaN   14.7343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        84.5383                 NaN   15.4515       0.102159E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        83.7888                 NaN   16.1844       0.268864E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        83.0393                 NaN   16.9172       0.435570E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        82.3229                 NaN   17.6178       0.593651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        81.6065                 NaN   18.3183       0.751732E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        80.8901                 NaN   19.0189       0.909816E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        80.1737                 NaN   19.7195       0.106790                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        79.4573                 NaN   20.4201       0.122599                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        78.7408                 NaN   21.1207       0.138408                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        78.0244                 NaN   21.8214       0.154217                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        77.3080                 NaN   22.5220       0.170026                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        76.6347                 NaN   23.1807       0.184554                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        75.9615                 NaN   23.8394       0.199083                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        75.2882                 NaN   24.4982       0.213612                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        74.6150                 NaN   25.1569       0.228140                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        73.9417                 NaN   25.8156       0.242670                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        73.2684                 NaN   26.4744       0.257199                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        72.5951                 NaN   27.1332       0.271728                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        71.9218                 NaN   27.7919       0.286258                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        71.2776                 NaN   28.4228       0.299623                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        70.6334                 NaN   29.0536       0.312989                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        69.9891                 NaN   29.6845       0.326355                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        69.3449                 NaN   30.3154       0.339721                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        68.7006                 NaN   30.9463       0.353087                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        68.0564                 NaN   31.5772       0.366453                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        67.4121                 NaN   32.2081       0.379820                 NaN            NaN            NaN            NaN            NaN            NaN
