|6.6.6
Archiving\03_Data\DeqLP/QFM_m4/WD94/WD94_5.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         pcr     usp     imt     ispTH     iherc     nmt     nsp     nherc    
  2000.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000       0.864892       0.100915E-003  0.519169E-001  0.551966E-001  0.642292E-002 -0.257825E-001 -0.398713       0.445966     
  1858.97        500.000       0.864247       0.944654E-004  0.517904E-001  0.543031E-001  0.734472E-002 -0.257176E-001 -0.401452       0.449390     
  1855.77        500.000       0.863458       0.871423E-004  0.511856E-001  0.523455E-001  0.926904E-002 -0.254154E-001 -0.407237       0.456306     
  1852.56        500.000       0.863112       0.839204E-004  0.509195E-001  0.514843E-001  0.101157E-001 -0.252824E-001 -0.409782       0.459349     
  1849.36        500.000       0.862916       0.821082E-004  0.507698E-001  0.509999E-001  0.105919E-001 -0.252076E-001 -0.411213       0.461061     
  1846.15        500.000       0.862791       0.809465E-004  0.506739E-001  0.506893E-001  0.108971E-001 -0.251597E-001 -0.412131       0.462158     
  1842.95        500.000       0.862829       0.847595E-004  0.500713E-001  0.488909E-001  0.124461E-001 -0.248600E-001 -0.418041       0.468579     
  1839.74        500.000       0.862857       0.876182E-004  0.496196E-001  0.475426E-001  0.136073E-001 -0.246354E-001 -0.422472       0.473393     
  1836.54        500.000       0.862879       0.898410E-004  0.492683E-001  0.464942E-001  0.145103E-001 -0.244607E-001 -0.425917       0.477137     
  1833.33        500.000       0.862896       0.916188E-004  0.489874E-001  0.456557E-001  0.152325E-001 -0.243210E-001 -0.428673       0.480131     
  1830.13        500.000       0.862910       0.930731E-004  0.487575E-001  0.449697E-001  0.158233E-001 -0.242067E-001 -0.430927       0.482580     
  1826.92        500.000       0.862922       0.942849E-004  0.485660E-001  0.443982E-001  0.163156E-001 -0.241115E-001 -0.432806       0.484621     
  1823.72        500.000       0.862932       0.953101E-004  0.484040E-001  0.439146E-001  0.167320E-001 -0.240310E-001 -0.434395       0.486347     
  1820.51        500.000       0.862941       0.961887E-004  0.482652E-001  0.435002E-001  0.170890E-001 -0.239619E-001 -0.435757       0.487827     
  1817.31        500.000       0.862233       0.991080E-004  0.477522E-001  0.425075E-001  0.181529E-001 -0.237071E-001 -0.438648       0.491610     
  1814.10        500.000       0.861608       0.101687E-003  0.472992E-001  0.416306E-001  0.190926E-001 -0.234819E-001 -0.441203       0.494952     
  1810.90        500.000       0.861052       0.103981E-003  0.468960E-001  0.408505E-001  0.199288E-001 -0.232816E-001 -0.443475       0.497925     
  1807.69        500.000       0.860554       0.106035E-003  0.465351E-001  0.401518E-001  0.206775E-001 -0.231023E-001 -0.445510       0.500588     
  1804.49        500.000       0.860105       0.107886E-003  0.462099E-001  0.395226E-001  0.213519E-001 -0.229407E-001 -0.447343       0.502986     
  1801.28        500.000       0.859699       0.109561E-003  0.459156E-001  0.389529E-001  0.219624E-001 -0.227945E-001 -0.449003       0.505157     
  1798.08        500.000       0.859330       0.111085E-003  0.456478E-001  0.384347E-001  0.225178E-001 -0.226614E-001 -0.450512       0.507132     
  1794.87        500.000       0.858992       0.112477E-003  0.454032E-001  0.379613E-001  0.230252E-001 -0.225399E-001 -0.451891       0.508937     
  1791.67        500.000       0.858384       0.110719E-003  0.450846E-001  0.371909E-001  0.238133E-001 -0.223812E-001 -0.454415       0.512213     
  1788.46        500.000       0.857821       0.109091E-003  0.447895E-001  0.364774E-001  0.245433E-001 -0.222342E-001 -0.456752       0.515247     
  1785.26        500.000       0.857297       0.107579E-003  0.445154E-001  0.358146E-001  0.252212E-001 -0.220977E-001 -0.458923       0.518065     
  1782.05        500.000       0.856810       0.106171E-003  0.442601E-001  0.351975E-001  0.258526E-001 -0.219705E-001 -0.460945       0.520689     
  1778.85        500.000       0.856355       0.104856E-003  0.440218E-001  0.346213E-001  0.264420E-001 -0.218518E-001 -0.462833       0.523139     
  1775.64        500.000       0.855929       0.103626E-003  0.437989E-001  0.340822E-001  0.269935E-001 -0.217408E-001 -0.464599       0.525432     
  1772.44        500.000       0.855530       0.102473E-003  0.435898E-001  0.335767E-001  0.275106E-001 -0.216366E-001 -0.466255       0.527582     
  1769.23        500.000       0.855155       0.101389E-003  0.433934E-001  0.331018E-001  0.279965E-001 -0.215388E-001 -0.467810       0.529601     
  1766.03        500.000       0.854346       0.102761E-003  0.430243E-001  0.325277E-001  0.286639E-001 -0.213555E-001 -0.469429       0.532120     
