|6.6.6
Archiving\03_Data\eqfrac/QFM/EETA/EETA_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1439.10        2500.00        87.3358        7.87960        4.78458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00        99.8711       0.792983E-001  0.496141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00        98.9452       0.647361       0.407445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        2500.00        99.0769       0.354388       0.568627       0.385858E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        2500.00        99.7527       0.151763       0.953543E-001  0.199040E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        99.4170       0.357334       0.225701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        2500.00        99.4182       0.224739       0.357028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        99.4209       0.223683       0.355395       0.110221E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.4191       0.224302       0.356617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        2500.00        99.4276       0.351433       0.220947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.09        2500.00        99.4269       0.351561       0.221512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.99        2500.00        99.4282       0.220742       0.351045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.89        2500.00        99.4224       0.354335       0.223259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        2500.00        99.8689       0.471333E-001  0.791082E-001  0.368608E-002  0.118454E-002            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00        99.0056       0.609815       0.384624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.59        2500.00        99.4353       0.218076       0.346648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.49        2500.00        99.3855       0.376783       0.237679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.39        2500.00        99.9115       0.565453E-001  0.247700E-001  0.691844E-002  0.263108E-003            NaN            NaN            NaN            NaN            NaN
  1419.29        2500.00        99.9086       0.351035E-001  0.562904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.19        2500.00        98.5526       0.887712       0.559664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.09        2500.00        99.4095       0.361276       0.228749                 NaN  0.482153E-003            NaN            NaN            NaN            NaN            NaN
  1415.99        2500.00        99.4807       0.317623       0.201259                 NaN  0.418111E-003            NaN            NaN            NaN            NaN            NaN
  1414.89        2500.00        99.4483       0.337630       0.213641       0.525972E-005  0.438279E-003            NaN            NaN            NaN            NaN            NaN
  1413.79        2500.00        99.4489       0.213479       0.337191                 NaN  0.440371E-003            NaN            NaN            NaN            NaN            NaN
  1412.69        2500.00        99.4492       0.213120       0.337223                 NaN  0.447451E-003            NaN            NaN            NaN            NaN            NaN
  1411.59        2500.00        99.4527       0.334983       0.211934                 NaN  0.422007E-003            NaN            NaN            NaN            NaN            NaN
  1410.49        2500.00        99.4529       0.334937       0.211776                 NaN  0.414074E-003            NaN            NaN            NaN            NaN            NaN
  1409.39        2500.00        99.4545       0.334014       0.211111                 NaN  0.423717E-003            NaN            NaN            NaN            NaN            NaN
  1408.29        2500.00        99.3498       0.405377       0.226225       0.181255E-001  0.497007E-003            NaN            NaN            NaN            NaN            NaN
  1407.19        2500.00        99.5666       0.167553       0.265529                 NaN  0.331906E-003            NaN            NaN            NaN            NaN            NaN
