|6.6.6
Archiving\03_Data\eqfrac/QFM/LAR/LAR_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.151237E-001   88.0358        4.25293        7.24912       0.446991                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.510177E-003   99.4638       0.182385       0.331695       0.215761E-001            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.419870E-003   99.4703       0.338514       0.140175       0.506252E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.947725E-003   98.9559       0.397207       0.636704       0.924976E-002            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.273461E-004   99.9692       0.187074E-001  0.112072E-001  0.878030E-003            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.448848E-003   99.4841       0.317851       0.179070       0.185738E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.450588E-003   99.4704       0.183888       0.326437       0.188741E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN   99.9997                 NaN            NaN  0.272140E-003            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.902309E-003   98.9442       0.369071       0.649943       0.358619E-001            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.426938E-003   99.4739       0.323458       0.184906       0.172831E-001            NaN            NaN            NaN            NaN
  1403.10        2500.00       0.391557E-003   99.4685       0.327714       0.185578       0.178233E-001            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.415934E-003   99.4817       0.317987       0.184381       0.155415E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.399555E-003   99.4766       0.320556       0.187013       0.154518E-001            NaN            NaN            NaN            NaN
  1399.99        2500.00       0.395160E-003   99.4806       0.183726       0.319427       0.158750E-001            NaN            NaN            NaN            NaN
  1398.95        2500.00       0.391987E-003   99.4796       0.186013       0.319064       0.149108E-001            NaN            NaN            NaN            NaN
  1397.92        2500.00       0.388966E-003   99.4803       0.186645       0.318280       0.144260E-001            NaN            NaN            NaN            NaN
  1396.88        2500.00       0.388061E-003   99.4794       0.319208       0.187239       0.137189E-001            NaN            NaN            NaN            NaN
  1395.84        2500.00       0.382489E-003   99.4840       0.315621       0.186375       0.136573E-001            NaN            NaN            NaN            NaN
  1394.81        2500.00       0.330667E-003   99.4875       0.321248       0.156692       0.342717E-001            NaN            NaN            NaN            NaN
  1393.77        2500.00       0.409259E-003   99.4823       0.205329       0.311948       0.785491E-005            NaN            NaN            NaN            NaN
  1392.74        2500.00       0.412872E-003   99.4827       0.201503       0.312785       0.264029E-002            NaN            NaN            NaN            NaN
  1391.70        2500.00       0.147471E-003   99.7793       0.134936       0.801359E-001  0.544742E-002            NaN            NaN            NaN            NaN
  1390.66        2500.00       0.631777E-003   99.1916       0.297199       0.493057       0.175049E-001            NaN            NaN            NaN            NaN
