|6.6.6
Archiving\03_Data\eqfrac/QFM/TIS/TIS_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1455.13        2500.00        1.24343       -367834.       0.386846        243199.        0.00000        2.88728        2.88728        0.00000                 NaN   2917.33       -507230.        52.7078       0.674177E-004  0.428600E-005   95.7959       0.198518        36.2749       -30.0348      -0.123884        11.2978       0.419535E-002 -0.809606E-004 -0.819411E-004   0.00000       0.608767E-004  0.609099E-004   0.00000        1.03778        100.000        100.000        100.000       0.281772       0.713695E-002  0.373672E-001  0.328969E-003  0.996604E-001   0.00000       0.813815E-001  0.649107E-001  0.108101E-001  0.212323E-003  0.160122E-010  0.452812E-002  -973868.      -0.103831E+007 -0.178667E+007 -0.131910E+007  -387510.       -502358.       -679979.       -800288.       -903995.      -0.107026E+007  -393256.        0.00000     
  1453.99        2500.00        1.23747       -366209.       0.387798        243709.        0.00000        2.89002        2.89002        0.00000                 NaN   2917.91       -504773.        52.4384       0.673918E-004  0.428398E-005   95.2995       0.197449        36.1081       -30.1089      -0.151877        11.2831       0.503286E-002 -0.811409E-004 -0.823416E-004   0.00000       0.607095E-004  0.607493E-004   0.00000        1.03775        100.000        100.000        100.000       0.280432       0.713233E-002  0.373078E-001  0.297022E-003  0.992570E-001   0.00000       0.806629E-001  0.646193E-001  0.108046E-001  0.212199E-003   0.00000       0.451569E-002  -973671.      -0.103818E+007 -0.178618E+007 -0.131900E+007  -387273.       -502238.       -679933.       -800206.       -903889.      -0.106908E+007  -390408.        0.00000     
  1452.85        2500.00        1.23058       -363879.       0.385122        241898.        0.00000        2.87991        2.87991        0.00000                 NaN   2916.59       -501513.        52.1598       0.674844E-004  0.429622E-005   94.7341       0.196480        35.8910       -29.7956      -0.482838E-001   11.3201       0.167434E-002 -0.801910E-004 -0.805742E-004   0.00000       0.611993E-004  0.612126E-004   0.00000        1.03770        100.000        100.000        100.000       0.278580       0.712338E-002  0.372548E-001  0.289826E-003  0.988542E-001   0.00000       0.798535E-001  0.639828E-001  0.107914E-001  0.211886E-003  0.368808E-011  0.450096E-002  -973581.      -0.103748E+007 -0.178527E+007 -0.132051E+007  -387088.       -502011.       -679733.       -800019.       -904174.      -0.106529E+007  -526387.        0.00000     
  1451.71        2500.00        1.22679       -363486.       0.391140        246045.        0.00000        2.90250        2.90250        0.00000                 NaN   2920.58       -500550.        51.9349       0.672440E-004  0.426955E-005   94.4161       0.195637        35.8294       -30.6393      -0.343281        11.2490       0.115789E-001 -0.831322E-004 -0.858319E-004   0.00000       0.601539E-004  0.602450E-004   0.00000        1.03769        100.000        100.000        100.000       0.278089       0.712273E-002  0.372360E-001  0.284675E-003  0.986665E-001   0.00000       0.795069E-001  0.639549E-001  0.107911E-001  0.211886E-003   0.00000       0.449127E-002  -973335.      -0.103756E+007 -0.178527E+007 -0.131914E+007  -386809.       -501939.       -679791.       -799941.       -903068.      -0.106870E+007  -386567.        0.00000     
  1450.57        2500.00        1.21165       -358535.       0.387810        243540.        0.00000        2.88864        2.88864        0.00000                 NaN   2918.66       -493747.        51.2988       0.673910E-004  0.428895E-005   93.2131       0.193276        35.3639       -30.1579      -0.183242        11.2932       0.618187E-002 -0.815178E-004 -0.829668E-004   0.00000       0.607800E-004  0.608288E-004   0.00000        1.03765        100.000        100.000        100.000       0.274133       0.710651E-002  0.371096E-001  0.264611E-003  0.976824E-001   0.00000       0.775969E-001  0.628747E-001  0.107693E-001  0.211389E-003   0.00000       0.446437E-002  -973205.      -0.103726E+007 -0.178476E+007 -0.132009E+007  -386568.                 NaN  -679650.       -799792.       -902576.      -0.106796E+007            NaN   0.00000     
  1449.43        2500.00        1.20317       -356004.       0.387931        243602.        0.00000        2.88892        2.88892        0.00000                 NaN   2918.84       -490110.        50.9191       0.673664E-004  0.429041E-005   92.5239       0.191934        35.1185       -30.1592      -0.188817        11.2902       0.631935E-002 -0.815235E-004 -0.830164E-004   0.00000       0.607492E-004  0.607991E-004   0.00000        1.03759        100.000        100.000        100.000       0.272050       0.709480E-002  0.370427E-001  0.255531E-003  0.971628E-001   0.00000       0.765913E-001  0.623080E-001  0.107574E-001  0.211113E-003  0.796328E-012  0.444147E-002  -973046.      -0.103711E+007 -0.178425E+007 -0.132006E+007  -386339.       -501593.       -679563.       -799659.       -902141.      -0.106728E+007  -498446.        0.00000     
  1448.29        2500.00        1.19431       -353362.       0.387737        243445.        0.00000        2.88799        2.88799        0.00000                 NaN   2918.85       -486323.        50.5259       0.673549E-004  0.429278E-005   91.8056       0.190486        34.8602       -30.1621      -0.194636        11.2949       0.655099E-002 -0.816459E-004 -0.831852E-004   0.00000       0.607967E-004  0.608485E-004   0.00000        1.03754        100.000        100.000        100.000       0.269912       0.707422E-002  0.369798E-001  0.250271E-003  0.965645E-001   0.00000       0.754727E-001  0.617476E-001  0.107442E-001  0.210791E-003  0.302611E-012  0.442176E-002  -972900.      -0.103672E+007 -0.178374E+007 -0.131972E+007  -386115.       -501422.       -679465.       -799504.       -901722.      -0.106683E+007  -548474.        0.00000     
  1447.15        2500.00        1.18543       -350700.       0.387566        243283.        0.00000        2.88703        2.88703        0.00000                 NaN   2918.84       -482513.        50.1317       0.673459E-004  0.429540E-005   91.0851       0.189049        34.6008       -30.1458      -0.193884        11.2981       0.652583E-002 -0.816546E-004 -0.831884E-004   0.00000       0.608366E-004  0.608882E-004   0.00000        1.03749        100.000        100.000        100.000       0.267747       0.704989E-002  0.369123E-001  0.244917E-003  0.959730E-001   0.00000       0.743623E-001  0.611957E-001  0.107306E-001  0.210463E-003  0.132789E-011  0.440213E-002  -972750.      -0.103641E+007 -0.178324E+007 -0.131955E+007  -385896.       -501255.       -679367.       -799357.       -901251.      -0.106629E+007  -534689.        0.00000     
  1446.00        2500.00        1.17663       -348064.       0.387382        243113.        0.00000        2.88602        2.88602        0.00000                 NaN   2918.83       -478743.        49.7417       0.673372E-004  0.429808E-005   90.3721       0.187626        34.3439       -30.1268      -0.192786        11.3016       0.649017E-002 -0.816511E-004 -0.831768E-004   0.00000       0.608793E-004  0.609307E-004   0.00000        1.03744        100.000        100.000        100.000       0.265604       0.702520E-002  0.368446E-001  0.239755E-003  0.953847E-001   0.00000       0.732676E-001  0.606490E-001  0.107170E-001  0.210139E-003  0.974523E-011  0.438280E-002  -972591.      -0.103618E+007 -0.178272E+007 -0.131953E+007  -385662.       -501097.       -679287.       -799219.       -900936.      -0.106643E+007  -515208.        0.00000     
  1444.86        2500.00        1.16794       -345463.       0.387210        242952.        0.00000        2.88507        2.88507        0.00000                 NaN   2918.82       -475020.        49.3564       0.673279E-004  0.430068E-005   89.6677       0.186219        34.0901       -30.1094      -0.192266        11.3049       0.647365E-002 -0.816532E-004 -0.831753E-004   0.00000       0.609197E-004  0.609709E-004   0.00000        1.03739        100.000        100.000        100.000       0.263490       0.700046E-002  0.367765E-001  0.234707E-003  0.948020E-001   0.00000       0.721907E-001  0.601089E-001  0.107036E-001  0.209818E-003  0.104856E-011  0.436362E-002  -972440.      -0.103596E+007 -0.178217E+007 -0.131985E+007  -385456.                 NaN  -679184.       -799073.       -900523.      -0.106601E+007            NaN   0.00000     
