|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1551.28        2500.00        1.23229       -368748.       0.376147        246946.        0.00000        2.92261        2.92261        0.00000                 NaN   2891.07       -520093.        53.5626       0.661805E-004  0.421647E-005   97.5617       0.188882        35.6263       -30.8674      -0.447356E-001   11.1333       0.140154E-002 -0.859487E-004 -0.863017E-004   0.00000       0.597199E-004  0.597310E-004   0.00000        1.03850        100.000        100.000        100.000       0.292091       0.488318E-002  0.260884E-001  0.723732E-003  0.829575E-001   0.00000       0.131501       0.545678E-001  0.758321E-002  0.318485E-003  0.507335E-012  0.301087E-002  -987434.      -0.106228E+007 -0.182425E+007 -0.133553E+007  -406213.       -515972.       -688533.       -817915.       -938919.      -0.109148E+007  -535845.        0.00000     
  1549.90        2500.00        1.22915       -368081.       0.377378        247958.        0.00000        2.92812        2.92812        0.00000                 NaN   2892.02       -518835.        53.3925       0.660915E-004  0.420754E-005   97.2674       0.188423        35.5473       -31.2553      -0.184377        11.1345       0.642563E-002 -0.877835E-004 -0.892351E-004   0.00000       0.595830E-004  0.596336E-004   0.00000        1.03847        100.000        100.000        100.000       0.291576       0.488316E-002  0.260874E-001  0.723291E-003  0.827067E-001   0.00000       0.130768       0.545663E-001  0.758319E-002  0.318485E-003  0.324407E-012  0.300202E-002  -987222.      -0.106198E+007 -0.182377E+007 -0.133587E+007  -405956.       -515788.       -688406.       -817616.       -938375.      -0.109142E+007  -549903.        0.00000     
  1548.52        2500.00        1.22194       -365927.       0.377506        247961.        0.00000        2.92819        2.92819        0.00000                 NaN   2891.91       -515589.        53.0542       0.660836E-004  0.420753E-005   96.6483       0.187430        35.3374       -31.2474      -0.190891        11.1397       0.666665E-002 -0.877488E-004 -0.892516E-004   0.00000       0.596148E-004  0.596673E-004   0.00000        1.03844        100.000        100.000        100.000       0.289778       0.488265E-002  0.260508E-001  0.707940E-003  0.822457E-001   0.00000       0.129297       0.545129E-001  0.758237E-002  0.318485E-003  0.322325E-012  0.298932E-002  -987021.      -0.106185E+007 -0.182326E+007 -0.133593E+007  -405721.       -515593.       -688264.       -817271.       -937822.      -0.109012E+007  -640770.        0.00000     
  1547.14        2500.00        1.21434       -363757.       0.378654        248704.        0.00000        2.93233        2.93233        0.00000                 NaN   2892.39       -512282.        52.6834       0.660287E-004  0.420231E-005   96.0002       0.186436        35.1235       -31.4227      -0.263018        11.1367       0.918435E-002 -0.884351E-004 -0.905025E-004   0.00000       0.594919E-004  0.595641E-004   0.00000        1.03842        100.000        100.000        100.000       0.287934       0.488211E-002  0.260123E-001  0.691997E-003  0.817815E-001   0.00000       0.127819       0.544565E-001  0.758149E-002  0.318485E-003  0.322633E-012  0.297308E-002  -986827.      -0.106125E+007 -0.182275E+007 -0.133552E+007  -405468.       -515391.       -688123.       -816947.       -937296.      -0.109072E+007  -538404.        0.00000     
  1545.75        2500.00        1.20487       -360654.       0.376697        247103.        0.00000        2.92369        2.92369        0.00000                 NaN   2890.79       -507806.        52.2696       0.661228E-004  0.421434E-005   95.1979       0.185045        34.8304       -30.9743      -0.116864        11.1593       0.408094E-002 -0.865803E-004 -0.875021E-004   0.00000       0.598567E-004  0.598889E-004   0.00000        1.03839        100.000        100.000        100.000       0.285407       0.488132E-002  0.259592E-001  0.669907E-003  0.811413E-001   0.00000       0.125795       0.543783E-001  0.758029E-002  0.318485E-003  0.625703E-012  0.296169E-002  -986621.      -0.106084E+007 -0.182232E+007 -0.133553E+007  -405218.                 NaN  -687991.       -816644.       -936650.      -0.108849E+007            NaN   0.00000     
  1544.37        2500.00        1.20015       -359380.       0.377750        247826.        0.00000        2.92765        2.92765        0.00000                 NaN   2891.40       -505758.        52.0364       0.660724E-004  0.420898E-005   94.7817       0.184445        34.7011       -31.1475      -0.185120        11.1547       0.646456E-002 -0.872595E-004 -0.887174E-004   0.00000       0.597257E-004  0.597766E-004   0.00000        1.03836        100.000        100.000        100.000       0.284292       0.488098E-002  0.259359E-001  0.660255E-003  0.808593E-001   0.00000       0.124905       0.543431E-001  0.757974E-002  0.318485E-003  0.316047E-012  0.295097E-002  -986424.      -0.106051E+007 -0.182178E+007 -0.133545E+007  -404985.       -515003.       -687846.       -816311.       -936134.      -0.108791E+007  -554091.        0.00000     
  1542.99        2500.00        1.19383       -357209.       0.375203        245845.        0.00000        2.91682        2.91682        0.00000                 NaN   2889.63       -502609.        51.7797       0.661944E-004  0.422350E-005   94.2328       0.183469        34.4973       -30.5965      -0.501730E-004   11.1792       0.154847E-005 -0.849674E-004 -0.849678E-004   0.00000       0.601583E-004  0.601583E-004   0.00000        1.03832        100.000        100.000        100.000       0.282533       0.488043E-002  0.258989E-001  0.645196E-003  0.804135E-001   0.00000       0.123502       0.542866E-001  0.757889E-002  0.318485E-003  0.603616E-012  0.294628E-002  -986305.      -0.106045E+007 -0.182081E+007 -0.133572E+007  -404968.       -514726.       -687573.       -815762.       -935262.      -0.108896E+007  -482278.        0.00000     
  1541.61        2500.00        1.19236       -357429.       0.380533        249809.        0.00000        2.93845        2.93845        0.00000                 NaN   2893.14       -502470.        51.6392       0.659384E-004  0.419424E-005   94.0845       0.183505        34.4967       -31.6357      -0.370087        11.1389       0.129228E-001 -0.891841E-004 -0.920863E-004   0.00000       0.593498E-004  0.594512E-004   0.00000        1.03831        100.000        100.000        100.000       0.282532       0.488043E-002  0.258989E-001  0.645196E-003  0.804132E-001   0.00000       0.123501       0.542866E-001  0.757889E-002  0.318485E-003  0.271821E-010  0.293074E-002  -986021.      -0.105973E+007 -0.182070E+007 -0.133537E+007  -404463.                 NaN  -687582.       -815738.       -935141.      -0.108663E+007            NaN   0.00000     
  1540.23        2500.00        1.17921       -353118.       0.378182        247832.        0.00000        2.92787        2.92787        0.00000                 NaN   2891.03       -496341.        51.0569       0.660543E-004  0.420935E-005   92.9879       0.181582        34.0913       -31.0898      -0.194248        11.1685       0.678707E-002 -0.869473E-004 -0.884772E-004   0.00000       0.598096E-004  0.598630E-004   0.00000        1.03828        100.000        100.000        100.000       0.279035       0.487927E-002  0.258252E-001  0.615584E-003  0.795221E-001   0.00000       0.120720       0.541715E-001  0.757718E-002  0.318485E-003  0.272352E-011  0.291363E-002  -985789.      -0.105889E+007 -0.182038E+007 -0.133703E+007  -404235.       -514452.       -687460.       -815337.       -935720.      -0.108101E+007  -477971.        0.00000     
  1538.85        2500.00        1.17209       -350952.       0.378028        247604.        0.00000        2.92669        2.92669        0.00000                 NaN   2890.70       -493110.        50.7286       0.660636E-004  0.421121E-005   92.3797       0.180598        33.8817       -31.0065      -0.174265        11.1753       0.608743E-002 -0.865753E-004 -0.879486E-004   0.00000       0.598838E-004  0.599317E-004   0.00000        1.03826        100.000        100.000        100.000       0.277218       0.487867E-002  0.257883E-001  0.601609E-003  0.790637E-001   0.00000       0.119289       0.541109E-001  0.757626E-002  0.318485E-003  0.267049E-010  0.290191E-002  -985622.      -0.105925E+007 -0.181975E+007 -0.133520E+007  -403970.       -514224.       -687307.       -815081.       -933897.      -0.108521E+007  -531189.        0.00000     
  1537.46        2500.00        1.16564       -349032.       0.378260        247679.        0.00000        2.92718        2.92718        0.00000                 NaN   2890.62       -490209.        50.4250       0.660503E-004  0.421093E-005   91.8242       0.179729        33.6941       -30.9948      -0.179980        11.1777       0.627366E-002 -0.864847E-004 -0.879027E-004   0.00000       0.598884E-004  0.599378E-004   0.00000        1.03823        100.000        100.000        100.000       0.275598       0.487811E-002  0.257539E-001  0.588057E-003  0.786507E-001   0.00000       0.118011       0.540558E-001  0.757546E-002  0.318485E-003  0.361557E-012  0.288970E-002  -985399.      -0.105893E+007 -0.181942E+007 -0.133609E+007  -403717.       -514052.       -687187.       -814741.       -933536.      -0.108353E+007  -517224.        0.00000     
  1536.08        2500.00        1.15896       -347035.       0.378288        247601.        0.00000        2.92680        2.92680        0.00000                 NaN   2890.45       -487207.        50.1149       0.660507E-004  0.421144E-005   91.2526       0.178799        33.4993       -30.9688      -0.180606        11.1845       0.631609E-002 -0.863766E-004 -0.877998E-004   0.00000       0.599409E-004  0.599906E-004   0.00000        1.03821        100.000        100.000        100.000       0.273927       0.487755E-002  0.257198E-001  0.574834E-003  0.782145E-001   0.00000       0.116673       0.539991E-001  0.757463E-002  0.318485E-003  0.304188E-012  0.287859E-002  -985243.      -0.105844E+007 -0.181870E+007 -0.133423E+007  -403474.       -513814.       -687020.       -814431.       -932747.      -0.108487E+007  -563046.        0.00000     
