|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1455.13        2500.00        99.9674       0.325796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.99        2500.00        99.4725       0.359553       0.167967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        2500.00        99.3353       0.245103       0.419626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        2500.00        99.3401       0.416244       0.243661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.57        2500.00        99.3398       0.243759       0.416408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.43        2500.00        99.3486       0.241095       0.410300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.29        2500.00        99.3482       0.240780       0.411002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00        99.3554       0.194435       0.420173       0.299637E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1446.00        2500.00        99.3680       0.431379       0.130771       0.698347E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1444.86        2500.00        99.3581       0.404094       0.237791       0.216407E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1443.72        2500.00        99.3594       0.403489       0.237098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.58        2500.00        99.3629       0.402138       0.231796       0.317942E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1441.44        2500.00        99.3703       0.408000       0.195701       0.260315E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.3721       0.406688       0.195492       0.256821E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1439.16        2500.00        99.3749       0.404249       0.195947       0.249227E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1438.02        2500.00        99.3769       0.402625       0.195974       0.244574E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1436.88        2500.00        99.3754       0.197620       0.403125       0.238070E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1435.74        2500.00        99.3867       0.395550       0.194622       0.230790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1434.60        2500.00        99.3844       0.196096       0.396939       0.225986E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1433.46        2500.00        99.3863       0.395445       0.196271       0.220322E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1432.32        2500.00        99.3886       0.196341       0.393560       0.214612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1431.18        2500.00        99.3897       0.195978       0.393180       0.211034E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1430.04        2500.00        99.3933       0.197322       0.389429       0.199975E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1428.89        2500.00        99.3950       0.196646       0.388256       0.201013E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1427.75        2500.00        99.3964       0.197016       0.387544       0.190723E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1426.61        2500.00        99.5727       0.274565       0.139057       0.137068E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1425.47        2500.00        99.2245       0.497434       0.254591       0.234353E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.4029       0.382225       0.197415       0.174232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1423.19        2500.00        99.4038       0.381727       0.197405       0.170503E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1422.05        2500.00        99.6868       0.113136       0.189449       0.672362E-002  0.390569E-002            NaN            NaN            NaN            NaN            NaN
  1420.91        2500.00        98.8191       0.763426       0.385682       0.317955E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1419.77        2500.00        99.7097       0.102730       0.179941       0.624765E-002  0.142420E-002            NaN            NaN            NaN            NaN            NaN
  1418.63        2500.00        99.4130       0.196798       0.375133       0.151132E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1417.49        2500.00        99.4123       0.373363       0.199303       0.143194E-001  0.732076E-003            NaN            NaN            NaN            NaN            NaN
  1416.35        2500.00        99.4142       0.373391       0.198774       0.136828E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1415.21        2500.00        99.4140       0.374448       0.198082       0.134832E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1414.07        2500.00        99.4181       0.370901       0.198351       0.126247E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1412.92        2500.00        99.7388       0.923003E-001  0.162563       0.499726E-002  0.129569E-002            NaN            NaN            NaN            NaN            NaN
  1411.78        2500.00        99.0970       0.575435       0.309175       0.183997E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1410.64        2500.00        99.4206       0.199423       0.368637       0.113181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1409.50        2500.00        99.4213       0.199456       0.368474       0.107426E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1408.36        2500.00        99.0218       0.208649       0.397611       0.124189                 NaN            NaN  0.247751                 NaN            NaN            NaN
  1407.22        2500.00        98.7478       0.415193       0.211115       0.205302                 NaN            NaN  0.420597                 NaN            NaN            NaN
  1406.08        2500.00        98.7602       0.411988       0.205353       0.205608                 NaN            NaN  0.416834                 NaN            NaN            NaN
  1404.94        2500.00        98.7726       0.199781       0.409162       0.205871                 NaN            NaN  0.412541                 NaN            NaN            NaN
  1403.80        2500.00        98.7853       0.405643       0.194200       0.205862                 NaN            NaN  0.408950                 NaN            NaN            NaN
  1402.66        2500.00        98.7982       0.402612       0.189118       0.205577                 NaN            NaN  0.404528                 NaN            NaN            NaN
  1401.52        2500.00        98.8088       0.183507       0.400060       0.206210                 NaN            NaN  0.401444                 NaN            NaN            NaN
  1400.38        2500.00        98.8191       0.176717       0.398366       0.206904                 NaN            NaN  0.398914                 NaN            NaN            NaN
  1399.24        2500.00        98.8374       0.392710       0.173295       0.205003                 NaN            NaN  0.391566                 NaN            NaN            NaN
  1398.10        2500.00        98.8433       0.391340       0.168059       0.206757                 NaN            NaN  0.390513                 NaN            NaN            NaN
  1396.96        2500.00        98.8549       0.388470       0.162673       0.207040                 NaN            NaN  0.386871                 NaN            NaN            NaN
  1395.81        2500.00        98.8674       0.385722       0.158522       0.205969                 NaN            NaN  0.382344                 NaN            NaN            NaN
  1394.67        2500.00        99.4047       0.804221E-001  0.203300       0.110332                 NaN            NaN  0.201286                 NaN            NaN            NaN
  1393.53        2500.00        98.3548       0.562599       0.222897       0.304079                 NaN            NaN  0.555611                 NaN            NaN            NaN
  1392.39        2500.00        98.8946       0.143958       0.378861       0.208133                 NaN            NaN  0.374488                 NaN            NaN            NaN
  1391.25        2500.00        98.9077       0.139960       0.376190       0.206788                 NaN            NaN  0.369383                 NaN            NaN            NaN
  1390.11        2500.00        98.9183       0.134743       0.373264       0.207326                 NaN            NaN  0.366412                 NaN            NaN            NaN
  1388.97        2500.00        98.9264       0.130654       0.371321       0.207771                 NaN            NaN  0.363892                 NaN            NaN            NaN
  1387.83        2500.00        98.9361       0.126310       0.368910       0.207868                 NaN            NaN  0.360806                 NaN            NaN            NaN
  1386.69        2500.00        98.9436       0.367478       0.121851       0.208436                 NaN            NaN  0.358661                 NaN            NaN            NaN
  1385.55        2500.00        98.9558       0.364126       0.118352       0.207645                 NaN            NaN  0.354036                 NaN            NaN            NaN
  1384.41        2500.00        98.9648       0.113644       0.362030       0.208005                 NaN            NaN  0.351493                 NaN            NaN            NaN
  1383.27        2500.00        98.9727       0.360283       0.109954       0.208154                 NaN            NaN  0.348883                 NaN            NaN            NaN
  1382.13        2500.00        98.9815       0.358183       0.105548       0.208571                 NaN            NaN  0.346201                 NaN            NaN            NaN
  1380.99        2500.00        98.9903       0.102108       0.356275       0.208135                 NaN            NaN  0.343214                 NaN            NaN            NaN
  1379.85        2500.00        98.9987       0.354060       0.982558E-001  0.208406                 NaN            NaN  0.340558                 NaN            NaN            NaN
  1378.70        2500.00        99.0074       0.945486E-001  0.352277       0.208193                 NaN            NaN  0.337590                 NaN            NaN            NaN
  1377.56        2500.00        99.0155       0.350410       0.907229E-001  0.208340                 NaN            NaN  0.334983                 NaN            NaN            NaN
  1376.42        2500.00        99.1302       0.311421       0.753689E-001  0.186313                 NaN            NaN  0.296696                 NaN            NaN            NaN
  1375.28        2500.00        98.9234       0.385263       0.952726E-001  0.230256                 NaN            NaN  0.365856                 NaN            NaN            NaN
  1374.14        2500.00        99.0383       0.344933       0.811610E-001  0.207987       0.273701E-003            NaN  0.327357                 NaN            NaN            NaN
  1373.00        2500.00        98.9531       0.155065       0.363608       0.149531       0.430259E-001            NaN  0.335704                 NaN            NaN            NaN
  1371.86        2500.00        98.9170       0.179250       0.379667       0.126081       0.598263E-001            NaN  0.338184                 NaN            NaN            NaN
