|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1586.54        2500.00        1.25782       -376143.       0.388418        257296.        0.00000        2.97381        2.97381        0.00000                 NaN   2909.41       -536209.        55.5776       0.666905E-004  0.405750E-005   100.890       0.193527        36.5952       -31.9671      -0.129614        10.9427       0.451609E-002 -0.855744E-004 -0.865731E-004   0.00000       0.572044E-004  0.572392E-004   0.00000        1.04097        100.000        100.000        100.000       0.306571       0.225378E-002  0.146134E-001  0.118429E-002  0.853238E-001   0.00000       0.157056       0.622359E-001  0.451766E-002  0.106162E-003  0.343162E-012  0.266154E-002  -992367.      -0.108058E+007 -0.185443E+007 -0.134065E+007  -412743.       -521203.       -692181.       -820917.       -948684.      -0.111840E+007  -576421.        0.00000     
  1585.07        2500.00        1.25207       -374755.       0.390848        258973.        0.00000        2.98259        2.98259        0.00000                 NaN   2911.16       -533891.        55.2843       0.666154E-004  0.404415E-005   100.396       0.192809        36.4496       -32.4519      -0.305603        10.9345       0.107242E-001 -0.875312E-004 -0.898776E-004   0.00000       0.569354E-004  0.570177E-004   0.00000        1.04101        100.000        100.000        100.000       0.305309       0.225372E-002  0.146000E-001  0.115761E-002  0.850324E-001   0.00000       0.156060       0.621885E-001  0.451655E-002  0.106162E-003   0.00000       0.264687E-002  -992146.      -0.108027E+007 -0.185399E+007 -0.134024E+007  -412489.       -520998.       -692040.       -820501.       -948081.      -0.111730E+007  -427981.        0.00000     
  1583.60        2500.00        1.24064       -371283.       0.391311        259051.        0.00000        2.98289        2.98289        0.00000                 NaN   2911.47       -528760.        54.7555       0.666436E-004  0.404341E-005   99.4425       0.191268        36.1207       -32.4106      -0.302960        10.9389       0.106161E-001 -0.872033E-004 -0.895290E-004   0.00000       0.569484E-004  0.570299E-004   0.00000        1.04103        100.000        100.000        100.000       0.302315       0.225359E-002  0.145700E-001  0.113699E-002  0.844170E-001   0.00000       0.153794       0.620695E-001  0.451380E-002  0.106162E-003  0.338705E-012  0.263096E-002  -991954.      -0.107988E+007 -0.185330E+007 -0.133989E+007  -412204.       -520764.       -691871.       -820124.       -947461.      -0.111559E+007  -592558.        0.00000     
  1582.13        2500.00        1.22935       -367841.       0.391667        259072.        0.00000        2.98292        2.98292        0.00000                 NaN   2911.64       -523677.        54.2324       0.666659E-004  0.404327E-005   98.4980       0.189751        35.7943       -32.3433      -0.292161        10.9428       0.102110E-001 -0.867692E-004 -0.890118E-004   0.00000       0.569665E-004  0.570449E-004   0.00000        1.04104        100.000        100.000        100.000       0.299363       0.225346E-002  0.145403E-001  0.111781E-002  0.837965E-001   0.00000       0.151531       0.619522E-001  0.451117E-002  0.106162E-003  0.171931E-011  0.261499E-002  -991742.      -0.107944E+007 -0.185258E+007 -0.133957E+007  -411894.       -520551.       -691733.       -819802.       -946925.      -0.111713E+007  -546798.        0.00000     
  1580.66        2500.00        1.21839       -364514.       0.392024        259113.        0.00000        2.98305        2.98305        0.00000                 NaN   2911.84       -518752.        53.7227       0.666849E-004  0.404267E-005   97.5788       0.188257        35.4774       -32.3161      -0.293444        10.9485       0.102586E-001 -0.865580E-004 -0.888102E-004   0.00000       0.569927E-004  0.570714E-004   0.00000        1.04105        100.000        100.000        100.000       0.296530       0.225334E-002  0.145124E-001  0.109848E-002  0.831785E-001   0.00000       0.149310       0.618403E-001  0.450865E-002  0.106162E-003  0.332049E-012  0.259907E-002  -991531.      -0.107908E+007 -0.185222E+007 -0.133934E+007  -411620.       -520337.       -691583.       -819401.       -946015.      -0.111570E+007  -570363.        0.00000     
  1579.19        2500.00        1.20749       -361202.       0.392355        259131.        0.00000        2.98306        2.98306        0.00000                 NaN   2912.03       -513857.        53.2172       0.667061E-004  0.404228E-005   96.6661       0.186772        35.1624       -32.2762      -0.291492        10.9543       0.101907E-001 -0.862841E-004 -0.885211E-004   0.00000       0.570227E-004  0.571009E-004   0.00000        1.04106        100.000        100.000        100.000       0.293707       0.225321E-002  0.144848E-001  0.108055E-002  0.825655E-001   0.00000       0.147109       0.617256E-001  0.450606E-002  0.106162E-003  0.328909E-012  0.258352E-002  -991325.      -0.107877E+007 -0.185151E+007 -0.133898E+007  -411337.       -520118.       -691433.       -819037.       -945566.      -0.111606E+007  -537177.        0.00000     
  1577.72        2500.00        1.19677       -357943.       0.392683        259152.        0.00000        2.98310        2.98310        0.00000                 NaN   2912.20       -509036.        52.7198       0.667254E-004  0.404196E-005   95.7672       0.185308        34.8521       -32.2282      -0.286667        10.9597       0.100122E-001 -0.859653E-004 -0.881651E-004   0.00000       0.570498E-004  0.571266E-004   0.00000        1.04107        100.000        100.000        100.000       0.290926       0.225308E-002  0.144574E-001  0.106290E-002  0.819599E-001   0.00000       0.144947       0.616109E-001  0.450352E-002  0.106162E-003  0.198162E-010  0.256834E-002  -991069.      -0.107808E+007 -0.185079E+007 -0.133839E+007  -411112.                 NaN  -691333.       -818720.       -945422.      -0.111302E+007            NaN   0.00000     
  1576.25        2500.00        1.18625       -354758.       0.393009        259171.        0.00000        2.98312        2.98312        0.00000                 NaN   2912.37       -504323.        52.2322       0.667460E-004  0.404145E-005   94.8862       0.183870        34.5481       -32.1974      -0.287670        10.9660       0.100568E-001 -0.857442E-004 -0.879517E-004   0.00000       0.570825E-004  0.571597E-004   0.00000        1.04108        100.000        100.000        100.000       0.288219       0.225295E-002  0.144300E-001  0.104056E-002  0.813601E-001   0.00000       0.142835       0.614974E-001  0.450104E-002  0.106162E-003  0.322794E-012  0.255287E-002  -990909.      -0.107764E+007 -0.185029E+007 -0.133832E+007  -410783.       -519684.       -691133.       -818323.       -944354.      -0.111254E+007  -664517.        0.00000     
  1574.78        2500.00        1.17582       -351597.       0.393386        259220.        0.00000        2.98329        2.98329        0.00000                 NaN   2912.59       -499648.        51.7486       0.667663E-004  0.404083E-005   94.0133       0.182448        34.2469       -32.1664      -0.288631        10.9716       0.100902E-001 -0.855053E-004 -0.877199E-004   0.00000       0.571072E-004  0.571846E-004   0.00000        1.04110        100.000        100.000        100.000       0.285521       0.225282E-002  0.144029E-001  0.102322E-002  0.807698E-001   0.00000       0.140750       0.613815E-001  0.449853E-002  0.106162E-003  0.668481E-012  0.253786E-002  -990702.      -0.107750E+007 -0.184978E+007 -0.133810E+007  -410503.       -519466.       -690982.       -817907.       -943937.      -0.111273E+007  -557395.        0.00000     
  1573.31        2500.00        1.16547       -348450.       0.393681        259207.        0.00000        2.98313        2.98313        0.00000                 NaN   2912.75       -494999.        51.2697       0.667906E-004  0.404068E-005   93.1468       0.181032        33.9473       -32.1183      -0.283557        10.9779       0.991253E-002 -0.851973E-004 -0.873729E-004   0.00000       0.571437E-004  0.572197E-004   0.00000        1.04111        100.000        100.000        100.000       0.282836       0.225269E-002  0.143758E-001  0.100589E-002  0.801822E-001   0.00000       0.138680       0.612635E-001  0.449602E-002  0.106162E-003  0.318120E-012  0.252319E-002  -990498.      -0.107667E+007 -0.184883E+007 -0.133741E+007  -410223.       -519246.       -690831.       -817649.       -943167.      -0.111237E+007  -588111.        0.00000     
