|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/KHA22/KHA22_4.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         Sp(TH),m3     
  1583.33        2500.00       0.410759E-004
  1581.87        2500.00                 NaN
  1580.41        2500.00                 NaN
  1578.94        2500.00                 NaN
  1577.48        2500.00                 NaN
  1576.02        2500.00                 NaN
  1574.56        2500.00                 NaN
  1573.10        2500.00                 NaN
  1571.63        2500.00                 NaN
  1570.17        2500.00                 NaN
  1568.71        2500.00                 NaN
  1567.25        2500.00                 NaN
  1565.79        2500.00                 NaN
  1564.32        2500.00                 NaN
  1562.86        2500.00                 NaN
  1561.40        2500.00                 NaN
  1559.94        2500.00                 NaN
  1558.48        2500.00                 NaN
  1557.01        2500.00                 NaN
  1555.55        2500.00                 NaN
  1554.09        2500.00                 NaN
  1552.63        2500.00                 NaN
  1551.17        2500.00                 NaN
  1549.70        2500.00                 NaN
  1548.24        2500.00                 NaN
  1546.78        2500.00                 NaN
  1545.32        2500.00                 NaN
  1543.86        2500.00                 NaN
  1542.39        2500.00                 NaN
  1540.93        2500.00                 NaN
  1539.47        2500.00                 NaN
  1538.01        2500.00                 NaN
  1536.55        2500.00                 NaN
  1535.08        2500.00                 NaN
  1533.62        2500.00                 NaN
  1532.16        2500.00                 NaN
  1530.70        2500.00                 NaN
  1529.24        2500.00                 NaN
  1527.77        2500.00                 NaN
  1526.31        2500.00                 NaN
  1524.85        2500.00                 NaN
  1523.39        2500.00                 NaN
  1521.93        2500.00                 NaN
  1520.46        2500.00                 NaN
  1519.00        2500.00                 NaN
  1517.54        2500.00                 NaN
  1516.08        2500.00                 NaN
  1514.62        2500.00                 NaN
  1513.15        2500.00                 NaN
  1511.69        2500.00                 NaN
  1510.23        2500.00                 NaN
  1508.77        2500.00                 NaN
  1507.31        2500.00                 NaN
  1505.85        2500.00                 NaN
  1504.38        2500.00                 NaN
  1502.92        2500.00                 NaN
  1501.46        2500.00                 NaN
  1500.00        2500.00                 NaN
  1498.54        2500.00                 NaN
  1497.07        2500.00                 NaN
  1495.61        2500.00                 NaN
  1494.15        2500.00                 NaN
  1492.69        2500.00                 NaN
  1491.23        2500.00                 NaN
  1489.76        2500.00                 NaN
  1488.30        2500.00                 NaN
  1486.84        2500.00                 NaN
  1485.38        2500.00                 NaN
  1483.92        2500.00                 NaN
  1482.45        2500.00                 NaN
  1480.99        2500.00                 NaN
  1479.53        2500.00                 NaN
  1478.07        2500.00                 NaN
  1476.61        2500.00                 NaN
  1475.14        2500.00                 NaN
  1473.68        2500.00                 NaN
  1472.22        2500.00                 NaN
  1470.76        2500.00                 NaN
  1469.30        2500.00                 NaN
  1467.83        2500.00                 NaN
  1466.37        2500.00                 NaN
  1464.91        2500.00                 NaN
  1463.45        2500.00                 NaN
  1461.99        2500.00                 NaN
  1460.52        2500.00                 NaN
  1459.06        2500.00                 NaN
  1457.60        2500.00                 NaN
  1456.14        2500.00                 NaN
  1454.68        2500.00                 NaN
  1453.21        2500.00                 NaN
  1451.75        2500.00                 NaN
  1450.29        2500.00                 NaN
  1448.83        2500.00                 NaN
  1447.37        2500.00                 NaN
  1445.90        2500.00                 NaN
  1444.44        2500.00                 NaN
  1442.98        2500.00                 NaN
  1441.52        2500.00                 NaN
  1440.06        2500.00                 NaN
  1438.59        2500.00                 NaN
  1437.13        2500.00                 NaN
  1435.67        2500.00                 NaN
  1434.21        2500.00                 NaN
  1432.75        2500.00                 NaN
  1431.28        2500.00                 NaN
  1429.82        2500.00                 NaN
  1428.36        2500.00                 NaN
  1426.90        2500.00                 NaN
  1425.44        2500.00                 NaN
  1423.97        2500.00                 NaN
  1422.51        2500.00                 NaN
  1421.05        2500.00                 NaN
  1419.59        2500.00                 NaN
  1418.13        2500.00                 NaN
  1416.66        2500.00                 NaN
  1415.20        2500.00                 NaN
  1413.74        2500.00                 NaN
  1412.28        2500.00                 NaN
  1410.82        2500.00                 NaN
  1409.35        2500.00                 NaN
  1407.89        2500.00                 NaN
  1406.43        2500.00                 NaN
  1404.97        2500.00                 NaN
  1403.51        2500.00                 NaN
  1402.04        2500.00                 NaN
  1400.58        2500.00                 NaN
  1399.12        2500.00                 NaN
  1397.66        2500.00                 NaN
  1396.20        2500.00                 NaN
  1394.73        2500.00                 NaN
  1393.27        2500.00                 NaN
  1391.81        2500.00                 NaN
  1390.35        2500.00                 NaN
  1388.89        2500.00                 NaN
  1387.42        2500.00                 NaN
  1385.96        2500.00                 NaN
  1384.50        2500.00                 NaN
  1383.04        2500.00                 NaN
  1381.58        2500.00                 NaN
  1380.11        2500.00                 NaN
  1378.65        2500.00                 NaN
  1377.19        2500.00                 NaN
  1375.73        2500.00                 NaN
  1374.27        2500.00                 NaN
  1372.80        2500.00                 NaN
  1371.34        2500.00                 NaN
  1369.88        2500.00                 NaN
  1368.42        2500.00                 NaN
  1366.96        2500.00                 NaN
  1365.49        2500.00                 NaN
  1364.03        2500.00                 NaN
  1362.57        2500.00                 NaN
  1361.11        2500.00                 NaN
  1359.65        2500.00                 NaN
  1358.19        2500.00                 NaN
  1356.72        2500.00                 NaN
  1355.26        2500.00                 NaN
  1353.80        2500.00                 NaN
  1352.34        2500.00                 NaN
  1350.88        2500.00                 NaN
  1349.41        2500.00                 NaN
  1347.95        2500.00                 NaN
  1346.49        2500.00                 NaN
  1345.03        2500.00                 NaN
  1343.57        2500.00                 NaN
  1342.10        2500.00                 NaN
  1340.64        2500.00                 NaN
  1339.18        2500.00                 NaN
  1337.72        2500.00                 NaN
  1336.26        2500.00                 NaN
  1334.79        2500.00                 NaN
  1333.33        2500.00                 NaN
  1331.87        2500.00                 NaN
  1330.41        2500.00                 NaN
  1328.95        2500.00                 NaN
  1327.48        2500.00                 NaN
  1326.02        2500.00                 NaN
  1324.56        2500.00                 NaN
  1323.10        2500.00                 NaN
  1321.64        2500.00                 NaN
  1320.17        2500.00                 NaN
  1318.71        2500.00                 NaN
  1317.25        2500.00                 NaN
  1315.79        2500.00                 NaN
  1314.33        2500.00                 NaN
  1312.86        2500.00                 NaN
  1311.40        2500.00                 NaN
  1309.94        2500.00                 NaN
  1308.48        2500.00                 NaN
  1307.02        2500.00                 NaN
  1305.55        2500.00                 NaN
  1304.09        2500.00                 NaN
  1302.63        2500.00                 NaN
  1301.17        2500.00                 NaN
  1299.71        2500.00                 NaN
  1298.24        2500.00                 NaN
  1296.78        2500.00                 NaN
  1295.32        2500.00                 NaN
  1293.86        2500.00                 NaN
  1292.40        2500.00                 NaN
  1290.93        2500.00       0.701565E-003
  1289.47        2500.00       0.724805E-003
  1288.01        2500.00       0.524397E-003
  1286.55        2500.00       0.395856E-003
  1285.09        2500.00       0.308804E-003
  1283.62        2500.00       0.247276E-003
  1282.16        2500.00       0.219472E-003
  1280.70        2500.00       0.150862E-003
  1279.24        2500.00       0.147795E-003
  1277.78        2500.00       0.144525E-003
  1276.31        2500.00       0.106076E-003
  1274.85        2500.00       0.613762E-004
  1273.39        2500.00       0.809737E-004
  1271.93        2500.00       0.708530E-004
  1270.47        2500.00       0.687844E-004
  1269.00        2500.00       0.610147E-004
  1267.54        2500.00       0.459826E-004
  1266.08        2500.00       0.478268E-004
  1264.62        2500.00       0.514907E-004
  1263.16        2500.00       0.322996E-004
  1261.69        2500.00       0.986568E-004
  1260.23        2500.00                 NaN
  1258.77        2500.00       0.335414E-009
  1257.31        2500.00       0.334582E-004
  1255.85        2500.00       0.237740E-004
  1254.38        2500.00       0.250434E-004
  1252.92        2500.00       0.246823E-004
  1251.46        2500.00       0.338743E-004
  1250.00        2500.00       0.140167E-003
  1248.54        2500.00       0.140029E-003
  1247.07        2500.00       0.139883E-003
  1245.61        2500.00       0.139790E-003
  1244.15        2500.00       0.139557E-003
  1242.69        2500.00       0.139386E-003
  1241.23        2500.00       0.139242E-003
  1239.76        2500.00       0.139011E-003
  1238.30        2500.00       0.138971E-003
  1236.84        2500.00       0.138616E-003
  1235.38        2500.00       0.138204E-003
  1233.92        2500.00       0.137758E-003
  1232.45        2500.00       0.133148E-003
  1230.99        2500.00       0.137079E-003
  1229.53        2500.00       0.136867E-003
  1228.07        2500.00       0.135307E-003
  1226.61        2500.00       0.134021E-003
  1225.14        2500.00       0.134008E-003
  1223.68        2500.00       0.133999E-003
  1222.22        2500.00       0.133989E-003
  1220.76        2500.00       0.133915E-003
  1219.30        2500.00       0.135445E-003
