|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1596.15        2500.00        1.26221       -380066.       0.353251        244464.        0.00000        2.92339        2.92339        0.00000                 NaN   2860.49       -540704.        55.1000       0.630245E-004  0.424990E-005   100.641       0.182379        36.1053       -31.0491      -0.713679E-001   11.1624       0.232293E-002 -0.935256E-004 -0.940946E-004   0.00000       0.605302E-004  0.605488E-004   0.00000        1.03538        100.000        100.000        100.000       0.306238       0.175294E-002  0.266769E-001  0.921113E-003  0.754412E-001   0.00000       0.156808       0.420850E-001  0.806725E-002  0.424646E-003  0.338830E-012  0.204167E-002  -994001.      -0.108443E+007 -0.183591E+007 -0.134593E+007  -414682.       -522357.       -692961.       -830597.       -954469.      -0.110355E+007  -541733.        0.00000     
  1594.66        2500.00        1.25777       -379051.       0.354808        245738.        0.00000        2.93042        2.93042        0.00000                 NaN   2861.62       -538894.        54.8598       0.629077E-004  0.423873E-005   100.237       0.181775        35.9925       -31.5458      -0.250188        11.1634       0.874075E-002 -0.959188E-004 -0.979078E-004   0.00000       0.603513E-004  0.604208E-004   0.00000        1.03534        100.000        100.000        100.000       0.305439       0.175291E-002  0.266710E-001  0.918473E-003  0.751434E-001   0.00000       0.155769       0.420806E-001  0.806715E-002  0.424646E-003  0.350923E-012  0.203240E-002  -993771.      -0.108417E+007 -0.183550E+007 -0.134609E+007  -414461.       -522153.       -692800.       -830102.       -953805.      -0.110315E+007  -567375.        0.00000     
  1593.16        2500.00        1.24806       -376096.       0.354747        245657.        0.00000        2.93015        2.93015        0.00000                 NaN   2861.19       -534465.        54.4016       0.628781E-004  0.423971E-005   99.4056       0.180465        35.7095       -31.5066      -0.247790        11.1697       0.865671E-002 -0.957817E-004 -0.977522E-004   0.00000       0.604039E-004  0.604727E-004   0.00000        1.03529        100.000        100.000        100.000       0.302990       0.175266E-002  0.266202E-001  0.895626E-003  0.745836E-001   0.00000       0.153676       0.420419E-001  0.806627E-002  0.424646E-003  0.330823E-012  0.201961E-002  -993541.      -0.108365E+007 -0.183496E+007 -0.134609E+007  -414159.       -521950.       -692662.       -829809.       -952950.      -0.110257E+007  -578137.        0.00000     
  1591.67        2500.00        1.23852       -373191.       0.354686        245576.        0.00000        2.92989        2.92989        0.00000                 NaN   2860.77       -530111.        53.9511       0.628485E-004  0.424069E-005   98.5881       0.179177        35.4311       -31.4660      -0.245459        11.1760       0.857486E-002 -0.956355E-004 -0.975878E-004   0.00000       0.604561E-004  0.605243E-004   0.00000        1.03523        100.000        100.000        100.000       0.300581       0.175241E-002  0.265702E-001  0.873347E-003  0.740308E-001   0.00000       0.151622       0.420033E-001  0.806540E-002  0.424646E-003  0.328035E-012  0.200700E-002  -993327.      -0.108325E+007 -0.183436E+007 -0.134580E+007  -413920.       -521729.       -692495.       -829362.       -952487.      -0.110131E+007  -933094.        0.00000     
  1590.17        2500.00        1.22913       -370335.       0.354625        245496.        0.00000        2.92963        2.92963        0.00000                 NaN   2860.35       -525828.        53.5081       0.628193E-004  0.424164E-005   97.7839       0.177909        35.1573       -31.4282      -0.243598        11.1823       0.851093E-002 -0.955059E-004 -0.974439E-004   0.00000       0.605089E-004  0.605766E-004   0.00000        1.03518        100.000        100.000        100.000       0.298212       0.175215E-002  0.265209E-001  0.851351E-003  0.734867E-001   0.00000       0.149603       0.419646E-001  0.806455E-002  0.424646E-003  0.332280E-012  0.199465E-002  -993094.      -0.108288E+007 -0.183388E+007 -0.134585E+007  -413588.       -521529.       -692369.       -828999.       -951978.      -0.110056E+007  -572797.        0.00000     
  1588.68        2500.00        1.21989       -367524.       0.354572        245421.        0.00000        2.92940        2.92940        0.00000                 NaN   2859.93       -521613.        53.0720       0.627895E-004  0.424258E-005   96.9921       0.176663        34.8878       -31.3897      -0.241332        11.1884       0.843060E-002 -0.953693E-004 -0.972896E-004   0.00000       0.605594E-004  0.606264E-004   0.00000        1.03513        100.000        100.000        100.000       0.295879       0.175190E-002  0.264723E-001  0.830246E-003  0.729502E-001   0.00000       0.147619       0.419261E-001  0.806371E-002  0.424646E-003  0.322629E-012  0.198236E-002  -992880.      -0.108255E+007 -0.183327E+007 -0.134562E+007  -413369.       -521310.       -692197.       -828590.       -951313.      -0.109919E+007  -539692.        0.00000     
  1587.19        2500.00        1.21075       -364761.       0.354637        245433.        0.00000        2.92965        2.92965        0.00000                 NaN   2859.57       -517464.        52.6394       0.627540E-004  0.424287E-005   96.2099       0.175436        34.6224       -31.3760      -0.247824        11.1936       0.865661E-002 -0.953390E-004 -0.973111E-004   0.00000       0.605920E-004  0.606609E-004   0.00000        1.03507        100.000        100.000        100.000       0.293584       0.175164E-002  0.264239E-001  0.809197E-003  0.724198E-001   0.00000       0.145668       0.418877E-001  0.806288E-002  0.424646E-003  0.319969E-012  0.196978E-002  -992644.      -0.108147E+007 -0.183300E+007 -0.134544E+007  -412998.       -521113.       -692085.       -828133.       -950804.      -0.110253E+007  -583815.        0.00000     
  1585.69        2500.00        1.20155       -361930.       0.354289        245143.        0.00000        2.92824        2.92824        0.00000                 NaN   2858.95       -513239.        52.2094       0.627372E-004  0.424541E-005   95.4215       0.174179        34.3516       -31.2780      -0.225595        11.2022       0.788040E-002 -0.949537E-004 -0.967502E-004   0.00000       0.606894E-004  0.607522E-004   0.00000        1.03502        100.000        100.000        100.000       0.291241       0.175137E-002  0.263753E-001  0.787955E-003  0.718742E-001   0.00000       0.143684       0.418473E-001  0.806201E-002  0.424646E-003  0.317282E-012  0.195836E-002  -992433.      -0.108150E+007 -0.183205E+007 -0.134560E+007  -412791.       -520891.       -691908.       -827892.       -950298.      -0.109916E+007  -618290.        0.00000     
  1584.20        2500.00        1.19312       -359390.       0.354378        245176.        0.00000        2.92860        2.92860        0.00000                 NaN   2858.64       -509409.        51.8100       0.627023E-004  0.424548E-005   94.6974       0.173050        34.1069       -31.2722      -0.234072        11.2070       0.817723E-002 -0.949563E-004 -0.968203E-004   0.00000       0.607162E-004  0.607813E-004   0.00000        1.03497        100.000        100.000        100.000       0.289125       0.175113E-002  0.263308E-001  0.768888E-003  0.713818E-001   0.00000       0.141891       0.418107E-001  0.806123E-002  0.424646E-003  0.314837E-012  0.194689E-002  -992217.      -0.108106E+007 -0.183151E+007 -0.134524E+007  -412543.       -520674.       -691746.       -827493.       -949541.      -0.109836E+007  -548232.        0.00000     
  1582.70        2500.00        1.18448       -356766.       0.354321        245099.        0.00000        2.92836        2.92836        0.00000                 NaN   2858.21       -505471.        51.4028       0.626734E-004  0.424640E-005   93.9565       0.171884        33.8549       -31.2344      -0.232158        11.2131       0.811046E-002 -0.948234E-004 -0.966726E-004   0.00000       0.607674E-004  0.608320E-004   0.00000        1.03491        100.000        100.000        100.000       0.286945       0.175087E-002  0.262850E-001  0.749524E-003  0.708742E-001   0.00000       0.140047       0.417726E-001  0.806043E-002  0.424646E-003  0.593831E-012  0.193543E-002  -991974.      -0.108062E+007 -0.183102E+007 -0.134591E+007  -412244.                 NaN  -691618.       -827156.       -949104.      -0.109736E+007            NaN   0.00000     
