T(K)	P(bar)	SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	NiO
  1592.95      2500.00     0.311506     0.225370E-02 0.147920E-01 0.128972E-02 0.832843E-01  0.00000     0.157983     0.630624E-01 0.451618E-02 0.106162E-03  0.00000    
  1591.46      2500.00     0.308373     0.225356E-02 0.147618E-01 0.126718E-02 0.826375E-01  0.00000     0.155619     0.629411E-01 0.451351E-02 0.106162E-03  0.00000    
  1589.98      2500.00     0.305384     0.225343E-02 0.147348E-01 0.124759E-02 0.819778E-01  0.00000     0.153263     0.628294E-01 0.451105E-02 0.106162E-03  0.00000    
  1588.49      2500.00     0.302359     0.225329E-02 0.147056E-01 0.122613E-02 0.813483E-01  0.00000     0.150991     0.627078E-01 0.450836E-02 0.106162E-03  0.00000    
  1587.01      2500.00     0.299399     0.225315E-02 0.146773E-01 0.120547E-02 0.807257E-01  0.00000     0.148755     0.625872E-01 0.450572E-02 0.106162E-03  0.00000    
  1585.52      2500.00     0.296509     0.225302E-02 0.146500E-01 0.118536E-02 0.800970E-01  0.00000     0.146526     0.624694E-01 0.450317E-02 0.106162E-03  0.00000    
  1584.03      2500.00     0.293680     0.225289E-02 0.146229E-01 0.116287E-02 0.794752E-01  0.00000     0.144344     0.623522E-01 0.450064E-02 0.106162E-03  0.00000    
  1582.55      2500.00     0.290870     0.225275E-02 0.145959E-01 0.114266E-02 0.788601E-01  0.00000     0.142188     0.622331E-01 0.449814E-02 0.106162E-03  0.00000    
  1581.06      2500.00     0.288017     0.225260E-02 0.145687E-01 0.112266E-02 0.782379E-01  0.00000     0.140006     0.621089E-01 0.449551E-02 0.106162E-03  0.00000    
  1579.58      2500.00     0.285388     0.225246E-02 0.145432E-01 0.110397E-02 0.776600E-01  0.00000     0.138002     0.619929E-01 0.449308E-02 0.106162E-03  0.00000    
  1578.09      2500.00     0.282709     0.225232E-02 0.145171E-01 0.108492E-02 0.770724E-01  0.00000     0.135965     0.618719E-01 0.449057E-02 0.106162E-03  0.00000    
  1576.60      2500.00     0.280059     0.225217E-02 0.144910E-01 0.106600E-02 0.764903E-01  0.00000     0.133956     0.617496E-01 0.448809E-02 0.106162E-03  0.00000    
  1575.12      2500.00     0.277310     0.225201E-02 0.144639E-01 0.104641E-02 0.758856E-01  0.00000     0.131878     0.616204E-01 0.448551E-02 0.106162E-03  0.00000    
  1573.63      2500.00     0.274870     0.225187E-02 0.144395E-01 0.102861E-02 0.753476E-01  0.00000     0.130040     0.615027E-01 0.448315E-02 0.106162E-03  0.00000    
  1572.14      2500.00     0.272327     0.225171E-02 0.144140E-01 0.100990E-02 0.747872E-01  0.00000     0.128128     0.613768E-01 0.448063E-02 0.106162E-03  0.00000    
  1570.66      2500.00     0.269815     0.225155E-02 0.143887E-01 0.991497E-03 0.742332E-01  0.00000     0.126247     0.612501E-01 0.447812E-02 0.106162E-03  0.00000    
  1569.17      2500.00     0.267341     0.225139E-02 0.143636E-01 0.973283E-03 0.736861E-01  0.00000     0.124400     0.611225E-01 0.447561E-02 0.106162E-03  0.00000    
