|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1576.92        2500.00       0.353079E-002   99.6187       0.305781       0.720099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00                 NaN   99.3433       0.585984       0.706863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN   99.3439       0.585561       0.705460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN   99.3538       0.576450       0.697814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN   99.3492       0.581109       0.696706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.3689       0.563535       0.675785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN   99.3675       0.565435       0.670981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN   99.3723       0.560556       0.671533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN   99.3721       0.560539       0.673432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   98.8574       0.948090       0.194462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN   99.9242       0.758111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN   99.3952       0.604754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN   99.3925       0.543195       0.642592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN   99.4039       0.535849       0.602770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN   99.4054       0.534373       0.602162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN   99.4090       0.532499       0.584707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00                 NaN   99.4131       0.528667       0.582138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN   99.8746       0.113264       0.121231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00                 NaN   98.9659       0.928722       0.105368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN   99.4318       0.512262       0.559804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00                 NaN   99.4324       0.513057       0.545261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.4371       0.507920       0.549663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN   99.4264       0.519746       0.538913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.4563       0.491482       0.521697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00                 NaN   99.4430       0.506079       0.508980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00                 NaN   99.6093       0.355100       0.355574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00                 NaN   99.3005       0.635047       0.644340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.4580       0.492790       0.492579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00                 NaN   99.4547       0.496326       0.489863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.8004       0.183824       0.157363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00                 NaN   99.1432       0.775923       0.809147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.0388       0.872902       0.883480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00                 NaN   99.8683       0.121143       0.105306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00                 NaN   99.5312       0.436494       0.322989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
