|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/YM20/YM20_6.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           3
T(K)           P(bar)         rho,kg/m3     
  1576.92        2500.00        3250.94     
  1575.47        2500.00        3237.79     
  1574.03        2500.00        3238.23     
  1572.58        2500.00        3238.88     
  1571.14        2500.00        3239.08     
  1569.69        2500.00        3239.56     
  1568.24        2500.00        3239.95     
  1566.80        2500.00        3240.63     
  1565.35        2500.00        3241.47     
  1563.91        2500.00        3248.30     
  1562.46        2500.00        3233.76     
  1561.01        2500.00        3234.23     
  1559.57        2500.00        3242.50     
  1558.12        2500.00        3242.39     
  1556.68        2500.00        3243.22     
  1555.23        2500.00        3243.55     
  1553.79        2500.00        3243.97     
  1552.34        2500.00        3241.45     
  1550.89        2500.00        3246.00     
  1549.45        2500.00        3245.95     
  1548.00        2500.00        3244.86     
  1546.56        2500.00        3246.20     
  1545.11        2500.00        3245.94     
  1543.66        2500.00        3246.96     
  1542.22        2500.00        3246.33     
  1540.77        2500.00        3247.72     
  1539.33        2500.00        3247.37     
  1537.88        2500.00        3247.85     
  1536.43        2500.00        3248.52     
  1534.99        2500.00        3249.51     
  1533.54        2500.00        3250.23     
  1532.10        2500.00        3251.48     
  1530.65        2500.00        3250.10     
  1529.20        2500.00        3248.72     
  1527.76        2500.00        3252.20     
  1526.31        2500.00        3252.28     
  1524.87        2500.00        3251.41     
  1523.42        2500.00        3251.48     
  1521.98        2500.00        3252.44     
  1520.53        2500.00        3251.99     
  1519.08        2500.00        3252.95     
  1517.64        2500.00        3253.02     
  1516.19        2500.00        3253.65     
  1514.75        2500.00        3253.80     
  1513.30        2500.00        3254.48     
  1511.85        2500.00        3254.41     
  1510.41        2500.00        3255.13     
  1508.96        2500.00        3254.97     
  1507.52        2500.00        3255.39     
  1506.07        2500.00        3255.73     
  1504.62        2500.00        3258.01     
  1503.18        2500.00        3256.28     
  1501.73        2500.00        3256.91     
  1500.29        2500.00        3257.52     
  1498.84        2500.00        3256.82     
  1497.39        2500.00        3257.55     
  1495.95        2500.00        3257.77     
  1494.50        2500.00        3257.92     
  1493.06        2500.00        3257.14     
  1491.61        2500.00        3248.53     
  1490.17        2500.00        3238.25     
  1488.72        2500.00        3238.75     
  1487.27        2500.00        3239.69     
  1485.83        2500.00        3240.67     
  1484.38        2500.00        3235.67     
  1482.94        2500.00        3232.80     
