|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1592.95        2500.00        1.26515       -379042.       0.383495        257670.        0.00000        2.98026        2.98026        0.00000                 NaN   2901.05       -540670.        55.6558       0.654513E-004  0.405012E-005   101.465       0.190755        36.7026       -32.0735      -0.178958        11.0052       0.627129E-002 -0.879533E-004 -0.893332E-004   0.00000       0.576092E-004  0.576575E-004   0.00000        1.03983        100.000        100.000        100.000       0.311065       0.225378E-002  0.148096E-001  0.131588E-002  0.824008E-001   0.00000       0.157304       0.629492E-001  0.451766E-002  0.106162E-003   0.00000       0.133103E-002  -993243.      -0.108212E+007 -0.185649E+007 -0.134038E+007  -413530.       -522185.       -693015.       -821883.       -951347.      -0.112188E+007  -420922.        0.00000     
  1591.46        2500.00        1.25780       -377085.       0.385528        259013.        0.00000        2.98729        2.98729        0.00000                 NaN   2902.46       -537569.        55.2957       0.653977E-004  0.403956E-005   100.840       0.189842        36.5070       -32.4343      -0.312670        10.9988       0.109694E-001 -0.893568E-004 -0.917609E-004   0.00000       0.573928E-004  0.574772E-004   0.00000        1.03985        100.000        100.000        100.000       0.309301       0.225370E-002  0.147921E-001  0.129457E-002  0.820284E-001   0.00000       0.155971       0.628813E-001  0.451615E-002  0.106162E-003   0.00000       0.132326E-002  -993045.      -0.108113E+007 -0.185563E+007 -0.134002E+007  -413269.       -521952.       -692841.       -821525.       -950960.      -0.112125E+007  -426015.        0.00000     
  1589.98        2500.00        1.24605       -373524.       0.385917        259055.        0.00000        2.98742        2.98742        0.00000                 NaN   2902.68       -532299.        54.7551       0.654251E-004  0.403888E-005   99.8596       0.188268        36.1689       -32.3941      -0.310832        11.0051       0.109043E-001 -0.890581E-004 -0.914478E-004   0.00000       0.574225E-004  0.575064E-004   0.00000        1.03988        100.000        100.000        100.000       0.306221       0.225356E-002  0.147626E-001  0.127153E-002  0.813897E-001   0.00000       0.153652       0.627607E-001  0.451349E-002  0.106162E-003  0.787693E-011  0.131503E-002  -992821.      -0.108120E+007 -0.185529E+007 -0.133984E+007  -412975.       -521746.       -692707.       -821101.       -950245.      -0.112110E+007  -421126.        0.00000     
  1588.49        2500.00        1.23450       -370014.       0.386315        259112.        0.00000        2.98766        2.98766        0.00000                 NaN   2902.85       -527105.        54.2215       0.654452E-004  0.403834E-005   98.8929       0.186738        35.8355       -32.3412      -0.304938        11.0095       0.106769E-001 -0.886893E-004 -0.910334E-004   0.00000       0.574391E-004  0.575212E-004   0.00000        1.03989        100.000        100.000        100.000       0.303184       0.225342E-002  0.147337E-001  0.124972E-002  0.807581E-001   0.00000       0.151371       0.626392E-001  0.451078E-002  0.106162E-003  0.158683E-011  0.130663E-002  -992633.      -0.108060E+007 -0.185470E+007 -0.133984E+007  -412698.       -521503.       -692520.       -820713.       -949193.      -0.112010E+007  -574042.        0.00000     
  1587.01        2500.00        1.22309       -366573.       0.386747        259197.        0.00000        2.98802        2.98802        0.00000                 NaN   2903.12       -522005.        53.6952       0.654684E-004  0.403717E-005   97.9404       0.185196        35.5077       -32.3339      -0.314462        11.0170       0.110288E-001 -0.885619E-004 -0.909786E-004   0.00000       0.574701E-004  0.575549E-004   0.00000        1.03991        100.000        100.000        100.000       0.300220       0.225328E-002  0.147062E-001  0.122932E-002  0.801256E-001   0.00000       0.149104       0.625216E-001  0.450822E-002  0.106162E-003   0.00000       0.129854E-002  -992360.      -0.108012E+007 -0.185454E+007 -0.133984E+007  -412474.       -521344.       -692426.       -820306.       -948634.      -0.111746E+007  -411350.        0.00000     
  1585.52        2500.00        1.21167       -363075.       0.386919        259086.        0.00000        2.98736        2.98736        0.00000                 NaN   2903.15       -516847.        53.1715       0.654995E-004  0.403784E-005   96.9851       0.183662        35.1765       -32.2293      -0.291431        11.0233       0.102032E-001 -0.879730E-004 -0.902132E-004   0.00000       0.575203E-004  0.575987E-004   0.00000        1.03992        100.000        100.000        100.000       0.297201       0.225315E-002  0.146781E-001  0.120798E-002  0.794990E-001   0.00000       0.146841       0.623954E-001  0.450548E-002  0.106162E-003  0.329528E-012  0.129082E-002  -992218.      -0.107975E+007 -0.185336E+007 -0.133854E+007  -412114.       -521057.       -692218.       -819996.       -947891.      -0.111774E+007  -569436.        0.00000     
  1584.03        2500.00        1.20098       -359854.       0.387396        259223.        0.00000        2.98805        2.98805        0.00000                 NaN   2903.34       -512062.        52.6759       0.655099E-004  0.403662E-005   96.0886       0.182246        34.8686       -32.2115      -0.296989        11.0271       0.103862E-001 -0.877768E-004 -0.900591E-004   0.00000       0.575237E-004  0.576035E-004   0.00000        1.03993        100.000        100.000        100.000       0.294425       0.225301E-002  0.146509E-001  0.118390E-002  0.789027E-001   0.00000       0.144736       0.622796E-001  0.450300E-002  0.106162E-003  0.335536E-012  0.128250E-002  -992003.      -0.107940E+007 -0.185290E+007 -0.133833E+007  -411817.       -520841.       -692075.       -819599.       -947360.      -0.111572E+007  -566220.        0.00000     
  1582.55        2500.00        1.19015       -356570.       0.387706        259241.        0.00000        2.98810        2.98810        0.00000                 NaN   2903.44       -507197.        52.1751       0.655265E-004  0.403620E-005   95.1801       0.180792        34.5553       -32.1695      -0.294650        11.0332       0.103042E-001 -0.874983E-004 -0.897625E-004   0.00000       0.575561E-004  0.576353E-004   0.00000        1.03994        100.000        100.000        100.000       0.291607       0.225287E-002  0.146243E-001  0.116400E-002  0.782876E-001   0.00000       0.142577       0.621615E-001  0.450049E-002  0.106162E-003  0.323355E-012  0.127448E-002  -991793.      -0.107897E+007 -0.185219E+007 -0.133804E+007  -411546.       -520620.       -691919.       -819235.       -946774.      -0.111614E+007  -581907.        0.00000     
  1581.06        2500.00        1.17949       -353341.       0.388033        259271.        0.00000        2.98822        2.98822        0.00000                 NaN   2903.55       -502413.        51.6824       0.655427E-004  0.403568E-005   94.2863       0.179360        34.2471       -32.1312      -0.293425        11.0393       0.102611E-001 -0.872353E-004 -0.894899E-004   0.00000       0.575867E-004  0.576655E-004   0.00000        1.03994        100.000        100.000        100.000       0.288835       0.225272E-002  0.145978E-001  0.114423E-002  0.776824E-001   0.00000       0.140457       0.620428E-001  0.449801E-002  0.106162E-003  0.321911E-012  0.126656E-002  -991584.      -0.107852E+007 -0.185165E+007 -0.133768E+007  -411268.       -520400.       -691766.       -818848.       -946130.      -0.111541E+007  -583543.        0.00000     
  1579.58        2500.00        1.16896       -350152.       0.388356        259297.        0.00000        2.98831        2.98831        0.00000                 NaN   2903.66       -497691.        51.1962       0.655595E-004  0.403520E-005   93.4039       0.177945        33.9428       -32.0916      -0.291781        11.0454       0.102033E-001 -0.869665E-004 -0.892082E-004   0.00000       0.576178E-004  0.576962E-004   0.00000        1.03995        100.000        100.000        100.000       0.286099       0.225258E-002  0.145713E-001  0.112451E-002  0.770841E-001   0.00000       0.138371       0.619229E-001  0.449552E-002  0.106162E-003  0.317263E-012  0.125873E-002  -991368.      -0.107786E+007 -0.185103E+007 -0.133765E+007  -410995.       -520186.       -691616.       -818511.       -945366.      -0.111468E+007  -566692.        0.00000     
  1578.09        2500.00        1.15859       -347009.       0.388670        259315.        0.00000        2.98836        2.98836        0.00000                 NaN   2903.77       -493036.        50.7172       0.655773E-004  0.403476E-005   92.5341       0.176548        33.6427       -32.0505      -0.289636        11.0517       0.101286E-001 -0.866918E-004 -0.889169E-004   0.00000       0.576513E-004  0.577291E-004   0.00000        1.03996        100.000        100.000        100.000       0.283401       0.225243E-002  0.145450E-001  0.110487E-002  0.764927E-001   0.00000       0.136320       0.618022E-001  0.449305E-002  0.106162E-003  0.539204E-011  0.125107E-002  -991164.      -0.107762E+007 -0.185043E+007 -0.133697E+007  -410713.                 NaN  -691461.       -818124.       -944724.      -0.111365E+007            NaN   0.00000     
  1576.60        2500.00        1.14837       -343917.       0.389008        259350.        0.00000        2.98850        2.98850        0.00000                 NaN   2903.89       -488457.        50.2456       0.655942E-004  0.403422E-005   91.6780       0.175174        33.3474       -32.0104      -0.288508        11.0576       0.100874E-001 -0.864147E-004 -0.886310E-004   0.00000       0.576805E-004  0.577580E-004   0.00000        1.03997        100.000        100.000        100.000       0.280745       0.225229E-002  0.145191E-001  0.108556E-002  0.759112E-001   0.00000       0.134308       0.616807E-001  0.449057E-002  0.106162E-003  0.315198E-012  0.124348E-002  -990955.      -0.107721E+007 -0.184988E+007 -0.133676E+007  -410450.       -519740.       -691303.       -817744.       -943900.      -0.111358E+007  -575935.        0.00000     
  1575.12        2500.00        1.13828       -340862.       0.389329        259372.        0.00000        2.98857        2.98857        0.00000                 NaN   2904.00       -483933.        49.7801       0.656122E-004  0.403376E-005   90.8323       0.173813        33.0556       -31.9704      -0.286747        11.0639       0.100264E-001 -0.861436E-004 -0.883462E-004   0.00000       0.577133E-004  0.577903E-004   0.00000        1.03997        100.000        100.000        100.000       0.278121       0.225214E-002  0.144935E-001  0.106644E-002  0.753351E-001   0.00000       0.132324       0.615578E-001  0.448808E-002  0.106162E-003  0.341637E-012  0.123602E-002  -990740.      -0.107677E+007 -0.184924E+007 -0.133662E+007  -410141.       -519526.       -691165.       -817397.       -943560.      -0.111176E+007  -561274.        0.00000     
  1573.63        2500.00        1.12833       -337852.       0.389657        259398.        0.00000        2.98866        2.98866        0.00000                 NaN   2904.12       -479478.        49.3216       0.656304E-004  0.403327E-005   89.9990       0.172472        32.7680       -31.9290      -0.285060        11.0701       0.996703E-002 -0.858617E-004 -0.880512E-004   0.00000       0.577449E-004  0.578215E-004   0.00000        1.03998        100.000        100.000        100.000       0.275535       0.225198E-002  0.144680E-001  0.104750E-002  0.747669E-001   0.00000       0.130375       0.614344E-001  0.448561E-002  0.106162E-003  0.313422E-012  0.122867E-002  -990531.      -0.107638E+007 -0.184862E+007 -0.133622E+007  -409865.       -519305.       -691011.       -817049.       -942709.      -0.111093E+007  -575457.        0.00000     
