|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.280827E-001   89.0625        2.59359        7.66126                 NaN  0.654606                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.725068E-004   99.5069       0.338223       0.135673                 NaN  0.191213E-001            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.611890E-004   99.5082       0.337054       0.136065                 NaN  0.185735E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.149071E-002   99.2437       0.176411       0.350942                 NaN  0.862602E-001  0.141233                 NaN            NaN            NaN
  1409.32        2500.00                 NaN   98.6827       0.468694                 NaN            NaN  0.419649       0.428980                 NaN            NaN            NaN
  1408.28        2500.00                 NaN   99.0273       0.320804       0.340749                 NaN  0.308926E-001  0.280255                 NaN            NaN            NaN
  1407.24        2500.00                 NaN   98.8948       0.346089       0.321084                 NaN  0.112324       0.325716                 NaN            NaN            NaN
  1406.21        2500.00                 NaN   98.8902       0.209147       0.374255                 NaN  0.188139       0.338276                 NaN            NaN            NaN
  1405.17        2500.00                 NaN   98.8476       0.214628       0.388753                 NaN  0.197422       0.351614                 NaN            NaN            NaN
  1404.13        2500.00                 NaN   99.9528       0.177760E-001  0.186684E-002            NaN  0.124711E-001  0.151311E-001            NaN            NaN            NaN
  1403.10        2500.00                 NaN   97.9374       0.697712       0.383443                 NaN  0.353145       0.628312                 NaN            NaN            NaN
  1402.06        2500.00                 NaN   98.9338       0.362696       0.192096                 NaN  0.186386       0.325002                 NaN            NaN            NaN
  1401.03        2500.00                 NaN   98.9005       0.372982       0.194530                 NaN  0.195654       0.336384                 NaN            NaN            NaN
  1399.99        2500.00                 NaN   98.9943       0.176875       0.344596                 NaN  0.178258       0.305972                 NaN            NaN            NaN
  1398.95        2500.00                 NaN   98.9623       0.356337       0.178466                 NaN  0.186457       0.316426                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9666       0.356937       0.173841                 NaN  0.187422       0.315197                 NaN            NaN            NaN
  1396.88        2500.00                 NaN   98.9848       0.350609       0.169854                 NaN  0.185281       0.309447                 NaN            NaN            NaN
  1395.84        2500.00                 NaN   98.9921       0.166323       0.349065                 NaN  0.185223       0.307270                 NaN            NaN            NaN
  1394.81        2500.00                 NaN   99.0009       0.346888       0.162213                 NaN  0.185335       0.304620                 NaN            NaN            NaN
  1393.77        2500.00                 NaN   99.0088       0.158773       0.344970                 NaN  0.185166       0.302249                 NaN            NaN            NaN
  1392.74        2500.00                 NaN   99.0185       0.154577       0.342957                 NaN  0.184767       0.299209                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.0249       0.149253       0.341578                 NaN  0.186258       0.298061                 NaN            NaN            NaN
  1390.66        2500.00                 NaN   99.0395       0.146635       0.337075                 NaN  0.184183       0.292581                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.0449       0.335576       0.146878                 NaN  0.181881       0.290808                 NaN            NaN            NaN
  1388.59        2500.00                 NaN   99.0524       0.139349       0.335151                 NaN  0.184192       0.288943                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.0613       0.332633       0.137690                 NaN  0.182573       0.285822                 NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.0708       0.132926       0.330038                 NaN  0.183122       0.283152                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.0776       0.328475       0.130692                 NaN  0.182355       0.280885                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   98.9614       0.371720       0.143704                 NaN  0.206996       0.316170                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.7884       0.289396E-001  0.756897E-001            NaN  0.424355E-001  0.645393E-001            NaN            NaN            NaN
  1382.37        2500.00                 NaN   98.5279       0.201774       0.527481                 NaN  0.295255       0.447576                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.1085       0.321316       0.117691                 NaN  0.181102       0.271356                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.1171       0.318511       0.114545                 NaN  0.180893       0.268944                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.1240       0.317763       0.112293                 NaN  0.179738       0.266238                 NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.1265       0.314374       0.113831                 NaN  0.179388       0.265921                 NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.1438       0.314311       0.102447                 NaN  0.179380       0.260067                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.1449       0.312211       0.104282                 NaN  0.178789       0.259769                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.1518       0.101820       0.310383                 NaN  0.178357       0.257610                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   99.1590       0.991111E-001  0.308891                 NaN  0.177669       0.255314                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.1658       0.307019       0.965888E-001            NaN  0.177397       0.253241                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.1722       0.305535       0.938331E-001            NaN  0.177156       0.251252                 NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.1794       0.925651E-001  0.303466                 NaN  0.175836       0.248732                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.1839       0.302288       0.877188E-001            NaN  0.178076       0.248010                 NaN            NaN            NaN
