|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1596.15        2500.00        1.26337       -381290.       0.347907        244010.        0.00000        2.92643        2.92643        0.00000                 NaN   2849.26       -541610.        54.8294       0.618252E-004  0.425523E-005   100.442       0.179784        35.9968       -31.1105      -0.154228        11.2640       0.536195E-002 -0.960913E-004 -0.973244E-004   0.00000       0.613188E-004  0.613617E-004   0.00000        1.03417        100.000        100.000        100.000       0.308402       0.175294E-002  0.276576E-001  0.986907E-003  0.718223E-001   0.00000       0.154079       0.424416E-001  0.855128E-002  0.424646E-003  0.333555E-012  0.114932E-002  -993967.      -0.108432E+007 -0.183528E+007 -0.134494E+007  -414557.       -522391.       -693020.       -830311.       -953607.      -0.110482E+007  -724110.        0.00000     
  1594.66        2500.00        1.25682       -379497.       0.348834        244679.        0.00000        2.93013        2.93013        0.00000                 NaN   2849.85       -538762.        54.5121       0.617743E-004  0.424912E-005   99.8742       0.178899        35.8174       -31.3671      -0.251699        11.2693       0.887050E-002 -0.973139E-004 -0.993234E-004   0.00000       0.612522E-004  0.613230E-004   0.00000        1.03415        100.000        100.000        100.000       0.306881       0.175278E-002  0.276255E-001  0.966211E-003  0.714570E-001   0.00000       0.152742       0.424184E-001  0.855076E-002  0.424646E-003  0.331768E-012  0.114416E-002  -993739.      -0.108387E+007 -0.183478E+007 -0.134494E+007  -414310.                 NaN  -692865.       -829938.       -952791.      -0.110392E+007            NaN   0.00000     
  1593.16        2500.00        1.24752       -376668.       0.349041        244748.        0.00000        2.93073        2.93073        0.00000                 NaN   2849.48       -534517.        54.0745       0.617433E-004  0.424957E-005   99.0790       0.177711        35.5478       -31.3049      -0.242668        11.2696       0.849001E-002 -0.969536E-004 -0.988909E-004   0.00000       0.612468E-004  0.613146E-004   0.00000        1.03410        100.000        100.000        100.000       0.304464       0.175249E-002  0.275706E-001  0.939279E-003  0.709610E-001   0.00000       0.150851       0.423757E-001  0.854982E-002  0.424646E-003  0.892795E-012  0.113683E-002  -993513.      -0.108335E+007 -0.183385E+007 -0.134566E+007  -414091.       -521977.       -692700.       -829660.       -952600.      -0.110522E+007 -0.222925E+007   0.00000     
  1591.67        2500.00        1.23829       -373855.       0.348964        244664.        0.00000        2.93050        2.93050        0.00000                 NaN   2848.97       -530295.        53.6398       0.617100E-004  0.425073E-005   98.2868       0.176490        35.2784       -31.2514      -0.235280        11.2747       0.821624E-002 -0.967384E-004 -0.986171E-004   0.00000       0.612938E-004  0.613594E-004   0.00000        1.03404        100.000        100.000        100.000       0.302114       0.175221E-002  0.275214E-001  0.915405E-003  0.704348E-001   0.00000       0.148884       0.423365E-001  0.854896E-002  0.424646E-003  0.326413E-012  0.112971E-002  -993293.      -0.108312E+007 -0.183371E+007 -0.134459E+007  -413749.                 NaN  -692568.       -829138.       -951674.      -0.110220E+007            NaN   0.00000     
  1590.17        2500.00        1.22929       -371125.       0.348888        244593.        0.00000        2.93033        2.93033        0.00000                 NaN   2848.48       -526189.        53.2157       0.616749E-004  0.425164E-005   97.5139       0.175290        35.0162       -31.2158      -0.234357        11.2808       0.818442E-002 -0.966252E-004 -0.984970E-004   0.00000       0.613450E-004  0.614104E-004   0.00000        1.03398        100.000        100.000        100.000       0.299843       0.175195E-002  0.274742E-001  0.892491E-003  0.699140E-001   0.00000       0.146955       0.422990E-001  0.854814E-002  0.424646E-003  0.323801E-012  0.112273E-002  -993066.      -0.108267E+007 -0.183303E+007 -0.134482E+007  -413494.                 NaN  -692416.       -828832.       -951133.      -0.110120E+007            NaN   0.00000     
  1588.68        2500.00        1.22040       -368426.       0.348802        244514.        0.00000        2.93011        2.93011        0.00000                 NaN   2847.98       -522131.        52.7968       0.616407E-004  0.425260E-005   96.7501       0.174104        34.7568       -31.1791      -0.232905        11.2871       0.813483E-002 -0.965090E-004 -0.983696E-004   0.00000       0.613986E-004  0.614636E-004   0.00000        1.03392        100.000        100.000        100.000       0.297598       0.175169E-002  0.274276E-001  0.870033E-003  0.693980E-001   0.00000       0.145051       0.422613E-001  0.854732E-002  0.424646E-003  0.785362E-012  0.111585E-002  -992834.      -0.108234E+007 -0.183256E+007 -0.134508E+007  -413250.                 NaN  -692263.       -828429.       -950493.      -0.110030E+007            NaN   0.00000     
  1587.19        2500.00        1.21164       -365764.       0.348707        244428.        0.00000        2.92985        2.92985        0.00000                 NaN   2847.47       -518129.        52.3841       0.616069E-004  0.425362E-005   95.9972       0.172935        34.5012       -31.1395      -0.230082        11.2933       0.803565E-002 -0.963780E-004 -0.982166E-004   0.00000       0.614526E-004  0.615168E-004   0.00000        1.03387        100.000        100.000        100.000       0.295381       0.175142E-002  0.273816E-001  0.848452E-003  0.688890E-001   0.00000       0.143175       0.422239E-001  0.854652E-002  0.424646E-003  0.743780E-012  0.110907E-002  -992628.      -0.108185E+007 -0.183188E+007 -0.134433E+007  -412954.       -521129.       -692109.       -828069.       -949899.      -0.110063E+007  -591352.        0.00000     
  1585.69        2500.00        1.20303       -363152.       0.348627        244354.        0.00000        2.92966        2.92966        0.00000                 NaN   2846.98       -514201.        51.9787       0.615726E-004  0.425455E-005   95.2574       0.171788        34.2501       -31.1033      -0.228636        11.2994       0.798515E-002 -0.962620E-004 -0.980895E-004   0.00000       0.615045E-004  0.615683E-004   0.00000        1.03381        100.000        100.000        100.000       0.293206       0.175115E-002  0.273363E-001  0.827193E-003  0.683867E-001   0.00000       0.141338       0.421865E-001  0.854573E-002  0.424646E-003  0.316167E-012  0.110236E-002  -992393.      -0.108129E+007 -0.183150E+007 -0.134458E+007  -412703.       -520931.       -691961.       -827645.       -949275.      -0.109900E+007  -583909.        0.00000     
  1584.20        2500.00        1.19453       -360578.       0.348608        244324.        0.00000        2.92973        2.92973        0.00000                 NaN   2846.51       -510326.        51.5771       0.615351E-004  0.425517E-005   94.5261       0.170657        34.0024       -31.0775      -0.231083        11.3049       0.806945E-002 -0.961871E-004 -0.980344E-004   0.00000       0.615459E-004  0.616104E-004   0.00000        1.03375        100.000        100.000        100.000       0.291059       0.175088E-002  0.272917E-001  0.806476E-003  0.678894E-001   0.00000       0.139528       0.421490E-001  0.854494E-002  0.424646E-003  0.314033E-012  0.109565E-002  -992184.      -0.108130E+007 -0.183079E+007 -0.134414E+007  -412420.       -520708.       -691806.       -827274.       -948837.      -0.109878E+007  -524051.        0.00000     
  1582.70        2500.00        1.18604       -357984.       0.348356        244126.        0.00000        2.92885        2.92885        0.00000                 NaN   2845.89       -506436.        51.1796       0.615075E-004  0.425704E-005   93.7965       0.169516        33.7534       -31.0065      -0.217326        11.3123       0.758806E-002 -0.959244E-004 -0.976626E-004   0.00000       0.616243E-004  0.616850E-004   0.00000        1.03369        100.000        100.000        100.000       0.288904       0.175061E-002  0.272464E-001  0.785411E-003  0.673891E-001   0.00000       0.137710       0.421106E-001  0.854415E-002  0.424646E-003  0.970959E-012  0.108920E-002  -991952.      -0.108053E+007 -0.183045E+007 -0.134410E+007  -412158.       -520507.       -691659.       -826872.       -947975.      -0.109809E+007  -560874.        0.00000     
