|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          57
T(K)           P(bar)         V,J/bar/mol    H,J/mol        Gruneisen_T    Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        vp/vs          rho,kg/m3      G,J/mol        cp,J/K/mol     alpha,1/K      beta,1/bar     S,J/K/mol      n,mol          N,g            Ks_{T},bar/K   Gs_{T},bar/K   Ks_{P}         Gs_P           v0_{T}         vp_{T}         vs_{T}         v0_{P}         vp_P           vs_{P}         cp/cv          vol,%          wt,%           mol,%          SiO2,mol,pfu   TiO2,mol,pfu   Al2O3,mol,pfu  Cr2O3,mol,pfu  FeO,mol,pfu    MnO,mol,pfu    MgO,mol,pfu    CaO,mol,pfu    Na2O,mol,pfu   K2O,mol,pfu    NiO,mol,pfu    O2,mol,pfu     mu[SiO2],J/mol mu[TiO2],J/mol mu[Al2O3],J/mo mu[Cr2O3],J/mo mu[FeO],J/mol  mu[MnO],J/mol  mu[MgO],J/mol  mu[CaO],J/mol  mu[Na2O],J/mol mu[K2O],J/mol  mu[NiO],J/mol  nom_ox        
  1461.54        2500.00        1.19033       -354409.       0.365313        242266.        0.00000        2.90040        2.90040        0.00000                 NaN   2879.90       -487491.        49.7703       0.630403E-004  0.427058E-005   91.0558       0.180470        34.2802       -29.3433      -0.218504E-001   11.3874       0.713969E-003 -0.842276E-004 -0.844020E-004   0.00000       0.619713E-004  0.619770E-004   0.00000        1.03362        100.000        100.000        100.000       0.275614       0.400671E-002  0.384461E-001  0.328969E-003  0.853238E-001   0.00000       0.744343E-001  0.638408E-001  0.104874E-001  0.212323E-003   0.00000       0.156991E-002  -974539.      -0.104518E+007 -0.178678E+007 -0.131851E+007  -388163.       -503475.       -681031.       -801037.       -907912.      -0.107302E+007  -393257.        0.00000     
  1460.38        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        1.18732       -354399.       0.372264        247118.        0.00000        2.92691        2.92691        0.00000                 NaN   2884.60       -486848.        49.5784       0.627470E-004  0.423894E-005   90.7670       0.179818        34.2494       -30.3224      -0.365427        11.3022       0.122295E-001 -0.877444E-004 -0.906299E-004   0.00000       0.607289E-004  0.608254E-004   0.00000        1.03355        100.000        100.000        100.000       0.275380       0.400564E-002  0.384323E-001  0.318420E-003  0.852575E-001   0.00000       0.743252E-001  0.637654E-001  0.104861E-001  0.212290E-003  0.167456E-011  0.156329E-002  -974226.      -0.104459E+007 -0.178574E+007 -0.131837E+007  -387706.                 NaN  -680816.       -800773.       -907048.      -0.107166E+007            NaN   0.00000     
  1458.07        2500.00        1.17076       -349340.       0.371436        246609.        0.00000        2.92417        2.92417        0.00000                 NaN   2884.06       -479776.        48.8514       0.627097E-004  0.424483E-005   89.4578       0.177177        33.7655       -30.3042      -0.367768        11.3171       0.124137E-001 -0.879793E-004 -0.908865E-004   0.00000       0.608898E-004  0.609880E-004   0.00000        1.03346        100.000        100.000        100.000       0.271259       0.397696E-002  0.383180E-001  0.302622E-003  0.842351E-001   0.00000       0.723446E-001  0.626091E-001  0.104644E-001  0.211748E-003   0.00000       0.154924E-002  -974039.      -0.104459E+007 -0.178498E+007 -0.131848E+007  -387487.       -503006.       -680759.       -800657.       -907624.      -0.107249E+007  -400534.        0.00000     
  1456.91        2500.00        1.15642       -344290.       0.364409        241664.        0.00000        2.89706        2.89706        0.00000                 NaN   2879.36       -472946.        48.2810       0.629463E-004  0.428000E-005   88.3071       0.175063        33.2975       -29.2954      -0.251220E-001   11.4011       0.846497E-003 -0.844169E-004 -0.846177E-004   0.00000       0.621385E-004  0.621452E-004   0.00000        1.03338        100.000        100.000        100.000       0.267259       0.393989E-002  0.381983E-001  0.288256E-003  0.832193E-001   0.00000       0.703940E-001  0.615904E-001  0.104447E-001  0.211141E-003  0.293752E-012  0.154237E-002  -973900.      -0.104412E+007 -0.178471E+007 -0.131822E+007  -387255.       -502823.       -680641.       -800490.       -906261.      -0.107115E+007  -498663.        0.00000     
  1455.76        2500.00        1.15444       -344096.       0.367649        243963.        0.00000        2.90972        2.90972        0.00000                 NaN   2881.53       -472385.        48.1647       0.627986E-004  0.426507E-005   88.1252       0.174698        33.2656       -29.7551      -0.188421        11.3610       0.632751E-002 -0.860792E-004 -0.875774E-004   0.00000       0.615457E-004  0.615960E-004   0.00000        1.03334        100.000        100.000        100.000       0.266988       0.393741E-002  0.381903E-001  0.287294E-003  0.831489E-001   0.00000       0.702608E-001  0.615215E-001  0.104433E-001  0.211105E-003  0.232240E-011  0.153801E-002  -973745.      -0.104379E+007 -0.178418E+007 -0.131816E+007  -387039.       -502655.       -680540.       -800339.       -905829.      -0.107080E+007  -532071.        0.00000     
  1454.60        2500.00        1.14615       -341620.       0.367401        243818.        0.00000        2.90898        2.90898        0.00000                 NaN   2881.28       -468825.        47.7984       0.627661E-004  0.426750E-005   87.4501       0.173389        33.0238       -29.7380      -0.187640        11.3637       0.629475E-002 -0.861086E-004 -0.876011E-004   0.00000       0.615828E-004  0.616329E-004   0.00000        1.03327        100.000        100.000        100.000       0.264948       0.392000E-002  0.381308E-001  0.280070E-003  0.826031E-001   0.00000       0.692427E-001  0.609957E-001  0.104328E-001  0.210845E-003  0.287345E-012  0.153057E-002  -973592.      -0.104331E+007 -0.178375E+007 -0.131803E+007  -386807.       -502486.       -680449.       -800179.       -905163.      -0.107016E+007  -522390.        0.00000     
  1453.44        2500.00        1.13793       -339162.       0.367108        243645.        0.00000        2.90809        2.90809        0.00000                 NaN   2880.99       -465292.        47.4353       0.627344E-004  0.427008E-005   86.7802       0.172087        32.7836       -29.7185      -0.186366        11.3672       0.625343E-002 -0.861381E-004 -0.876210E-004   0.00000       0.616292E-004  0.616790E-004   0.00000        1.03320        100.000        100.000        100.000       0.262926       0.390285E-002  0.380716E-001  0.272972E-003  0.820556E-001   0.00000       0.682311E-001  0.604732E-001  0.104224E-001  0.210589E-003  0.285073E-012  0.152324E-002  -973432.      -0.104323E+007 -0.178312E+007 -0.131803E+007  -386609.       -502325.       -680343.       -800044.       -905000.      -0.106931E+007  -540930.        0.00000     
  1452.29        2500.00        1.12978       -336740.       0.366947        243566.        0.00000        2.90773        2.90773        0.00000                 NaN   2880.78       -461806.        47.0743       0.626966E-004  0.427207E-005   86.1168       0.170795        32.5465       -29.7156      -0.191509        11.3690       0.642621E-002 -0.862223E-004 -0.877465E-004   0.00000       0.616514E-004  0.617026E-004   0.00000        1.03313        100.000        100.000        100.000       0.260933       0.388574E-002  0.380120E-001  0.266041E-003  0.815141E-001   0.00000       0.672362E-001  0.599574E-001  0.104122E-001  0.210343E-003  0.282833E-012  0.151584E-002  -973273.      -0.104292E+007 -0.178262E+007 -0.131796E+007  -386377.       -502162.       -680257.       -799896.       -904578.      -0.106862E+007  -897188.        0.00000     
  1451.13        2500.00        1.12156       -334256.       0.366399        243216.        0.00000        2.90587        2.90587        0.00000                 NaN   2880.31       -458250.        46.7135       0.626745E-004  0.427584E-005   85.4472       0.169496        32.3043       -29.6612      -0.177956        11.3756       0.597212E-002 -0.861294E-004 -0.875469E-004   0.00000       0.617439E-004  0.617915E-004   0.00000        1.03307        100.000        100.000        100.000       0.258898       0.386790E-002  0.379502E-001  0.259032E-003  0.809586E-001   0.00000       0.662243E-001  0.594305E-001  0.104018E-001  0.210085E-003  0.530653E-012  0.150866E-002  -973109.      -0.104270E+007 -0.178213E+007 -0.131789E+007  -386152.       -502004.       -680172.       -799758.       -904141.      -0.106898E+007  -516471.        0.00000     
  1449.97        2500.00        1.11387       -331976.       0.366252        243147.        0.00000        2.90556        2.90556        0.00000                 NaN   2880.12       -454962.        46.3731       0.626374E-004  0.427768E-005   84.8201       0.168276        32.0807       -29.6620      -0.183394        11.3773       0.615535E-002 -0.862290E-004 -0.876900E-004   0.00000       0.617636E-004  0.618127E-004   0.00000        1.03300        100.000        100.000        100.000       0.257021       0.385127E-002  0.378923E-001  0.252621E-003  0.804445E-001   0.00000       0.652931E-001  0.589442E-001  0.103921E-001  0.209845E-003  0.278431E-012  0.150165E-002  -972949.      -0.104243E+007 -0.178161E+007 -0.131785E+007  -385924.       -501842.       -680087.       -799612.       -903794.      -0.106822E+007  -535969.        0.00000     
  1448.82        2500.00        1.10603       -329635.       0.365961        242980.        0.00000        2.90471        2.90471        0.00000                 NaN   2879.81       -451598.        46.0271       0.626047E-004  0.428023E-005   84.1813       0.167034        31.8516       -29.6404      -0.182276        11.3808       0.611833E-002 -0.862442E-004 -0.876969E-004   0.00000       0.618094E-004  0.618581E-004   0.00000        1.03293        100.000        100.000        100.000       0.255098       0.383400E-002  0.378320E-001  0.246118E-003  0.799157E-001   0.00000       0.643432E-001  0.584456E-001  0.103822E-001  0.209600E-003  0.733879E-011  0.149459E-002  -972792.      -0.104219E+007 -0.178108E+007 -0.131780E+007  -385715.       -501677.       -679985.       -799467.       -903355.      -0.106816E+007  -501198.        0.00000     
  1447.66        2500.00        1.09829       -327323.       0.365663        242808.        0.00000        2.90384        2.90384        0.00000                 NaN   2879.50       -448276.        45.6857       0.625723E-004  0.428280E-005   83.5504       0.165807        31.6252       -29.6208      -0.180790        11.3843       0.606934E-002 -0.862740E-004 -0.877155E-004   0.00000       0.618564E-004  0.619048E-004   0.00000        1.03286        100.000        100.000        100.000       0.253200       0.381666E-002  0.377715E-001  0.239760E-003  0.793919E-001   0.00000       0.634077E-001  0.579530E-001  0.103724E-001  0.209358E-003  0.155070E-011  0.148764E-002  -972635.      -0.104182E+007 -0.178063E+007 -0.131772E+007  -385478.       -501513.       -679904.       -799315.       -902878.      -0.106713E+007  -519464.        0.00000     
  1446.50        2500.00        1.09065       -325046.       0.365385        242649.        0.00000        2.90304        2.90304        0.00000                 NaN   2879.20       -445002.        45.3488       0.625390E-004  0.428528E-005   82.9280       0.164596        31.4020       -29.6034      -0.180168        11.3875       0.604865E-002 -0.863102E-004 -0.877472E-004   0.00000       0.618998E-004  0.619481E-004   0.00000        1.03279        100.000        100.000        100.000       0.251329       0.379931E-002  0.377110E-001  0.233555E-003  0.788734E-001   0.00000       0.624894E-001  0.574676E-001  0.103627E-001  0.209122E-003  0.272030E-012  0.148073E-002  -972476.      -0.104156E+007 -0.178015E+007 -0.131763E+007  -385267.       -501351.       -679807.       -799173.       -902333.      -0.106623E+007  -555004.        0.00000     
  1445.35        2500.00        1.08393       -322702.       0.361517        239951.        0.00000        2.88814        2.88814        0.00000                 NaN   2876.65       -441761.        45.0856       0.626673E-004  0.430400E-005   82.3737       0.163599        31.1809       -29.0733      -0.141601E-003   11.4362       0.469658E-005 -0.844723E-004 -0.844735E-004   0.00000       0.626097E-004  0.626097E-004   0.00000        1.03274        100.000        100.000        100.000       0.249477       0.378195E-002  0.376503E-001  0.227466E-003  0.783577E-001   0.00000       0.615835E-001  0.569864E-001  0.103531E-001  0.208885E-003   0.00000       0.147733E-002  -972294.      -0.104113E+007 -0.177992E+007 -0.132397E+007  -384964.       -501211.       -679852.       -798884.       -902029.      -0.106367E+007  -379704.        0.00000     
  1444.19        2500.00        1.08216       -322928.       0.368660        245040.        0.00000        2.91623        2.91623        0.00000                 NaN   2881.33       -441659.        44.9452       0.623436E-004  0.427098E-005   82.2133       0.163193        31.1805       -30.0863      -0.356752        11.3459       0.119801E-001 -0.881251E-004 -0.909556E-004   0.00000       0.612863E-004  0.613813E-004   0.00000        1.03268        100.000        100.000        100.000       0.249475       0.378194E-002  0.376502E-001  0.227460E-003  0.783574E-001   0.00000       0.615828E-001  0.569859E-001  0.103531E-001  0.208885E-003  0.269945E-012  0.147053E-002  -972162.      -0.104101E+007 -0.177910E+007 -0.131759E+007  -384819.                 NaN  -679629.       -798878.       -901626.      -0.106587E+007            NaN   0.00000     
  1443.03        2500.00        1.06811       -318359.       0.364852        242400.        0.00000        2.90192        2.90192        0.00000                 NaN   2878.47       -435377.        44.3520       0.624227E-004  0.429127E-005   81.0918       0.161014        30.7451       -29.5946      -0.194285        11.3936       0.652485E-002 -0.865746E-004 -0.881252E-004   0.00000       0.619735E-004  0.620256E-004   0.00000        1.03258        100.000        100.000        100.000       0.245834       0.374659E-002  0.375267E-001  0.215689E-003  0.773370E-001   0.00000       0.598116E-001  0.560388E-001  0.103341E-001  0.208423E-003  0.265846E-012  0.146005E-002  -972005.      -0.104067E+007 -0.177862E+007 -0.131755E+007  -384583.       -500858.       -679548.       -798726.       -901268.      -0.106399E+007  -791246.        0.00000     
  1441.88        2500.00        1.06026       -315949.       0.363854        241737.        0.00000        2.89836        2.89836        0.00000                 NaN   2877.66       -431954.        44.0120       0.624166E-004  0.429716E-005   80.4537       0.159781        30.5107       -29.4775      -0.159408        11.4060       0.535433E-002 -0.862607E-004 -0.875349E-004   0.00000       0.621502E-004  0.621930E-004   0.00000        1.03252        100.000        100.000        100.000       0.243876       0.372723E-002  0.374587E-001  0.209453E-003  0.767854E-001   0.00000       0.588634E-001  0.555283E-001  0.103240E-001  0.208140E-003  0.263641E-012  0.145339E-002  -971838.      -0.104056E+007 -0.177813E+007 -0.131748E+007  -384373.                 NaN  -679459.       -798598.       -900738.      -0.106601E+007            NaN   0.00000     
  1440.72        2500.00        1.05365       -314017.       0.363921        241828.        0.00000        2.89894        2.89894        0.00000                 NaN   2877.59       -429148.        43.7180       0.623707E-004  0.429785E-005   79.9124       0.158726        30.3197       -29.5063      -0.175103        11.4050       0.588267E-002 -0.864503E-004 -0.878496E-004   0.00000       0.621295E-004  0.621765E-004   0.00000        1.03245        100.000        100.000        100.000       0.242280       0.371126E-002  0.374030E-001  0.204414E-003  0.763351E-001   0.00000       0.580926E-001  0.551129E-001  0.103156E-001  0.207937E-003  0.292681E-012  0.144718E-002  -971693.      -0.104019E+007 -0.177760E+007 -0.131747E+007  -384168.       -500529.       -679347.       -798438.       -900288.      -0.106426E+007  -521168.        0.00000     
  1439.56        2500.00        1.04563       -311983.       0.367443        244389.        0.00000        2.91319        2.91319        0.00000                 NaN   2879.67       -426092.        43.3310       0.621603E-004  0.428293E-005   79.2663       0.157378        30.1108       -30.0347      -0.365401        11.3601       0.122792E-001 -0.884694E-004 -0.913732E-004   0.00000       0.614695E-004  0.615671E-004   0.00000        1.03235        100.000        100.000        100.000       0.240538       0.369349E-002  0.373410E-001  0.198970E-003  0.758418E-001   0.00000       0.572539E-001  0.546588E-001  0.103064E-001  0.207710E-003  0.480978E-012  0.143738E-002  -971572.      -0.103934E+007 -0.177703E+007 -0.131764E+007  -383880.       -500329.       -679276.       -798218.       -900406.      -0.105862E+007  -465256.        0.00000     
  1438.41        2500.00        1.03258       -307352.       0.359582        238865.        0.00000        2.88284        2.88284        0.00000                 NaN   2874.16       -419864.        42.8160       0.624201E-004  0.432192E-005   78.2195       0.155432        29.6779       -28.9658      -0.201277E-002   11.4602       0.686309E-004 -0.848196E-004 -0.848358E-004   0.00000       0.629266E-004  0.629271E-004   0.00000        1.03228        100.000        100.000        100.000       0.236932       0.365526E-002  0.372086E-001  0.187873E-003  0.748125E-001   0.00000       0.555249E-001  0.537145E-001  0.102882E-001  0.207233E-003   0.00000       0.143010E-002  -971351.      -0.103963E+007 -0.177670E+007 -0.131849E+007  -383722.       -500230.       -679211.       -798158.       -899527.      -0.106274E+007  -398126.        0.00000     
  1437.25        2500.00        1.03238       -307383.       0.359807        239046.        0.00000        2.88377        2.88377        0.00000                 NaN   2874.48       -419741.        42.8085       0.624076E-004  0.432038E-005   78.1757       0.155413        29.6756       -28.9879      -0.108477E-001   11.4564       0.353764E-003 -0.848657E-004 -0.849530E-004   0.00000       0.628740E-004  0.628769E-004   0.00000        1.03225        100.000        100.000        100.000       0.236913       0.365497E-002  0.372079E-001  0.187828E-003  0.748069E-001   0.00000       0.555156E-001  0.537105E-001  0.102881E-001  0.207231E-003  0.255795E-012  0.142963E-002  -971693.      -0.103853E+007 -0.177556E+007 -0.131880E+007  -383145.       -499568.       -678939.       -797107.       -898875.      -0.104538E+007  -462570.        0.00000     
  1436.09        2500.00        1.03047       -307431.       0.365776        243332.        0.00000        2.90750        2.90750        0.00000                 NaN   2878.45       -419454.        42.6755       0.621296E-004  0.429242E-005   78.0050       0.154995        29.6616       -29.8454      -0.313113        11.3805       0.105334E-001 -0.879859E-004 -0.904801E-004   0.00000       0.617510E-004  0.618349E-004   0.00000        1.03219        100.000        100.000        100.000       0.236802       0.365435E-002  0.372044E-001  0.187451E-003  0.747708E-001   0.00000       0.554574E-001  0.536778E-001  0.102877E-001  0.207204E-003  0.255665E-012  0.142426E-002  -971065.      -0.103911E+007 -0.177563E+007 -0.131738E+007  -383279.       -499875.       -678996.       -797854.       -898630.      -0.106286E+007  -530271.        0.00000     
  1434.93        2500.00        1.01867       -303607.       0.362454        241028.        0.00000        2.89500        2.89500        0.00000                 NaN   2875.89       -414185.        42.1779       0.621958E-004  0.431026E-005   77.0611       0.153169        29.2959       -29.4126      -0.170969        11.4225       0.574751E-002 -0.866097E-004 -0.879787E-004   0.00000       0.623590E-004  0.624050E-004   0.00000        1.03210        100.000        100.000        100.000       0.233754       0.362108E-002  0.370885E-001  0.178316E-003  0.738981E-001   0.00000       0.540156E-001  0.528838E-001  0.102714E-001  0.206818E-003  0.328279E-012  0.141522E-002  -970906.      -0.103891E+007 -0.177514E+007 -0.131735E+007  -383070.       -499714.       -678902.       -797716.       -898165.      -0.106168E+007  -510390.        0.00000     
  1433.78        2500.00        1.01178       -301606.       0.362694        241251.        0.00000        2.89634        2.89634        0.00000                 NaN   2875.88       -411291.        41.8704       0.621357E-004  0.431029E-005   76.5006       0.152065        29.0977       -29.4692      -0.196433        11.4190       0.660192E-002 -0.869136E-004 -0.884857E-004   0.00000       0.623034E-004  0.623563E-004   0.00000        1.03203        100.000        100.000        100.000       0.232106       0.360317E-002  0.370251E-001  0.173426E-003  0.734227E-001   0.00000       0.532359E-001  0.524525E-001  0.102626E-001  0.206604E-003  0.259599E-012  0.140853E-002  -970773.      -0.103816E+007 -0.177475E+007 -0.131728E+007  -382816.       -499527.       -678819.       -797520.       -897494.      -0.106149E+007  -490157.        0.00000     
  1432.62        2500.00        1.00429       -299273.       0.361284        240302.        0.00000        2.89120        2.89120        0.00000                 NaN   2874.75       -407998.        41.5493       0.621440E-004  0.431812E-005   75.8920       0.150892        28.8709       -29.2965      -0.142744        11.4371       0.480064E-002 -0.864052E-004 -0.875502E-004   0.00000       0.625604E-004  0.625989E-004   0.00000        1.03196        100.000        100.000        100.000       0.230222       0.358226E-002  0.369519E-001  0.167902E-003  0.728748E-001   0.00000       0.523495E-001  0.519590E-001  0.102525E-001  0.206323E-003  0.706136E-011  0.140232E-002  -970598.      -0.103835E+007 -0.177414E+007 -0.131735E+007  -382633.       -499382.       -678719.       -797418.       -897333.      -0.106094E+007  -499740.        0.00000     
  1431.46        2500.00       0.998581       -297634.       0.361572        240556.        0.00000        2.89270        2.89270        0.00000                 NaN   2874.82       -405600.        41.2942       0.620890E-004  0.431764E-005   75.4232       0.149976        28.7075       -29.3578      -0.168689        11.4331       0.567340E-002 -0.867120E-004 -0.880643E-004   0.00000       0.624966E-004  0.625421E-004   0.00000        1.03189        100.000        100.000        100.000       0.228865       0.356694E-002  0.368980E-001  0.163966E-003  0.724807E-001   0.00000       0.517120E-001  0.516036E-001  0.102452E-001  0.206142E-003  0.246730E-012  0.139676E-002  -970444.      -0.103804E+007 -0.177366E+007 -0.131735E+007  -382408.                 NaN  -678633.       -797267.       -896903.      -0.106030E+007            NaN   0.00000     
